negatives
"('O95897', 'A2RRP1')"
"('P61619', 'Q86WV6')"
"('O15357', 'Q9BX66')"
"('Q2M1K9', 'P19793')"
"('Q9UKW4', 'P05783')"
"('P30504', 'P49591')"
"('P04150', 'P05412')"
"('Q15643', 'P06400')"
"('P05129', 'P50150')"
"('O60506', 'Q9Y478')"
"('P56746', 'P56747')"
"('Q13247', 'P62633')"
"('P02647', 'O75829')"
"('P84103', 'Q86V81')"
"('Q15149', 'Q9UKW4')"
"('P30085', 'Q15714')"
"('P62191', 'O00233')"
"('P01570', 'P15509')"
"('O94782', 'Q8TAF3')"
"('Q16637', 'Q99683')"
"('O43918', 'P78527')"
"('Q02156', 'P10398')"
"('P01889', 'O43488')"
"('P11142', 'Q9HCK5')"
"('Q9H2A7', 'P46094')"
"('Q8NHB1', 'P38405')"
"('P14784', 'P62993')"
"('O95257', 'Q9Y6R4')"
"('P15248', 'P16871')"
"('O15379', 'P29374')"
"('Q15428', 'P08621')"
"('O14512', 'O60674')"
"('Q13535', 'Q15075')"
"('P22612', 'Q05586')"
"('Q9UM47', 'Q06330')"
"('Q13523', 'Q99459')"
"('P21860', 'P19174')"
"('Q13573', 'P43243')"
"('Q9UKE5', 'Q15365')"
"('Q9Y4K3', 'P01112')"
"('P11171', 'P60709')"
"('P05546', 'P00734')"
"('P01730', 'P08637')"
"('P0CG48', 'Q13485')"
"('P02458', 'P18827')"
"('P51124', 'P42574')"
"('O75019', 'P31995')"
"('P60602', 'Q07817')"
"('Q9HC62', 'O14641')"
"('Q9NSE2', 'P10912')"
"('Q9UL42', 'P63104')"
"('Q96PZ0', 'P23508')"
"('O95166', 'Q14257')"
"('Q9UQ90', 'Q9BQ66')"
"('P27540', 'P04406')"
"('Q9Y5S8', 'P53778')"
"('P08651', 'P14672')"
"('P01106', 'Q13519')"
"('O43353', 'O14920')"
"('Q9H1C4', 'Q9Y3E0')"
"('Q9HC98', 'Q9P035')"
"('Q8N726', 'P53779')"
"('P06748', 'P62633')"
"('Q07869', 'O15055')"
"('P28074', 'P25787')"
"('P40337', 'Q9H0U4')"
"('P62873', 'P43657')"
"('Q16637', 'P51693')"
"('P21860', 'Q08881')"
"('Q9Y4C0', 'Q8N0W4')"
"('Q9H1I8', 'P00966')"
"('O95782', 'Q2TAY7')"
"('P24821', 'P53708')"
"('A0JLT2', 'P31689')"
"('P04844', 'P08138')"
"('Q9GZS3', 'P36897')"
"('P11142', 'P45983')"
"('Q6R6M4', 'P30304')"
"('P08631', 'O00459')"
"('P52435', 'Q8WVC0')"
"('Q13315', 'O43296')"
"('Q8IWL3', 'Q8NFJ9')"
"('Q969T4', 'Q99496')"
"('P17275', 'P38398')"
"('P12931', 'P56539')"
"('P22392', 'Q12972')"
"('P21918', 'P63092')"
"('Q96GA7', 'Q9UGJ1')"
"('Q8IZI9', 'Q00653')"
"('Q9Y243', 'P38936')"
"('P62241', 'P23396')"
"('Q13573', 'P62136')"
"('P56270', 'Q12830')"
"('Q12769', 'Q8WUM0')"
"('P62877', 'P10244')"
"('Q92914', 'P10721')"
"('P23193', 'Q8N7H5')"
"('P84022', 'Q9UBW7')"
"('O75475', 'P07327')"
"('Q01094', 'P18075')"
"('P15336', 'Q96BA8')"
"('P05067', 'P38405')"
"('P20701', 'P13598')"
"('Q9HAW4', 'Q92466')"
"('P61077', 'Q96PU4')"
"('P62910', 'P46776')"
"('P11387', 'P09874')"
"('O75369', 'Q13683')"
"('Q99942', 'Q5VVX9')"
"('P62750', 'P62987')"
"('P01106', 'Q9Y2X3')"
"('P52907', 'Q9H1Y0')"
"('Q14833', 'P08754')"
"('Q1HG44', 'Q9NRD8')"
"('P00403', 'O00459')"
"('Q99666', 'P63165')"
"('Q16659', 'P50549')"
"('O14492', 'P09619')"
"('Q9Y6X2', 'P10275')"
"('P11940', 'P15170')"
"('Q92765', 'Q9ULV1')"
"('Q14164', 'P51572')"
"('P21695', 'P21246')"
"('Q49AN0', 'P48730')"
"('P01106', 'P22736')"
"('P51817', 'Q9UNY4')"
"('Q96IJ6', 'O75909')"
"('Q8NE09', 'P49841')"
"('P60709', 'P19105')"
"('Q16625', 'P57739')"
"('Q15034', 'P04183')"
"('Q99759', 'O43592')"
"('Q96QK1', 'Q96KM6')"
"('P53778', 'Q16512')"
"('Q12933', 'Q8WYR1')"
"('Q9UNE7', 'P11142')"
"('Q9NRR4', 'P17844')"
"('O43390', 'Q01081')"
"('P29590', 'Q9Y2M5')"
"('P58876', 'P00533')"
"('P35227', 'Q06587')"
"('Q15287', 'P57678')"
"('P14923', 'P04626')"
"('P67809', 'P49711')"
"('Q13315', 'O75122')"
"('O95379', 'Q12974')"
"('P60510', 'Q04206')"
"('P62750', 'P42766')"
"('P23508', 'P68402')"
"('P16220', 'Q9Y2D5')"
"('Q16623', 'P08670')"
"('Q99814', 'O14503')"
"('P40126', 'Q9UJU2')"
"('P29350', 'P20138')"
"('Q53G59', 'Q16630')"
"('P40763', 'P08670')"
"('Q86YC2', 'Q9UBU8')"
"('O15519', 'Q96JH8')"
"('Q13535', 'P55072')"
"('Q13315', 'Q9Y2H1')"
"('P51817', 'Q13522')"
"('P63208', 'Q9UKB1')"
"('P05771', 'P27361')"
"('Q96B33', 'C9JDP6')"
"('P16220', 'P18850')"
"('P16220', 'P05412')"
"('P51522', 'P84022')"
"('Q14494', 'O15525')"
"('Q96H86', 'Q9UMX1')"
"('P30305', 'P31946')"
"('P21675', 'Q92804')"
"('P10721', 'Q9ULZ2')"
"('P04637', 'Q07812')"
"('P30480', 'O14737')"
"('P36894', 'P53778')"
"('Q99677', 'Q8WYR1')"
"('O95685', 'Q9NZT1')"
"('P20073', 'P38606')"
"('Q9UHA4', 'P27361')"
"('Q13546', 'Q14257')"
"('P12931', 'P48357')"
"('P62424', 'P60709')"
"('P61077', 'P26442')"
"('Q9UKI8', 'Q9NVP2')"
"('Q8NHW4', 'P51679')"
"('P35749', 'P60660')"
"('Q96KM6', 'Q01082')"
"('P53675', 'P13569')"
"('Q06323', 'O00233')"
"('P05997', 'P06756')"
"('O75365', 'Q14558')"
"('O00291', 'Q96CW1')"
"('P68366', 'P06241')"
"('Q07889', 'P29353')"
"('Q92544', 'P20339')"
"('O15379', 'P23527')"
"('407037', 'P02786')"
"('P06213', 'P27361')"
"('P20827', 'P54764')"
"('P17538', 'P01011')"
"('P19447', 'P01106')"
"('P42336', 'P54709')"
"('O15131', 'P04406')"
"('P62807', 'Q9Y5B9')"
"('O75438', 'P03905')"
"('P62993', 'P60866')"
"('407025', 'P27986')"
"('P62714', 'Q9BRV8')"
"('P30153', 'Q9NUC0')"
"('Q9HCK8', 'P09012')"
"('P47992', 'P51686')"
"('P60033', 'Q99684')"
"('P62244', 'P25398')"
"('P05114', 'P16402')"
"('Q9UN37', 'O43633')"
"('Q9H0H5', 'Q86YS3')"
"('O14610', 'Q13936')"
"('O95810', 'Q03135')"
"('Q99250', 'Q13368')"
"('P61513', 'P62888')"
"('Q8IU81', 'Q8WYK2')"
"('Q8TAQ2', 'Q01201')"
"('Q96EZ8', 'P62805')"
"('Q14257', 'P13569')"
"('Q9UKS6', 'Q07890')"
"('P51617', 'Q8IXI2')"
"('Q96L92', 'Q15438')"
"('P08246', 'Q9P2S5')"
"('Q66LE6', 'P10415')"
"('P62195', 'Q14CS0')"
"('P98175', 'Q9H9G7')"
"('Q9BVI4', 'O15162')"
"('P39880', 'O00499')"
"('P06748', 'P10144')"
"('P67775', 'P28472')"
"('O75365', 'O43156')"
"('O75365', 'Q15042')"
"('Q9BY41', 'Q9BTM1')"
"('O75694', 'Q8NFH3')"
"('Q9Y265', 'Q6WCQ1')"
"('P16473', 'P50148')"
"('O60675', 'P05412')"
"('P13639', 'P15170')"
"('P63104', 'Q8TE04')"
"('P53396', 'Q9UBN6')"
"('Q15637', 'Q9BRX9')"
"('Q92851', 'Q13546')"
"('P20823', 'Q9UBV2')"
"('Q9H0E2', 'Q8WYJ6')"
"('Q9Y5K5', 'P25789')"
"('Q9Y243', 'P14672')"
"('Q9BTK6', 'P03372')"
"('P12830', 'P06400')"
"('Q8IZJ0', 'P78552')"
"('P35712', 'P56645')"
"('Q71F23', 'Q9HCK4')"
"('Q15797', 'Q9Y3E7')"
"('P12830', 'Q14160')"
"('P08865', 'P22090')"
"('P78347', 'Q13573')"
"('P11182', 'Q14197')"
"('P56945', 'TGFBR')"
"('P04406', 'Q16363')"
"('P18510', 'P27930')"
"('Q16512', 'Q9NRA0')"
"('P08727', 'O15287')"
"('Q8IXJ6', 'P49591')"
"('P15090', 'O76070')"
"('Q99590', 'Q07955')"
"('P03886', 'O43674')"
"('Q13616', 'Q5VYV7')"
"('P11182', 'P20333')"
"('P08246', 'P10809')"
"('Q6IBS0', 'Q9NSB4')"
"('P43250', 'P08588')"
"('Q9BQG0', 'Q7L2E3')"
"('O43639', 'Q9Y2W2')"
"('P14784', 'O60674')"
"('Q13464', 'P19105')"
"('P54764', 'Q8N5V2')"
"('Q13368', 'P15880')"
"('Q96EV8', 'P27986')"
"('P60709', 'P62847')"
"('P41159', 'P24394')"
"('P42345', 'Q15349')"
"('P35222', 'Q01826')"
"('P04626', 'P06493')"
"('Q13137', 'Q12933')"
"('Q9H237', 'Q93098')"
"('P19438', 'Q92636')"
"('Q14997', 'P01106')"
"('P61978', 'P98179')"
"('Q14469', 'Q02535')"
"('P01589', 'P42336')"
"('Q9NS73', 'Q92831')"
"('Q9UGR2', 'Q04637')"
"('P42224', 'P04839')"
"('Q8WYB5', 'Q14566')"
"('P78364', 'P35226')"
"('Q9UL46', 'P62191')"
"('Q8TBE0', 'Q9BQ66')"
"('P39687', 'O15169')"
"('Q99750', 'Q16526')"
"('P25787', 'Q9P2G9')"
"('Q9Y2K2', 'P63104')"
"('O75340', 'Q8WUM4')"
"('P30154', 'Q66LE6')"
"('P10809', 'P08107')"
"('Q9NZW4', 'Q15365')"
"('P16473', 'P08754')"
"('Q00987', 'P53350')"
"('Q13191', 'P35222')"
"('Q00341', 'P62330')"
"('Q9UJX3', 'P30260')"
"('P28482', 'P04406')"
"('P18031', 'P25963')"
"('P24385', 'Q16695')"
"('P62888', 'Q02878')"
"('Q9NS23', 'Q9Y297')"
"('Q92621', 'O15504')"
"('Q9H9F9', 'Q6PI98')"
"('Q13526', 'P07910')"
"('P01112', 'P15498')"
"('P51587', 'P60896')"
"('Q13315', 'Q9UNE7')"
"('P30519', 'Q7L5N1')"
"('Q6WCQ1', 'P21333')"
"('O00471', 'Q13133')"
"('O43707', 'P06396')"
"('Q9Y6K9', 'Q92985')"
"('P17844', 'P22681')"
"('Q96BD5', 'P84243')"
"('Q16619', 'P31314')"
"('Q01094', 'Q16877')"
"('P47914', 'P62750')"
"('Q04864', 'P62158')"
"('P63104', 'Q92628')"
"('P55072', 'Q9BZV1')"
"('Q96CG3', 'Q9Y4K3')"
"('P09471', 'P0C869')"
"('P62807', 'O15315')"
"('Q01844', 'O75940')"
"('Q96KQ7', 'P48059')"
"('Q99459', 'Q9NVV9')"
"('Q8IX90', 'Q96BD8')"
"('Q9NP66', 'P37235')"
"('406982', 'Q8WY64')"
"('P30154', 'P31749')"
"('Q8IV61', 'P10301')"
"('P09619', 'P18031')"
"('P31749', 'Q04759')"
"('Q86WN2', 'P24394')"
"('P23396', 'P46781')"
"('Q14644', 'Q13200')"
"('Q86XK2', 'P29401')"
"('P17948', 'P48736')"
"('Q9H3D4', 'P38936')"
"('Q2TAY7', 'Q04695')"
"('P61088', 'Q9Y3C5')"
"('P08047', 'Q9H015')"
"('P04083', 'Q7L5N1')"
"('Q9BXA5', 'P04899')"
"('P00519', 'Q15464')"
"('Q5T3J3', 'P16870')"
"('Q9BRK5', 'P61224')"
"('O14737', 'Q9BVJ6')"
"('O15530', 'Q9Y2S7')"
"('O75528', 'Q92831')"
"('Q9UPT5', 'Q9NRI5')"
"('P29459', 'P42702')"
"('P18146', 'Q04609')"
"('P21926', 'Q14005')"
"('Q96QD9', 'P04278')"
"('P50750', 'P61978')"
"('P53350', 'Q08050')"
"('P01106', 'Q9BTL4')"
"('P53708', 'Q07890')"
"('P19438', 'Q86UA6')"
"('Q9GZS1', 'Q96JH8')"
"('Q9Y2X8', 'O94941')"
"('P63000', 'Q9P286')"
"('P00519', 'P20774')"
"('P42166', 'P49023')"
"('Q9HCE7', 'P04629')"
"('P05129', 'P14867')"
"('P05386', 'Q9Y3U8')"
"('O43390', 'Q15287')"
"('P46977', 'P61803')"
"('P62820', 'P38936')"
"('Q9Y4A5', 'Q92830')"
"('Q13568', 'Q9BX10')"
"('Q9UGJ0', 'O95822')"
"('P62140', 'O43889')"
"('Q9NWZ3', 'O43187')"
"('Q99963', 'Q92529')"
"('O60496', 'Q92835')"
"('P32418', 'Q01484')"
"('Q9BRK4', 'Q96KM6')"
"('Q9Y3C7', 'Q9NWA0')"
"('Q96FZ7', 'Q70EL1')"
"('O00303', 'P60228')"
"('Q9BZL1', 'Q9BRX9')"
"('P14923', 'P35221')"
"('O60858', 'O75909')"
"('Q96N67', 'Q14451')"
"('Q13155', 'O60739')"
"('Q86VN1', 'P62987')"
"('Q8N684', 'Q9NZC7')"
"('Q86U86', 'Q6STE5')"
"('O95201', 'Q13137')"
"('Q86Y39', 'Q9P0J0')"
"('Q9Y265', 'Q9NQB0')"
"('Q07021', 'Q9Y572')"
"('Q9Y6N6', 'P06756')"
"('Q14112', 'P12757')"
"('P20248', 'P10244')"
"('Q99717', 'O00231')"
"('Q13432', 'Q12988')"
"('P04637', 'P11387')"
"('O14653', 'Q13190')"
"('P19087', 'P18545')"
"('O00221', 'O14980')"
"('O14964', 'P0CG48')"
"('P41235', 'P04278')"
"('Q9H9S4', 'P54646')"
"('O94907', 'O75197')"
"('P05014', 'Q13651')"
"('Q99459', 'Q9H0S4')"
"('Q9BQ66', 'Q9NQX5')"
"('Q13362', 'Q5FBB7')"
"('P27986', 'Q9NZM4')"
"('O15516', 'Q8WYA1')"
"('Q9NZQ3', 'O43639')"
"('Q9UGP8', 'P43360')"
"('Q07890', 'O14807')"
"('P61981', 'P05783')"
"('P06241', 'Q14118')"
"('O43513', 'O14964')"
"('Q96BK5', 'Q9Y3B4')"
"('P12004', 'Q8IWY9')"
"('Q96EV8', 'O14964')"
"('P15121', 'P40337')"
"('P00519', 'Q9ULV8')"
"('P61978', 'Q14683')"
"('Q16659', 'Q99719')"
"('P15036', 'P20226')"
"('Q96A73', 'P49841')"
"('P41240', 'P23471')"
"('Q9UKT5', 'P63208')"
"('P11142', 'P30793')"
"('Q14197', 'Q8NFF5')"
"('Q13315', 'Q8N490')"
"('P54253', 'P13637')"
"('Q13151', 'P09651')"
"('P31946', 'P49796')"
"('P25116', 'P63092')"
"('P05014', 'P42701')"
"('O14936', 'P04406')"
"('407050', 'Q01094')"
"('Q15628', 'O14920')"
"('P63162', 'O95400')"
"('P83731', 'P23508')"
"('P48059', 'Q13573')"
"('Q9BYQ3', 'Q12834')"
"('P84022', 'P41235')"
"('P49841', 'O15516')"
"('Q9NX58', 'P05198')"
"('P26038', 'P60568')"
"('Q99767', 'Q16659')"
"('406923', 'P11831')"
"('P13584', 'O00273')"
"('P63279', 'P49789')"
"('O95084', 'Q13387')"
"('P23508', 'Q14152')"
"('O60603', 'P34931')"
"('Q96KM6', 'P62979')"
"('O75582', 'Q9NV58')"
"('Q9H1Y0', 'Q15631')"
"('P31751', 'P41279')"
"('Q9H0E9', 'P04637')"
"('P02647', 'Q9BQN1')"
"('Q9BVJ6', 'P62310')"
"('Q15388', 'Q7Z419')"
"('P02533', 'P01876')"
"('P30504', 'Q15008')"
"('Q5T4F7', 'O75084')"
"('Q9UK08', 'Q92633')"
"('P61952', 'Q01970')"
"('O95685', 'O96017')"
"('Q9NR28', 'P98170')"
"('P21802', 'Q99962')"
"('P04049', 'O43482')"
"('P61313', 'Q07020')"
"('P06493', 'Q9H8V3')"
"('P46783', 'P63220')"
"('Q9NRD5', 'Q8TAA9')"
"('Q92609', 'Q13177')"
"('O43318', 'Q9Y265')"
"('Q9HCT0', 'P08138')"
"('P60896', 'Q5JVF3')"
"('Q9UBN6', 'P34897')"
"('Q8WZ42', 'P35609')"
"('Q9BYV6', 'Q8IX12')"
"('Q96RU7', 'Q15047')"
"('P39656', 'Q9UL18')"
"('P63104', 'P07814')"
"('P14210', 'P04626')"
"('Q9NPB6', 'Q6P1M3')"
"('P28340', 'P05060')"
"('O15162', 'Q9NTK1')"
"('P62942', 'P63098')"
"('P18848', 'P15407')"
"('P51532', 'P38936')"
"('P19174', 'Q8TD86')"
"('P35354', 'P49716')"
"('P01033', 'P61956')"
"('P04406', 'O60861')"
"('Q9UK08', 'P53778')"
"('P16234', 'Q03135')"
"('P63162', 'O75817')"
"('O43318', 'Q9UDY8')"
"('O14508', 'P40238')"
"('Q15418', 'P33981')"
"('P43405', 'O00241')"
"('Q9UL46', 'O75832')"
"('P05231', 'P40189')"
"('O15519', 'Q16543')"
"('Q9P0T7', 'Q96A57')"
"('Q15121', 'Q9NVE7')"
"('P35626', 'Q8NG78')"
"('Q07020', 'P61313')"
"('Q9Y239', 'Q92905')"
"('O95835', 'O60285')"
"('P35916', 'Q05397')"
"('P55854', 'O00470')"
"('P20823', 'Q13761')"
"('Q9H6S3', 'Q05397')"
"('P63215', 'P53779')"
"('P62993', 'P08047')"
"('406987', 'P52926')"
"('P11233', 'O14939')"
"('P49910', 'P57086')"
"('P62745', 'Q13464')"
"('P52434', 'O15160')"
"('P62993', 'Q9UQQ2')"
"('O14910', 'O14936')"
"('Q08380', 'Q15628')"
"('P62891', 'P05388')"
"('P33240', 'Q99728')"
"('P10721', 'Q13257')"
"('P47712', 'P60903')"
"('P61421', 'Q9UPZ9')"
"('P20273', 'Q13094')"
"('Q92620', 'P26368')"
"('Q12904', 'Q16539')"
"('P53779', 'P35354')"
"('P46379', 'Q8TAA9')"
"('Q13573', 'Q9Y6D9')"
"('Q13557', 'P56524')"
"('P19838', 'P42081')"
"('P62249', 'P24941')"
"('P25789', 'P25788')"
"('Q96RG2', 'Q16595')"
"('Q00978', 'P00973')"
"('P14618', 'P49407')"
"('P06241', 'P48736')"
"('P21675', 'Q00987')"
"('Q14738', 'P31751')"
"('P38398', 'P40692')"
"('P32121', 'Q8NGQ4')"
"('O60262', 'P48051')"
"('P01106', 'Q14684')"
"('O00341', 'Q13424')"
"('O75379', 'P61266')"
"('P06756', 'Q9P212')"
"('Q9BXS5', 'P11279')"
"('Q13573', 'O75694')"
"('Q02241', 'P61204')"
"('P35221', 'P49715')"
"('O60814', 'O15047')"
"('O15198', 'Q9NRL2')"
"('Q12933', 'Q16526')"
"('P07437', 'Q13233')"
"('Q86U06', 'Q9Y3C7')"
"('Q9P2R6', 'Q12805')"
"('P51178', 'P21980')"
"('P49841', 'Q7Z5J4')"
"('P31995', 'Q8NHL6')"
"('P46778', 'Q9Y3U8')"
"('O60244', 'Q15528')"
"('P09661', 'P40337')"
"('O75821', 'Q9NZW5')"
"('P12757', 'Q9Y6X2')"
"('Q6AI08', 'Q9NZN5')"
"('P51681', 'P29074')"
"('P57740', 'P52948')"
"('Q03001', 'Q9UHX1')"
"('P21145', 'O00206')"
"('P30480', 'Q9HAV7')"
"('Q13315', 'P02768')"
"('Q9NPG1', 'O75581')"
"('O14543', 'Q01344')"
"('P11362', 'P01112')"
"('Q9UBD9', 'P32927')"
"('P68400', 'Q96EZ8')"
"('O15230', 'P55268')"
"('P30153', 'Q14738')"
"('Q9UJV9', 'Q9H2G2')"
"('407024', 'Q9Y6K1')"
"('P51149', 'P30480')"
"('Q14676', 'P16104')"
"('O15239', 'O95299')"
"('Q8WUH2', 'P36894')"
"('Q9H9A7', 'P35244')"
"('P40337', 'Q14203')"
"('Q02543', 'P36578')"
"('Q9Y4K3', 'P09543')"
"('P08238', 'P00533')"
"('P67775', 'Q9UBS0')"
"('O00716', 'Q15054')"
"('Q8WYH8', 'Q9UGN5')"
"('Q13415', 'Q13309')"
"('P09327', 'O75688')"
"('P12931', 'P98172')"
"('Q9NZL6', 'Q02833')"
"('P01892', 'Q07444')"
"('O00311', 'P33992')"
"('P29372', 'P51665')"
"('Q9Y6K9', 'P60866')"
"('Q9Y383', 'Q15121')"
"('P61086', 'P01889')"
"('Q13315', 'Q15334')"
"('P01112', 'Q13671')"
"('P41227', 'O95197')"
"('P52735', 'P08729')"
"('Q96B02', 'O75530')"
"('Q15102', 'P68402')"
"('Q969T4', 'Q6ZSG1')"
"('Q9NY47', 'P01876')"
"('P16234', 'P35568')"
"('P08571', 'P02788')"
"('Q9UKV8', 'Q71UM5')"
"('P61106', 'Q14164')"
"('Q9UKK9', 'Q9UET6')"
"('P49023', 'Q9HBI0')"
"('P05386', 'P84098')"
"('P23229', 'O95631')"
"('P62249', 'P40337')"
"('Q14197', 'Q9BYN8')"
"('O75084', 'O14640')"
"('Q92985', 'P10398')"
"('Q14498', 'O43395')"
"('Q9Y272', 'P63215')"
"('Q8IW50', 'O43924')"
"('Q9H3R2', 'P13569')"
"('Q9Y5J5', 'Q9UI12')"
"('Q13585', 'P63096')"
"('Q13464', 'P20929')"
"('P62258', 'A6NER0')"
"('Q16659', 'Q6ZNG1')"
"('Q92786', 'Q99684')"
"('Q9UNN5', 'P22736')"
"('P04156', 'P46531')"
"('P53355', 'Q92574')"
"('Q8WUI4', 'P41212')"
"('P06731', 'Q01844')"
"('P19793', 'P20749')"
"('Q9Y2X8', 'Q9NS56')"
"('P24522', 'Q9UKY1')"
"('P40937', 'P25942')"
"('P58107', 'Q13233')"
"('Q86VN1', 'P62979')"
"('Q02413', 'O60232')"
"('O95786', 'Q99558')"
"('Q00978', 'P42226')"
"('P43403', 'Q12959')"
"('Q9H1B4', 'Q86V81')"
"('Q14155', 'Q92888')"
"('Q06830', 'Q9Y6P5')"
"('P84077', 'O14617')"
"('P04637', '574501')"
"('P01563', 'P24394')"
"('Q14669', 'P13569')"
"('O75365', 'P78344')"
"('O60336', 'Q7Z2E3')"
"('P35916', 'P42336')"
"('Q15014', 'P51149')"
"('Q8NFF5', 'P41227')"
"('P12109', 'Q13683')"
"('Q02543', 'P61313')"
"('P40429', 'Q9UKV8')"
"('Q4G0J3', 'P50750')"
"('Q9BXH1', 'Q00653')"
"('O43660', 'Q99459')"
"('O95467', 'Q9BWD1')"
"('Q06124', 'P78324')"
"('P24941', 'P11171')"
"('Q16254', 'O95067')"
"('Q13315', 'Q8WVM8')"
"('Q9UHY7', 'P63279')"
"('P05387', 'Q9Y3U8')"
"('P04629', 'P98077')"
"('Q3ZCM7', 'Q13409')"
"('Q9Y4K3', 'P27986')"
"('P51148', 'P11171')"
"('Q86YV9', 'Q15397')"
"('P25205', 'P01889')"
"('Q14566', 'O95251')"
"('P22626', 'Q8IX12')"
"('O15315', 'O75771')"
"('P41146', 'Q96AW1')"
"('Q8N682', 'Q16254')"
"('Q9H213', 'Q96NT1')"
"('P05386', 'P61513')"
"('Q9H467', 'O15111')"
"('P51532', 'P62805')"
"('P05771', 'P32927')"
"('O15230', 'P17301')"
"('Q14738', 'P32121')"
"('O75865', 'O43617')"
"('P62277', 'P61247')"
"('P36542', 'P00533')"
"('Q14164', 'P54577')"
"('P03372', 'P29353')"
"('Q14005', 'O15379')"
"('P20333', 'O14735')"
"('Q13643', 'Q00587')"
"('Q9Y478', 'Q9Y617')"
"('P17301', 'P22694')"
"('Q9Y675', 'O75533')"
"('P31946', 'O43143')"
"('Q9H8W4', 'Q9NS73')"
"('P62158', 'P62258')"
"('O95388', 'P22309')"
"('P21802', 'Q6S5L8')"
"('Q86Y01', 'O00762')"
"('O43318', 'P19438')"
"('P08648', 'P29279')"
"('P18146', 'P19526')"
"('P24723', 'P63261')"
"('Q9UNM6', 'Q9UL46')"
"('P10966', 'P10321')"
"('Q96B18', 'P05771')"
"('P05412', 'P01215')"
"('Q13200', 'P13569')"
"('P14868', 'P27986')"
"('Q96S52', 'O43292')"
"('Q13620', 'Q6UXN9')"
"('Q9BQ83', 'P49720')"
"('O75791', 'P04626')"
"('Q13625', 'Q07817')"
"('Q9GZS1', 'Q16543')"
"('Q92484', 'O60477')"
"('Q9H5J8', 'Q8TB96')"
"('Q14164', 'P62993')"
"('O15264', 'Q66LE6')"
"('Q8IWZ8', 'Q8IYB3')"
"('O43610', 'O43597')"
"('Q06413', 'P35713')"
"('Q14527', 'Q9NS91')"
"('Q9UMR2', 'O00422')"
"('P29590', 'Q92547')"
"('Q14703', 'O14788')"
"('P02787', 'Q8IY92')"
"('Q16619', 'P14784')"
"('Q2NKX8', 'Q8TDY2')"
"('Q32MK0', 'P62993')"
"('P04049', 'Q13526')"
"('P17844', 'P19174')"
"('P31947', 'Q04912')"
"('P62701', 'Q99558')"
"('Q99613', 'O75821')"
"('Q96C10', 'Q9UPY3')"
"('P35626', 'Q9NZP0')"
"('P04222', 'P26038')"
"('Q01081', 'P62314')"
"('Q9P0M6', 'Q7Z2G1')"
"('P29353', 'P05783')"
"('P23467', 'P08581')"
"('O94972', 'Q7Z2E3')"
"('Q9NYJ8', 'Q9BQ87')"
"('Q9ULZ2', 'P42680')"
"('Q96EY1', 'Q9Y6K9')"
"('P45983', 'Q9Y4H2')"
"('P28340', 'O95067')"
"('Q14197', 'P49411')"
"('P01241', 'Q9NR30')"
"('Q5UIP0', 'Q9UGL9')"
"('P56748', 'O00501')"
"('P46379', 'Q7Z434')"
"('Q13315', 'Q9BSD3')"
"('P08670', 'P07196')"
"('Q9Y5I7', 'P56746')"
"('Q9UL42', 'Q8ND90')"
"('P16949', 'Q13153')"
"('Q86X95', 'Q01130')"
"('Q9H4L7', 'P01106')"
"('Q96B97', 'O60684')"
"('Q15853', 'P61073')"
"('P47712', 'P78545')"
"('Q99683', 'P53778')"
"('Q9UBQ5', 'O15371')"
"('P55075', 'P11362')"
"('Q12809', 'O95816')"
"('O15264', 'P31749')"
"('P41235', 'O43915')"
"('O75618', 'Q9H6Z4')"
"('Q9NR46', 'Q96JG8')"
"('O75400', 'Q13485')"
"('Q92536', 'P05556')"
"('Q7Z6E9', 'P52735')"
"('Q7Z6L1', 'Q92622')"
"('Q14209', 'Q14566')"
"('Q9H7D7', 'Q16659')"
"('P62330', 'Q9H993')"
"('Q99759', 'P11021')"
"('P51610', 'Q92769')"
"('Q9Y3B8', 'P23508')"
"('A8K6C2', 'Q14627')"
"('P61328', 'P29317')"
"('Q13177', 'Q15019')"
"('O75381', 'P14317')"
"('Q9HAU4', 'P22607')"
"('P18847', 'P35638')"
"('P28222', 'P04899')"
"('P40337', 'O00264')"
"('P08865', 'P62269')"
"('Q9C0A0', 'Q9UPN3')"
"('Q8IZP0', 'Q96F07')"
"('O15116', 'Q9Y4Y9')"
"('Q13573', 'O15042')"
"('Q9H0J4', 'O95863')"
"('P27816', 'P16333')"
"('Q07108', 'Q04206')"
"('P21673', 'P56182')"
"('P51965', 'Q5VTR2')"
"('O95467', 'O14610')"
"('Q15714', 'Q15149')"
"('A6NMX2', 'Q04637')"
"('P38936', 'P04183')"
"('P05014', 'P40238')"
"('Q8IWZ8', 'Q14103')"
"('P49736', 'O43913')"
"('P07477', 'P05067')"
"('P07910', 'O75525')"
"('Q12962', 'P68431')"
"('P43088', 'P29992')"
"('Q99942', 'Q13404')"
"('Q96JE9', 'P13631')"
"('Q12788', 'Q9NZM3')"
"('Q99759', 'O60271')"
"('P34947', 'P25025')"
"('P02778', 'P27487')"
"('Q9Y4K3', 'O14964')"
"('O75909', 'O95967')"
"('P18146', 'Q15742')"
"('O15524', 'P26951')"
"('Q8WXI9', 'O95983')"
"('Q15835', 'P51681')"
"('Q9NR50', 'Q13144')"
"('Q9P2H0', 'Q99728')"
"('Q7KZF4', 'P29083')"
"('Q13573', 'P35268')"
