negatives
"('Q14966', 'Q96ED9')"
"('P62837', 'Q96A37')"
"('Q96A08', 'Q9UKV0')"
"('Q99717', 'Q8IZ07')"
"('P36896', 'O15105')"
"('Q5VTD9', 'Q8N6Y0')"
"('P78543', 'O15534')"
"('P38484', 'Q04206')"
"('P51816', 'O95433')"
"('Q15334', 'Q96AP0')"
"('Q8N5U6', 'P68104')"
"('Q15365', 'Q99684')"
"('P35626', 'P30954')"
"('Q96ED9', 'O95251')"
"('P67870', 'P51946')"
"('Q13315', 'Q8N680')"
"('Q12802', 'P13861')"
"('Q9H2U1', 'Q9BZ23')"
"('Q9BZF9', 'O00221')"
"('P40197', 'P42338')"
"('P22455', 'Q99961')"
"('Q99879', 'P0C5Z0')"
"('Q96QZ7', 'P98164')"
"('P62158', 'Q15750')"
"('Q86XS8', 'Q9Y4R7')"
"('Q13557', 'P27482')"
"('O14745', 'Q9BXI6')"
"('Q9UNH7', 'Q99459')"
"('Q9Y6K9', 'P54136')"
"('Q01469', 'P20823')"
"('A8K7I4', 'P16144')"
"('P42224', 'P25942')"
"('P63104', 'P62899')"
"('O95059', 'P43246')"
"('Q5T3J3', 'Q99873')"
"('Q92547', 'P11387')"
"('Q13501', 'P19438')"
"('O43426', 'Q12965')"
"('Q68CJ9', 'Q93009')"
"('P14373', 'Q9Y2X8')"
"('Q8WYR1', 'Q9Y259')"
"('P01589', 'P17096')"
"('Q00535', 'O75051')"
"('Q14839', 'Q9BTC8')"
"('P00519', 'Q8TAS1')"
"('P16871', 'Q04206')"
"('Q8TDR0', 'P27816')"
"('O95163', 'P48643')"
"('P20962', 'Q9UGN5')"
"('P27361', 'Q05682')"
"('Q13642', 'O75530')"
"('P53778', 'P28482')"
"('Q13023', 'Q9H2G2')"
"('O15239', 'P03905')"
"('O75461', 'P30304')"
"('Q7L8J4', 'P31946')"
"('Q6DN90', 'Q92985')"
"('Q16539', 'P41235')"
"('P19634', 'P49407')"
"('Q9Y5B9', 'O15446')"
"('O95639', 'P33240')"
"('P30480', 'O15067')"
"('P08648', 'Q08043')"
"('P02766', 'O96006')"
"('Q13952', 'P14635')"
"('P52209', 'P62330')"
"('Q9P1A6', 'P06241')"
"('P51149', 'P27449')"
"('Q92574', 'P02794')"
"('Q14833', 'O14775')"
"('P01571', 'P15260')"
"('Q9UER7', 'Q16082')"
"('P01106', 'Q9Y219')"
"('O95257', 'Q8N2W9')"
"('O96017', 'O95997')"
"('P54646', 'P13807')"
"('P52429', 'Q9Y266')"
"('P62993', 'Q92835')"
"('P46108', 'Q9UL42')"
"('P23508', 'P06753')"
"('P56715', 'Q9UPY8')"
"('P51808', 'P21796')"
"('P10275', 'Q16666')"
"('O60683', 'P28328')"
"('P0CG48', 'P02794')"
"('O43674', 'P56556')"
"('Q9BYB0', 'P62993')"
"('Q9UBF2', 'Q9HC98')"
"('Q9Y283', 'O15259')"
"('Q8N0V3', 'Q14197')"
"('P52735', 'Q8TEX9')"
"('Q9NX70', 'Q9UNQ2')"
"('P50570', 'P51149')"
"('P21802', 'Q07890')"
"('Q96DG6', 'Q13617')"
"('P09874', 'Q96PK6')"
"('Q9Y4D1', 'O75400')"
"('P17252', 'P63215')"
"('P25942', 'Q7Z591')"
"('Q12873', 'P24522')"
"('P62316', 'P58107')"
"('Q92878', 'P16104')"
"('Q6P1M3', 'Q92796')"
"('P00519', 'P25963')"
"('P51451', 'P00533')"
"('P57723', 'Q96PU8')"
"('P61964', 'Q9ULM3')"
"('P54829', 'P45984')"
"('P62993', 'P43405')"
"('Q9BQ66', 'Q6ZVK8')"
"('Q96BK5', 'P62263')"
"('Q16539', 'P07196')"
"('Q9Y6E0', 'Q9Y3A3')"
"('Q00610', 'Q9Y572')"
"('Q92530', 'P38159')"
"('Q14241', 'P62875')"
"('P60604', 'Q9NTX7')"
"('P09919', 'P10912')"
"('28900', 'P27448')"
"('O95757', 'Q15853')"
"('P28702', 'O60244')"
"('Q13153', 'Q14315')"
"('P04183', 'Q96J01')"
"('Q99459', 'Q9Y2X0')"
"('P17301', 'P26006')"
"('P62633', 'Q9UM73')"
"('Q9Y6R0', 'P00533')"
"('Q9NYB9', 'Q7L576')"
"('Q2TBE0', 'Q07021')"
"('Q92597', 'Q96KP4')"
"('Q13554', 'O43318')"
"('Q15714', 'P57678')"
"('O95832', 'P56746')"
"('P10398', 'O15264')"
"('Q13509', 'Q16637')"
"('Q96DB2', 'P23527')"
"('Q14197', 'P49406')"
"('O75970', 'Q9H205')"
"('Q9H8V3', 'P16333')"
"('P04637', 'Q9BZR8')"
"('P02808', 'Q8TAX7')"
"('Q5W0B1', 'Q9P2S5')"
"('O75509', 'O75558')"
"('P36897', 'P49703')"
"('P22612', 'P26678')"
"('Q15853', 'P17483')"
"('Q9NZI7', 'P54727')"
"('P40763', 'Q9HBE4')"
"('O14561', 'O43677')"
"('Q13952', 'P18850')"
"('Q92993', 'O00213')"
"('Q14141', 'Q6PKG0')"
"('Q9BWW9', 'P46108')"
"('Q14738', 'P30154')"
"('P10720', 'P25025')"
"('P38398', 'Q9BXW9')"
"('P51825', 'O60563')"
"('P21580', 'Q86VP1')"
"('Q96N67', 'P61586')"
"('P20963', 'Q13239')"
"('Q13315', 'Q6PJP8')"
"('P67809', 'Q7Z6M2')"
"('Q9NPF5', 'Q99816')"
"('P20827', 'P21802')"
"('P56545', 'Q14919')"
"('Q9UBI6', 'O00459')"
"('Q5UIP0', 'Q15013')"
"('O15047', 'Q9UPS6')"
"('P18848', 'Q96EY7')"
"('O14678', 'Q96BY9')"
"('P62979', 'P62847')"
"('Q99459', 'Q96CW5')"
"('Q6P2Q9', 'O75643')"
"('P53999', 'Q96BK5')"
"('Q9Y243', 'Q02930')"
"('Q02818', 'Q14790')"
"('Q96EV8', 'Q8NFP9')"
"('Q9H2U1', 'Q9Y478')"
"('Q9NRG9', 'Q9BW27')"
"('P12830', 'Q9UM54')"
"('Q06830', 'Q6WCQ1')"
"('Q9UBB9', 'O14964')"
"('Q13263', 'P01106')"
"('Q13573', 'Q13509')"
"('P25963', 'P23396')"
"('P21246', 'Q9H9J2')"
"('O43347', 'Q13310')"
"('P01562', 'P20023')"
"('P18754', 'P62879')"
"('Q9UHD2', 'P11021')"
"('Q13363', 'Q9HCS4')"
"('O15255', 'O60381')"
"('Q96JP2', 'Q13573')"
"('O95166', 'P78334')"
"('P01106', 'Q9HBF4')"
"('Q16531', 'Q9Y4K3')"
"('P42226', 'P24385')"
"('Q9NRG4', 'P30086')"
"('O75832', 'Q15008')"
"('P04181', 'Q9Y4K3')"
"('P08172', 'P62873')"
"('Q969S8', 'P16104')"
"('Q92918', 'P14317')"
"('Q14596', 'P00441')"
"('P01106', 'Q9Y5X1')"
"('P17948', 'P40763')"
"('P53350', 'Q9H8V3')"
"('Q9HBG4', 'O00213')"
"('P21860', 'O43374')"
"('Q9Y6N9', 'Q495M9')"
"('P33992', 'Q99750')"
"('P35626', 'O14581')"
"('P62136', 'Q96QC0')"
"('P00519', 'P31947')"
"('Q01201', 'P13501')"
"('P63279', 'P0DJD0')"
"('Q8N766', 'Q15714')"
"('O60840', 'P06241')"
"('P19532', 'P56192')"
"('P20774', 'P12931')"
"('Q8N1F7', 'Q9Y478')"
"('P35626', 'Q8NGP0')"
"('P53539', 'Q13547')"
"('Q92956', 'O43557')"
"('P15882', 'Q04771')"
"('P78527', 'P19838')"
"('P04183', 'P51805')"
"('P25398', 'P62280')"
"('Q969H6', 'Q00653')"
"('P29597', 'P07948')"
"('P48454', 'Q9UD71')"
"('Q9NX76', 'P61956')"
"('Q96HB5', 'Q15038')"
"('Q13813', 'Q9NYJ8')"
"('Q9NX46', 'Q70Z53')"
"('406952', 'Q12852')"
"('P08581', 'P98077')"
"('P60660', 'P40337')"
"('Q15024', 'Q9Y3B2')"
"('O43318', 'O15264')"
"('P49841', 'Q96BR1')"
"('P01589', 'Q04206')"
"('O14775', 'P63092')"
"('Q92831', 'Q9NWQ8')"
"('Q92963', 'Q5UIP0')"
"('O15524', 'P18146')"
"('84451', 'Q02779')"
"('Q9UBU8', 'P04637')"
"('O94915', 'P31946')"
"('P49459', 'P14373')"
"('P62750', 'P05387')"
"('P14921', 'O95644')"
"('Q9UGJ1', 'P14373')"
"('P49321', 'P60520')"
"('O76039', 'P06241')"
"('Q15910', 'P38398')"
"('P04637', 'Q15796')"
"('Q5TA89', 'P40763')"
"('O75822', 'Q16890')"
"('Q13573', 'Q8WVM7')"
"('P22612', 'Q92793')"
"('Q05516', 'P20248')"
"('P51817', 'Q08462')"
"('P04637', 'O00231')"
"('O60879', 'Q8NHR9')"
"('P15924', 'P41279')"
"('P26441', 'Q99650')"
"('O60477', 'O75365')"
"('Q92831', 'Q9Y6Q9')"
"('P16383', 'O95433')"
"('Q14687', 'P12956')"
"('Q15366', 'Q10570')"
"('P11021', 'Q9HCK5')"
"('O43674', 'Q86Y39')"
"('P51991', 'Q15428')"
"('Q92985', 'Q99836')"
"('O75508', 'P57739')"
"('P49716', 'Q6ZNG1')"
"('O00512', 'Q9BRQ0')"
"('Q5VU43', 'Q96KM6')"
"('Q96A08', 'Q9NPI1')"
"('P20671', 'O95931')"
"('Q9NPF4', 'Q86YV9')"
"('P61586', 'O14578')"
"('P38432', 'Q9UNH7')"
"('Q15172', 'P30154')"
"('P19338', 'P62993')"
"('P08107', 'Q9BXL5')"
"('P29466', 'P42574')"
"('P67775', 'P46695')"
"('Q9Y383', 'O95425')"
"('P01106', 'Q9UGI6')"
"('O75446', 'Q4LE39')"
"('Q96EV8', 'Q8TDH9')"
"('O15379', 'Q05516')"
"('Q9Y5J5', 'O75964')"
"('P51665', 'P35998')"
"('O14593', 'Q9Y5J5')"
"('O60296', 'P78334')"
"('P27348', 'Q8IV61')"
"('Q9UNA4', 'P18887')"
"('Q3ZCM7', 'A6NHL2')"
"('Q9UQF2', 'P45984')"
"('P62829', 'P62913')"
"('P98160', 'O15162')"
"('P06756', 'Q86YW0')"
"('P22612', 'O60840')"
"('P42566', 'O95782')"
"('P78330', 'Q9Y6J8')"
"('P53675', 'P19438')"
"('Q96FV9', 'Q13769')"
"('Q96FA3', 'Q9NWZ3')"
"('Q9Y3C7', 'P11161')"
"('P14209', 'Q9UMX0')"
"('Q16665', 'O43524')"
"('P60174', 'Q9Y234')"
"('O94864', 'Q9H0E3')"
"('P55957', 'P31946')"
"('P27361', 'P01112')"
"('P51587', 'Q8IZU3')"
"('Q7L5N1', 'P07602')"
"('P61927', 'P30050')"
"('Q96Q15', 'Q16537')"
"('Q07820', 'P38646')"
"('Q92569', 'P31751')"
"('P63244', 'Q9NY59')"
"('P26992', 'Q9BQ66')"
"('P04629', 'O43559')"
"('P62979', 'Q29983')"
"('Q96QV6', 'P0C1H6')"
"('P09382', 'P06729')"
"('O60684', 'P55060')"
"('O15357', 'P29353')"
"('P08729', 'Q2TAY7')"
"('P05014', 'P42701')"
"('P01106', 'P08579')"
"('P13987', 'Q16695')"
"('P35609', 'Q13224')"
"('Q9NPB6', 'Q9NWS0')"
"('P61224', 'P61586')"
"('Q9NPH3', 'Q9Y3B3')"
"('P33151', 'O60716')"
"('O14950', 'Q9P2M7')"
"('Q92901', 'P18124')"
"('O14818', 'P25789')"
"('Q5SW96', 'P98164')"
"('Q9H9F9', 'P25490')"
"('P11308', 'Q92769')"
"('P19525', 'P52564')"
"('P01106', 'Q8N1G2')"
"('P55210', 'O15392')"
"('P54727', 'Q96IV0')"
"('P05129', 'Q9NYA1')"
"('P04406', 'Q99759')"
"('P19235', 'P27986')"
"('P05187', 'O43292')"
"('P08047', 'P49279')"
"('Q93079', 'P16104')"
"('Q92900', 'Q09161')"
"('P15924', 'P13647')"
"('P60709', 'P35268')"
"('P41235', 'P02760')"
"('Q15648', 'Q96RN5')"
"('PB_10', 'P40189')"
"('O14640', 'Q9BTU6')"
"('P30085', 'Q15714')"
"('P61160', 'P62993')"
"('Q00005', 'P62258')"
"('Q15435', 'Q9UQK1')"
"('Q7Z6B7', 'O00212')"
"('Q13177', 'Q9Y2X7')"
"('B1A4H9', 'O60674')"
"('P54886', 'P01106')"
"('P16070', 'P36897')"
"('O14602', 'O15372')"
"('P11532', 'P60709')"
"('O15131', 'O95154')"
"('P62993', 'P63010')"
"('O00221', 'P54136')"
"('P35237', 'P12980')"
"('P35442', 'P16671')"
"('P52434', 'Q14164')"
"('Q8WWQ0', 'Q13509')"
"('Q96RT1', 'P84022')"
"('Q16799', 'Q8N612')"
"('P53779', 'Q12968')"
"('P62256', 'Q9H0F5')"
"('P03905', 'Q9UI09')"
"('Q8WVX9', 'Q9Y2Q3')"
"('P05113', 'P24394')"
"('P09038', 'P08069')"
"('P04198', 'P25205')"
"('Q9Y297', 'P42574')"
"('Q8IYB3', 'Q13243')"
"('P08134', 'Q969H4')"
"('P31644', 'O95166')"
"('Q9P2G9', 'P12277')"
"('Q9NYP7', 'P12980')"
"('P78556', 'P51684')"
"('O95071', 'Q04206')"
"('P01241', 'P52333')"
"('Q8NI27', 'Q96FV9')"
"('Q9H7B4', 'Q8WVX9')"
"('Q9H6E5', 'P33240')"
"('Q07817', 'P10415')"
"('O95644', 'Q04206')"
"('P01106', 'Q5T653')"
"('P30511', 'P43632')"
"('Q9HAV4', 'Q9Y5J5')"
"('Q96B97', 'Q8WWN8')"
"('P49674', 'O60716')"
"('P05387', 'P18621')"
"('Q969W1', 'P00519')"
"('Q96KM6', 'P49754')"
"('Q02045', 'P60709')"
"('P30153', 'Q9UET6')"
"('P03973', 'P28799')"
"('Q9NSV4', 'P01106')"
"('Q15427', 'Q8IWX8')"
"('P42858', 'O75376')"
"('Q8WYK2', 'P29692')"
"('Q6P4I2', 'P38936')"
"('P68400', 'Q16695')"
"('Q96EY7', 'P82914')"
"('Q9UK08', 'Q92806')"
"('P54253', 'Q06330')"
"('Q13435', 'Q9UL18')"
"('P14866', 'Q14232')"
"('Q06323', 'O75832')"
"('Q15155', 'Q9NRR5')"
"('Q9BUB7', 'Q8IXK0')"
"('P16619', 'P51681')"
"('P13569', 'P02545')"
"('P09012', 'Q9BQ61')"
"('Q14344', 'O15085')"
"('O95630', 'Q92783')"
"('P78396', 'Q9BWF3')"
"('Q15147', 'P05129')"
"('P62891', 'P61353')"
"('Q96EZ8', 'Q99624')"
"('P62851', 'P39019')"
"('Q9UJU2', 'P49789')"
"('O43303', 'P41208')"
"('P12109', 'P26010')"
"('P23508', 'O15067')"
"('Q14596', 'P62979')"
"('Q04864', 'P05231')"
"('P31749', 'Q09472')"
"('Q9NSA3', 'Q9H3G5')"
"('P38646', 'Q9UKG9')"
"('P51610', 'O00255')"
"('Q15788', 'Q9Y2D5')"
"('Q9GZQ8', 'Q6ZS17')"
"('Q07890', 'P61158')"
"('P07355', 'P60520')"
"('Q92985', 'P52630')"
"('Q99459', 'O14733')"
"('P49747', 'Q13683')"
"('Q86T24', 'O75376')"
"('Q9BUJ2', 'Q13243')"
"('P29459', 'P16871')"
"('Q93079', 'Q93077')"
"('Q15287', 'P84090')"
"('O14965', 'Q9UBN7')"
"('P16619', 'P46094')"
"('P46459', 'Q16827')"
"('P55735', 'P01889')"
"('P68371', 'Q9Y6G9')"
"('Q13501', 'Q8IYT8')"
"('Q02962', 'O75030')"
"('P40189', 'P10275')"
"('Q9H223', 'P61020')"
"('O60762', 'P01106')"
"('P46108', 'Q9ULV8')"
"('P15018', 'Q13261')"
"('P49368', 'Q99759')"
"('Q9Y2T4', 'Q13698')"
"('Q13952', 'P35638')"
"('Q9UBI6', 'Q9H1C0')"
"('O00487', 'P48556')"
"('P50613', 'P24864')"
"('P28702', 'O43791')"
"('P18124', 'P46777')"
"('Q9NV56', 'Q96JC9')"
"('P0CG04', 'P01709')"
"('Q9Y5K5', 'Q9UNM6')"
"('Q09472', 'P42229')"
"('Q9H0E2', 'Q86U70')"
"('P49715', 'P47902')"
"('P08069', 'Q6PIS1')"
"('Q16566', 'P62158')"
"('Q16778', 'Q96DB2')"
"('O14933', 'P41227')"
"('P60520', 'P15170')"
"('P00533', 'P43405')"
"('Q9P2Y5', 'P18433')"
"('P28749', 'Q08999')"
"('Q96B97', 'P16234')"
"('Q96B97', 'Q13490')"
"('P61328', 'P22455')"
"('Q5JVS0', 'P63173')"
"('O60828', 'Q9Y3C7')"
"('P03901', 'O43677')"
"('Q96B33', 'Q8N7P3')"
"('P62993', 'P61158')"
"('P43360', 'Q14203')"
"('Q9UHI6', 'O14893')"
"('P47736', 'O14576')"
"('Q9Y2C9', 'P16671')"
"('Q9BSJ2', 'Q96CW5')"
"('P21246', 'O15031')"
"('P27824', 'Q15388')"
"('Q03468', 'P24928')"
"('Q14164', 'P61966')"
"('P12931', 'Q03135')"
"('Q8WVM7', 'Q02224')"
"('P42345', 'Q13542')"
"('Q15366', 'Q05519')"
"('Q08AG7', 'Q96RT8')"
"('Q13393', 'Q03135')"
"('Q92830', 'Q9UBG7')"
"('Q14197', 'Q13011')"
"('Q14653', 'Q07325')"
"('Q93009', 'Q12816')"
"('Q14164', 'Q03518')"
"('P27540', 'P05305')"
"('Q9H4M9', 'Q9H1K0')"
"('Q96A33', 'P62330')"
"('P56556', 'O95178')"
"('Q9UM73', 'P60709')"
"('Q9P2K8', 'Q15759')"
"('O95475', 'Q08117')"
"('Q969S8', 'Q16778')"
"('Q9HC98', 'O95347')"
"('Q14164', 'P62491')"
"('Q9UNE7', 'Q99558')"
"('O60260', 'Q9Y6K9')"
"('P63104', 'P62081')"
"('P38398', 'P27986')"
"('Q15173', 'Q9Y243')"
"('P11142', 'O60603')"
"('P13631', 'P48443')"
"('P35442', 'P56199')"
"('Q15942', 'P61981')"
"('O14513', 'P55157')"
"('Q9Y4A5', 'Q12962')"
"('P07199', 'P67870')"
"('P52948', 'Q8WUM0')"
"('P55735', 'Q8WUM0')"
"('Q93062', 'Q8NE01')"
"('Q9NVD7', 'O75578')"
"('P46734', 'Q96MM3')"
"('P32121', 'Q8NGZ6')"
"('Q9BQY4', 'Q15038')"
"('Q04206', 'Q99731')"
"('Q9NRR5', 'Q8ND90')"
"('Q99962', 'P50570')"
"('Q9P1Z2', 'Q9UJU2')"
"('Q93009', 'O15479')"
"('Q9NR46', 'P07949')"
"('Q12929', 'Q15154')"
"('Q9NRR5', 'Q9NRV9')"
"('P01562', 'P48551')"
"('O14610', 'Q9H1C0')"
"('Q13263', 'Q13794')"
"('Q9UJW3', 'Q71DI3')"
"('P30480', 'P29692')"
"('Q14289', 'Q15047')"
"('P10275', 'Q6AZZ1')"
"('Q02543', 'P49207')"
"('Q13315', 'P27816')"
"('O95433', 'Q8TD31')"
"('Q14197', 'P82675')"
"('P40189', 'Q06187')"
"('O14508', 'P23458')"
"('P03891', 'O95298')"
"('P50552', 'P63104')"
"('Q9Y230', 'Q96JC9')"
"('O00329', 'P60763')"
"('Q16829', 'P27361')"
"('O75815', 'P12268')"
"('P05388', 'P61513')"
"('P17612', 'Q5MIZ7')"
"('Q9Y2J2', 'Q96ID5')"
"('Q15843', 'Q15393')"
"('P48426', 'Q06187')"
"('Q9GZS3', 'P52435')"
"('Q8N201', 'P16150')"
"('Q9NRH1', 'P22626')"
"('P48444', 'Q9Y5J5')"
"('Q99527', 'P84996')"
"('P01008', 'P00734')"
"('Q14185', 'P60953')"
"('Q05193', 'P62993')"
"('Q07157', 'P56856')"
"('Q9H6Y7', 'P61081')"
"('P55957', 'O14920')"
"('O95563', 'P05386')"
"('Q9HCS7', 'P30876')"
"('P18065', 'Q9C086')"
"('Q9NRI5', 'Q9UPN3')"
"('Q03431', 'P63092')"
"('O75558', 'O60493')"
"('O75688', 'P52735')"
"('Q13748', 'Q01201')"
"('Q15475', 'P61421')"
"('Q14155', 'P22681')"
"('Q04206', 'P17987')"
"('P17600', 'P08670')"
"('P23508', 'P13995')"
"('Q9NNX6', 'Q9H4B4')"
"('P0C0S5', 'Q8N257')"
"('Q9P286', 'Q86YV6')"
"('Q15173', 'Q06432')"
"('P11802', 'P16989')"
"('P49716', 'Q969D9')"
"('Q92731', 'O75586')"
"('Q13555', 'Q14432')"
"('Q8NG27', 'Q8IYI8')"
"('O43741', 'P49815')"
"('Q96BK5', 'Q9Y3B4')"
"('P46108', 'P51813')"
"('O43639', 'Q13177')"
"('P15924', 'O43586')"
"('B1A4H9', 'P42702')"
"('P55854', 'P42694')"
"('Q99759', 'Q9UM73')"
"('Q15843', 'P15374')"
"('Q86WV6', 'O15118')"
"('P30050', 'P83916')"
"('Q9UNX3', 'P62829')"
"('P04843', 'Q5VYV7')"
"('Q07157', 'Q9BX67')"
"('406911', 'Q15306')"
"('P05013', 'P16871')"
"('Q14134', 'P51116')"
"('Q09028', 'Q9UET6')"
"('P41159', 'Q9HC73')"
"('Q8TCW9', 'P17612')"
"('Q96JM3', 'Q9UI95')"
"('Q9NPF4', 'Q96EN9')"
"('Q13885', 'Q13409')"
"('P62807', 'Q6FI13')"
"('P04629', 'O14492')"
"('P31946', 'P62258')"
"('P01024', 'P01031')"
"('Q16829', 'P45984')"
"('P13612', 'P26010')"
"('P56524', 'Q96KG7')"
"('P55735', 'P53992')"
"('P46108', 'Q8IUG5')"
"('Q9NRJ3', 'P32302')"
"('Q9BWF3', 'P55795')"
"('P15018', 'Q9HBE5')"
"('O75396', 'Q13190')"
"('Q16649', 'P35638')"
"('P03372', 'P01178')"
"('P27986', 'P51398')"
"('Q13485', 'Q16625')"
"('Q9Y490', 'O75578')"
"('Q9Y3F4', 'P49841')"
"('P17612', 'Q99819')"
"('P15170', 'Q96CA5')"
"('P19793', 'Q03181')"
"('P62993', 'Q13045')"
"('O60739', 'P62280')"
"('P30273', 'Q8WYR1')"
"('P35754', 'Q14653')"
"('Q8TAP6', 'P22234')"
"('Q16659', 'Q99418')"
"('O15304', 'Q01453')"
"('P04350', 'O43353')"
"('Q9Y2D5', 'P16220')"
"('P20810', 'P00519')"
"('Q16543', 'P04049')"
"('P23458', 'Q99650')"
"('Q9Y316', 'Q9NRI5')"
"('P45984', 'Q8WWQ8')"
"('Q15008', 'P25786')"
"('Q9UNX3', 'P05388')"
"('P78536', 'P10586')"
"('442917', 'Q5VZF2')"
"('P83916', 'Q9Y232')"
"('P21453', 'P28221')"
"('Q13557', 'Q13555')"
"('P28482', 'Q13480')"
"('Q02363', 'P15173')"
"('P58753', 'Q13158')"
"('Q16795', 'O95182')"
"('Q15843', 'Q9NR80')"
"('Q8TAQ2', 'Q99759')"
"('P62993', 'O60884')"
"('Q14683', 'O60508')"
"('P01116', 'O15211')"
"('Q9NV56', 'Q9Y230')"
"('Q9UM73', 'Q15262')"
"('P30556', 'O95837')"
"('P04070', 'P12259')"
"('Q9UKX5', 'P05106')"
"('Q9BQ89', 'P62993')"
"('Q9H1C4', 'Q9Y3E0')"
"('Q96AG4', 'Q9UL18')"
"('Q9BQ66', 'Q8NEC5')"
"('P78527', 'P25963')"
"('P46736', 'Q06609')"
"('P06753', 'P68032')"
"('O60496', 'Q92835')"
"('P0C0S5', 'Q99879')"
"('P02647', 'Q8WTV0')"
"('P48023', 'O95049')"
"('Q99459', 'Q8IWX8')"
"('P04150', 'P20962')"
"('P08754', 'P61073')"
"('P56706', 'Q14332')"
"('Q96KM6', 'Q96TA1')"
"('Q9Y3V2', 'Q16665')"
"('P62333', 'P30480')"
"('O43290', 'P49756')"
"('P05386', 'P62945')"
"('Q9H2B2', 'Q12846')"
"('P18507', 'Q9NQX3')"
"('P17612', 'Q9NZT1')"
"('P01344', 'P22692')"
"('P24043', 'P11047')"
"('Q14194', 'O15169')"
"('P08243', 'O15116')"
"('Q16795', 'O95298')"
"('P59826', 'P42224')"
"('Q9BV38', 'Q9UL18')"
"('Q01094', 'Q99741')"
"('P15311', 'P35240')"
"('P40933', 'P32927')"
"('O14641', 'Q8TAD8')"
"('P05198', 'O15372')"
"('Q96RG2', 'P20700')"
"('Q15528', 'Q96HR3')"
"('Q96SN8', 'Q9UKR5')"
"('Q9NRL2', 'Q13573')"
"('Q86Y56', 'O00264')"
"('O75581', 'P98082')"
"('Q9UBL3', 'Q99880')"
"('Q7Z6M4', 'Q14197')"
"('P01889', 'O95831')"
"('Q9Y2H8', 'P49716')"
"('P54753', 'P20936')"
"('P04637', 'Q9H4X1')"
"('P41250', 'P63104')"
"('P63261', 'Q14164')"
"('P42772', 'Q00987')"
"('O15160', 'Q9Y5J5')"
"('P04637', 'P36873')"
"('Q12873', 'Q9UBB5')"
"('Q13418', 'Q9Y679')"
"('P78536', 'Q99466')"
"('P15056', 'P27361')"
"('P31483', 'Q01085')"
"('Q96AY3', 'Q9BQ83')"
"('P08195', 'P00533')"
"('P13489', 'Q9UJS0')"
"('O60381', 'Q15797')"
"('O76080', 'P0CG48')"
"('P00533', 'P63010')"
"('P14314', 'Q7L5D6')"
"('P54762', 'P98172')"
"('P05388', 'P62987')"
"('Q13315', 'Q96BZ8')"
"('Q92543', 'Q08999')"
"('O43292', 'Q9UL03')"
"('P03928', 'P05496')"
"('P56750', 'O75508')"
"('Q15797', 'P36508')"
"('Q96GM5', 'Q92925')"
"('Q13153', 'P03372')"
"('P15248', 'Q13651')"
"('Q9P2H0', 'Q99689')"
"('Q9UK45', 'Q9UKX3')"
"('Q8NF67', 'Q969T4')"
"('Q9Y4K3', 'P26038')"
"('P49792', 'Q9Y613')"
"('P33992', 'P25205')"
"('P55072', 'Q14191')"
"('Q9NYF0', 'Q9ULK5')"
"('Q92918', 'Q9BXL7')"
"('Q9UK41', 'P05413')"
"('P40225', 'P42702')"
"('Q14684', 'P61421')"
"('Q01081', 'Q08211')"
"('Q9NRR5', 'Q9NR12')"
"('P05412', 'P08047')"
"('P12318', 'P46108')"
"('Q96DG6', 'Q14240')"
"('P01133', 'P14616')"
"('Q6W2J9', 'P42568')"
"('Q07021', '440264')"
"('P17612', 'P68431')"
"('P62993', 'P14618')"
"('P01106', 'Q8N8J7')"
"('P07237', 'Q15654')"
"('P46778', 'P09651')"
"('Q9Y333', 'Q9UK45')"
"('Q99933', 'Q07817')"
"('Q9Y4K3', 'Q01105')"
"('P78556', 'P25024')"
"('P04628', 'O75084')"
"('Q9Y265', 'Q9NV56')"
"('Q9NZJ0', 'Q9BQ67')"
"('P30101', 'P05556')"
"('O00329', 'Q8TCU6')"
"('P05787', 'Q9H0R6')"
"('P19438', 'P78356')"
"('Q8N5D0', 'Q9ULK4')"
"('P01106', 'Q13347')"
"('P04844', 'P01106')"
"('P17643', 'O14908')"
"('O75508', 'O75970')"
"('Q9Y3Q8', 'P04156')"
"('O95049', 'O14493')"
"('Q15428', 'P51991')"
"('P46108', 'O75369')"
"('Q9UJ41', 'Q9UJY4')"
"('P49720', 'P53350')"
"('Q14562', 'Q9Y388')"
"('P00533', 'P38646')"
"('Q92541', 'Q8N7H5')"
"('P53350', 'P49720')"
"('5512', 'P62136')"
"('Q9UJ83', 'Q96E35')"
"('Q13432', 'P04406')"
"('Q5UIP0', 'O14737')"
"('A6NMZ7', 'O75578')"
"('Q93008', 'Q07820')"
"('O00329', 'Q13480')"
"('P18146', 'O00631')"
"('Q9HC77', 'Q96RK0')"
"('Q9P021', 'Q9NRR5')"
"('Q13118', 'P18146')"
"('Q9UBD9', 'Q01344')"
"('Q9P2W3', 'Q8TCU6')"
"('Q05513', 'P02545')"
"('406980', 'Q8WY64')"
"('P08833', 'Q15648')"
"('P22681', 'P27986')"
"('Q9UQB8', 'Q9Y566')"
"('Q15714', 'Q9Y678')"
"('P42773', 'P30279')"
"('Q8NI35', 'Q8N7P3')"
"('O14641', 'Q9UM47')"
"('Q8N1F7', 'Q92621')"
"('Q96QV6', 'Q96DB2')"
"('P48357', 'P67870')"
"('Q13315', 'Q15776')"
"('Q8IYS5', 'P08637')"
"('Q96DG6', 'Q9NRG4')"
