negatives
"('Q9NRY4', 'P41182')"
"('Q12809', 'Q14318')"
"('Q7L7X3', 'P31946')"
"('P07711', 'P13637')"
"('P08648', 'Q14315')"
"('Q13472', 'Q96E14')"
"('P20226', 'O75629')"
"('P78364', 'O95503')"
"('Q96A35', 'O76071')"
"('P00747', 'P63261')"
"('Q99558', 'P07900')"
"('P60709', 'Q07157')"
"('P13569', 'Q13009')"
"('P61073', 'Q16656')"
"('Q15811', 'P53350')"
"('Q13485', 'P50616')"
"('P32320', 'O15131')"
"('P42773', 'Q7L5N1')"
"('P43351', 'P18074')"
"('Q13535', 'Q13435')"
"('P0CG47', 'P52735')"
"('Q15303', 'P42338')"
"('P04150', 'Q99933')"
"('P26006', 'P16144')"
"('P54619', 'P11166')"
"('406902', 'P62913')"
"('Q01094', '406982')"
"('P04637', 'Q8IW41')"
"('Q9NX70', 'P52435')"
"('P36894', 'Q99717')"
"('P17948', 'P35568')"
"('O75326', 'P05556')"
"('P05129', 'Q9BZL6')"
"('P05067', 'P30519')"
"('Q13555', 'P27482')"
"('Q9UIF7', 'P52701')"
"('P62750', 'Q13573')"
"('Q9BZP3', 'P40818')"
"('P62140', 'Q9NZJ5')"
"('Q9HCK4', 'Q12824')"
"('Q6FHJ7', 'Q14332')"
"('Q9H4A3', 'P23368')"
"('O60383', 'Q99547')"
"('Q15283', 'P01116')"
"('P08123', 'Q13797')"
"('P78527', 'P31751')"
"('Q12972', 'Q15047')"
"('P36873', 'Q9UQK1')"
"('P05771', 'Q8IV61')"
"('Q05086', 'P53804')"
"('Q96RG2', 'P04004')"
"('P16591', 'P35222')"
"('Q86V81', 'P67809')"
"('P55084', 'Q13233')"
"('O94762', 'Q06609')"
"('P62136', 'Q9BUA6')"
"('P63220', 'P11171')"
"('P02462', 'P17301')"
"('Q16665', 'P04406')"
"('Q9H0R5', 'Q9NQC3')"
"('Q8IUX4', 'Q13469')"
"('P51970', 'P01106')"
"('O96014', 'O75197')"
"('Q92542', 'O43493')"
"('P18206', 'P61769')"
"('Q05516', 'P40238')"
"('P06239', 'P25445')"
"('Q08945', 'Q6DN03')"
"('P34969', 'P63092')"
"('P51965', 'Q5VTR2')"
"('P49459', 'Q6PD62')"
"('P55196', 'Q15796')"
"('Q92901', 'Q9UNX3')"
"('P49454', 'Q15714')"
"('O75376', 'P06454')"
"('P02538', 'Q15834')"
"('Q14565', 'P27694')"
"('O95402', 'P19388')"
"('P51668', 'Q9BUB5')"
"('P06241', 'P62993')"
"('P98170', 'P60763')"
"('P55345', 'P03372')"
"('Q92879', 'Q9NR56')"
"('Q08211', 'Q04206')"
"('Q7L2J0', 'Q8IY92')"
"('P05112', 'P01023')"
"('P22607', 'P12236')"
"('Q8IU54', 'P26951')"
"('P42224', 'P01019')"
"('Q9Y2U9', 'P31947')"
"('P25025', 'Q5JY77')"
"('P60880', 'Q7Z6L0')"
"('P80188', 'P19838')"
"('O14836', 'Q12933')"
"('P78527', 'P63104')"
"('O14508', 'Q15369')"
"('P35658', 'Q8TEM1')"
"('O95218', 'Q01130')"
"('P40145', 'P17612')"
"('P60033', 'P01889')"
"('Q99417', 'Q86VW0')"
"('Q9Y5V3', 'Q3ZCQ8')"
"('O60739', 'P62854')"
"('Q9BTE0', 'P09104')"
"('Q8N392', 'Q96L33')"
"('P11142', 'Q6WCQ1')"
"('O75815', 'P23526')"
"('Q9UM73', 'Q9UPT6')"
"('P07108', 'Q9UNZ2')"
"('Q9BTT4', 'P53803')"
"('Q7Z699', 'Q9UJ70')"
"('P61604', 'Q6XUX3')"
"('Q9BWD1', 'P63092')"
"('P40198', 'P06702')"
"('P35372', 'P62879')"
"('P27361', 'Q9NQ66')"
"('Q13315', 'Q9UKY1')"
"('P08670', 'P06132')"
"('P63220', 'P62753')"
"('Q16665', 'Q9UHD8')"
"('P63104', 'Q9Y4G8')"
"('Q9UII4', 'Q969T4')"
"('Q9NXR7', 'P38398')"
"('P60709', 'Q13352')"
"('O43251', 'Q15717')"
"('P22105', 'P18564')"
"('Q8WVC0', 'P28328')"
"('Q5UIP0', 'P51159')"
"('P00533', 'P11279')"
"('P41594', 'O60391')"
"('Q99460', 'Q06323')"
"('Q14451', 'P43246')"
"('O60739', 'Q9Y266')"
"('Q9Y4K3', 'P60983')"
"('P62805', 'Q14566')"
"('Q13573', 'O14965')"
"('P62851', 'P62273')"
"('Q9BPX7', 'Q14894')"
"('P16885', 'P16298')"
"('Q15691', 'Q03001')"
"('Q15418', 'P32456')"
"('Q9C035', 'Q13404')"
"('Q96P47', 'Q96HC4')"
"('Q16619', 'Q14626')"
"('O75815', 'P26639')"
"('P62945', 'P62987')"
"('P10826', 'P19793')"
"('Q9Y2X7', 'Q15750')"
"('P27540', 'A9YTQ3')"
"('Q15388', 'P21796')"
"('P43146', 'O95185')"
"('O14920', 'P63261')"
"('Q8TF05', 'Q9NRI5')"
"('P62701', 'P62847')"
"('P62158', 'P25963')"
"('P55010', 'P60228')"
"('Q8NFD5', 'Q8TAQ2')"
"('Q9BRX2', 'Q9Y265')"
"('Q13424', 'P41595')"
"('P04629', 'P42336')"
"('P16402', 'Q86U86')"
"('P09651', 'Q16539')"
"('P41182', 'O15226')"
"('P07384', 'Q9H1Y0')"
"('P06241', 'P16284')"
"('Q9HC35', 'P48736')"
"('O60231', 'Q96KG7')"
"('P31749', 'Q6P1N0')"
"('P49407', 'P61073')"
"('Q9H0M0', 'Q9Y5W3')"
"('P62258', 'Q05639')"
"('P40227', 'Q99759')"
"('Q93077', 'Q99879')"
"('Q07666', 'P06239')"
"('O60814', 'Q86WJ1')"
"('Q86YC2', 'P51587')"
"('Q9BV47', 'Q14683')"
"('Q9Y6M9', 'O43677')"
"('Q8TBE0', 'Q92997')"
"('Q03135', 'P20936')"
"('Q99963', 'Q96GM8')"
"('P05141', 'P01889')"
"('O75530', 'Q09028')"
"('Q9HAW0', 'P40616')"
"('Q8WUI4', 'Q9UKV0')"
"('P11021', 'O95819')"
"('Q13200', 'P01889')"
"('Q01094', 'P40692')"
"('Q96HC4', 'P05771')"
"('P01106', 'Q16540')"
"('Q96BK5', 'P33993')"
"('P61513', 'Q96BK5')"
"('P98170', 'O43464')"
"('P51946', 'Q13889')"
"('Q6P1M3', 'Q9NPB6')"
"('P05771', 'P62993')"
"('O15211', 'P61224')"
"('Q01658', 'Q9NS73')"
"('P28223', 'O60840')"
"('Q9Y2W1', 'P61981')"
"('Q7Z7G1', 'P00533')"
"('Q04864', 'P13501')"
"('Q9BXI2', 'P25205')"
"('P55854', 'P38936')"
"('Q8N1L9', 'Q15038')"
"('P19793', 'Q03181')"
"('Q13573', 'Q9Y265')"
"('O14933', 'Q9UII4')"
"('Q13315', 'Q02818')"
"('O43261', 'P68104')"
"('P56693', 'P40126')"
"('Q6UVK1', 'Q969T4')"
"('Q9BXR5', 'P04637')"
"('Q02779', 'P42858')"
"('P63218', 'P48736')"
"('Q07157', 'P35222')"
"('Q9UL54', 'Q96KG7')"
"('Q14974', 'P84022')"
"('P50395', 'P40337')"
"('P61952', 'Q9UBY5')"
"('Q15648', 'A0JLT2')"
"('Q9P2K6', 'Q9UMX0')"
"('A0JLT2', 'P31689')"
"('P61160', 'Q9Y4K3')"
"('O00217', 'Q16795')"
"('O14964', 'P61106')"
"('P33778', 'Q9BTM1')"
"('P55036', 'P25788')"
"('O15530', 'P00533')"
"('Q9NSB8', 'P27986')"
"('P40337', 'Q15370')"
"('Q9Y4H2', 'P48736')"
"('P16220', 'Q9Y3S1')"
"('Q66LE6', 'Q96Q15')"
"('P38432', 'O60229')"
"('P34995', 'P29992')"
"('P23508', 'Q9UJF2')"
"('Q13188', 'P32456')"
"('P30307', 'P32243')"
"('P36897', 'Q9NPB6')"
"('P12757', 'Q8TE76')"
"('Q9UHD2', 'Q8NHW5')"
"('Q16836', 'Q13233')"
"('P28335', 'P50148')"
"('O60244', 'Q02556')"
"('P27986', 'P16885')"
"('P16150', 'P35222')"
"('P08708', 'P62263')"
"('P20073', 'Q75N90')"
"('P07437', 'O95166')"
"('P63215', 'Q92633')"
"('Q14683', 'Q8IX12')"
"('Q01968', 'Q9H0U4')"
"('P42224', 'P24385')"
"('P19438', 'Q92636')"
"('P01579', 'P31785')"
"('P22314', 'Q9Y5U2')"
"('P13631', 'P62195')"
"('Q9NS23', 'Q96BY2')"
"('Q6UWZ7', 'Q9NWV8')"
"('O95777', 'P78347')"
"('O14576', 'Q9H6R7')"
"('P46379', 'P54259')"
"('P63172', 'Q9BQS6')"
"('Q07889', 'P11233')"
"('P84095', 'P45984')"
"('P11171', 'P31948')"
"('O15069', 'P13805')"
"('Q96RL7', 'P00519')"
"('P48023', 'P06241')"
"('P35626', 'A6NHG9')"
"('Q8NEU8', 'O00213')"
"('Q13535', 'O60568')"
"('406982', 'O43521')"
"('P06493', 'P15927')"
"('Q12974', 'Q15853')"
"('Q9NWA0', 'Q9BUE0')"
"('O14764', 'O60296')"
"('Q14767', 'Q9H2G2')"
"('P0C0S8', 'Q9UQL6')"
"('Q8WWW0', 'P13612')"
"('Q13009', 'P15153')"
"('Q9BTM1', 'Q9Y5B9')"
"('Q9ULQ0', 'Q9Y3A3')"
"('P08238', 'Q99759')"
"('P62841', 'P46783')"
"('O75808', 'Q96PM5')"
"('P14778', 'Q99836')"
"('Q14247', 'P61158')"
"('P35249', 'P63104')"
"('Q9H2X6', 'P61962')"
"('Q9UBL3', 'Q9P0U4')"
"('Q92997', 'Q9Y4D1')"
"('O75937', 'P84103')"
"('O15197', 'P52799')"
"('P28360', 'P21675')"
"('Q8NGK3', 'P38405')"
"('P04049', 'Q9UQM7')"
"('Q68CR1', 'Q13509')"
"('P28482', 'P18564')"
"('Q01970', 'Q8TEW0')"
"('P52630', 'Q92985')"
"('P24593', 'P10451')"
"('Q6IQ49', 'Q8IY92')"
"('Q9H2G2', 'O94856')"
"('Q13435', 'Q8TBK6')"
"('P05771', 'P17302')"
"('Q9H0K1', 'Q00005')"
"('Q07666', 'P20936')"
"('P04350', 'O14920')"
"('Q09472', 'P42229')"
"('Q9UI95', 'O43684')"
"('P46108', 'Q9Y4K4')"
"('P55212', 'Q13077')"
"('P43629', 'Q9UBF6')"
"('P01127', 'P09619')"
"('P56524', 'Q9UKV0')"
"('Q13424', 'P11801')"
"('Q96KM6', 'O00267')"
"('P60866', 'Q15843')"
"('P02452', 'P25067')"
"('P06401', 'P07900')"
"('P52732', 'Q99459')"
"('P0CG48', 'Q9NZ09')"
"('Q92831', 'Q9Y6J9')"
"('P27482', 'Q13555')"
"('P62945', 'P42766')"
"('Q8WYH8', 'Q5EB52')"
"('P30153', 'P54289')"
"('P12109', 'P26006')"
"('Q9H0H5', 'P63010')"
"('Q6SJ96', 'P28324')"
"('P27540', 'P17813')"
"('O00459', 'P01133')"
"('Q4LE39', 'Q9HCU9')"
"('P07948', 'Q9UN19')"
"('P16220', 'P08842')"
"('Q09472', 'P06454')"
"('P19793', 'P42575')"
"('Q9UKT9', 'P09917')"
"('Q14011', 'Q5JVS0')"
"('P08069', 'P03372')"
"('Q9UK22', 'P63208')"
"('P08237', 'P27361')"
"('Q13191', 'P36542')"
"('P25205', 'O43768')"
"('O15265', 'O94864')"
"('Q13107', 'Q53GS9')"
"('P54652', 'P53779')"
"('P51817', 'Q9HAV0')"
"('P63261', 'P18564')"
"('Q9UIK4', 'Q9ULC4')"
"('Q13573', 'P30153')"
"('Q15796', 'Q9BX70')"
"('Q92914', 'P35916')"
"('P02647', 'Q96MS0')"
"('O60762', 'Q15714')"
"('Q13263', 'P83916')"
"('Q8N5C8', 'O15105')"
"('Q13191', 'P78552')"
"('P63261', 'P11171')"
"('Q8WU17', 'Q5VVX9')"
"('Q13976', 'Q10588')"
"('Q01844', 'Q9Y6E0')"
"('Q13952', 'Q9NZM4')"
"('Q9H213', 'O75528')"
"('O00463', 'Q9UP83')"
"('O94906', 'P83876')"
"('Q9BSQ5', 'O00522')"
"('Q13315', 'P49917')"
"('O75400', 'P18206')"
"('Q6WCQ1', 'P63010')"
"('P31946', 'O14974')"
"('P03372', 'Q9UBL3')"
"('P27797', 'P02746')"
"('Q9UQM7', 'Q9UBN1')"
"('P35568', 'Q92569')"
"('P62258', 'P08069')"
"('Q8NEG0', 'P61019')"
"('Q9NVU0', 'P18146')"
"('Q13480', 'P43378')"
"('Q04759', 'Q5JVS0')"
"('P29992', 'Q86XP0')"
"('Q96B33', 'O00501')"
"('O75822', 'P60228')"
"('Q9C0K0', 'Q92769')"
"('O94985', 'P62805')"
"('Q9UGL1', 'P01106')"
"('O76071', 'P20618')"
"('O15264', 'P07197')"
"('Q8WZA2', 'Q9UQ26')"
"('Q5VVX9', 'Q96K19')"
"('P08648', 'P23229')"
"('O75044', 'P52198')"
"('O43464', 'P98170')"
"('Q9Y4K3', 'P19105')"
"('Q13952', 'Q01362')"
"('P17861', 'P35638')"
"('P52597', 'P00439')"
"('P57739', 'O75508')"
"('Q9NQ94', 'O95319')"
"('P26441', 'Q14627')"
"('Q96QC0', 'P62136')"
"('Q99459', 'Q13492')"
"('P20774', 'P10914')"
"('P52907', 'Q00005')"
"('Q8NH64', 'P38405')"
"('O95169', 'Q9Y6M9')"
"('P62253', 'Q9BYM8')"
"('P04439', 'P43629')"
"('O43707', 'P08648')"
"('Q8IV61', 'P10301')"
"('P35544', 'P25398')"
"('P31371', 'P08069')"
"('Q9UBZ9', 'Q9UBT6')"
"('P46782', 'P25398')"
"('O95167', 'P03901')"
"('Q03135', 'P41240')"
"('P17947', 'Q14246')"
"('P01106', 'Q99729')"
"('P46108', 'P45983')"
"('O75663', 'O43318')"
"('Q15906', 'Q96JC9')"
"('Q13490', 'Q15628')"
"('P01106', 'Q8IWK6')"
"('Q9UJ78', 'Q8TAD8')"
"('O95630', 'Q92783')"
"('P62136', 'P61244')"
"('P12956', 'Q13426')"
"('P62714', 'Q9UBS0')"
"('Q9H3Q1', 'P60953')"
"('Q13535', 'P46013')"
"('P07737', 'Q04724')"
"('O15524', 'P48357')"
"('P61224', 'P13612')"
"('P01106', 'P13674')"
"('P62993', 'P36542')"
"('P27708', 'Q00653')"
"('O60269', 'O15162')"
"('P46108', 'Q7L190')"
"('P08107', 'P10809')"
"('O75369', 'O75578')"
"('O14920', 'O95163')"
"('P02452', 'P26010')"
"('Q92886', 'Q15797')"
"('Q9UGN5', 'Q7Z4H7')"
"('P61224', 'P61586')"
"('Q92569', 'P60953')"
"('P14625', 'P08107')"
"('Q09472', 'P11473')"
"('P61073', 'Q86UP2')"
"('P18074', 'P51946')"
"('P10415', 'P17676')"
"('Q15435', 'Q96SB3')"
"('P68104', 'P61604')"
"('P53778', 'P30153')"
"('P54368', 'P11926')"
"('P30542', 'P47900')"
"('O95870', 'Q96KC8')"
"('Q15427', 'Q15428')"
"('P49841', 'P37840')"
"('Q9UK32', 'Q99640')"
"('P28838', 'Q15750')"
"('P12757', 'Q9Y5J3')"
"('P62191', 'P17980')"
"('P04083', 'P05787')"
"('Q9UKY1', 'Q9H0E2')"
"('P40227', 'Q66LE6')"
"('Q14005', 'O60232')"
"('Q03164', 'P42773')"
"('P45984', 'P46109')"
"('P07237', 'Q9UMX0')"
"('Q14CB8', 'P52198')"
"('P09488', 'P62993')"
"('P04278', 'O95295')"
"('Q07021', 'Q9HBU1')"
"('Q15349', 'O43683')"
"('Q16777', 'P0C1H6')"
"('P49642', 'O15027')"
"('P56381', 'P06576')"
"('P62158', 'O95259')"
"('P30101', 'P27797')"
"('Q92542', 'P11279')"
"('Q03468', 'P28715')"
"('Q9P0U4', 'Q6DRA6')"
"('P46777', 'P47914')"
"('Q15669', 'Q12809')"
"('Q14653', 'Q8N2W9')"
"('P12830', 'Q9NYG5')"
"('P17301', 'O43707')"
"('P62324', 'P10828')"
"('O75578', 'P06756')"
"('P30550', 'P50148')"
"('Q9UNH6', 'P62993')"
"('Q9NPB6', 'Q96MX6')"
"('O14544', 'P40763')"
"('Q9UNM6', 'O00233')"
"('Q9UPN9', 'Q969G3')"
"('P98170', 'P15170')"
"('Q9UJF2', 'P01112')"
"('P16401', 'Q8N257')"
"('Q07812', 'Q92934')"
"('Q9NPJ6', 'Q99459')"
"('P46459', 'P08575')"
"('Q9Y6R4', 'O15169')"
"('P05107', 'P46108')"
"('Q13490', 'P63000')"
"('Q9UKK9', 'Q9Y478')"
"('Q93009', 'Q96RT1')"
"('Q13243', 'Q12986')"
"('Q9H0R3', 'O95084')"
"('O95400', 'Q8IUR6')"
"('Q8NCM8', 'P04350')"
"('P28288', 'Q9UBJ2')"
"('P08620', 'P22455')"
"('Q9UKX5', 'P46109')"
"('P00519', 'Q9UMY4')"
"('P25054', 'P03905')"
"('Q9Y572', 'P53355')"
"('Q93009', 'Q2M1K9')"
"('Q969D9', 'P08887')"
"('Q9Y5J5', 'Q99742')"
"('P05113', 'P26951')"
"('P09619', 'Q00722')"
"('P01889', 'Q7KZF4')"
"('P19838', 'P01375')"
"('P52803', 'P20936')"
"('Q03014', 'Q04724')"
"('Q96AP0', 'P78352')"
"('P05388', 'P46776')"
"('Q9UKR5', 'P28328')"
"('Q8N264', 'P21333')"
"('P06241', 'P23469')"
"('P13637', 'Q6P1N9')"
"('P35637', 'Q00839')"
"('Q9NR80', 'Q14397')"
"('Q9Y4K3', 'Q99558')"
"('P62987', 'P62910')"
"('P30480', 'P33993')"
"('P43360', 'P09661')"
"('P63208', 'Q00839')"
"('Q9BRP4', 'O00231')"
"('P26641', 'P39748')"
"('Q8N6C8', 'P43405')"
"('Q92915', 'P29317')"
"('Q92796', 'Q15334')"
"('P63220', 'P62701')"
"('Q15424', 'P04637')"
"('Q92917', 'Q9BQA1')"
"('O75821', 'Q9NZW5')"
"('Q9Y3C7', 'P63146')"
"('Q86TJ2', 'Q16514')"
"('Q96DB2', 'Q8IXH7')"
"('Q15382', 'Q96B36')"
"('O43504', 'Q9BVJ6')"
"('P42262', 'Q05586')"
"('Q8IXM3', 'Q14197')"
"('P63279', 'Q9UKT9')"
"('P21673', 'P51693')"
"('P19174', 'P00519')"
"('P31995', 'P59901')"
"('P45985', 'O15169')"
"('P62906', 'Q07020')"
"('Q99880', 'P20671')"
"('Q8TAD8', 'P61244')"
"('Q14416', 'Q9HAV0')"
"('P62857', 'P35544')"
"('Q5VTR2', 'Q16531')"
"('Q5T3J3', 'P45973')"
"('Q92915', 'P06213')"
"('Q13315', 'Q9H583')"
"('Q9Y6K9', 'Q96EY1')"
"('Q8N6D2', 'P61088')"
"('P00450', 'P02647')"
"('Q9Y4K3', 'Q05639')"
"('P12107', 'P18084')"
"('Q14203', 'P42224')"
"('P46783', 'P54257')"
"('Q92556', 'Q92608')"
"('Q8IY92', 'Q5VYV7')"
"('P41182', 'Q9UBK2')"
"('P12644', 'O95405')"
"('Q05519', 'Q14683')"
"('Q9P258', 'Q9Y4K3')"
"('Q12933', 'Q8WWZ3')"
"('P62877', 'Q96G25')"
"('P61981', 'O95382')"
"('P43235', 'P08123')"
"('O15519', 'O75618')"
"('Q16594', 'Q9UHQ1')"
"('P01241', 'Q14627')"
"('Q9Y490', 'P61978')"
"('P13232', 'Q8N6P7')"
"('P26368', 'P51991')"
"('Q15942', 'P54253')"
"('Q9H0T7', 'P05109')"
"('Q9UPQ4', 'P62837')"
"('Q9Y4D8', 'P63104')"
"('P04908', 'Q8N257')"
"('Q15545', 'P22415')"
"('P08729', 'Q13191')"
"('P32302', 'P09471')"
"('Q00765', 'Q9UI14')"
"('Q15835', 'P46092')"
"('O76002', 'P38405')"
"('O96019', 'Q9HAF1')"
"('Q9Y6N6', 'P26010')"
"('P46821', 'P53355')"
"('P08648', 'P21926')"
"('P62877', 'Q13387')"
"('Q13191', 'Q06124')"
"('P16104', 'Q99880')"
"('P27361', 'O15496')"
"('P51817', 'P16118')"
"('P01889', 'Q9Y277')"
"('P61586', 'P11055')"
"('Q9NVV9', 'Q99459')"
"('Q8NH04', 'P38405')"
"('P10767', 'P22455')"
"('P08172', 'P63218')"
"('Q71U36', 'P25963')"
"('P21675', 'Q93079')"
"('Q13617', 'Q15369')"
"('P26441', 'P48551')"
"('P19883', 'P08476')"
"('P01106', 'P36954')"
"('Q9Y5P6', 'Q96IJ6')"
"('P27361', 'P39877')"
"('P11831', 'P52943')"
"('P63261', 'O95819')"
"('Q93084', 'P13569')"
"('Q96KQ4', 'P04637')"
"('O94761', 'Q14691')"
"('Q9BYG4', 'Q9BYG5')"
"('P08047', 'P01106')"
"('P48551', 'P01568')"
"('Q9BYB0', 'P06241')"
"('P04222', 'O75347')"
"('Q12789', 'Q99612')"
"('Q12873', 'Q9Y2X7')"
"('P49023', 'P06733')"
"('Q68E01', 'P81877')"
"('P16104', 'P24534')"
"('Q13387', 'Q9UKR5')"
"('Q13547', 'Q01101')"
"('Q14697', 'P21796')"
"('P67809', 'P31943')"
"('Q92835', 'P27986')"
"('P01241', 'P15509')"
"('Q07666', 'P26368')"
"('P55795', 'Q14683')"
"('Q13535', 'Q96R06')"
"('Q13164', 'P01106')"
"('P13942', 'Q9HCN6')"
"('P00505', 'P30480')"
"('P13727', 'P15976')"
"('P01229', 'P22888')"
"('Q9H9G7', 'Q8WWY3')"
"('Q09472', 'P12004')"
"('P22301', 'Q8IU57')"
"('P01138', 'Q99523')"
"('P46527', 'O15131')"
"('Q14164', 'O43809')"
"('P29622', 'Q92956')"
"('P54257', 'Q9Y6V7')"
"('P00403', 'P62258')"
"('Q96KQ7', 'Q99684')"
"('P43360', 'Q9Y679')"
"('Q13616', 'Q9UMX0')"
"('O14980', 'O00221')"
"('P00750', 'P05787')"
"('Q13573', 'P39748')"
"('P20618', 'P61421')"
"('Q96AY4', 'O60290')"
"('Q16254', 'O43683')"
"('P49207', 'Q9HAT8')"
"('P54253', 'P61421')"
"('P62701', 'P46782')"
"('P78396', 'Q09472')"
"('P10721', 'P42679')"
"('Q06830', 'P62993')"
"('P13674', 'Q92985')"
"('P31946', 'Q9UQC2')"
"('A6NM45', 'P56746')"
"('Q9UQM7', 'Q01668')"
"('O60711', 'Q16659')"
"('Q9UI14', 'P41220')"
"('Q9Y265', 'Q8NBZ0')"
"('Q13573', 'O76094')"
"('Q9BST9', 'Q9BZR6')"
"('Q15788', 'Q92753')"
"('Q86YW9', 'P28702')"
"('P23025', 'P15927')"
"('P41182', 'P28908')"
"('Q9HC29', 'Q04206')"
"('Q9Y3F4', 'Q9UHI6')"
"('P60763', 'Q05513')"
"('P07288', 'P01857')"
"('P01344', 'P11717')"
"('Q9H3N1', 'Q96JJ7')"
"('P22105', 'Q13683')"
"('Q9UIS9', 'P10276')"
"('P84243', 'P49848')"
"('Q96RU7', 'O60383')"
"('P46779', 'P61077')"
"('O60437', 'P31749')"
"('Q9NRI5', 'Q99784')"
"('P62993', 'Q06124')"
"('Q5VTR2', 'Q92905')"
"('Q9NVD7', 'P13612')"
"('Q8NB16', 'Q13573')"
"('P28222', 'P63211')"
"('P54619', 'Q13085')"
"('Q9BXP8', 'Q6VMQ6')"
"('O00161', 'P54920')"
"('P47898', 'P61952')"
"('Q14011', 'P78330')"
"('P05129', 'Q07157')"
"('P51955', 'P35222')"
"('Q5UIP0', 'O14737')"
"('O43395', 'O75554')"
"('Q13191', 'P12931')"
"('P00519', 'O15117')"
"('P15104', 'P30480')"
"('O60258', 'P08581')"
"('P19174', 'P20810')"
"('O43665', 'P56537')"
"('Q99816', 'O75674')"
"('P17693', 'P53618')"
"('P63279', 'Q9Y4E5')"
"('Q96HU1', 'P42766')"
"('O95299', 'Q16795')"
"('P59998', 'Q86XS8')"
"('Q9NQB0', 'P09874')"
"('P61077', 'Q99942')"
"('Q16891', 'Q9H7E9')"
"('P31947', 'P40818')"
"('P07585', 'P05019')"
"('P34998', 'P09471')"
"('Q9H7E9', 'Q6QNY1')"
"('Q9HCE1', 'Q9UL18')"
"('P11940', 'P15170')"
"('P13861', 'O15131')"
"('P27708', 'O43617')"
"('P83881', 'P62750')"
"('P08865', 'P25398')"
"('Q9UET6', 'P43487')"
"('P62140', '5512')"
"('P17813', 'P18146')"
"('O43676', 'Q86Y39')"
"('O94776', 'Q9BTC8')"
"('P04049', 'Q96S96')"
"('P04439', 'Q99706')"
"('Q9UI08', 'O15117')"
"('O15230', 'P05106')"
"('P15813', 'Q8N423')"
"('P21673', 'Q04724')"
"('Q99873', 'Q9Y5L4')"
"('P51970', 'O95299')"
"('P13631', 'P45984')"
"('O75956', 'Q9NZJ5')"
"('Q7Z6G8', 'P26010')"
"('O14576', 'Q7L7X3')"
"('Q9Y3F4', 'Q9H840')"
"('O15372', 'P60228')"
"('P53992', 'Q99459')"
"('Q9Y2M5', 'Q9Y383')"
"('P17676', 'Q15306')"
"('Q8NGR8', 'P38405')"
"('P48551', 'P42224')"
"('Q13485', 'Q16625')"
"('P68431', 'P00533')"
"('Q9Y375', 'P49411')"
"('P31946', 'Q7L8J4')"
"('P32927', 'Q8WYR1')"
"('Q68CP9', 'P06400')"
"('Q15365', 'Q96EK4')"
"('406881', 'P01116')"
"('P35548', 'P56178')"
"('P08758', 'P13569')"
"('Q9Y2T4', 'P52630')"
"('Q96AX1', 'Q86VX9')"
"('Q9P031', 'Q9HAW0')"
"('Q5VVX9', 'Q86Y13')"
"('O75928', 'Q05516')"
"('Q8N2W9', 'Q14765')"
"('P62993', 'P32239')"
"('Q01094', 'Q8NEM0')"
"('Q8IY92', 'O75190')"
"('P61513', 'P83731')"
"('Q9HAU4', 'Q13017')"
"('Q9H6S3', 'Q13573')"
"('P84022', 'Q14511')"
"('P49768', 'P35221')"
"('Q14289', 'P04626')"
"('P29401', 'Q13501')"
"('P50281', 'O43493')"
"('P15509', 'P29597')"
"('P05060', 'P04183')"
"('Q8IZ13', 'O75530')"
"('P46777', 'P63241')"
"('Q9P0K7', 'Q9Y572')"
"('Q92598', 'P35611')"
"('Q99700', 'P35609')"
"('Q9Y478', 'O95822')"
"('Q9HBI1', 'P26012')"
"('P16871', 'P06753')"
"('Q14155', 'Q15052')"
"('Q9BUV8', 'P52272')"
"('Q8NH69', 'P38405')"
"('P29590', 'Q86WT6')"
"('Q15428', 'P22626')"
"('P05787', 'P52735')"
"('Q14974', 'Q8N2W9')"
"('Q99952', 'O43586')"
"('C9JDP6', 'O15551')"
"('P40926', 'P12004')"
"('Q9Y6X2', 'Q09472')"
"('Q8WUM4', 'P62993')"
"('Q8NAC3', 'Q96PD4')"
"('Q96BK5', 'P47914')"
"('P62993', 'P51787')"
"('P22314', 'P63279')"
"('A8TX70', 'P13612')"
"('P62879', 'Q00975')"
"('Q8IWX8', 'Q8TAD8')"
"('P63218', 'Q08462')"
"('Q9NRF9', 'P61964')"
"('Q9Y4K3', 'P08069')"
"('Q05513', 'P25963')"
"('P20042', 'P43146')"
"('Q9Y6K8', 'Q9Y508')"
"('O60237', 'Q9BUA6')"
"('O60506', 'Q8NFH3')"
"('P06241', 'P06865')"
"('P21554', 'P63218')"
"('P32121', 'Q8NGG4')"
"('P35626', 'Q8NGC1')"
"('Q04721', 'P46109')"
"('Q9H4P4', 'P00533')"
"('P12111', 'P26012')"
"('Q9UL18', 'O00148')"
"('Q5T6C5', 'P07942')"
"('Q9H5V8', 'Q05655')"
"('P23508', 'P48556')"
"('P27348', 'Q13469')"
"('Q93009', 'Q9HC52')"
"('P26640', 'O00141')"
"('P08138', 'P42338')"
"('P21580', 'O43353')"
"('Q16512', 'P04049')"
"('Q92874', 'P06241')"
"('Q99459', 'Q14687')"
"('P11717', 'P01344')"
"('Q15269', 'Q99442')"
"('P23508', 'P51149')"
"('Q12933', 'Q9NRA0')"
"('O75521', 'Q9H1D9')"
"('Q9Y6G9', 'Q9H4B7')"
"('P62854', 'P98175')"
"('P84098', 'P50914')"
"('Q15819', 'Q96ID5')"
