negatives
"('P52756', 'Q9HCE1')"
"('Q92845', 'O43143')"
"('Q9BVA1', 'Q8NCE0')"
"('O15160', 'Q99848')"
"('P23458', 'P37173')"
"('Q05586', 'P03891')"
"('Q96R67', 'Q9P2W3')"
"('Q9UNE7', 'Q9BZS1')"
"('O43597', 'O43610')"
"('Q8NDV3', 'Q9UQE7')"
"('P17844', 'O75400')"
"('Q92830', 'Q8IYH5')"
"('Q00535', 'P16401')"
"('Q8N205', 'Q07866')"
"('P19793', 'P37231')"
"('Q9H161', 'Q92826')"
"('P62081', 'Q9BUQ8')"
"('P05026', 'P28331')"
"('O15230', 'Q13797')"
"('Q13547', 'Q9UJU2')"
"('Q92905', 'P62750')"
"('P06493', 'P08151')"
"('P51668', 'O94888')"
"('P28347', 'P05412')"
"('Q9P0U3', 'P61956')"
"('P68400', 'Q9NQ29')"
"('Q9GZQ8', 'Q9HA65')"
"('Q8N6Y0', 'Q5T124')"
"('P04629', 'P55036')"
"('Q969X5', 'P47985')"
"('Q9BWU1', 'Q8TBZ2')"
"('O75643', 'Q15428')"
"('Q8TAU3', 'Q01850')"
"('P30519', 'Q09028')"
"('Q13480', 'Q07890')"
"('Q6DD88', 'Q99942')"
"('P61073', 'Q15149')"
"('Q15118', 'O95319')"
"('P39748', 'Q9Y295')"
"('P60411', 'Q8NEC5')"
"('Q13618', 'Q8TES7')"
"('Q96IF1', 'P43004')"
"('Q6NUN9', 'P35249')"
"('O95831', 'Q96JM2')"
"('Q13547', 'Q9H6U6')"
"('Q15628', 'P0DP25')"
"('Q06265', 'Q01780')"
"('Q5VV41', 'P61981')"
"('P10275', 'Q8NFH8')"
"('P22694', 'Q8NH60')"
"('P49770', 'Q8WX92')"
"('P09619', 'Q08431')"
"('Q99459', 'P17844')"
"('P48039', 'P09104')"
"('Q92769', 'Q13887')"
"('Q3SY00', 'Q9BUZ4')"
"('P22234', 'Q32P51')"
"('P24941', 'P33981')"
"('P01023', 'P01375')"
"('P05067', 'Q9Y615')"
"('Q4G1C9', 'P62136')"
"('P04632', 'Q7Z6Z7')"
"('Q96EP5', 'P22234')"
"('P21333', 'P07951')"
"('Q9NRD1', 'Q9BT78')"
"('Q9H0U3', 'P61165')"
"('O00507', 'P49674')"
"('O95718', 'Q71UM5')"
"('Q16629', 'Q9Y383')"
"('O76013', 'Q9NX58')"
"('Q01105', 'P22392')"
"('Q9P2P5', 'Q14258')"
"('P31689', 'O14949')"
"('P29460', 'Q13261')"
"('Q10713', 'Q4J6C6')"
"('Q71U36', 'P50990')"
"('P14316', 'P19838')"
"('Q9UNX3', 'P62899')"
"('P25440', 'Q13761')"
"('P51825', 'P50750')"
"('Q01469', 'Q96ER9')"
"('P63104', 'P16403')"
"('O94826', 'P51617')"
"('Q99689', 'O14530')"
"('P19438', 'Q12931')"
"('P04629', 'P43686')"
"('P35244', 'Q96EP5')"
"('Q99814', 'Q96EB6')"
"('Q96RI1', 'Q9UBN7')"
"('P51784', 'Q7Z628')"
"('Q13541', 'Q9Y6B2')"
"('O95433', 'Q7Z2W4')"
"('Q14164', 'Q9UBT2')"
"('P15036', 'Q9P2X3')"
"('P11217', 'Q9UKS6')"
"('Q96QF0', 'Q6ZRR9')"
"('P49419', 'P11413')"
"('P26885', 'P62942')"
"('Q8IYT4', 'Q13748')"
"('Q16891', 'Q14103')"
"('O43567', 'O00182')"
"('P05067', 'Q07954')"
"('P19623', 'P52789')"
"('P28482', 'P07339')"
"('P15880', 'Q96L21')"
"('Q9UHR5', 'Q9HCE1')"
"('Q9NS73', 'P17980')"
"('Q07866', 'O60296')"
"('Q9UBI6', 'Q8TCU6')"
"('P17676', 'Q09472')"
"('P00441', 'Q8N9N2')"
"('O15516', 'Q9C0J9')"
"('O43823', 'Q7Z589')"
"('O94953', 'P55769')"
"('P48730', 'P48729')"
"('P01308', 'P98164')"
"('Q8IXK0', 'Q5RGS3')"
"('Q9Y5M8', 'Q9P0N5')"
"('Q8N6T7', 'P15924')"
"('P49720', 'Q9Y2T2')"
"('P16234', 'Q07890')"
"('P68431', 'O00268')"
"('P26006', 'P16144')"
"('Q07325', 'P51685')"
"('Q6W2J9', 'Q13303')"
"('P01100', 'P11473')"
"('Q14011', 'Q9BS40')"
"('Q01968', 'O00461')"
"('Q8TAQ5', 'P42771')"
"('P29033', 'P08571')"
"('Q12974', 'Q15165')"
"('P27986', 'Q9ULW0')"
"('Q9UPW6', 'Q6ZQN5')"
"('Q9H492', 'O75494')"
"('Q8IYH5', 'Q08379')"
"('Q14258', 'Q16763')"
"('P33151', 'O60716')"
"('P35244', 'O43809')"
"('P54253', 'Q9Y2K5')"
"('Q8N726', 'Q66K89')"
"('Q9NTM9', 'P50222')"
"('A8MVU1', 'Q9C026')"
"('P04183', 'P26373')"
"('P27797', 'Q8IVT5')"
"('P62913', 'P62854')"
"('Q96K12', 'P40855')"
"('P06576', 'O14746')"
"('Q15555', 'Q96GD4')"
"('Q13547', 'Q14978')"
"('Q9H2C0', 'Q03252')"
"('P31260', 'Q12778')"
"('Q07666', 'Q13546')"
"('Q92765', 'Q9NRX1')"
"('Q9BZH6', 'Q3SY69')"
"('O60341', 'O15060')"
"('P82650', 'P51858')"
"('Q9NRD1', 'Q92974')"
"('P35869', 'P48552')"
"('Q13485', 'Q16665')"
"('Q15637', 'Q14011')"
"('Q9P2G9', 'O95149')"
"('P61247', 'Q96HE9')"
"('P15884', 'O43741')"
"('P51398', 'Q93038')"
"('P09651', 'P49750')"
"('P23508', 'P43246')"
"('Q02556', 'Q92905')"
"('Q13137', 'Q8IYF1')"
"('Q96PZ0', 'Q04637')"
"('O75665', 'Q49A88')"
"('P51512', 'P08123')"
"('Q9UBG0', 'P17931')"
"('P23284', 'P13929')"
"('Q15418', 'Q16719')"
"('Q14145', 'Q86UX7')"
"('Q15366', 'Q15717')"
"('P20248', 'Q9NR09')"
"('O94868', 'Q96QZ7')"
"('Q5TYX0', 'Q5VWM5')"
"('P04626', 'P52333')"
"('Q9NNW5', 'Q8IVT5')"
"('Q92731', 'Q9P2M7')"
"('P14635', 'P53350')"
"('Q9Y5Y9', 'P02545')"
"('Q96BA8', 'Q969S0')"
"('Q86V48', 'Q15392')"
"('P12956', 'P68400')"
"('P16520', 'P63211')"
"('Q9NRD1', 'P14625')"
"('Q8WWB5', 'Q9Y2K1')"
"('Q15637', 'O60861')"
"('Q9P032', 'Q9BU61')"
"('P35908', 'P38919')"
"('Q96L91', 'P17480')"
"('P61952', 'Q00722')"
"('P52756', 'P14866')"
"('P63279', 'P82979')"
"('P62136', 'Q13309')"
"('Q06210', 'P01106')"
"('Q9Y5Q8', 'Q99459')"
"('P27694', 'Q14008')"
"('P62136', 'Q9H467')"
"('Q86Y82', 'Q9Y6E2')"
"('Q16795', 'P22695')"
"('Q8TEQ6', 'Q9NWZ8')"
"('Q9NR46', 'Q96B97')"
"('Q13418', 'Q16531')"
"('P07900', 'Q9Y297')"
"('O43504', 'Q92610')"
"('Q8N4U5', 'Q6PEY2')"
"('Q6A163', 'O43790')"
"('P04626', 'Q13480')"
"('Q9NXJ5', 'P68871')"
"('P17612', 'Q8TAE6')"
"('Q13509', 'Q9H765')"
"('Q9UPP1', 'P30304')"
"('P04629', 'Q04726')"
"('Q3MHD2', 'Q96GG9')"
"('Q8IV20', 'P02545')"
"('P09917', 'P62993')"
"('Q99459', 'P35250')"
"('P28072', 'P49736')"
"('P04629', 'Q16891')"
"('P39748', 'Q9BZS1')"
"('Q9UDY2', 'Q9NRC8')"
"('P19474', 'O95758')"
"('Q9Y230', 'P68104')"
"('P11831', 'P23511')"
"('P52565', 'P12004')"
"('A0JLT2', 'Q96HR3')"
"('Q9Y297', 'P48729')"
"('Q9Y4P3', 'O95182')"
"('Q92905', 'O75694')"
"('Q9UHK0', 'P43304')"
"('Q9UL63', 'Q8TBY8')"
"('Q14289', 'O43150')"
"('P35398', 'Q9BZS1')"
"('O60733', 'Q8N1F7')"
"('Q14197', 'O60783')"
"('Q8NEA9', 'A6NGK3')"
"('P38159', 'Q9NRC8')"
"('Q9HC29', 'Q9Y2Z0')"
"('Q00534', 'P18146')"
"('Q00987', 'O14818')"
"('Q9H8Y8', 'Q16555')"
"('P53007', 'Q9UQL6')"
"('P62826', 'Q5TAQ9')"
"('O14974', 'P26368')"
"('P50053', 'Q9H6Z4')"
"('Q99459', 'P52597')"
"('Q96GN5', 'Q9Y228')"
"('Q13315', 'Q99708')"
"('Q14999', 'P84098')"
"('Q9NZ63', 'Q9UGP4')"
"('O43251', 'Q6ZRY4')"
"('P05067', 'Q9NP79')"
"('P14780', 'P10124')"
"('O95155', 'P55072')"
"('Q9NSV4', 'P49450')"
"('P12755', 'Q9Y2H1')"
"('P04637', 'Q99547')"
"('Q7Z5P4', 'Q9H1Z9')"
"('Q96ST3', 'Q9NVW2')"
"('Q96CV9', 'Q9HA65')"
"('Q14258', 'P61077')"
"('P12882', 'Q9NZC7')"
"('P12268', 'Q96SW2')"
"('P16104', 'Q12931')"
"('Q9H8Y8', 'Q8TC92')"
"('P48741', 'P49736')"
"('Q15717', 'Q9H2J4')"
"('Q86WV6', 'Q504Q3')"
"('Q9BUA3', 'P00533')"
"('P01106', 'Q12894')"
"('P19878', 'P08253')"
"('Q96B02', 'P98170')"
"('P86479', 'Q9NVV9')"
"('O00165', 'Q15714')"
"('Q96F85', 'O75594')"
"('Q13573', 'P11142')"
"('Q06323', 'Q6PGN9')"
"('Q93009', 'Q12933')"
"('P61088', 'P54725')"
"('O00483', 'P03915')"
"('Q13490', 'P46695')"
"('Q13561', 'P00533')"
"('O14744', 'P61964')"
"('P60660', 'P19320')"
"('P54646', 'P31321')"
"('P54646', 'Q9UGJ0')"
"('P45983', 'Q8N726')"
"('Q9Y2Q9', 'Q9Y6G3')"
"('O95503', 'Q9Y4W2')"
"('O75095', 'O00555')"
"('P43487', 'Q8IV20')"
"('Q8TCE6', 'Q8IYW5')"
"('P61326', 'P46821')"
"('O95295', 'P63104')"
"('Q15011', 'Q9NPF7')"
"('Q96QD9', 'P12931')"
"('P19320', 'Q14315')"
"('P46778', 'P62910')"
"('Q06455', 'O75376')"
"('Q14204', 'Q02952')"
"('P36542', 'Q8IVT5')"
"('Q13242', 'Q9BYN8')"
"('Q16520', 'Q9HD26')"
"('P22626', 'P04792')"
"('Q14966', 'P19012')"
"('P13010', 'Q6NT76')"
"('Q96G23', 'Q9BW60')"
"('Q96T58', 'P53350')"
"('P01106', 'Q969X2')"
"('Q13617', 'Q93034')"
"('P55196', 'P25791')"
"('Q9P0P8', 'O43847')"
"('P06576', 'P13612')"
"('P11021', 'P19438')"
"('Q96S96', 'P04049')"
"('Q9NPL8', 'Q96CS3')"
"('P02452', 'P18564')"
"('P78382', 'Q9BXK5')"
"('Q9ULR0', 'Q13595')"
"('Q14152', 'Q5U5Q3')"
"('Q99816', 'Q9Y337')"
"('Q9BSJ2', 'P43115')"
"('P27105', 'Q9UHB6')"
"('P22415', 'P15923')"
"('O75554', 'O60610')"
"('Q9H1D0', 'Q6A162')"
"('A1L0T0', 'Q13492')"
"('P27635', 'P46778')"
"('Q58DX5', 'Q15842')"
"('Q99417', 'Q9UHL4')"
"('P62873', 'Q15759')"
"('P05067', 'O75143')"
"('Q2TBE0', 'Q9BRK4')"
"('Q15233', 'Q5JVS0')"
"('Q13485', 'Q13838')"
"('Q5TC82', 'Q9NQ29')"
"('P50591', 'Q8IZL8')"
"('A1E959', 'Q96HZ7')"
"('O43609', 'Q5TA81')"
"('P53778', 'P01100')"
"('Q9H9B4', 'Q13619')"
"('O00294', 'P62993')"
"('Q96CN9', 'P98170')"
"('P19174', 'P10721')"
"('Q05655', 'O14641')"
"('Q15018', 'Q7L5N1')"
"('Q07955', 'O14776')"
"('Q99853', 'Q29RF7')"
"('P15056', 'P46940')"
"('Q969M7', 'Q969K3')"
"('P35030', 'P07602')"
"('P46777', 'Q8TDN6')"
"('P31150', 'Q8IWB7')"
"('Q9UM11', 'Q9Y297')"
"('P52895', 'Q6P2D0')"
"('P61224', 'Q9BRK5')"
"('P04899', 'Q13433')"
"('Q8WXH6', 'Q7L5N1')"
"('Q9H063', 'Q9NW08')"
"('O95684', 'P50570')"
"('Q96JB6', 'Q99611')"
"('P26022', 'Q14624')"
"('Q9BZV1', 'P49257')"
"('Q6PII3', 'Q6P597')"
"('O95450', 'Q5QGZ9')"
"('Q7Z3S9', 'O60573')"
"('P13797', 'P30466')"
"('P24534', 'P68104')"
"('Q13535', 'O15287')"
"('Q7L2J0', 'O60583')"
"('Q96GX1', 'Q9NVV0')"
"('P05067', 'Q9NVP1')"
"('P0DML3', 'Q01113')"
"('Q6UW68', 'P30519')"
"('Q9H788', 'Q96D09')"
"('Q9HCK5', 'P61353')"
"('P62917', 'P04629')"
"('Q9P266', 'Q9NRM7')"
"('Q13315', 'Q9HAW4')"
"('P41134', 'Q99543')"
"('Q5H9J7', 'Q08AF8')"
"('Q14112', 'P02452')"
"('Q01844', 'Q13620')"
"('O60258', 'P10721')"
"('Q9NZI8', 'P16989')"
"('P15311', 'Q9NWX5')"
"('P62995', 'Q9UJV9')"
"('P35244', 'O00159')"
"('Q5VTD9', 'Q96HC4')"
"('O94776', 'Q8TDI0')"
"('Q96PY6', 'Q38SD2')"
"('Q92817', 'Q9NRR4')"
"('Q5JSL3', 'Q07890')"
"('P38117', 'P63172')"
"('Q9H0A8', 'O14972')"
"('Q6P087', 'Q6UX06')"
"('Q92560', 'Q13330')"
"('P19838', 'Q9P000')"
"('Q02978', 'Q9Y277')"
"('P00533', 'P41222')"
"('P34947', 'P41597')"
"('Q92841', 'P31942')"
"('O00442', 'Q9Y3U8')"
"('Q8NEY8', 'Q2TAC2')"
"('P54257', 'O60502')"
"('Q7Z7A1', 'P50570')"
"('Q92754', 'P12956')"
"('Q01130', 'P14598')"
"('O75044', 'O43166')"
"('Q01105', 'P49711')"
"('O15354', 'P78371')"
"('O95782', 'Q15149')"
"('Q13418', 'Q14517')"
"('Q96HR8', 'P62942')"
"('Q01844', 'P78347')"
"('Q04206', 'P62263')"
"('Q96A35', 'P62269')"
"('P08648', 'Q9Y4G6')"
"('P63241', 'Q9BU89')"
"('P57105', 'P05067')"
"('Q9HB75', 'P40937')"
"('Q13363', 'Q96AV8')"
"('O00154', 'Q6PKH6')"
"('P17612', 'P36955')"
"('P05091', 'Q9Y6E7')"
"('P78358', 'A1L4K1')"
"('Q676U5', 'Q9NT62')"
"('O00358', 'P40426')"
"('Q9GZR7', 'O60341')"
"('Q99759', 'Q6WCQ1')"
"('P62241', 'Q9UBS0')"
"('P61326', 'Q9UJV9')"
"('Q9NTZ6', 'Q13126')"
"('P04629', 'Q9H1I8')"
"('Q02447', 'P58397')"
"('Q9Y316', 'Q6NT76')"
"('Q92620', 'Q14103')"
"('Q9H040', 'O60884')"
"('Q8N490', 'O75496')"
"('Q99962', 'P84090')"
"('P67775', 'Q14738')"
"('P04629', 'P51610')"
"('Q8TAF3', 'O00193')"
"('P02745', 'Q9UHD9')"
"('Q9HBM0', 'Q86X19')"
"('Q9UGU0', 'Q13547')"
"('Q14999', 'P62820')"
"('P10828', 'Q6P2C8')"
"('P12109', 'P08648')"
"('Q13574', 'Q9HC52')"
"('Q99569', 'Q9BRK4')"
"('P00338', 'Q99496')"
"('Q86XF0', 'P08185')"
"('O75037', 'Q96I24')"
"('Q53F19', 'O75152')"
"('O60341', 'Q9UGK8')"
"('P49815', 'O75592')"
"('Q9P035', 'Q96FV3')"
"('Q96DN6', 'P0C7T5')"
"('O14544', 'P23458')"
"('Q969F2', 'Q9NYG5')"
"('Q9P2S5', 'Q93084')"
"('P57678', 'Q96T60')"
"('P35226', 'Q7KZ85')"
"('Q8TF74', 'Q9BWU0')"
"('O94953', 'Q6NXT2')"
"('Q9P0N5', 'O94901')"
"('Q16659', 'P54709')"
"('O43427', 'Q12767')"
"('Q07889', 'P38936')"
"('P27707', 'P04629')"
"('Q12906', 'Q9BY44')"
"('P06454', 'P19338')"
"('Q07157', 'P15151')"
"('P15311', 'Q92598')"
"('Q6P1J9', 'P54257')"
"('Q658Y4', 'P04629')"
"('Q8WUI4', 'Q16665')"
"('Q13310', 'Q15910')"
"('O15371', 'P62269')"
"('Q9NQC3', 'P22695')"
"('P22612', 'Q99941')"
"('Q9H5I1', 'O43776')"
"('Q86V81', 'P62910')"
"('P57740', 'Q9BTX1')"
"('P39023', 'P24941')"
"('P24941', 'P46013')"
"('Q15435', 'P68543')"
"('Q9BWG4', 'P61968')"
"('Q96L50', 'Q9H9Q2')"
"('Q9Y375', 'Q86VR2')"
"('O95400', 'P26368')"
"('Q92769', 'Q7Z3K6')"
"('Q9UQM7', 'P51828')"
"('Q9NR12', 'Q9UL33')"
"('Q9UBU9', 'Q9NS86')"
"('P31749', 'Q99623')"
"('Q92870', 'Q9H2C0')"
"('P04040', 'Q15067')"
"('P05067', 'Q14344')"
"('Q92841', 'Q9Y6Y0')"
"('Q92785', 'P35226')"
"('O95793', 'P43243')"
"('Q0WX57', 'Q9BZK3')"
"('Q5VZ89', 'Q9Y3M8')"
"('P35228', 'P00352')"
"('O95292', 'Q13190')"
"('Q13469', 'Q9UJU2')"
"('Q13153', 'Q99592')"
"('Q6ZW49', 'Q12888')"
"('Q9NR12', 'P21333')"
"('Q06323', 'Q96NL6')"
"('Q12931', 'Q8TDR0')"
"('Q9UBU9', 'Q9BZI7')"
"('Q9UL51', 'P55157')"
"('P15311', 'P09104')"
"('Q9HCI5', 'Q13424')"
"('Q8N3F8', 'Q9Y597')"
"('A6NEM1', 'P04264')"
"('Q6ZN18', 'P16403')"
"('Q13315', 'P13591')"
"('Q9NY25', 'P55061')"
"('Q15303', 'P62979')"
"('Q9UPX8', 'Q86YM7')"
"('Q96G46', 'Q16543')"
"('O75391', 'O95870')"
"('Q99814', 'Q9BWF3')"
"('P67936', 'O00400')"
"('Q5T9A4', 'Q9Y375')"
"('Q9P0V3', 'P01106')"
"('P62280', 'O75530')"
"('Q7Z7A1', 'Q9Y6R4')"
"('Q5T9A4', 'P08574')"
"('P52209', 'P35241')"
"('P28072', 'P60900')"
"('P62879', 'P04049')"
"('P55010', 'P43034')"
"('Q9Y4E8', 'P40818')"
"('Q9H492', 'Q16512')"
"('P37231', 'Q9UIH9')"
"('Q9H944', 'Q16769')"
"('P0C5Y9', 'P62807')"
"('O75592', 'Q96BD8')"
"('P35240', 'P11387')"
"('O00555', 'Q15334')"
"('Q9H0A0', 'Q96FW1')"
"('Q13315', 'P53350')"
"('Q9Y2Q3', 'Q9H9B4')"
"('P23760', 'Q969S8')"
"('Q2NL82', 'O95819')"
"('Q9UGM1', 'O14757')"
"('P41208', 'Q9H0E7')"
"('P55769', 'Q6P2Q9')"
"('O95104', 'Q15274')"
"('Q9NZJ0', 'Q15170')"
"('P46531', 'P25205')"
"('O75344', 'Q13123')"
"('Q13526', 'Q92734')"
"('P05129', 'P62879')"
"('P15407', 'P54253')"
"('Q99750', 'Q96IQ9')"
"('Q9H0R8', 'P04264')"
"('Q9NPH0', 'Q15404')"
"('P40337', 'Q8TAX0')"
"('Q9UBE8', 'Q9H4I2')"
"('P01579', 'Q08334')"
"('P49815', 'Q8TBB1')"
"('Q6UN15', 'Q96LA8')"
"('Q53TS8', 'O76064')"
"('P26196', 'O94972')"
"('Q6UN15', 'Q9C0J8')"
"('Q9UBV8', 'Q53G59')"
"('Q96EQ0', 'Q9Y6R4')"
"('Q14160', 'Q71U36')"
"('Q9Y277', 'Q9H845')"
"('Q92542', 'Q9UNF1')"
"('Q8WY64', 'Q8N448')"
"('Q13643', 'Q92858')"
"('Q9H4W6', 'O00255')"
"('O00141', 'P50395')"
"('Q5THR3', 'Q96ST3')"
"('P01024', 'P40337')"
"('Q86U42', 'P26368')"
"('P55084', 'Q16637')"
"('Q8N9R8', 'P45973')"
"('Q13148', 'O15042')"
"('P07384', 'Q14103')"
"('Q7L2J0', 'P46060')"
"('Q13131', 'P49736')"
"('P24043', 'P11047')"
"('Q96CS2', 'O15078')"
"('P01569', 'Q99650')"
"('O43808', 'Q12906')"
"('Q96B97', 'Q16629')"
"('P41218', 'Q14257')"
"('P38919', 'P0CG39')"
"('P62330', 'O00442')"
"('Q9NNW5', 'P31483')"
"('P55072', 'Q6P996')"
"('Q96EV8', 'Q8IZT6')"
"('P54132', 'Q10586')"
"('Q9H9E1', 'Q9UKV0')"
"('P16284', 'Q02763')"
"('Q6ZU52', 'O60504')"
"('P49759', 'P04424')"
"('P37173', 'P22681')"
"('P61011', 'P57678')"
"('Q99816', 'Q8N5I2')"
"('Q92625', 'Q9ULA0')"
"('Q06330', 'Q9UBB5')"
"('Q9NYY1', 'Q99062')"
"('P49736', 'O00303')"
"('P68366', 'O75147')"
"('Q86YM7', 'Q0VDD7')"
"('P03372', 'Q96T76')"
"('Q14197', 'P23368')"
"('Q14691', 'Q9UNS1')"
"('P36508', 'Q8TF50')"
"('P62877', 'Q9BYU1')"
"('Q8WV44', 'Q9BWF2')"
"('P16284', 'P05106')"
"('Q92552', 'Q96KC8')"
"('P00533', 'Q9BXS5')"
"('Q96QZ7', 'P12830')"
"('Q9UHB6', 'Q9NUI1')"
"('P07942', 'P16070')"
"('P12956', 'O75534')"
"('P13533', 'Q68D10')"
"('Q9UID3', 'Q9NYV4')"
"('P28066', 'P53350')"
"('O00757', 'P09467')"
"('Q9UNE7', 'O00206')"
"('Q15797', 'Q13465')"
"('Q5TCZ1', 'P55196')"
"('P01308', 'P10721')"
"('P02745', 'Q6Q0C1')"
"('P60331', 'Q92608')"
"('Q14088', 'Q96JN2')"
"('O14980', 'Q9P2S5')"
"('P19793', 'P02792')"
"('P22415', 'Q01844')"
"('P07900', 'Q16620')"
"('Q9UJV3', 'Q9UBU9')"
"('Q15717', 'Q8N488')"
"('O75190', 'P43243')"
"('Q96SB3', 'O15169')"
"('Q8NFA0', 'Q13107')"
"('Q99459', 'P08237')"
"('Q13185', 'P21506')"
"('P01100', 'P24385')"
"('P49450', 'Q08945')"
"('Q9NVK5', 'Q86V81')"
"('Q99728', 'Q13595')"
"('Q14790', 'P14316')"
"('P12956', 'Q9NYL9')"
"('P01920', 'P01909')"
"('O95990', 'P19012')"
"('Q9NZS9', 'P61077')"
"('Q86X55', 'Q14814')"
"('Q96EH3', 'Q58EX7')"
"('Q86T82', 'O15164')"
"('Q13427', 'Q12800')"
"('Q9Y3D0', 'Q9H6Q4')"
"('O75937', 'Q9Y237')"
"('P50570', 'P04629')"
"('P60520', 'P00492')"
"('Q13636', 'Q12906')"
"('Q9NY93', 'Q96EL2')"
"('P13236', 'P51685')"
"('P16234', 'P40763')"
"('O14925', 'Q96CS3')"
"('Q9NYN1', 'P05067')"
"('Q96M32', 'Q92917')"
"('O00232', 'O00231')"
"('O95613', 'Q9H0W5')"
"('O43513', 'Q9BQY4')"
"('P49321', 'Q6NXT2')"
"('Q6EEV4', 'Q9NQG5')"
"('Q8IUZ5', 'O60763')"
"('A8MQ03', 'Q9Y5W5')"
"('Q16181', 'Q5BKZ1')"
"('P51124', 'Q6NX45')"
"('P05783', 'Q07889')"
"('Q9UQ80', 'P13612')"
"('O43829', 'Q5T7W7')"
"('Q9NPA0', 'Q6NUS6')"
"('P59665', 'P02746')"
"('Q15366', 'P49736')"
"('O95166', 'P61353')"
"('P42858', 'Q9BVL2')"
"('Q13435', 'Q9Y580')"
"('P13533', 'P07951')"
"('Q9Y4L1', 'Q9UBU9')"
"('P62854', 'P62888')"
"('P19174', 'Q9UN19')"
"('O94761', 'P39748')"
"('Q13618', 'P05023')"
"('P17252', 'Q9UBS0')"
"('Q9UBU8', 'Q52LR7')"
"('P21860', 'P30483')"
"('Q16629', 'P52597')"
"('A6NCN2', 'Q15051')"
"('Q7Z6A9', 'P01871')"
"('O00429', 'Q6P1M3')"
"('P54709', 'Q4LDR2')"
"('Q8WZ42', 'Q6H8Q1')"
"('Q09028', 'P04183')"
"('P06493', 'Q9NQS7')"
"('P12270', 'Q15019')"
"('O95180', 'Q9Y2W7')"
"('Q9BXL6', 'Q13404')"
"('P62258', 'Q8NDM7')"
"('P78362', 'P04075')"
"('P55085', 'P13726')"
"('Q13099', 'Q96SB8')"
"('Q96EG1', 'P78362')"
"('Q6QNY1', 'Q969Y2')"
"('Q9Y275', 'Q9UJC3')"
"('P62877', 'Q14999')"
"('Q8WWI1', 'Q9Y3M2')"
"('P61218', 'P05067')"
"('Q04323', 'Q9NSB8')"
"('P82650', 'Q9UKV8')"
"('O14498', 'Q3ZCM7')"
"('Q9BT49', 'Q9NR48')"
"('Q9NX62', 'Q15165')"
"('O95639', 'Q92793')"
"('Q96GG9', 'P07437')"
"('Q96FF9', 'P30260')"
"('Q8NHL6', 'P12314')"
"('Q9P0J1', 'P50222')"
"('Q96MN5', 'Q9NRD5')"
"('O43933', 'Q7Z412')"
"('Q5H9L2', 'P10644')"
"('Q86VP1', 'Q9Y4B4')"
"('P31150', 'Q96D46')"
"('P05067', 'Q9NTI7')"
"('P11586', 'O95573')"
"('Q8TCB7', 'Q96HC4')"
"('Q9UM73', 'Q9P0L2')"
"('P62333', 'P68104')"
"('P60033', 'P13164')"
"('Q5T4S7', 'Q9P0J7')"
"('Q15022', 'Q14839')"
"('P36508', 'Q15717')"
"('P61956', 'Q92560')"
"('Q659A1', 'P07949')"
"('P43686', 'P06748')"
"('Q13263', 'Q9BXL8')"
"('Q9NPJ6', 'Q9Y5B0')"
"('Q13021', 'Q8IX19')"
"('Q8IUH5', 'Q93079')"
"('P13747', 'P51805')"
"('P57105', 'P08174')"
"('P50579', 'Q5JWF2')"
"('P31749', 'Q9NR80')"
"('P21964', 'Q15738')"
"('P54278', 'Q9NPB6')"
"('Q9NWA0', 'Q9UM73')"
"('Q93052', 'Q8TAT6')"
"('O76001', 'O60262')"
"('Q9NWV8', 'Q99497')"
"('O15117', 'P16591')"
"('Q8NEY8', 'Q16543')"
"('Q15746', 'O14950')"
"('P06733', 'Q12805')"
"('P0DP24', 'Q9UM54')"
"('Q9GZT8', 'Q96S44')"
"('Q16629', 'Q15393')"
"('P68104', 'Q9UH99')"
"('Q8NBS9', 'P21980')"
"('P53667', 'P23528')"
"('Q9H5I1', 'P46108')"
"('O95613', 'Q15165')"
"('Q9BYE7', 'Q8ND90')"
"('Q86X19', 'P31641')"
"('Q9H492', 'P19784')"
"('Q96GN5', 'Q96I34')"
"('P06753', 'O75815')"
"('Q08722', 'P05556')"
"('P27708', 'Q13618')"
"('P61160', 'O15143')"
"('P15586', 'P63241')"
"('P56645', 'Q5TA89')"
"('P08575', 'P04626')"
"('P57682', 'Q13643')"
"('Q9P0N5', 'Q9UP95')"
"('Q9UKX3', 'Q9UK45')"
"('Q6PCD5', 'P49368')"
"('P25788', 'Q92499')"
"('Q8IYX7', 'Q86V42')"
"('Q9NRR5', 'Q15155')"
"('Q92608', 'P15153')"
"('P06241', 'Q13023')"
"('Q9NYG5', 'Q01094')"
"('P30876', 'Q9H0D6')"
"('Q16543', 'Q86YV6')"
"('Q99081', 'Q8WVJ9')"
"('Q13617', 'Q13136')"
"('Q8TF66', 'Q92871')"
"('Q9P2I0', 'P36873')"
"('Q13748', 'Q96R06')"
"('P46379', 'P41271')"
"('Q2M2I8', 'P49757')"
"('Q8NHZ7', 'Q13547')"
"('O14777', 'Q8NG31')"
"('Q8IWR1', 'P04637')"
"('Q92600', 'P51679')"
"('P35659', 'P51858')"
"('Q9BYC9', 'P24666')"
"('Q16695', 'Q7LBC6')"
"('Q8NE01', 'Q9UHD9')"
"('Q9UKF6', 'Q15366')"
"('P01215', 'P01222')"
"('Q3B820', 'Q9H4L5')"
"('Q9P032', 'Q9H845')"
"('O43172', 'Q15287')"
"('P08238', 'Q92630')"
