negatives
"('Q1KMD3', 'Q14240')"
"('P08572', 'Q9UKX5')"
"('P13569', 'Q9Y6M7')"
"('P31749', 'Q3V6T2')"
"('P43146', 'P02768')"
"('P46060', 'P55854')"
"('P23508', 'P30040')"
"('Q99878', 'Q9UKV0')"
"('Q9Y2I7', 'P06396')"
"('P51784', 'Q9GZQ8')"
"('P07196', 'Q8N2W9')"
"('P49591', 'P01106')"
"('Q9Y6K9', 'P04843')"
"('Q15796', 'P62263')"
"('P04899', 'O43306')"
"('P04183', 'P47897')"
"('P49005', 'P38936')"
"('P08138', 'Q01970')"
"('Q8NI29', 'P62877')"
"('P17900', 'P06865')"
"('P60983', 'P62993')"
"('P18146', 'Q92629')"
"('Q13535', 'O94776')"
"('Q562F6', 'Q8NDV3')"
"('P36873', 'O95405')"
"('P62906', 'P49207')"
"('Q7Z2G1', 'P0C5Z0')"
"('P53779', 'P63104')"
"('P38159', 'P22626')"
"('P62258', 'P98175')"
"('P18146', 'Q9Y6M9')"
"('Q12840', 'Q8TDR0')"
"('Q9P1U1', 'Q9BPX5')"
"('Q05516', 'Q8N5W9')"
"('Q96FW1', 'P61077')"
"('P17643', 'O14908')"
"('O95433', 'Q9H5I1')"
"('Q9BWD3', 'Q9UMX0')"
"('Q96E14', 'P15927')"
"('P18146', 'Q5T5Y3')"
"('Q9HCE7', 'Q9NWT1')"
"('Q9H211', 'Q13415')"
"('P33151', 'P35221')"
"('Q14164', 'Q13642')"
"('P16144', 'O00329')"
"('Q08379', 'Q9BQQ3')"
"('Q14839', 'Q16576')"
"('Q9BVC4', 'P42345')"
"('P49759', 'Q13427')"
"('P08069', 'P62993')"
"('Q01130', 'O75689')"
"('Q99459', 'Q9H223')"
"('P62333', 'P30480')"
"('Q6V0I7', 'P54253')"
"('Q96HU1', 'P42766')"
"('Q13007', 'Q99650')"
"('Q5JVS0', 'Q05655')"
"('P23470', 'P04626')"
"('Q13477', 'P13612')"
"('P36888', 'P42336')"
"('P40763', 'Q29980')"
"('P05771', 'Q14289')"
"('Q9NQU5', 'P10275')"
"('Q8TF46', 'Q15024')"
"('P62158', 'Q9UHD2')"
"('P06241', 'Q9H1R2')"
"('P30939', 'P04899')"
"('O15162', 'Q9NX53')"
"('P18564', 'P46108')"
"('Q9ULL4', 'Q14999')"
"('Q9BVA1', 'Q14204')"
"('P31749', 'Q09472')"
"('P18146', 'P17612')"
"('P38646', 'P25963')"
"('Q9UPS6', 'P58876')"
"('Q13315', 'Q8WVM8')"
"('Q9BZ23', 'Q9BS40')"
"('Q02241', 'O75154')"
"('P32004', 'Q15121')"
"('P06241', 'P31994')"
"('Q00526', 'Q01094')"
"('P48443', 'O15379')"
"('P27986', 'Q14118')"
"('P51149', 'Q9BUF5')"
"('O15239', 'O95139')"
"('Q8TAS1', 'P00519')"
"('P63104', 'Q9P2J5')"
"('Q00403', 'P10827')"
"('P21333', 'O95433')"
"('P04406', 'Q99558')"
"('O95865', 'Q9UBS4')"
"('P27986', 'P29376')"
"('Q13268', 'P24534')"
"('P0C0S8', 'O60814')"
"('Q15843', 'P62249')"
"('Q712K3', 'Q86Y13')"
"('Q07889', 'P20929')"
"('Q9P2W3', 'Q9H1C0')"
"('Q15287', 'Q9NQ29')"
"('P56182', 'P68371')"
"('P61088', 'Q13049')"
"('P62807', 'Q92796')"
"('Q9GZQ8', 'Q13618')"
"('P22694', 'P45984')"
"('P25445', 'P50591')"
"('Q12972', 'Q8WYA6')"
"('Q9UKF6', 'Q6UN15')"
"('Q86W42', 'Q8NI27')"
"('P30480', 'P46781')"
"('Q13315', 'Q6SA08')"
"('P01106', 'Q9H583')"
"('P43686', 'P35998')"
"('Q92900', 'Q9UL03')"
"('P23508', 'P46926')"
"('P14866', 'O75937')"
"('P12980', 'P13945')"
"('Q13077', 'P0CG48')"
"('P01574', 'Q8WXG1')"
"('P16885', 'Q14596')"
"('Q14315', 'P26006')"
"('Q96A08', 'Q9UBL3')"
"('Q8IZI9', 'Q99062')"
"('Q9H0R8', 'P78334')"
"('Q9NVZ3', 'Q12933')"
"('O14625', 'P51685')"
"('P06241', 'Q12879')"
"('Q13352', 'O00291')"
"('Q9HCS4', 'P46937')"
"('Q9H1K0', 'O75165')"
"('Q08211', 'P38398')"
"('Q9BY41', 'Q8N257')"
"('P24588', 'Q9HBX9')"
"('O75438', 'O95167')"
"('Q92530', 'Q8N7W2')"
"('Q07890', 'O00471')"
"('P13224', 'Q92569')"
"('P05771', 'P63244')"
"('P62258', 'Q12905')"
"('Q92597', 'P11021')"
"('Q9UBD9', 'P24394')"
"('Q15796', 'O95071')"
"('P26373', 'P40429')"
"('P17612', 'P53667')"
"('P33993', 'P18146')"
"('Q9Y478', 'Q16836')"
"('Q6WCQ1', 'P27348')"
"('P07996', 'P14780')"
"('Q01101', 'Q9BX66')"
"('P06239', 'P28907')"
"('O76093', 'P11362')"
"('P10644', 'Q9BSF0')"
"('P18084', 'O96013')"
"('P58753', 'Q9NYJ8')"
"('P41221', 'Q01974')"
"('Q99598', 'Q86SE5')"
"('Q9H0E2', 'P47710')"
"('P09693', 'Q92569')"
"('P23229', 'Q9Y4G6')"
"('P17612', 'Q13131')"
"('Q99759', 'O95816')"
"('Q9UI36', 'P63279')"
"('Q14766', 'P54259')"
"('Q6Q0C0', 'P51668')"
"('Q9UHB7', 'Q9BTT4')"
"('P08908', 'P63218')"
"('Q13243', 'P52272')"
"('Q08945', 'O60814')"
"('Q8NEY1', 'O60343')"
"('Q13573', 'O75400')"
"('P35527', 'P12830')"
"('P51148', 'Q9NPF4')"
"('P25205', 'Q6IE81')"
"('Q9BUE6', 'Q14197')"
"('P49916', 'Q9NUW8')"
"('P54253', 'Q8N8B7')"
"('Q9UKV0', 'O75367')"
"('P01106', 'Q99612')"
"('P43351', 'Q14191')"
"('O00141', 'Q13164')"
"('Q9ULX6', 'Q14739')"
"('O43586', 'Q8IZX4')"
"('P28702', 'Q93074')"
"('Q9H2X6', 'Q13363')"
"('P51991', 'P84103')"
"('P23508', 'P12004')"
"('Q8IW41', 'P26373')"
"('Q92900', 'Q9UPR3')"
"('P12931', 'Q9UI08')"
"('P11387', 'P09651')"
"('O75159', 'Q9UHF4')"
"('O95477', 'Q9NZN5')"
"('Q86VX9', 'P41220')"
"('Q13315', 'P56179')"
"('P30405', 'Q8WZA2')"
"('P22694', 'P62955')"
"('O75586', 'Q9NWA0')"
"('P16885', 'Q16566')"
"('P42684', 'O15304')"
"('P43686', '343477')"
"('Q05397', 'P26641')"
"('O43166', 'P31947')"
"('P46821', 'Q9GZQ8')"
"('Q9BTT4', 'O00571')"
"('P49368', 'P67775')"
"('Q9H0M0', 'P22455')"
"('Q9UHB9', 'P30480')"
"('O14920', 'O75807')"
"('Q12873', 'Q8NHZ7')"
"('O14980', 'Q14653')"
"('O75525', 'O43147')"
"('P00505', 'O75815')"
"('P20936', 'Q8TAM1')"
"('Q9UJX3', 'P30260')"
"('Q04759', 'Q9H492')"
"('Q96BI3', 'P05067')"
"('Q8IUQ4', 'Q9H9Q2')"
"('P16435', 'P99999')"
"('Q8IU60', 'Q96F86')"
"('Q8TEY7', 'Q13352')"
"('P42285', 'P01876')"
"('P00533', 'Q14192')"
"('Q07955', 'O76054')"
"('P23508', 'P37802')"
"('P63208', 'P08238')"
"('P15880', 'P42677')"
"('O75376', 'Q06330')"
"('Q93062', 'Q86UW9')"
"('P61981', 'Q9UQC2')"
"('Q3ZCQ8', 'O95819')"
"('P02768', 'O60281')"
"('Q05639', 'Q9Y4K3')"
"('O14733', 'O43379')"
"('P63165', 'Q16778')"
"('P23527', 'P04908')"
"('Q86YS3', 'Q9H4M9')"
"('P29692', 'Q14194')"
"('O60603', 'P08107')"
"('P61978', 'Q15366')"
"('Q12933', 'P09874')"
"('P49841', 'P67775')"
"('P17844', 'P19174')"
"('Q9UKJ5', 'Q15717')"
"('Q99700', 'Q96EK5')"
"('P59901', 'P43405')"
"('P40337', 'Q92922')"
"('P43405', 'O43914')"
"('Q6DN03', 'Q6UXN9')"
"('P57735', 'Q8N465')"
"('Q15021', 'Q9BPX3')"
"('Q9Y6M9', 'O75251')"
"('P49427', 'Q03060')"
"('P19438', 'P04350')"
"('P62987', 'P62910')"
"('P11217', 'O15121')"
"('P25940', 'P26010')"
"('A8K6C2', 'P24394')"
"('P60709', 'P46940')"
"('P10586', 'P12830')"
"('Q9BQ04', 'P52272')"
"('Q02223', 'Q12933')"
"('P62851', 'P61247')"
"('Q9NP95', 'P16234')"
"('P28482', 'Q9NRA0')"
"('P11802', 'P28749')"
"('O95819', 'Q13114')"
"('Q96DB2', 'Q71UI9')"
"('Q9HC24', 'P04745')"
"('O75400', 'P18583')"
"('Q13748', 'P19438')"
"('P35222', 'P63104')"
"('Q9Y4D1', 'P12931')"
"('Q14416', 'P62879')"
"('Q9HAU5', 'Q96B26')"
"('Q9Y478', 'P50502')"
"('Q9UBU7', 'P33991')"
"('Q14442', 'P37287')"
"('Q8N6Y0', 'O95990')"
"('P21917', 'P50150')"
"('O60383', 'Q9H0Q3')"
"('Q9NP66', 'O75909')"
"('P58546', 'Q14164')"
"('Q9BYG5', 'Q15334')"
"('P78344', 'Q14240')"
"('P16220', 'Q8IZS8')"
"('Q5SW24', 'Q16512')"
"('Q9UBW8', 'Q9H9Q2')"
"('P63267', 'P35221')"
"('Q969U6', 'Q13616')"
"('407029', 'Q14457')"
"('Q09472', 'Q13625')"
"('P28222', 'Q9UK08')"
"('Q02252', 'O60684')"
"('Q15257', 'Q99832')"
"('Q09472', 'Q86X55')"
"('P84098', 'P61927')"
"('P18124', 'P62906')"
"('Q13490', 'P36941')"
"('Q92800', 'Q09028')"
"('Q16667', 'P06493')"
"('Q99459', 'O14782')"
"('O60566', 'Q96DE5')"
"('P51610', 'O00255')"
"('P28482', 'P01225')"
"('O95136', 'P08754')"
"('O43747', 'Q9UJ41')"
"('O00141', 'P22234')"
"('P35222', 'P11362')"
"('P22626', 'Q13247')"
"('P30443', 'P10966')"
"('P84022', 'Q8WWM7')"
"('Q96GF1', 'Q969T4')"
"('Q86TA1', 'Q8WXI2')"
"('P60602', 'Q13546')"
"('P58107', 'Q9Y4K3')"
"('Q8IZI9', 'Q01344')"
"('P63211', 'P16499')"
"('O00585', 'P49682')"
"('A6NIT4', 'Q99650')"
"('O60504', 'P02768')"
"('O96000', 'O95178')"
"('O15530', 'Q9H814')"
"('P01889', 'O00442')"
"('P48736', 'Q05655')"
"('P30086', 'Q02750')"
"('Q15831', 'Q8NFZ5')"
"('P04150', 'P10145')"
"('P31749', 'Q00987')"
"('Q96BK5', 'O60783')"
"('P67870', 'P51610')"
"('P07942', 'Q92766')"
"('Q99459', 'Q15021')"
"('P04637', 'P24522')"
"('P33316', 'Q6ZVK8')"
"('Q92793', 'P43354')"
"('P49137', 'P04792')"
"('P05129', 'O60262')"
"('P51817', 'Q08828')"
"('Q8WUX9', 'Q15102')"
"('P05771', 'Q9UP65')"
"('Q6WCQ1', 'P08729')"
"('Q9Y6Q6', 'Q06187')"
"('Q13309', 'P46527')"
"('P84098', 'Q9UNX3')"
"('Q15257', 'P04637')"
"('P10586', 'Q03135')"
"('Q96P09', 'P51965')"
"('P04150', 'P15036')"
"('Q99459', 'Q13227')"
"('P16220', 'Q7Z5A7')"
"('Q9H204', 'Q7Z7C8')"
"('P62140', 'O00305')"
"('Q9UHI6', 'Q9BQ83')"
"('Q9H1Y0', 'P35638')"
"('Q8NGK4', 'P38405')"
"('343477', 'P49642')"
"('P32745', 'Q9UDY2')"
"('P37173', 'Q9HAU4')"
"('Q9H2G2', 'Q9BQ89')"
"('O96017', 'O60934')"
"('P13569', 'P10809')"
"('P32121', 'Q8NH41')"
"('P68104', 'Q99519')"
"('P30050', 'P26373')"
"('Q13573', 'Q05519')"
"('P19883', 'Q14689')"
"('Q13200', 'P51665')"
"('Q8N264', 'Q8IXI1')"
"('Q99879', 'P0C0S8')"
"('P16220', 'Q9UKR5')"
"('Q86YJ7', 'P05386')"
"('P23467', 'Q13224')"
"('P30153', 'Q99759')"
"('Q04206', 'P18124')"
"('O75626', 'Q96D21')"
"('Q96EY1', 'P38432')"
"('P16871', 'P07437')"
"('Q8IY92', 'Q9BYD2')"
"('P10275', 'P08473')"
"('Q8IYI6', 'P35900')"
"('P01106', 'Q14155')"
"('Q9NV56', 'Q15906')"
"('O15111', 'P25963')"
"('Q8WV28', 'Q13191')"
"('P15692', 'P16234')"
"('P04278', 'O14493')"
"('Q9UJX2', 'P30304')"
"('Q9UQP3', 'P05556')"
"('Q13526', 'P10636')"
"('Q9UGL9', 'P08670')"
"('Q05655', 'O14654')"
"('O43741', 'O00763')"
"('P49368', 'P63104')"
"('P62258', 'Q00536')"
"('P08912', 'P63092')"
"('P21333', 'P56199')"
"('Q9NW38', 'Q96B02')"
"('Q13480', 'P28482')"
"('Q8WWL7', 'P06493')"
"('P41743', 'P11234')"
"('P55209', 'Q92793')"
"('P61981', 'P07437')"
"('P10826', 'P19793')"
"('P63279', 'Q9BUZ4')"
"('P05412', 'P56645')"
"('Q13873', 'Q13976')"
"('Q92922', 'Q6STE5')"
"('P08107', 'O95429')"
"('Q96AP7', 'O95500')"
"('P15498', 'P19235')"
"('P22694', 'P28482')"
"('Q14155', 'Q13444')"
"('Q15291', 'Q9UHD2')"
"('P10600', 'P37173')"
"('P62993', 'Q15027')"
"('Q68CJ9', 'Q9NR55')"
"('Q9BS40', 'Q9Y2W1')"
"('Q9UL18', 'P62750')"
"('Q14324', 'P62993')"
"('Q02505', 'Q16665')"
"('Q96RR4', 'Q13131')"
"('P18124', 'Q8IXK0')"
"('P19105', 'Q9Y572')"
"('P49841', 'P63104')"
"('Q9NZJ5', 'Q16539')"
"('O43318', 'Q00610')"
"('P51817', 'O43889')"
"('Q9Y4G6', 'P05556')"
"('O75569', 'Q03701')"
"('Q6UX72', 'P13569')"
"('Q9UL18', 'P62854')"
"('O43240', 'Q5T3J3')"
"('Q9Y572', 'Q9Y6U3')"
"('O00470', 'Q92793')"
"('Q08170', 'P55795')"
"('P61586', 'Q9BST9')"
"('P10144', 'O15230')"
"('Q9GZR7', 'Q9H3S7')"
"('Q9UIF9', 'P55157')"
"('P32121', 'Q8NGS9')"
"('O14543', 'Q15759')"
"('O75529', 'Q9Y6J9')"
"('P04628', 'Q14469')"
"('Q9NPH0', 'Q9H2U1')"
"('Q9UQM7', 'O60503')"
"('Q15759', 'Q16082')"
"('Q00987', 'P08069')"
"('O00571', 'O75554')"
"('Q8TDR0', 'P78552')"
"('O15287', 'Q0VG06')"
"('P61981', 'Q9H0B6')"
"('Q9Y3F4', 'P01241')"
"('Q8NHL6', 'P17693')"
"('P02788', 'P49716')"
"('O43242', 'Q06323')"
"('Q96K80', 'Q93062')"
"('P62258', 'Q92974')"
"('P48378', 'P16220')"
"('P12318', 'O15264')"
"('P51610', 'O15294')"
"('P49238', 'P32121')"
"('Q96B97', 'P27986')"
"('P36507', 'Q12959')"
"('Q9NQ76', 'P16333')"
"('P17612', 'Q99941')"
"('Q9Y6N6', 'P05556')"
"('P46109', 'P42684')"
"('P10276', 'P55075')"
"('Q13573', 'Q8WVM7')"
"('P11940', 'Q92900')"
"('O94972', 'Q8N5R6')"
"('P35626', 'Q8NH72')"
"('O15372', 'O15371')"
"('Q96S55', 'Q9HCU8')"
"('Q9Y272', 'P16520')"
"('P20073', 'P17931')"
"('Q01844', 'Q96CB9')"
"('P08842', 'P21281')"
"('P63165', 'O95551')"
"('O43674', 'Q9NX14')"
"('P61586', 'P30480')"
"('P63165', 'P25963')"
"('P23508', 'P21912')"
"('P57678', 'P49841')"
"('P62993', 'P62750')"
"('P40222', 'Q9H6S1')"
"('P01562', 'P10912')"
"('P02647', 'Q15388')"
"('P61224', 'Q9UNN5')"
"('P61328', 'P06213')"
"('Q6V1X1', 'P48061')"
"('Q9BT49', 'Q12933')"
"('Q9H936', 'Q9UNM6')"
"('P14210', 'P00533')"
"('P49721', 'P25787')"
"('P62993', 'P62854')"
"('P41159', 'Q9HBE5')"
"('O14508', 'P14784')"
"('Q15843', 'P62701')"
"('P26012', 'O43707')"
"('P56524', 'Q93079')"
"('P04083', 'P51668')"
"('Q8WXI9', 'Q92769')"
"('Q15906', 'P04637')"
"('Q9UJX2', 'P24522')"
"('P42898', 'O95777')"
"('Q9H8T0', 'Q96A84')"
"('Q9Y3C5', 'Q9HAU4')"
"('Q9H361', 'P50616')"
"('Q9BPX1', 'P25786')"
"('P07437', 'P68363')"
"('O60907', 'P35222')"
"('Q16602', 'O60894')"
"('P07359', 'Q92569')"
"('Q13158', 'Q9Y3A3')"
"('Q9UBT2', 'P23508')"
"('Q8WXH5', 'P38484')"
"('Q8TBN0', 'Q6ZVK8')"
"('Q99459', 'P63165')"
"('Q9BUV8', 'Q9UGJ1')"
"('P09001', 'Q14197')"
"('P18074', 'P32780')"
"('P00533', 'Q99962')"
"('P63211', 'Q13972')"
"('O43929', 'Q9UJX2')"
"('P18146', 'Q15723')"
"('Q99558', 'Q3ZCQ8')"
"('P28482', 'P10828')"
"('Q93084', 'Q9P2S5')"
"('P48729', 'P18754')"
"('P04637', 'P08183')"
"('O95751', 'Q15834')"
"('Q8WUI4', 'Q5QNW6')"
"('Q01804', 'Q96JB5')"
"('Q9UI30', 'P62330')"
"('P46459', 'O76081')"
"('Q8WV24', 'O15162')"
"('P01243', 'P07355')"
"('P61981', 'P49761')"
"('P02768', 'Q9GZU2')"
"('Q07817', 'Q9HB09')"
"('Q92665', 'P56537')"
"('P01112', 'P42771')"
"('P46108', 'Q14315')"
"('P63279', 'Q8NDC0')"
"('P16333', 'Q9ULD4')"
"('P22392', 'P33176')"
"('O60674', 'P62993')"
"('P68036', 'Q8IZP6')"
"('Q13813', 'Q08043')"
"('O00463', 'P49069')"
"('O96006', 'P0DI81')"
"('Q9NQI0', 'Q8TC59')"
"('Q9NQZ3', 'Q8TB72')"
"('P10768', 'P23508')"
"('Q13263', 'P42224')"
"('P41279', 'P07900')"
"('P55774', 'P46092')"
"('Q01851', 'P18146')"
"('P38936', 'Q9UNN5')"
"('Q13432', 'Q9BXR0')"
"('Q9UQM7', 'Q13557')"
"('P25054', 'P20823')"
"('Q15306', 'P05112')"
"('Q16513', 'O75821')"
"('O43681', 'P04183')"
"('P27986', 'Q92558')"
"('Q9H4D5', 'Q9BZI7')"
"('Q8TE04', 'P23528')"
"('Q16539', 'Q9BRR9')"
"('Q92785', 'Q9UDV6')"
"('Q00613', 'O75506')"
"('Q9ULV8', 'O00329')"
"('Q92466', 'P41208')"
"('Q14240', 'P11940')"
"('P09466', 'P84022')"
"('P01889', 'P12532')"
"('P48556', 'P62333')"
"('Q15303', 'Q6S5L8')"
"('P01857', 'Q6PD62')"
"('Q9Y4K3', 'Q15819')"
"('P13612', 'Q05397')"
"('Q15884', 'P31947')"
"('P11047', 'Q9Y3C0')"
"('P60709', 'P05386')"
"('Q8NFT6', 'Q9BQ66')"
"('Q53T94', 'Q9NYV6')"
"('Q04724', 'P55774')"
"('Q9NYF8', 'P61981')"
"('O75771', 'P81605')"
"('Q16630', 'Q13177')"
"('Q8WX92', 'P38398')"
"('Q9NPJ6', 'P28702')"
"('P16333', 'P46092')"
"('P40337', 'O75347')"
"('P40692', 'P21675')"
"('O60260', 'O14818')"
"('Q02556', 'Q13098')"
"('Q8IZD4', 'Q13485')"
"('P07237', 'Q99689')"
"('P51116', 'P09467')"
"('Q12974', 'Q93096')"
"('P26641', 'Q9BW27')"
"('P01241', 'P25788')"
"('O95084', 'P42695')"
"('O94972', 'Q9H5Z6')"
"('Q8TF32', 'Q16637')"
"('P58107', 'P46940')"
"('Q02156', 'Q9H492')"
"('P54098', 'Q9UHN1')"
"('O15389', 'P41159')"
"('O60237', 'O14950')"
"('Q9BT81', 'O15105')"
"('Q3SY69', 'Q8NEV4')"
"('Q9Y2K2', 'Q53ET0')"
"('Q05516', 'P31277')"
"('P07948', 'P30419')"
"('Q13616', 'Q15653')"
"('Q14974', 'P13569')"
"('Q12933', 'Q8TEL6')"
"('Q06265', 'Q9Y2L1')"
"('Q9Y383', 'Q92569')"
"('Q99879', 'Q08945')"
"('P43403', 'P07437')"
"('Q562F6', 'Q16537')"
"('P01579', 'Q9HBE5')"
"('Q9H257', 'Q04206')"
"('P05386', 'Q9H840')"
"('P45983', 'P84022')"
"('Q8IYD1', 'Q96DU9')"
"('Q14241', 'Q9Y2I6')"
"('Q9UHV7', 'Q86YW9')"
"('Q9BW27', 'P26641')"
"('Q13255', 'P30542')"
"('Q13555', 'Q08499')"
"('P01138', 'Q16288')"
"('P27694', 'Q8TDY2')"
"('P83731', 'P30050')"
"('P83731', 'P62888')"
"('Q7Z614', 'Q53G59')"
"('Q8WYB5', 'P33993')"
"('P16220', 'P51532')"
"('P31785', 'P27986')"
"('Q15906', 'P17480')"
"('Q00613', 'P08107')"
"('P06681', 'P01024')"
"('Q86XI6', 'Q9NSC5')"
"('P19438', 'Q15750')"
"('Q9Y383', 'Q8TBK6')"
"('Q9UPQ9', 'Q9NRR5')"
"('Q15669', 'Q12809')"
"('Q14164', 'P48047')"
"('P05198', 'Q9NX58')"
"('P49716', 'Q7RTN6')"
"('Q14194', 'P55774')"
"('P63241', 'Q92831')"
"('Q96KQ7', 'Q9P2R6')"
"('Q9Y4P8', 'Q9Y266')"
"('Q8N5A5', 'Q96ST3')"
"('P55072', 'Q9Y2R2')"
"('O43809', 'P17050')"
"('O43261', 'Q9NVJ2')"
"('P36873', 'Q13698')"
"('P63104', 'P31946')"
"('P15153', 'P06702')"
"('Q9NW08', 'Q9H1D9')"
"('P19838', 'Q13489')"
"('Q14643', 'Q9NSC5')"
"('P24941', 'Q12974')"
"('Q9P0W0', 'Q9HBE5')"
"('Q9NYQ7', 'Q9H2G2')"
"('P0CAP2', 'Q8NEV4')"
"('Q99459', 'Q12972')"
"('P20936', 'P51636')"
"('P62899', 'P05388')"
"('Q13619', 'Q96DI7')"
"('Q8TBK6', 'Q01081')"
"('P16333', 'Q9Y4K4')"
"('P62324', 'P05412')"
"('P49116', 'Q13573')"
"('Q8N264', 'P49716')"
"('P06576', 'Q969Q1')"
"('Q9ULE0', 'O75940')"
"('O94913', 'Q13573')"
"('Q9BZZ5', 'Q9UKV3')"
"('Q8NG78', 'P38405')"
"('Q9BTT4', 'Q15528')"
"('O14920', 'P04637')"
"('P49763', 'P04626')"
"('P05129', 'P0C869')"
"('P55289', 'P49716')"
"('Q9Y483', 'Q5JY77')"
"('O95059', 'Q969H6')"
"('Q16537', 'Q9UPR3')"
"('Q02556', 'O95644')"
"('P42771', 'Q96CS2')"
"('P08588', 'P04899')"
"('Q14676', 'P38398')"
"('P04156', 'P19784')"
"('P21675', 'P40692')"
"('P09038', 'P39019')"
"('P33992', 'O76071')"
"('Q9UJU5', 'O75751')"
"('P17706', 'P56199')"
"('Q6P2C8', 'P28702')"
"('Q9UJX2', 'Q9UBD5')"
"('145781', 'Q96GD3')"
"('Q12772', 'O14639')"
"('A8MVU1', 'P31749')"
"('O15264', 'P37802')"
"('Q9H840', 'Q16637')"
"('O00459', 'Q6ZUJ8')"
"('Q15303', 'P46109')"
"('P03372', 'P08047')"
"('Q14644', 'P20333')"
"('Q9Y468', 'P68431')"
"('P02511', 'O75390')"
"('Q5VTD9', 'Q99700')"
"('Q93097', 'Q14332')"
"('Q13315', 'Q8IW35')"
"('Q9P2M7', 'Q7Z406')"
"('Q15005', 'Q9NR30')"
"('P28221', 'O14610')"
"('Q6ZNA4', 'P60604')"
"('Q9ULX6', 'O76071')"
"('Q96LR5', 'Q96EQ8')"
"('P52272', 'O75937')"
"('P49841', 'Q75N90')"
"('Q86W47', 'Q13698')"
"('P01100', 'P04141')"
"('Q07812', 'P22001')"
"('O43474', 'P08047')"
"('P50502', 'P60953')"
"('Q8N1I0', 'P60763')"
"('P26717', 'O43914')"
"('Q8IY92', 'O43615')"
"('O75159', 'P40238')"
"('P35638', 'P17544')"
"('Q9H2G2', 'P21333')"
"('P56945', 'P46108')"
"('Q16537', 'P19429')"
"('P51681', 'P78560')"
"('P49336', 'O95402')"
"('O14775', 'Q08462')"
"('Q9UKV8', 'P54105')"
"('Q96B97', 'Q9NR46')"
"('P49736', 'P62805')"
"('Q8TD19', 'O95166')"
"('Q02878', 'P39023')"
"('Q6DN03', 'O15047')"
"('P05026', 'Q8IZ69')"
"('Q969T4', 'Q96A37')"
"('Q9HAT8', 'P46060')"
"('P08700', 'P48551')"
"('O00445', 'P62820')"
"('P41235', 'Q13310')"
"('Q02978', 'P38936')"
"('P50150', 'Q16539')"
"('O14543', 'Q8IU57')"
"('Q16816', 'P06737')"
"('P62891', 'P05388')"
"('Q13131', 'O95822')"
"('P60953', 'Q9Y6W5')"
"('O15143', 'O15144')"
"('Q00535', 'Q6UXH1')"
"('P20936', 'P12956')"
"('Q8IZP0', 'P55157')"
"('Q13112', 'P67870')"
"('P62273', 'P29372')"
"('Q92529', 'Q13480')"
"('Q86U42', 'Q07955')"
"('Q9NX53', 'O15162')"
"('Q9NV70', 'P01106')"
"('Q06547', 'P51610')"
"('P01876', 'Q9P2D8')"
"('Q96ES7', 'Q9NS73')"
"('P23511', 'Q12772')"
"('O15085', 'P63000')"
"('Q969T4', 'Q9Y4L5')"
"('Q13191', 'P15509')"
"('P42574', 'P05783')"
"('Q9Y6K9', 'Q9BVN2')"
"('Q13315', 'O00255')"
"('P24752', 'P23508')"
"('P35222', 'P68366')"
"('P39880', 'O00499')"
"('P09912', 'Q92793')"
"('Q92782', 'P04843')"
"('P0CG48', 'Q9UMX0')"
"('O60880', 'Q9UIB8')"
"('P63244', 'Q13885')"
"('Q9H2G2', 'O14559')"
"('Q9H0L4', 'Q9UMX0')"
"('Q13188', 'Q92945')"
"('Q15560', 'P36954')"
"('Q12933', 'Q13501')"
"('P55769', 'Q5UIP0')"
"('Q92625', 'P31947')"
"('P17302', 'Q03135')"
"('Q15714', 'Q15369')"
"('P68366', 'Q9BVA1')"
"('P49736', 'O43913')"
"('P63000', 'P27361')"
"('P38936', 'Q7Z699')"
"('P51610', 'Q6DN03')"
"('Q92560', 'Q969T4')"
"('Q96NA2', 'P68366')"
"('O00305', 'Q12816')"
"('P08670', 'Q15628')"
"('P03891', 'O95167')"
"('Q9BSF8', 'O15230')"
"('P18031', 'O60674')"
"('P60520', 'Q92945')"
"('Q15075', 'Q9BXY4')"
"('Q15796', 'Q13485')"
"('Q03112', 'P45983')"
"('Q13315', 'Q9H583')"
"('P22681', 'P26992')"
"('Q9NZJ5', 'Q9BY44')"
"('Q9H4E5', 'Q04771')"
"('O76003', 'O15162')"
"('P0C1Z6', 'P62805')"
"('Q00403', 'Q13772')"
"('P04004', 'P08514')"
"('P61927', 'P46777')"
"('Q96Q83', 'Q9Y230')"
"('P14324', 'P62070')"
"('Q96MT8', 'Q9BQD3')"
"('P25398', 'P42677')"
"('P42338', 'O00329')"
"('Q9Y2H5', 'Q9HAU0')"
"('P06748', 'P31749')"
"('P09936', 'P23508')"
"('Q07666', 'O75791')"
"('Q9UHV7', 'Q9NPJ6')"
"('P04626', 'Q7KZ85')"
"('Q15796', 'O95405')"
"('Q9Y5J5', 'P62306')"
"('P55196', 'P68133')"
"('Q92536', 'P05556')"
"('Q9UKE5', 'P16333')"
"('Q08043', 'P18564')"
"('P30291', 'P46108')"
"('Q96JN8', 'Q9UJU6')"
"('P12980', 'Q96AY2')"
"('P11387', 'O75643')"
"('Q9UPY6', 'O15144')"
"('P50542', 'P08107')"
"('Q96SB4', 'Q9NR30')"
"('P62820', 'P04632')"
"('Q9P287', 'Q9NZM3')"
"('Q9NWA0', 'O43513')"
"('Q96SB4', 'Q07955')"
"('P62330', 'O43665')"
