negatives
"('Q3B7T1', 'Q9H840')"
"('Q8NAV1', 'Q12789')"
"('Q14204', 'Q13885')"
"('P04637', 'Q9NVC6')"
"('O43242', 'Q13573')"
"('Q6PKG0', 'P13805')"
"('P30405', 'P12236')"
"('P62273', 'P62857')"
"('O15198', 'P51522')"
"('Q13133', 'O00471')"
"('P10275', 'Q96EB6')"
"('P30550', 'O95837')"
"('Q13573', 'Q00526')"
"('P05787', 'Q06124')"
"('Q9NRX1', 'Q99612')"
"('Q9NWF9', 'Q5BIV9')"
"('P10073', 'Q99684')"
"('Q9UBN6', 'Q9Y4L1')"
"('P35249', 'Q13573')"
"('Q09472', 'Q9UK53')"
"('P26373', 'P46779')"
"('P02775', 'Q14061')"
"('Q9Y265', 'Q9Y572')"
"('P31994', 'P06241')"
"('Q13501', 'O00238')"
"('B1A4H9', 'Q8IU57')"
"('P68400', 'P35222')"
"('P56645', 'P24530')"
"('O95182', 'O95139')"
"('Q05397', 'O00148')"
"('Q15796', 'Q13887')"
"('O00220', 'Q13158')"
"('P0CG48', 'Q9H0M0')"
"('Q01543', 'P11308')"
"('P46531', 'Q8IZL2')"
"('P05106', 'P18031')"
"('P00519', 'Q04917')"
"('Q16621', 'P0CG47')"
"('P09493', 'Q9Y572')"
"('O00238', 'Q5T6F0')"
"('P39023', 'Q8N806')"
"('P20827', 'P26641')"
"('P67870', 'O14519')"
"('P17301', 'P06756')"
"('P55957', 'P20718')"
"('Q04771', 'Q9H0T7')"
"('Q06787', 'Q7Z417')"
"('P27348', 'P07359')"
"('Q9H1Y0', 'Q9NT62')"
"('Q13099', 'P48634')"
"('P26583', 'Q9Y4K3')"
"('Q14542', 'P0CG48')"
"('P19438', 'P05771')"
"('P23771', 'P22301')"
"('P20340', 'Q14203')"
"('P01106', 'O95644')"
"('P62910', 'P49207')"
"('Q15788', 'Q09472')"
"('Q9UL18', 'Q9BUJ2')"
"('P17676', 'O00744')"
"('Q96A08', 'Q96DB2')"
"('O43561', 'P62993')"
"('Q15078', 'Q92574')"
"('O75365', 'Q9UHI6')"
"('P67870', 'Q8TB40')"
"('P30443', 'Q8N743')"
"('P01242', 'P23458')"
"('O75116', 'P78356')"
"('Q14332', 'O75197')"
"('Q13485', '114614')"
"('Q96DF8', 'Q96N46')"
"('Q8N488', 'Q13158')"
"('P52732', 'Q9BUZ4')"
"('P62140', 'P54289')"
"('Q969T4', 'Q8ND25')"
"('P25054', 'P49023')"
"('P41182', 'Q96J92')"
"('P22694', 'Q02750')"
"('Q9H2X0', 'P16333')"
"('Q13237', 'P05023')"
"('Q96EV8', 'P30281')"
"('P40225', 'P16471')"
"('Q15759', 'P35638')"
"('Q9UGN5', 'Q8NGJ1')"
"('Q04206', 'O00255')"
"('P23771', 'P05112')"
"('Q14061', 'Q9BW62')"
"('O75400', 'Q13435')"
"('Q9BQ66', 'Q6ZVK8')"
"('O14508', 'P42701')"
"('Q13485', 'P0CG47')"
"('Q15645', 'Q15013')"
"('P30050', 'Q9HCK5')"
"('P00519', 'O75751')"
"('O14905', 'Q13467')"
"('Q86UR5', 'P20336')"
"('Q08211', 'Q13243')"
"('P0CAP1', 'Q86VK4')"
"('P04626', 'O75553')"
"('P63104', 'P05783')"
"('P01106', 'Q9NR56')"
"('Q13228', 'Q9Y3C7')"
"('Q5JTV8', 'P62136')"
"('P31946', 'Q92538')"
"('P38936', 'P40763')"
"('Q13263', 'P78396')"
"('P55036', 'P20618')"
"('Q8NFJ9', 'Q9UPT5')"
"('P52735', 'P22674')"
"('Q8IZJ0', 'P10912')"
"('O15400', 'O43752')"
"('Q9Y4E5', 'P63279')"
"('P11172', 'P49662')"
"('Q01959', 'O43294')"
"('Q99595', 'Q71U36')"
"('O43683', 'P46108')"
"('Q9H1R3', 'P10916')"
"('P20333', 'P25705')"
"('P06756', 'Q08043')"
"('P13569', 'O95425')"
"('O95363', 'Q14197')"
"('P62330', 'O43665')"
"('Q01201', 'P17858')"
"('Q07002', 'Q15436')"
"('O14686', 'P03372')"
"('P51114', 'Q8N8V2')"
"('P14317', 'Q9H788')"
"('Q13315', 'P38935')"
"('P51553', 'P50213')"
"('P32121', 'Q9NZP0')"
"('Q01094', 'Q14566')"
"('Q92530', 'P56545')"
"('P61019', 'P30480')"
"('P10276', 'P01588')"
"('P63261', 'O43491')"
"('P24941', 'P49916')"
"('Q9H4E7', 'Q9BUH8')"
"('Q00688', 'Q9UGN5')"
"('Q92993', 'O95376')"
"('P35968', 'Q00722')"
"('O14610', 'P42336')"
"('P06748', 'P49450')"
"('Q9Y266', 'Q9UBN6')"
"('Q9GZM7', 'Q401N2')"
"('Q13573', 'P08238')"
"('O75143', 'P78527')"
"('Q04206', 'O15519')"
"('Q14974', '28938')"
"('Q13535', 'P50750')"
"('Q8N357', 'Q92628')"
"('P40938', 'P40937')"
"('O60244', 'P06241')"
"('Q08209', 'P62942')"
"('P01106', 'O15370')"
"('P16871', 'Q13748')"
"('P78371', 'P60510')"
"('Q13233', 'P00367')"
"('Q14498', 'O15541')"
"('Q16619', 'P24394')"
"('Q99460', 'P25054')"
"('P61956', 'P29590')"
"('Q9NR09', 'P42574')"
"('P60953', 'P32121')"
"('P08581', 'P01111')"
"('Q14210', 'P62993')"
"('P01137', 'P36897')"
"('Q04900', 'P18146')"
"('Q9GZP0', 'P08138')"
"('Q99877', 'P35659')"
"('O15504', 'Q9UKX7')"
"('Q6UXH1', 'Q9NX14')"
"('P29353', 'P01111')"
"('Q9H816', 'P08107')"
"('P21918', 'Q5JWF2')"
"('Q9HBD1', 'P31483')"
"('P25205', 'O43929')"
"('Q12772', 'Q9Y6X2')"
"('P19838', 'P46531')"
"('O14493', 'A6NM45')"
"('P25942', 'Q7Z591')"
"('Q5T1C6', 'Q9Y243')"
"('Q9Y4K3', 'Q96QV1')"
"('P49368', 'Q15257')"
"('P55157', 'O60244')"
"('Q66LE6', 'Q9BXT2')"
"('Q13158', 'P50591')"
"('Q9NZJ4', 'O43707')"
"('P19793', 'P42229')"
"('Q96DV4', 'Q12988')"
"('Q9UET6', 'P57088')"
"('O76081', 'P40222')"
"('Q9H2X6', 'P61962')"
"('P68104', 'O15264')"
"('Q32MK0', 'P14649')"
"('P26651', 'Q9HAU5')"
"('Q13813', 'P18146')"
"('Q13277', 'P18206')"
"('O75376', 'Q06330')"
"('Q15465', 'Q9Y6C5')"
"('P05067', 'Q9NPJ6')"
"('P00519', 'P50570')"
"('P38919', 'Q9UKV8')"
"('P61981', 'Q8NDZ2')"
"('P68363', 'Q9Y6G9')"
"('P55287', 'Q6VMQ6')"
"('Q05397', 'P00488')"
"('P51617', 'O14836')"
"('Q99569', 'P18669')"
"('P16333', 'A7KAX9')"
"('O14543', 'Q01113')"
"('O96019', 'Q96JC9')"
"('P18206', 'P16871')"
"('P22392', 'O14713')"
"('P27361', 'Q9BUB5')"
"('P22612', 'Q14524')"
"('Q00005', 'P62829')"
"('Q6ICR9', 'P01730')"
"('O96017', 'P67870')"
"('Q03014', 'Q9BQ66')"
"('P18124', 'P83731')"
"('O14964', 'Q9NRR5')"
"('P33991', 'Q8WYB5')"
"('P48764', 'P98164')"
"('Q8WUM4', 'Q96EY5')"
"('Q8IUC6', 'O60603')"
"('O95157', 'P12931')"
"('O15164', 'P10276')"
"('Q96HD1', 'Q13352')"
"('P07910', 'Q14164')"
"('O43293', 'Q9UER7')"
"('P23508', 'P07355')"
"('P09919', 'Q01113')"
"('P08238', 'P04049')"
"('P61981', 'O96013')"
"('P51532', 'Q9UKL0')"
"('P11474', 'P33316')"
"('Q9UMN6', 'Q92599')"
"('P29590', 'P36897')"
"('O14818', 'Q9P2G9')"
"('Q8N668', 'Q15369')"
"('P12757', 'P08572')"
"('O76003', 'Q9BZL6')"
"('O00141', 'O15067')"
"('P15586', 'P16333')"
"('P05121', 'Q13485')"
"('Q13557', 'Q02930')"
"('Q9UBI6', 'P08172')"
"('P32121', 'Q8NGR5')"
"('P01589', 'Q13424')"
"('P21673', 'Q96BY9')"
"('P23771', 'Q13562')"
"('P62424', 'P62829')"
"('Q15796', 'Q92905')"
"('Q07820', 'P55957')"
"('P07202', 'Q969J5')"
"('Q5ST30', 'P19532')"
"('Q9UG56', 'Q8NCG7')"
"('Q96CW5', 'Q9NRH3')"
"('P62942', 'Q02790')"
"('P41586', 'O14775')"
"('Q9UM82', 'Q12933')"
"('O15551', 'O75970')"
"('Q8NHW5', 'Q01201')"
"('O15371', 'O60739')"
"('P01588', 'P32927')"
"('Q14344', 'Q86XP0')"
"('P22301', 'Q8IU57')"
"('Q13077', 'Q93009')"
"('Q06124', 'Q92569')"
"('P62304', 'P62318')"
"('P57678', 'Q9UHI6')"
"('O15455', 'Q02556')"
"('Q15797', 'Q96PE3')"
"('Q13177', 'Q14247')"
"('Q9H7U1', 'Q9GZM8')"
"('P17600', 'Q92993')"
"('P62979', 'Q93009')"
"('O94776', 'Q99459')"
"('Q15056', 'P60842')"
"('Q9NPB6', 'P63104')"
"('Q9UPT5', 'Q8N6Y0')"
"('P56524', 'Q8N257')"
"('P46531', 'Q06710')"
"('P31947', 'Q6R327')"
"('P01130', 'P98082')"
"('Q96CV9', 'Q9BTV5')"
"('Q13123', 'P35080')"
"('Q9Y4K3', 'P62495')"
"('P31939', 'P09012')"
"('Q13976', 'P16220')"
"('O75582', 'O00151')"
"('Q16594', 'Q92830')"
"('P26373', 'P62750')"
"('P06748', 'Q13547')"
"('Q9HBE4', 'P42701')"
"('O95967', 'O76003')"
"('Q99614', 'Q5JWF2')"
"('P56945', 'P51813')"
"('Q8NH41', 'P38405')"
"('Q9UMX1', 'Q96D15')"
"('P02461', 'P16144')"
"('P36507', 'Q07890')"
"('Q15717', 'P26599')"
"('Q7RTX1', 'Q7RTX0')"
"('P62070', 'Q9Y6X8')"
"('P16333', 'Q9Y4K4')"
"('Q13191', 'P08069')"
"('Q92504', 'P25942')"
"('Q969T4', 'P68104')"
"('Q9UQR1', 'P04637')"
"('Q9H324', 'P20073')"
"('P02766', 'Q9BRK5')"
"('O00459', 'P10827')"
"('P62873', 'O15264')"
"('Q7Z6M2', 'Q07021')"
"('Q96DB2', 'P0C1H6')"
"('P06241', 'P42167')"
"('P00441', 'O14618')"
"('O75530', 'Q9Y6K1')"
"('P28221', 'Q9HAV0')"
"('Q13164', 'Q15418')"
"('Q15427', 'Q15428')"
"('P16619', 'P51685')"
"('P49619', 'P02768')"
"('P02452', 'P05556')"
"('P61978', 'O43639')"
"('P06400', 'Q15022')"
"('P12109', 'Q9UBS4')"
"('Q9Y4K3', 'P31948')"
"('Q14766', 'P02751')"
"('P05386', 'P61353')"
"('B1A4H9', 'P19235')"
"('Q9UKV8', 'P46776')"
"('P35227', 'Q9HC52')"
"('Q14738', 'Q9Y243')"
"('O43752', 'O14662')"
"('Q9UNN5', 'Q9UBS4')"
"('Q05397', 'P56199')"
"('Q96KC8', 'P80294')"
"('Q13751', 'Q496J9')"
"('Q5QNW6', 'Q08945')"
"('Q9H492', 'P40939')"
"('P38159', 'Q14011')"
"('Q14197', 'P82912')"
"('Q15788', 'P40763')"
"('Q8IZJ1', 'Q92859')"
"('O95155', 'O15350')"
"('P49407', 'P08100')"
"('O14641', 'Q5SW24')"
"('P00533', 'P12956')"
"('Q8IV61', 'P01116')"
"('Q9HAV7', 'P56537')"
"('Q96AP7', 'P56746')"
"('O14777', 'P30622')"
"('Q99459', 'P55060')"
"('P63104', 'P07437')"
"('Q9Y6J9', 'Q16594')"
"('P62979', 'Q7LG56')"
"('Q15428', 'O14776')"
"('Q9ULW0', 'P62993')"
"('Q96SB4', 'Q9NX58')"
"('P01106', 'Q8N531')"
"('Q99689', 'O43719')"
"('Q6XUX3', 'P61106')"
"('Q9UM13', 'Q9UJX5')"
"('O60814', 'O15047')"
"('Q13404', 'Q99942')"
"('Q9GZP1', 'Q9H8Y5')"
"('Q9UPY3', 'P02768')"
"('P01023', 'O75956')"
"('P17600', 'P08670')"
"('P09341', 'P51685')"
"('Q8IWX8', 'Q8IX12')"
"('P41220', 'Q9ULJ8')"
"('Q14203', 'O76071')"
"('P38936', 'Q96FW1')"
"('O95007', 'P38405')"
"('P23528', 'P17612')"
"('P05000', 'Q14626')"
"('Q05655', 'P46527')"
"('Q92616', 'Q9Y5V3')"
"('Q15257', 'P31749')"
"('Q8NHB7', 'P38405')"
"('Q13315', 'O43752')"
"('O95402', 'Q9NVC6')"
"('P60709', 'P35232')"
"('P21127', 'O95251')"
"('P55201', 'P33992')"
"('P62081', 'P62263')"
"('O00716', 'Q9UQC2')"
"('P15927', 'Q13472')"
"('P01112', 'Q5U651')"
"('Q15843', 'P26373')"
"('Q9Y2Q3', 'Q15262')"
"('P23508', 'P22234')"
"('P21815', 'P26010')"
"('Q96RL1', 'Q6UWZ7')"
"('Q969G6', 'P13498')"
"('O15360', 'Q0VG06')"
"('Q15008', 'O95816')"
"('P51149', 'P68371')"
"('Q9P2Y4', 'P45983')"
"('Q9Y4G8', 'P01116')"
"('P27694', 'Q8WXE1')"
"('P61956', 'P06748')"
"('Q6AWC2', 'Q9Y265')"
"('P13569', 'P14317')"
"('P06239', 'Q8WYR1')"
"('Q969T4', 'Q6PCD5')"
"('Q04206', 'Q14790')"
"('P62318', 'Q969L4')"
"('O60675', 'Q16665')"
"('O95793', 'P19338')"
"('Q9NX14', 'O43676')"
"('P05556', 'Q7Z6G8')"
"('Q13363', 'P36402')"
"('P56524', 'Q16777')"
"('Q9UQM7', 'Q13555')"
"('P19544', 'O75607')"
"('Q9UKV8', 'P38919')"
"('Q13685', 'Q9HC29')"
"('P51149', 'P07339')"
"('P61952', 'O14827')"
"('P19838', 'P25963')"
"('P06239', 'Q05397')"
"('Q9NX55', 'Q99750')"
"('Q04206', '407021')"
"('P42336', 'P60763')"
"('Q05516', 'Q9Y333')"
"('P25205', 'P30480')"
"('Q96RU7', 'Q7L5N1')"
"('Q9Y2X7', 'P42858')"
"('Q92793', 'Q13469')"
"('Q7Z4V5', 'P49407')"
"('O75937', 'Q13243')"
"('P01571', 'P10912')"
"('Q9BZD4', 'P52429')"
"('Q9Y5S8', 'P01375')"
"('Q9NX58', 'P62807')"
"('P19012', 'Q9BTA9')"
"('Q96BR1', 'O43524')"
"('Q15287', 'Q9BTD8')"
"('P04899', 'Q92569')"
"('Q6PIZ9', 'P20963')"
"('Q68EM7', 'Q9H4E5')"
"('P49768', 'Q16623')"
"('P53803', 'Q9H9Y6')"
"('P53779', 'P10276')"
"('P31947', 'P26045')"
"('P08637', 'O75019')"
"('Q9NYJ8', 'Q9Y230')"
"('Q9NRI5', 'Q9P2W9')"
"('Q53QZ3', 'P60953')"
"('Q8IX12', 'Q15366')"
"('P11142', 'Q99759')"
"('Q15843', 'P61981')"
"('Q5FWF5', 'Q9UQE7')"
"('O15265', 'Q92830')"
"('P23508', 'Q14165')"
"('Q9H2S9', 'Q14192')"
"('Q05513', 'Q9NPB6')"
"('P15927', 'O60921')"
"('Q5VTD9', 'P43243')"
"('Q16695', 'P58107')"
"('Q7Z4Q2', 'P01106')"
"('P27361', 'O75116')"
"('O14513', 'P62993')"
"('P51812', 'P49815')"
"('P67775', 'P50991')"
"('O95382', 'P52564')"
"('P23458', 'P42229')"
"('O76064', 'Q969T4')"
"('P46379', 'Q7Z434')"
"('P84103', 'Q8NAV1')"
"('Q01081', 'P51003')"
"('Q99459', 'Q9Y5K5')"
"('P62837', 'O94822')"
"('Q10587', 'P53567')"
"('P32969', 'P46777')"
"('P11171', 'P68036')"
"('O75925', 'P15104')"
"('O15371', 'Q14240')"
"('Q9BYG5', 'P41743')"
"('Q13485', 'Q01844')"
"('Q7Z419', 'Q15819')"
"('Q16659', 'O76003')"
"('P40938', 'P01106')"
"('P20248', 'Q8WXE1')"
"('Q9NRI5', 'O95271')"
"('P33032', 'Q96G30')"
"('P62081', 'P62837')"
"('Q5UIP0', 'Q9BWC9')"
"('P01111', 'P42338')"
"('P30154', 'P62714')"
"('P15170', 'P62495')"
"('Q8NH37', 'P38405')"
"('P18206', 'O15375')"
"('P52292', 'Q14974')"
"('Q86TM6', 'Q5VVX9')"
"('Q9P0K7', 'P31946')"
"('Q92993', 'P01106')"
"('O15551', 'P56748')"
"('Q9Y2T1', 'P20823')"
"('O75159', 'P42226')"
"('Q9BQA5', 'P33552')"
"('Q99879', 'Q9UKV0')"
"('Q14103', 'P63279')"
"('O95985', 'Q9H9A7')"
"('P28065', 'Q03518')"
"('Q5TH69', 'Q96RG2')"
"('Q6VMQ6', 'P16066')"
"('P50406', 'O95467')"
"('Q9NRR5', 'P33240')"
"('Q8IX03', 'Q8N878')"
"('Q15417', 'Q8IY92')"
"('Q99459', 'Q9Y265')"
"('Q15427', 'Q13247')"
"('P16144', 'P56537')"
"('O14775', 'P35626')"
"('Q13485', 'Q8TAD8')"
"('P07900', 'P09874')"
"('O00463', 'P28908')"
"('Q8IWZ8', 'Q15428')"
"('P09455', 'Q92769')"
"('P35372', 'O14610')"
"('Q13131', 'Q49AN0')"
"('P13987', 'P62993')"
"('P63151', 'O95990')"
"('O15357', 'Q13588')"
"('Q9UNA1', 'P61586')"
"('Q15910', 'P26358')"
"('Q06455', 'Q96L14')"
"('Q05397', 'O43281')"
"('P48454', 'P30260')"
"('P01889', 'P51452')"
"('Q99759', 'P36776')"
"('A8MVU1', 'P67870')"
"('Q9C005', 'Q9P0U4')"
"('P31152', 'Q16665')"
"('P42858', 'P35080')"
"('O95167', 'O95168')"
"('O75197', 'P49841')"
"('Q92747', 'P62993')"
"('Q12933', 'Q16584')"
"('P22090', 'P60866')"
"('P38398', 'P00519')"
"('Q9UIV1', 'Q8NE35')"
"('P63104', 'P11142')"
"('Q15008', 'Q9H8Y8')"
"('Q15149', 'Q07157')"
"('Q9GZP0', 'P06213')"
"('P14784', 'P52333')"
"('O95757', 'P05787')"
"('Q01844', 'Q13601')"
"('P09919', 'P38484')"
"('Q9Y2X8', 'O94874')"
"('O43766', 'P12980')"
"('O60262', 'Q13698')"
"('P32121', 'Q8NGH3')"
"('P16871', 'Q71U36')"
"('Q9HCS7', 'Q13573')"
"('Q92569', 'P41743')"
"('Q13887', 'Q92793')"
"('Q13554', 'P27361')"
"('Q15233', 'P62993')"
"('Q01196', 'P84022')"
"('Q02040', 'Q15287')"
"('P62136', 'Q13616')"
"('P49848', 'P21675')"
"('Q9UP83', 'P83436')"
"('A5YKK6', 'P50616')"
"('P29372', 'P25787')"
"('Q16659', 'P49815')"
"('Q9Y4W2', 'Q96T60')"
"('P62256', 'P50876')"
"('Q16254', 'Q01892')"
"('P01009', 'Q8IY92')"
"('Q04206', 'Q14116')"
"('Q08828', 'O95398')"
"('Q96FJ2', 'O96015')"
"('Q96KQ4', 'Q99459')"
"('Q9Y478', 'Q86SQ4')"
"('Q9NPJ4', 'P12956')"
"('Q53F19', 'P31942')"
"('P52803', 'P54764')"
"('P01308', 'P22607')"
"('Q13889', 'P51948')"
"('P18146', 'P35573')"
"('Q68EM7', 'Q7L0Q8')"
"('P61224', 'P05556')"
"('Q00005', 'Q9Y4B5')"
"('P01375', 'Q06323')"
"('P61254', 'P46778')"
"('P30086', 'P11171')"
"('Q9UHD0', 'P15509')"
"('P51610', 'Q93079')"
"('P04435', 'P07766')"
"('Q9UKK9', 'Q14164')"
"('Q9Y4K3', 'Q13568')"
"('P48730', 'O75581')"
"('P57059', 'P62258')"
"('Q13573', 'Q9P2D1')"
"('Q9Y2B9', 'P17612')"
"('P61077', 'P38398')"
"('O75369', 'O14933')"
"('O75419', 'P60510')"
"('P22626', 'Q13151')"
"('P50150', 'Q13972')"
"('O94829', 'P63279')"
"('P08754', 'O60503')"
"('O43684', 'Q8NHZ8')"
"('P09960', 'P30504')"
"('Q8WXD5', 'Q9Y3F4')"
"('P01112', 'Q9UKT9')"
"('Q99741', 'Q9UJX2')"
"('Q5UIP0', 'Q13228')"
"('O43242', 'O75365')"
"('Q86YT6', 'P53355')"
"('Q92838', 'Q9UNE0')"
"('P52798', 'P35968')"
"('Q04206', 'P60709')"
"('Q15811', 'Q13387')"
"('P38159', 'Q92620')"
"('Q8TBB1', 'Q12933')"
"('P33527', 'Q9H1C4')"
"('Q9NX14', 'O95169')"
"('P62805', 'P25205')"
"('P23771', 'P10275')"
"('Q9UBF6', 'P67870')"
"('Q99933', 'P10415')"
"('P18146', 'Q99972')"
"('P62979', 'P60866')"
"('P62195', 'O43542')"
"('Q9Y4C2', 'Q9H0E2')"
"('O00237', 'P62256')"
"('Q12923', 'Q8TEU7')"
"('Q14566', 'Q9Y4K3')"
"('Q01113', 'P29597')"
"('Q9BTP7', 'P27694')"
"('P32121', 'Q13362')"
"('O75534', 'P27986')"
"('P16220', 'Q93097')"
"('Q86V81', 'P16104')"
"('P56381', 'P36542')"
"('Q86WN2', 'Q99665')"
"('Q16621', 'P45984')"
"('P18146', 'Q9Y2Y6')"
"('Q04759', 'P14151')"
"('O95831', 'Q96HA7')"
"('Q7L0Q8', 'O75914')"
"('Q9HBE4', 'P17535')"
"('O15355', 'P67809')"
"('Q8TAD8', 'Q9UBW7')"
"('Q15080', 'P14598')"
"('P31749', 'P35222')"
"('O60828', 'P61006')"
"('P31749', 'Q13370')"
"('P01106', 'P62191')"
"('P04626', 'P28482')"
"('O95202', 'Q14197')"
"('P78396', 'Q9HAV4')"
"('P23508', 'Q14566')"
"('P17980', 'Q13573')"
"('Q6ZVK8', 'Q8N5Z5')"
"('P61077', 'Q9NZS9')"
"('P04844', 'P16104')"
"('O15303', 'P63096')"
"('Q13573', 'Q14204')"
"('Q02543', 'Q9NX58')"
"('P0CG47', 'P04637')"
"('P30281', 'Q9H063')"
"('Q12913', 'P04629')"
"('Q16659', 'O60869')"
"('Q9UL18', 'Q96AG4')"
"('O00716', '406982')"
"('P05556', 'P30101')"
"('Q07912', 'Q02543')"
"('P23467', 'P19022')"
"('Q9H3N1', 'P23508')"
"('Q9NZJ4', 'Q9Y3Q8')"
"('P21796', 'Q16611')"
"('Q96J02', 'P10721')"
"('P12757', 'Q8N3E9')"
"('P62280', 'P39019')"
"('Q16531', 'P35222')"
"('Q8N715', 'Q99750')"
"('Q96MT3', 'O14640')"
"('P53618', 'O14649')"
"('P22681', 'P31785')"
"('P16220', 'P05067')"
"('Q9BX63', 'P54278')"
"('Q9UGN5', 'A1KXE4')"
"('O14544', 'Q99665')"
"('Q13416', 'P78396')"
"('P55036', 'Q9Y4K3')"
"('Q9Y5W3', 'P61073')"
"('Q05513', 'Q08209')"
"('P49247', 'O75716')"
"('P61927', 'Q02543')"
"('Q9UJM3', 'P09619')"
"('P38936', 'Q96DB2')"
"('P50914', 'P62945')"
"('P49336', 'A0JLT2')"
"('Q9NXI6', 'P62837')"
"('P52756', 'Q13243')"
"('P18206', 'O75400')"
"('O75494', 'Q08170')"
"('Q96BK5', 'Q9BZE4')"
"('Q16787', 'P08514')"
"('P63104', 'P07237')"
"('Q9H270', 'O15116')"
"('Q8TAM1', 'O14788')"
"('O60610', 'Q8NHR9')"
"('Q9UKV8', 'Q15750')"
"('Q86WN2', 'Q13261')"
"('O95376', 'Q9NRI5')"
"('P01135', 'Q13424')"
"('P82675', 'Q9NR30')"
"('Q7Z3J3', 'P63279')"
"('Q8WXH2', 'Q9Y6E0')"
"('Q14686', 'P37231')"
"('406982', 'P40763')"
"('P04141', 'P26951')"
"('Q9Y5B9', 'O95602')"
"('P05067', 'P98160')"
"('P26010', 'P53708')"
"('Q9H1B4', 'P52948')"
"('Q13422', 'Q9UKS7')"
"('P16104', 'P43243')"
"('P08581', 'Q99963')"
"('Q96RT1', 'Q93009')"
"('P08173', 'O14775')"
"('Q96DB2', 'P23527')"
"('P00533', 'P08238')"
"('Q8IX03', 'Q96NE9')"
"('Q9UL18', 'P84098')"
"('O95967', 'P54727')"
"('Q04206', 'P01570')"
"('P03915', 'O43676')"
"('P25940', 'P05106')"
"('P20142', 'P49913')"
"('Q9NPF7', 'P16871')"
"('Q9UJU2', 'P14923')"
"('P67870', 'P68400')"
"('Q99638', 'O96017')"
"('Q32MK0', 'P27986')"
"('Q8N3V7', 'P62993')"
"('O43615', 'Q99595')"
"('P02768', 'P0C0L4')"
"('P84103', 'Q9NX70')"
"('O60832', 'O95372')"
"('O60674', 'P42336')"
"('O60603', 'P68371')"
"('Q9GZT6', 'P50453')"
"('Q93063', 'Q16394')"
"('P06241', 'Q9NYQ7')"
"('O60282', 'P42263')"
"('O95602', 'Q9Y5B9')"
"('Q6UXH1', 'P18754')"
"('P00533', 'P46109')"
"('Q8WVM8', 'Q9P2Y5')"
"('Q15750', 'Q96CA5')"
"('Q13263', 'Q9Y6K9')"
"('P59768', 'P53779')"
"('Q53ET0', 'P15336')"
"('O75367', 'Q7Z2G1')"
"('Q8IWV7', 'Q07817')"
"('Q13490', 'P43364')"
"('P01857', 'P08729')"
"('P31321', 'Q05469')"
"('P05141', 'Q9Y572')"
"('O95298', 'O43677')"
"('P84085', 'P98175')"
"('Q08170', 'P09651')"
"('P62829', 'P62913')"
"('P55795', 'Q8IYB3')"
"('P62877', 'Q01831')"
"('P61956', 'Q9BXP5')"
"('P22455', 'P22681')"
"('Q9HCE7', 'O75995')"
"('P33992', 'P33993')"
"('P63165', 'P18146')"
"('P21854', 'P06127')"
"('P38159', 'O43390')"
"('P84090', 'Q99962')"
"('Q96AG4', 'P48039')"
"('P60900', 'P04222')"
"('Q09472', 'P41235')"
"('P0C0L4', 'P01031')"
"('P54753', 'P46108')"
"('Q15424', 'Q9GZQ8')"
"('Q9BXS5', 'O75379')"
"('P27348', 'O00165')"
"('P04350', 'Q99759')"
"('Q9HCM9', 'Q96LR5')"
"('O43809', 'Q92845')"
"('P50453', 'P04406')"
"('28938', 'O00410')"
"('Q14790', 'Q16539')"
"('O00625', 'Q12857')"
"('O75365', 'O43795')"
"('Q9GZM8', 'Q9Y383')"
"('P06241', 'Q92529')"
"('Q96DE5', 'Q8NHZ8')"
"('Q8TDN6', 'Q9NX58')"
"('Q92793', 'Q9UJU2')"
"('Q13952', 'P61968')"
"('P63165', 'P11831')"
"('Q7Z494', 'Q15788')"
"('P78371', 'Q7Z6L1')"
"('Q9Y5M8', 'Q99608')"
"('O95747', 'Q9H4A3')"
"('P35354', 'P63165')"
"('P49810', 'Q07817')"
"('Q9UNN5', 'P59046')"
"('P28827', 'P06239')"
"('Q8IY92', 'Q9UL63')"
"('Q9Y243', 'O15111')"
"('Q9UNM6', 'P60900')"
"('P09917', 'P27695')"
"('Q02543', 'P62945')"
"('Q9Y570', 'P67775')"
"('Q6ZVL6', 'Q9P2R6')"
"('P27540', 'O14503')"
"('P08047', 'P29590')"
"('Q14498', 'Q8NAV1')"
"('P61981', 'P10398')"
"('O43292', 'Q9H490')"
"('P06241', 'Q13415')"
"('P62829', 'Q9UNX3')"
"('P56537', 'Q9UHV9')"
"('P08047', 'P29353')"
"('P07339', 'P55957')"
"('Q92624', 'Q12841')"
"('P18077', 'P05388')"
"('P35222', 'Q15233')"
"('P49792', 'Q9Y613')"
"('P01106', 'P28066')"
"('P11021', 'O94868')"
"('Q99623', 'P23508')"
"('Q13153', 'O75369')"
"('P25490', 'P08047')"
"('P41252', 'P40337')"
"('P06493', 'Q9H0H5')"
"('Q16827', 'P46459')"
"('O75365', 'Q5SRE5')"
"('Q96EQ8', 'Q5VVX9')"
"('Q13237', 'P62140')"
"('Q9H9Q2', 'P61201')"
"('P04792', 'O15111')"
"('P16333', 'P54762')"
"('Q8WVF5', 'P51116')"
"('Q9NRR5', 'P53816')"
"('Q6VY07', 'P11717')"
"('O15350', 'Q09472')"
"('P34969', 'P50151')"
"('O95819', 'Q01780')"
"('P40337', 'P39019')"
"('P37108', 'Q9Y478')"
"('P25788', 'P14678')"
