negatives
"('Q9HCK5', 'Q04837')"
"('Q9NRG4', 'P14866')"
"('Q13424', 'Q16581')"
"('P62736', 'P0CG47')"
"('Q8TE23', 'Q7RTX0')"
"('Q9UHX1', 'O00425')"
"('P27540', 'P14921')"
"('P30049', 'Q9H1Y0')"
"('Q9P013', 'Q8WYA6')"
"('P63167', 'O75363')"
"('Q14738', 'Q9Y698')"
"('Q9NSV4', 'P01106')"
"('P02647', 'P02747')"
"('O43915', 'Q02763')"
"('Q92535', 'Q13118')"
"('Q96ID5', 'Q03013')"
"('P57086', 'P49910')"
"('Q99963', 'Q8WUM4')"
"('Q9UHW5', 'O95402')"
"('Q13573', 'Q00341')"
"('P54646', 'P13807')"
"('Q9BRP4', 'O00487')"
"('P62333', 'Q14997')"
"('P68104', 'P05386')"
"('A8K6C2', 'P78552')"
"('Q9BXL7', 'P0CG47')"
"('Q8TAQ2', 'P38936')"
"('P06241', 'O75326')"
"('P11229', 'O60262')"
"('P46100', 'Q13185')"
"('P49207', 'P61353')"
"('Q8WVC0', 'P53803')"
"('Q9NRR5', 'P16949')"
"('A6NHL2', 'Q3ZCM7')"
"('Q14164', 'P61604')"
"('Q13573', 'O94776')"
"('P22681', 'P62316')"
"('Q71F56', 'O95402')"
"('Q9Y5B8', 'Q9BT92')"
"('Q96QD8', 'O75558')"
"('P11831', 'P01100')"
"('Q8TEL6', 'Q9Y6K9')"
"('Q15811', 'O43150')"
"('P04844', 'P62330')"
"('P29350', 'Q9HC73')"
"('Q9NQS7', 'O15392')"
"('P0C5Z0', 'Q13547')"
"('Q13489', 'P61077')"
"('P36873', 'Q8TEY5')"
"('O60885', 'O60563')"
"('P53041', 'P30153')"
"('P01375', 'P45984')"
"('A0JLT2', 'Q9UHI6')"
"('Q13347', 'P78396')"
"('O15111', 'Q9H467')"
"('Q14103', 'Q9BUJ2')"
"('Q8NAF0', 'Q9NRH1')"
"('Q9BVC4', 'Q9Y243')"
"('P21266', 'Q9Y4K3')"
"('Q9Y4K3', 'P29692')"
"('O00151', 'P35609')"
"('P49247', 'P51116')"
"('P35658', 'Q8N1F7')"
"('Q14194', 'P04183')"
"('Q04206', 'P29459')"
"('Q96HP0', 'P84095')"
"('Q8TCT9', 'Q9H1C4')"
"('Q07812', 'P12235')"
"('Q86TN4', 'Q12933')"
"('Q14833', 'P08754')"
"('P36941', 'P01375')"
"('P61981', 'Q9UQB8')"
"('Q9Y6A5', 'Q02224')"
"('P35609', 'Q9NRI5')"
"('Q99500', 'P08754')"
"('Q8TAP6', 'P43364')"
"('Q16877', 'P49841')"
"('P61313', 'P62917')"
"('P16104', 'O00267')"
"('P02461', 'Q9HCN6')"
"('Q14566', 'Q9BWG6')"
"('Q9H0E2', 'O60784')"
"('P16104', 'Q8N257')"
"('P10398', 'Q02833')"
"('P49810', 'Q14192')"
"('P29350', 'Q9HBE5')"
"('Q9GZX6', 'P15509')"
"('P46109', 'O00459')"
"('P56556', 'O95299')"
"('Q05209', 'P42680')"
"('Q9Y4H2', 'P24394')"
"('Q9Y478', 'P51571')"
"('Q01094', 'Q96T88')"
"('Q16653', 'P04156')"
"('Q05048', 'Q9H0L4')"
"('Q92585', 'P49336')"
"('P03971', 'P36894')"
"('Q96AQ6', 'Q9Y3C0')"
"('P43246', 'P54277')"
"('P06241', 'P78314')"
"('Q13242', 'Q16629')"
"('O60925', 'Q14590')"
"('O95715', 'P25024')"
"('O15056', 'P63000')"
"('P60709', 'Q08945')"
"('O43463', 'Q9C0K0')"
"('P48736', 'Q13480')"
"('P15391', 'P48736')"
"('P14373', 'P26358')"
"('Q9P0U4', 'Q99879')"
"('P15104', 'P30480')"
"('P62879', 'P40145')"
"('P35580', 'O43353')"
"('O15520', 'P10721')"
"('P42766', 'P61927')"
"('Q9UL33', 'O43617')"
"('Q8N448', 'P63279')"
"('Q9C035', 'P61077')"
"('P98170', 'P36896')"
"('Q13077', 'Q99558')"
"('P22612', 'P62955')"
"('P05556', 'Q03135')"
"('Q99704', 'P04626')"
"('O60880', 'P60953')"
"('Q96AP7', 'C9JDP6')"
"('P63208', 'O96020')"
"('P02461', 'Q13683')"
"('Q9H5H4', 'P13805')"
"('Q9UBS3', 'Q96QB1')"
"('406905', 'P11413')"
"('Q96CW1', 'Q13435')"
"('A0JLT2', 'P25963')"
"('Q14197', 'Q6P1L8')"
"('P0CG48', 'Q15078')"
"('Q15834', 'O75541')"
"('Q14103', 'Q15365')"
"('P36507', 'Q13164')"
"('P26951', 'P23458')"
"('Q969T4', 'O43567')"
"('P04049', 'P45983')"
"('P30153', 'P54289')"
"('P31946', 'Q96TC7')"
"('Q04206', 'Q9BVA1')"
"('P06703', 'Q02790')"
"('Q8IYF3', 'Q96IQ9')"
"('P78386', 'P18146')"
"('Q96SB3', 'Q16821')"
"('O60814', 'Q9BTM1')"
"('Q9Y4K3', 'Q13114')"
"('O75376', 'P06454')"
"('Q96B26', 'Q9NS23')"
"('Q9UKS6', 'Q07890')"
"('O94805', 'P20073')"
"('P0CG48', 'Q86Y01')"
"('P10276', 'P55211')"
"('P50238', 'P54257')"
"('Q9HAW0', 'O43242')"
"('PI3KR1', 'PI3KR2')"
"('P22392', 'Q7L2H7')"
"('O75448', 'Q15797')"
"('Q8WWF6', 'Q01844')"
"('P12956', 'P10275')"
"('Q9BT88', 'P48729')"
"('O43255', 'Q16633')"
"('P62140', 'O15399')"
"('O75815', 'Q92945')"
"('Q12962', 'Q16594')"
"('P09668', 'P55957')"
"('P17612', 'Q12791')"
"('P12318', 'P05771')"
"('Q15014', 'P51149')"
"('Q9UL18', 'Q15633')"
"('P41235', 'Q9BUP0')"
"('Q14332', 'P35222')"
"('Q8IYF3', 'Q5JVL4')"
"('P04637', 'Q9UNH5')"
"('O00459', 'Q9HBH0')"
"('Q9UKY1', 'P31749')"
"('Q92890', 'Q13596')"
"('Q92914', 'P08138')"
"('P11597', 'P02647')"
"('Q14194', 'P41227')"
"('P49703', 'Q96A57')"
"('P28331', 'P01889')"
"('Q9H2G2', 'Q14008')"
"('P16220', 'P63279')"
"('P13569', 'P09496')"
"('Q7Z6L0', 'P60880')"
"('Q9UPN3', 'Q92823')"
"('Q93063', 'P41235')"
"('P10275', 'P49715')"
"('Q7Z6Z7', 'Q13107')"
"('P07202', 'Q01344')"
"('Q16695', 'P83916')"
"('P35638', 'Q16520')"
"('P20151', 'P01011')"
"('Q9NWA0', 'Q9NPJ6')"
"('P67809', 'Q07955')"
"('Q14203', 'Q15436')"
"('P37023', 'Q15796')"
"('Q07890', 'P84095')"
"('Q15834', 'O95391')"
"('Q96CV9', 'P36957')"
"('P67775', 'Q13541')"
"('Q16695', 'O95782')"
"('Q14203', 'P27695')"
"('P02768', 'Q13009')"
"('Q06413', 'Q12968')"
"('P05771', 'Q12879')"
"('Q03060', 'Q16649')"
"('Q6VN20', 'Q8N6C5')"
"('Q9Y297', 'Q9UHD9')"
"('P19438', 'Q9Y4K3')"
"('Q9BUJ2', 'Q08211')"
"('Q15843', 'P47914')"
"('Q8IZ69', 'P05026')"
"('Q13315', 'Q7Z5K2')"
"('P50613', 'O00267')"
"('Q05655', 'O14939')"
"('Q92993', 'Q9HAF1')"
"('Q99759', 'O15212')"
"('Q92802', 'P08246')"
"('O95817', 'Q9UJY1')"
"('P04183', 'O95741')"
"('Q08499', 'P63244')"
"('O14543', 'Q13526')"
"('P08651', 'P04070')"
"('P08708', 'P62263')"
"('Q96T51', 'P29320')"
"('P16104', 'P60842')"
"('Q9UHD9', 'Q9Y3C5')"
"('P0CG48', 'Q7Z6J0')"
"('Q96B18', 'Q16512')"
"('Q9NPI8', 'Q8IYD8')"
"('P08047', 'O15392')"
"('Q8IXJ6', 'P68431')"
"('O43921', 'Q15375')"
"('P00390', 'Q8NG27')"
"('P61927', 'P83881')"
"('P17544', 'Q9BYV9')"
"('O75346', 'P14550')"
"('Q02833', 'P48736')"
"('P63104', 'Q8IVF6')"
"('Q9ULV8', 'P21860')"
"('O43791', 'O95197')"
"('O95433', 'P42684')"
"('Q8NHY6', 'P30519')"
"('P53804', 'Q05086')"
"('Q16828', 'P53779')"
"('Q9GZR7', 'Q13158')"
"('Q8IU54', 'Q5VWK5')"
"('P48431', 'Q92858')"
"('P01568', 'Q5VWK5')"
"('Q99523', 'P14672')"
"('O14936', 'Q16650')"
"('P11387', 'Q08211')"
"('P03372', 'Q15291')"
"('Q06323', 'P62195')"
"('O95400', 'P46934')"
"('P49736', 'Q9UNS1')"
"('Q16891', 'Q99689')"
"('P30086', 'P25098')"
"('Q9UQK1', 'P54840')"
"('P34931', 'Q16659')"
"('Q9Y286', 'Q9H788')"
"('Q13972', 'Q07889')"
"('P23508', 'P50570')"
"('P35680', 'Q13547')"
"('Q9UM47', 'Q86Y01')"
"('Q6UWZ7', 'Q9NWV8')"
"('O15239', 'O43677')"
"('P02774', 'Q5UIP0')"
"('P30876', 'P19387')"
"('Q8N3Y1', 'P24385')"
"('P78504', 'Q99466')"
"('Q9NX14', 'O43678')"
"('Q14344', 'O15085')"
"('O60739', 'Q9BSL1')"
"('P62258', 'Q9P0L2')"
"('Q9Y5K5', 'P20618')"
"('Q13330', 'P03372')"
"('Q71SY5', 'A0JLT2')"
"('O95793', 'P07437')"
"('P84022', 'Q9UHL9')"
"('O15519', 'P04049')"
"('Q96EP1', 'P26641')"
"('Q86YL7', 'O00214')"
"('P01100', 'P05412')"
"('Q6PI98', 'Q9Y230')"
"('Q10586', 'P17676')"
"('P20671', 'P33778')"
"('Q66LE6', 'Q8IX90')"
"('P40337', 'Q9ULC4')"
"('P62937', 'P62993')"
"('P07333', 'Q13191')"
"('Q8WYH8', 'P49736')"
"('Q14103', 'Q05519')"
"('Q16186', 'Q9Y5K5')"
"('Q92963', 'P55196')"
"('Q99459', 'Q14764')"
"('O00522', 'Q9BSQ5')"
"('Q9H0D6', 'Q01780')"
"('Q8IY81', 'Q9Y6K5')"
"('Q6WKZ4', 'Q96RG2')"
"('Q99549', 'Q9H9B1')"
"('P60763', 'Q7L576')"
"('O75832', 'P17980')"
"('Q7Z333', 'Q99459')"
"('P18031', 'P68133')"
"('Q16539', 'P61244')"
"('Q13889', 'P18074')"
"('P49768', 'Q9UQB3')"
"('Q13509', 'P38936')"
"('P34932', 'Q99933')"
"('P52756', 'O60508')"
"('P19838', 'P01569')"
"('P04637', 'Q8NFD5')"
"('P02751', 'P08648')"
"('Q9NPJ4', 'P10074')"
"('Q15276', 'Q9UJY5')"
"('Q8WV28', 'P21854')"
"('O96019', 'Q9NRQ2')"
"('Q12772', 'Q13643')"
"('P62136', 'Q9H467')"
"('P62917', 'Q07020')"
"('P01889', 'P47914')"
"('P06239', 'P32927')"
"('Q13535', 'Q9NQ88')"
"('P05423', 'Q15759')"
"('P23458', 'P16473')"
"('Q04206', 'Q01201')"
"('Q9NRM7', 'Q9GZV5')"
"('Q7Z494', 'O15259')"
"('Q9HAV0', 'Q9Y572')"
"('Q9UKV8', 'Q86YZ3')"
"('P46781', 'P62993')"
"('P03372', 'P49815')"
"('Q9Y4G6', 'P05362')"
"('P04350', 'Q13838')"
"('P35222', 'Q9UKB5')"
"('Q8NE01', 'Q9BQ66')"
"('Q15038', 'Q96K80')"
"('P39880', 'O43570')"
"('Q6VMQ6', 'O15230')"
"('P62310', 'O15116')"
"('P63104', 'P16471')"
"('Q9ULW0', 'P62993')"
"('O14745', 'P35241')"
"('P19883', 'Q12841')"
"('P14625', 'P68400')"
"('Q9UL03', 'Q92900')"
"('P52756', 'Q12906')"
"('Q9Y2T4', 'Q99832')"
"('P49915', 'P30480')"
"('P50453', 'Q5T3J3')"
"('P62140', 'Q99941')"
"('P03897', 'P03905')"
"('Q9HBE5', 'P17535')"
"('P06493', 'Q01538')"
"('Q16777', 'Q09028')"
"('P62269', 'P60866')"
"('Q9Y3A3', 'O94989')"
"('Q9Y5B9', 'Q99877')"
"('O00743', 'Q8NB46')"
"('P55157', 'O60721')"
"('A6NM45', 'Q9Y5I7')"
"('P09619', 'P21453')"
"('Q8WUW1', 'Q02413')"
"('Q99558', 'P08708')"
"('P35579', 'Q99459')"
"('C9J798', 'P10301')"
"('Q99798', 'Q9H1Y0')"
"('Q16825', 'P12931')"
"('P01303', 'P28221')"
"('Q53T94', 'Q15572')"
"('P18146', 'P48426')"
"('Q9Y4K3', 'P51617')"
"('P48039', 'P62834')"
"('P67775', 'P36507')"
"('P26038', 'P05362')"
"('P21333', 'P68133')"
"('Q6W2J9', 'Q99496')"
"('Q15942', 'Q9H4A3')"
"('Q13616', 'Q9UBF6')"
"('Q13882', 'P00533')"
"('P11473', 'P19793')"
"('P36897', 'O94921')"
"('O43586', 'P62750')"
"('Q15038', 'P62979')"
"('Q13257', 'Q9Y6G9')"
"('P03891', 'O00217')"
"('P02775', 'P51685')"
"('P46934', 'Q16655')"
"('Q8N1C3', 'O60296')"
"('P00491', 'P30480')"
"('407025', 'Q9Y6K1')"
"('Q9BRR6', 'O60383')"
"('Q13490', 'Q13114')"
"('Q9H1R3', 'P10916')"
"('Q12913', 'P06213')"
"('P20226', 'P06400')"
"('P01566', 'P42702')"
"('P01857', 'P00450')"
"('P10644', 'Q9H0R8')"
"('O96019', 'Q13573')"
"('Q16539', 'P17612')"
"('P63000', 'Q9UP83')"
"('406996', 'P60484')"
"('P04406', 'Q99558')"
"('Q6FIF0', 'Q12933')"
"('Q16236', 'P18283')"
"('P42229', 'P23284')"
"('Q92997', 'O75474')"
"('Q96BN2', 'Q8NEM7')"
"('Q9BY11', 'P03928')"
"('Q9Y5P8', 'P19429')"
"('P51681', 'Q15102')"
"('Q00987', 'Q5VVX9')"
"('Q9UBV4', 'Q9ULW2')"
"('Q15008', 'Q5VTR2')"
"('P26368', 'P49759')"
"('P51532', 'Q92922')"
"('P07947', 'P00519')"
"('Q96GF1', 'P62837')"
"('P46379', 'Q9NRR5')"
"('Q8WXX5', 'Q8IY92')"
"('P26599', 'Q14683')"
"('Q09472', 'Q53ET0')"
"('Q16576', 'O94776')"
"('P51817', 'Q8IZS8')"
"('P30450', 'P01732')"
"('Q00005', 'P04259')"
"('O95295', 'P54257')"
"('Q6P587', 'Q9NPD3')"
"('Q04206', 'P10415')"
"('P51668', 'O94941')"
"('O14640', 'Q8TAA9')"
"('P00750', 'P09486')"
"('P02549', 'Q8N8S7')"
"('O60896', 'P63092')"
"('Q9NYJ8', 'P63261')"
"('Q9P2Y5', 'Q96AX1')"
"('Q9BPZ7', 'P61981')"
"('Q8WTR7', 'O95125')"
"('Q02543', 'P83731')"
"('P14867', 'P60520')"
"('P68371', 'P62993')"
"('P51571', 'Q9BUV8')"
"('Q01804', 'Q9H9G7')"
"('Q13153', 'P50552')"
"('Q9Y6D9', 'Q15233')"
"('P19438', 'Q9Y6D5')"
"('P13501', 'P18827')"
"('P63215', 'O00555')"
"('O60921', 'P06746')"
"('Q9NZA1', 'P15311')"
"('O14640', 'Q9NZC7')"
"('Q99623', 'P06454')"
"('Q9BVA1', 'Q99558')"
"('Q14164', 'O00264')"
"('Q13151', 'P14866')"
"('Q8N163', 'O75365')"
"('Q15788', 'Q9Y6K9')"
"('Q15906', 'Q9NXR8')"
"('Q13480', 'P27986')"
"('Q9NYY3', 'Q9Y2H0')"
"('Q99435', 'Q5VTD9')"
"('Q96A37', 'Q969T4')"
"('Q8IZD9', 'Q9H4E5')"
"('Q99683', 'Q9UM73')"
"('P11487', 'P07333')"
"('O60641', 'Q9BYC9')"
"('P49683', 'Q9NRD5')"
"('P61964', 'Q9P0U4')"
"('P01106', 'Q8TAP6')"
"('P13725', 'P13805')"
"('Q9UHC9', 'P20823')"
"('P38159', 'P62995')"
"('Q15642', 'P42858')"
"('P05423', 'Q9Y535')"
"('P33076', 'P01106')"
"('Q9NV70', 'Q9C026')"
"('Q99750', 'Q8N5R6')"
"('Q16584', 'Q12851')"
"('P0C5Y9', 'Q9Y5B9')"
"('Q04206', 'Q13748')"
"('P51124', 'P01009')"
"('Q8WWH5', 'Q13573')"
"('Q16594', 'Q5RL73')"
"('O00175', 'P46092')"
"('Q9UK53', 'P01106')"
"('Q86U42', 'P63104')"
"('P63000', 'P19438')"
"('Q96EY1', 'P20333')"
"('P62837', 'Q9UBS8')"
"('P11532', 'O00471')"
"('P31947', 'Q14258')"
"('P01889', 'P22695')"
"('P49662', 'P41091')"
"('P08670', 'Q9H2D6')"
"('P33992', 'Q9UBD5')"
"('P49959', 'Q13315')"
"('Q03518', 'P14316')"
"('P13942', 'P05106')"
"('Q9Y4K3', 'Q02556')"
"('P14151', 'Q13477')"
"('P56524', 'P63104')"
"('P01243', 'Q16186')"
"('Q8TAQ2', 'Q8NFD5')"
"('O15530', 'Q9NRX1')"
"('Q15910', 'O43318')"
"('Q07890', 'Q8IV61')"
"('Q9BTC0', 'Q92997')"
"('Q8IY92', 'P17482')"
"('P15018', 'P32927')"
"('Q14623', 'Q13635')"
"('P57678', 'P11802')"
"('Q9H201', 'Q9Y3C5')"
"('Q14240', 'Q13332')"
"('Q07890', 'Q02750')"
"('Q5BKZ1', 'O95343')"
"('Q14526', 'P25106')"
"('Q13547', 'P0C0S5')"
"('P41586', 'O95467')"
"('P36406', 'Q9Y6K9')"
"('P12980', 'P60983')"
"('Q92844', 'Q00610')"
"('P47712', 'P55210')"
"('P61254', 'Q9UNX3')"
"('P62877', 'P62875')"
"('Q13315', 'P11166')"
"('Q96GM8', 'Q13123')"
"('P01106', 'Q9BZL6')"
"('Q99697', 'P67809')"
"('Q9Y580', 'Q00005')"
"('Q14469', 'O60674')"
"('P15882', 'Q04771')"
"('Q96EB6', 'P27695')"
"('O14920', 'O60641')"
"('Q9NVP2', 'P21675')"
"('Q9H2F5', 'Q9Y265')"
"('P01579', 'Q9HBE5')"
"('Q00978', 'Q96AZ6')"
"('Q9NQZ3', 'Q86Y13')"
"('P01116', 'P48736')"
"('P08123', 'P14780')"
"('Q8NDZ2', 'Q9UBS4')"
"('Q16513', 'Q13573')"
"('P11137', 'P62993')"
"('P07333', 'Q96B97')"
"('26765', 'Q92831')"
"('P06746', 'Q04724')"
"('Q99689', 'O43719')"
"('P61019', 'Q9H8Y8')"
"('O43390', 'Q12986')"
"('Q9Y2I6', 'O95990')"
"('P67775', 'Q16589')"
"('Q9UM73', 'P01112')"
"('Q13409', 'Q96NA2')"
"('P56524', 'P20671')"
"('Q9H1J1', 'P15170')"
"('P05388', 'P83881')"
"('P40337', 'O75694')"
"('Q9UM11', 'P31689')"
"('P49286', 'P63218')"
"('O00308', 'Q15637')"
"('Q96PM5', 'P39023')"
"('Q99963', 'P08670')"
"('Q9NQC3', 'O75427')"
"('Q01094', 'P18859')"
"('P26010', 'P08514')"
"('P49841', 'P15692')"
"('P62745', 'P18031')"
"('P29597', 'P52630')"
"('Q9BXL7', 'Q14790')"
"('Q14164', 'P07355')"
"('O14602', 'Q13347')"
"('P08559', 'P52429')"
"('Q8TEW0', 'P01876')"
"('Q9Y6E0', 'P62714')"
"('Q9BTT4', 'P19388')"
"('P10809', 'O15111')"
"('P09919', 'P17181')"
"('Q9Y262', 'P55884')"
"('Q15365', 'Q14103')"
"('O94868', 'Q9NZ63')"
"('P13569', 'P31151')"
"('Q96D09', 'Q9NRI5')"
"('Q8IWZ3', '145781')"
"('P34947', 'P35372')"
"('P20963', 'P62993')"
"('Q05397', 'P19438')"
"('Q9NRD5', 'P11234')"
"('P62917', 'Q8NE62')"
"('P27694', 'Q9UNS1')"
"('O95166', 'Q14596')"
"('P62917', 'Q02878')"
"('P01876', 'P02533')"
"('O75581', 'O75084')"
"('P49747', 'P18827')"
"('P21359', 'P58753')"
"('P0C0S8', 'Q9UQL6')"
"('P06239', 'P28907')"
"('P15018', 'Q6UXL0')"
"('Q9UKF6', 'Q9NP77')"
"('Q93008', 'Q07820')"
"('Q9BXW4', 'Q13501')"
"('P62834', 'P45984')"
"('P84022', 'Q14511')"
"('P08047', 'P48960')"
"('Q8N554', 'Q96BR9')"
"('Q16637', 'P04217')"
"('P17612', 'P63096')"
"('P48643', 'P60510')"
"('Q99759', 'O15027')"
"('P53618', 'O14649')"
"('P30455', 'P30457')"
"('P54619', 'P01303')"
"('P49407', 'P61073')"
"('P03372', 'P98177')"
"('P00519', 'Q92874')"
"('Q9UBN7', 'Q93079')"
"('Q96RI1', 'Q15788')"
"('Q9BT40', 'P81605')"
"('Q14031', 'P05556')"
"('5512', 'P36873')"
"('Q53QZ3', 'P61586')"
"('P31689', 'P30408')"
"('Q13315', 'Q9H1E3')"
"('Q07912', 'P10911')"
"('P24723', 'P02545')"
"('P04792', 'P16871')"
"('Q9HBE5', 'P10914')"
"('P10721', 'O75159')"
"('Q9NP79', 'P11802')"
"('P68032', 'P45379')"
"('Q13415', 'Q14566')"
"('Q86WJ1', 'P15927')"
"('P63208', 'Q9Y3I1')"
"('O60244', 'P28702')"
"('Q7Z406', 'Q9P2M7')"
"('O75444', 'P02489')"
"('Q08211', 'Q00839')"
"('P51452', 'P28482')"
"('Q99750', 'Q96LJ7')"
"('P04406', 'Q96A08')"
"('P62487', 'Q6PD62')"
"('407026', 'P02461')"
"('P07332', 'P23458')"
"('Q8TCT6', 'P62195')"
"('P05106', 'P06756')"
"('Q9UBV4', 'Q14332')"
"('O95644', 'P05112')"
"('P53350', 'Q15811')"
"('O95168', 'O43676')"
"('Q9Y6D9', 'Q9UI95')"
"('Q9HCT0', 'P06213')"
"('Q13485', 'Q9UHP6')"
"('Q8N2Z9', 'Q9NPI8')"
"('P05787', 'P28482')"
"('P0CG48', 'Q14191')"
"('P61981', 'Q13009')"
"('P17535', 'P35228')"
"('Q9Y5S8', 'Q16539')"
"('Q03135', 'P28482')"
"('P23368', 'P62491')"
"('P60709', 'Q9UKX5')"
"('P04818', 'Q9UKE5')"
"('O43150', 'P06241')"
"('P39023', 'Q9H8Y8')"
"('P61081', 'Q99459')"
"('O15379', 'Q06330')"
"('Q9P2F6', 'P60953')"
"('P08708', 'P62857')"
"('Q13315', 'Q9UJZ1')"
"('P63167', 'Q9Y2B9')"
"('P26012', 'P05129')"
"('P42338', 'P49418')"
"('P33240', 'Q9UKF6')"
"('Q06323', 'P48556')"
"('Q92831', 'P16220')"
"('P63104', 'P62906')"
"('Q9NTZ6', 'O60343')"
"('P42345', 'Q70Z35')"
"('Q92945', '406883')"
"('Q9UHI6', 'Q6ZVL6')"
"('Q9Y619', 'Q9UBD5')"
"('P20226', 'Q14919')"
"('Q53TQ3', 'P25490')"
"('P62829', 'P46778')"
"('Q9UGI9', 'Q13131')"
"('P08138', 'Q15147')"
"('P06239', 'P0CG48')"
"('P18031', 'P00519')"
"('Q15672', 'P20719')"
"('P62158', 'P17677')"
"('Q92624', 'Q96S15')"
"('Q14005', 'Q13309')"
"('P17676', 'P45452')"
"('Q99962', 'Q9NYF0')"
"('Q9Y6U3', 'P62993')"
"('P63279', 'Q8NDC0')"
"('P00533', 'O75368')"
"('Q8TDR0', 'Q9BTA9')"
"('Q9Y608', 'P62993')"
"('Q14766', 'P21980')"
"('P35326', 'Q9P2S5')"
"('P22681', 'O00329')"
"('Q16619', 'P40238')"
"('P49411', 'P11171')"
"('P48736', 'Q05513')"
"('P43699', 'Q9Y261')"
"('P61981', 'O14757')"
"('Q9UMN6', 'P04183')"
"('Q92878', 'Q12906')"
"('P17612', 'Q9Y698')"
"('Q9H204', 'P27986')"
"('Q9NR33', 'P78537')"
"('P55884', 'Q14152')"
"('O60341', 'Q92769')"
"('P01241', 'Q9Y262')"
"('O96020', 'Q9BS18')"
"('P17612', 'O95622')"
"('P21246', 'Q9HC16')"
"('Q13077', 'Q9Y6K9')"
"('Q04637', '440264')"
"('Q00005', 'O60840')"
"('Q07817', 'Q07812')"
"('Q99538', 'P04233')"
"('Q96AV8', 'Q9Y265')"
"('Q13200', 'O00233')"
"('Q92945', 'O75815')"
"('Q9NVA2', 'Q15019')"
"('Q13873', 'Q16539')"
"('P40933', 'Q8IU57')"
"('P61956', 'P52757')"
"('P05014', 'P42701')"
"('P68371', 'Q13409')"
"('Q13291', 'Q92835')"
"('O43741', 'Q53ET0')"
"('Q86UR1', 'P22694')"
"('Q96QB1', 'P11940')"
"('P0CG48', 'Q9Y6K9')"
"('P30154', 'Q562F6')"
"('P56748', 'O75508')"
"('Q01130', 'P22626')"
"('P25067', 'P02768')"
"('Q9BUZ4', 'O43294')"
"('Q96QT4', 'P35580')"
"('P62491', 'P51149')"
"('P17405', 'P19438')"
"('O15047', 'Q93079')"
"('Q15428', 'Q7L014')"
"('Q96NA2', 'Q13748')"
"('P01236', 'Q99062')"
"('406887', 'P52926')"
"('Q15811', 'O15357')"
"('P04406', 'Q16637')"
"('Q9BRP4', 'P62195')"
"('Q13705', 'Q8NER5')"
"('P98170', 'O75800')"
"('P08133', 'Q07157')"
"('P62879', 'P63092')"
"('P45973', 'Q13185')"
"('P18146', 'O14576')"
"('O75528', 'O94864')"
"('Q01844', 'Q8N4F4')"
"('P62805', 'Q9UBN7')"
"('Q15717', 'Q14103')"
"('P13612', 'P17301')"
"('P35222', 'Q5TCQ9')"
"('O95751', 'Q9UGP5')"
"('Q99759', 'P31943')"
"('Q96BN2', 'Q12962')"
"('P29350', 'Q8NHJ6')"
"('Q9Y4K3', 'Q01105')"
"('Q3YEC7', 'Q99750')"
"('P49716', 'Q7RTN6')"
"('P12821', 'Q16665')"
"('Q7Z5J4', 'P24522')"
"('Q6ZW49', 'P16104')"
"('Q96HF1', 'Q9H461')"
"('O95897', 'P14618')"
"('Q9HAU4', 'Q9H0M0')"
"('O14543', 'P17181')"
"('O15264', 'Q92804')"
"('P63279', 'O75928')"
"('Q8WUM4', 'P07947')"
"('P49336', 'Q71SY5')"
"('Q14315', 'P26012')"
"('Q8NGJ8', 'P38405')"
"('P30466', 'P43627')"
"('Q9H8Y8', 'Q5XKR4')"
"('Q99570', 'Q14457')"
"('P16870', 'Q9Y3C7')"
"('Q09472', 'P15172')"
"('Q12913', 'Q15118')"
"('Q00005', 'Q8WWM7')"
"('Q96NB3', 'O60306')"
"('Q9NQC3', 'O96009')"
"('P17301', 'O75369')"
"('Q15008', 'P61247')"
"('Q9UNM6', 'O60739')"
"('Q01201', 'P16083')"
"('P31946', 'P0CG48')"
"('P49914', 'Q9Y3Q8')"
"('P56524', 'O60566')"
"('P49841', 'Q6UXH1')"
"('P52735', 'P78314')"
"('Q8IZL2', 'Q04721')"
"('Q04206', 'P41217')"
"('Q02878', 'Q13352')"
"('P27930', 'Q9Y4K3')"
"('P01106', 'Q16540')"
"('P19875', 'P51681')"
"('P35579', 'P08238')"
"('O43301', 'Q96KG7')"
"('Q08170', 'P52272')"
"('Q9Y3C6', 'Q9BQA1')"
"('Q9Y4K3', 'P45983')"
"('P03372', 'O15054')"
"('O60381', 'O60844')"
"('P35080', 'P11171')"
"('Q99700', 'P05060')"
"('Q9H094', 'Q8WW01')"
"('Q16543', 'P31751')"
"('Q92769', 'Q16778')"
"('P11388', 'O14980')"
"('P24723', 'P60709')"
"('P01106', 'Q9NYK5')"
"('P11142', 'Q86UA6')"
"('P22626', 'P26368')"
"('Q9BYV9', 'O60675')"
"('P26196', 'Q9NPI6')"
"('P60900', 'P0CG47')"
"('Q86WZ6', 'P49841')"
"('Q92841', 'Q8WXA9')"
"('Q8TEX9', 'Q9Y5J5')"
"('Q9Y5X1', 'P49257')"
"('P35080', 'P68032')"
"('Q15118', 'O00141')"
"('Q9NQB0', 'Q14526')"
"('P62873', 'Q9Y572')"
"('P18887', 'O96017')"
"('P21728', 'P63092')"
"('P05013', 'P16471')"
"('Q96I25', 'Q13573')"
"('O60674', 'P23458')"
"('Q8IW19', 'P13010')"
"('Q8N163', 'P58317')"
"('Q16594', 'Q9UHQ1')"
