negatives
"('Q9HD36', 'Q07812')"
"('Q9BW04', 'Q86YM7')"
"('P52597', 'P24928')"
"('Q9Y2P4', 'O14798')"
"('P54259', 'O15162')"
"('P05067', 'Q92870')"
"('P80098', 'P32246')"
"('P18146', 'Q63ZY3')"
"('P16422', 'P13569')"
"('Q15436', 'Q00536')"
"('Q9BQI3', 'P25963')"
"('P33241', 'P04049')"
"('Q8IYW5', 'Q9Y3C5')"
"('Q53HC9', 'Q9H8S9')"
"('P01236', 'P15509')"
"('P31946', 'P49685')"
"('Q9UQM7', 'P28482')"
"('Q96PM9', 'Q969T4')"
"('P26641', 'P60953')"
"('Q15796', 'Q93034')"
"('P01730', 'P07339')"
"('Q01780', 'Q13573')"
"('P55957', 'Q9UKY1')"
"('Q9Y2X7', 'Q9C0J8')"
"('P42224', 'P50591')"
"('Q92831', 'P46531')"
"('O96017', 'P56645')"
"('P11474', 'P51843')"
"('Q8NFH3', 'P49790')"
"('P20340', 'Q9UI14')"
"('Q8WXA3', 'Q9BVJ7')"
"('P31949', 'P01889')"
"('P16104', 'P09525')"
"('Q04864', 'P20749')"
"('Q8N122', 'P37231')"
"('Q03135', 'P16234')"
"('P31948', 'Q96PU5')"
"('Q8IY92', 'Q06190')"
"('P07766', 'Q8TE68')"
"('P51617', 'Q13049')"
"('P63279', 'P10276')"
"('Q8WYH8', 'P33991')"
"('Q96LR2', 'O14964')"
"('P32121', 'Q8NGN1')"
"('Q13573', 'Q9Y2Z0')"
"('P15311', 'Q92574')"
"('P07996', 'P10600')"
"('P27986', 'P30260')"
"('P26368', 'Q9UHR5')"
"('P01100', 'Q9Y5Q3')"
"('P62424', 'P62917')"
"('P27824', 'P27701')"
"('P61981', 'Q14978')"
"('P32121', 'Q8NH64')"
"('Q9BQ66', 'Q5HYJ3')"
"('Q5VWX1', 'P38159')"
"('Q9Y375', 'O95139')"
"('P01106', 'P36955')"
"('P31751', 'Q13233')"
"('P08047', 'Q15573')"
"('Q6AI08', 'Q13884')"
"('P27361', 'O76070')"
"('Q9BVJ6', 'Q9H8T0')"
"('P46937', 'Q15561')"
"('P05496', 'P56134')"
"('Q15843', 'P23396')"
"('O75159', 'P42229')"
"('P24928', 'P38398')"
"('P58876', 'Q92769')"
"('Q7Z401', 'P31946')"
"('P24864', 'P51610')"
"('P81605', 'P21796')"
"('Q13838', 'P61981')"
"('Q13573', 'Q9H6S3')"
"('Q15717', 'P35625')"
"('P35244', 'P49736')"
"('Q9UKV0', 'Q7L7L0')"
"('P62380', 'P54132')"
"('Q99459', 'Q8IUH3')"
"('Q15645', 'Q14194')"
"('P35998', 'P62987')"
"('Q14643', 'Q9NSC5')"
"('O75478', 'O95990')"
"('P55198', 'Q96RN5')"
"('Q9NZT1', 'P29475')"
"('Q5VU43', 'Q13642')"
"('Q9H0J4', 'O60232')"
"('O94842', 'P16885')"
"('P05546', 'P00734')"
"('Q9Y328', 'P13805')"
"('Q07890', 'P19438')"
"('O15162', 'P05413')"
"('P08047', 'Q5U623')"
"('P27930', 'Q15750')"
"('Q9UBB4', 'Q9BV47')"
"('Q5VWQ8', 'Q12933')"
"('Q9NV56', 'Q9NXR8')"
"('Q96HF1', 'O00744')"
"('O95999', 'Q96LW7')"
"('Q92574', 'Q8NI35')"
"('O43543', 'O43502')"
"('O43677', 'P03923')"
"('P22694', 'O00168')"
"('Q9UQ80', 'Q14164')"
"('Q13432', 'Q13625')"
"('P19419', 'P20226')"
"('407007', 'P04179')"
"('O14964', 'P54920')"
"('Q05084', 'P26441')"
"('P62158', 'P00533')"
"('Q8NF50', 'Q9HBH0')"
"('P16298', 'Q9UIK4')"
"('P09467', 'Q8TBB1')"
"('Q00653', 'P01569')"
"('O15156', 'P02452')"
"('P62316', 'P08729')"
"('Q92918', 'Q9H2G2')"
"('P19793', 'P35637')"
"('P06241', 'P40763')"
"('Q9Y2S0', 'P62263')"
"('Q9UPN9', 'O43439')"
"('P32121', 'O43869')"
"('P62877', 'P49674')"
"('Q9NZT1', 'P16298')"
"('P30480', 'P63167')"
"('P30443', 'P43627')"
"('Q66GS9', 'O15198')"
"('Q99704', 'P07332')"
"('P10144', 'Q9H853')"
"('Q14117', 'Q9BPU6')"
"('Q9Y3Q8', 'Q8TBB1')"
"('P27635', 'Q92901')"
"('Q8IXH7', 'Q96DB2')"
"('P62330', 'P55735')"
"('P69905', 'Q05086')"
"('P08238', 'Q13813')"
"('Q5TA45', 'P04183')"
"('Q13554', 'Q9UKV0')"
"('P16473', 'P23458')"
"('P04626', 'Q05397')"
"('P42858', 'P08047')"
"('Q14197', 'Q96GC5')"
"('P21333', 'Q15399')"
"('P47928', 'P12931')"
"('O43402', 'Q15714')"
"('P35222', 'P31749')"
"('P12931', 'P40763')"
"('P0CG48', 'Q9UER7')"
"('P84103', 'O14646')"
"('P49747', 'P01137')"
"('Q9UKR5', 'P56282')"
"('P58317', 'P01106')"
"('Q13158', 'O15519')"
"('Q9P0V3', 'Q9ULV3')"
"('O95751', 'Q9H8W4')"
"('Q15619', 'P38405')"
"('P62241', 'P62854')"
"('Q9H1Y0', 'Q9NT62')"
"('Q8WXG9', 'O43306')"
"('Q9HB58', 'Q15714')"
"('Q15653', 'P15104')"
"('406984', 'Q8WW38')"
"('P13501', 'P17676')"
"('Q15013', 'Q9Y6D9')"
"('Q9UET6', 'O43242')"
"('P31946', 'Q07866')"
"('Q9UIF7', 'P27694')"
"('Q9HBM6', 'O15265')"
"('Q9UQM7', 'Q14432')"
"('P04637', 'Q99728')"
"('Q9Y4K3', 'Q6IA17')"
"('P84996', 'P61952')"
"('Q9BVP2', 'P01106')"
"('Q5T4F7', 'P56704')"
"('P21453', 'P28221')"
"('P29965', 'Q13469')"
"('Q9Y2X8', 'Q96GF1')"
"('Q14164', 'P54819')"
"('P62993', 'Q8IWV1')"
"('P61586', 'Q05397')"
"('Q9Y4K3', 'Q9C0K7')"
"('Q9Y696', 'P15311')"
"('O43929', 'Q9UBD5')"
"('P12931', 'P18433')"
"('Q13255', 'Q9NSB8')"
"('P12980', 'P47928')"
"('Q15287', 'Q9UJV9')"
"('P26641', 'Q8WYK2')"
"('P46736', 'P06899')"
"('P13569', 'Q14444')"
"('Q14141', 'Q6PKG0')"
"('O60262', 'P08754')"
"('Q99575', 'P78345')"
"('P25786', 'Q15834')"
"('O15105', 'P37173')"
"('Q08211', 'Q07955')"
"('P36873', 'Q13554')"
"('P0C5Y9', 'Q99880')"
"('P06899', 'Q96QV6')"
"('P0CG48', 'Q07812')"
"('P51681', 'Q15583')"
"('Q86VX9', 'Q5VTD9')"
"('P67775', 'P28482')"
"('Q9H0R5', 'Q9NS25')"
"('Q08945', 'Q71UI9')"
"('O95751', 'P19012')"
"('P23258', 'Q9BQE3')"
"('Q14103', 'Q86V81')"
"('Q9H4K1', 'Q96BY9')"
"('P25054', 'P04183')"
"('P20810', 'P12931')"
"('Q9UGN5', 'P05015')"
"('P17301', 'P46108')"
"('Q9P1Z0', 'P38936')"
"('Q03164', 'Q6ZVZ8')"
"('Q5RL73', 'P38936')"
"('P68366', 'Q9Y6G9')"
"('Q9NPD3', '440264')"
"('Q14674', 'Q8N3U4')"
"('P61077', 'Q9BZR9')"
"('Q9UH99', 'Q9GZS1')"
"('P31689', 'Q9Y2Q3')"
"('Q13555', 'Q9NY47')"
"('Q01844', 'P26378')"
"('O15264', 'P35637')"
"('Q9Y3A3', 'Q9ULQ0')"
"('Q99835', 'P41182')"
"('Q9UKF6', 'Q6UN15')"
"('Q02218', 'P36957')"
"('P05230', 'P08069')"
"('Q9UKN7', 'B1AK53')"
"('P50148', 'P39877')"
"('P62310', 'P51681')"
"('O15553', 'P27348')"
"('P14635', 'P12830')"
"('Q13191', 'P10721')"
"('Q9UKG1', 'Q9H8W4')"
"('O75530', 'P68431')"
"('Q8TAQ2', 'O96019')"
"('O75170', 'O00743')"
"('P67870', 'P42025')"
"('Q9BTM1', 'Q9UKV0')"
"('Q8NEM7', 'Q16594')"
"('574032', 'P03372')"
"('Q13435', 'Q96FV9')"
"('Q13620', 'Q9BW61')"
"('Q9Y6K9', 'P53621')"
"('O75400', 'Q86Z02')"
"('P78352', 'Q9NQT8')"
"('Q9ULV8', 'P62256')"
"('Q05516', 'Q92769')"
"('Q76L83', 'O75400')"
"('Q9HBW0', 'Q9UK08')"
"('P78369', 'Q8N7P3')"
"('P42224', 'P51692')"
"('Q8IWV7', 'Q9BX70')"
"('Q96ST3', 'P04637')"
"('P56945', 'Q08043')"
"('Q8IZL8', 'Q9NR30')"
"('O00257', 'P78364')"
"('Q9BRQ0', 'Q96BN2')"
"('P11586', 'Q9UBN6')"
"('Q13485', 'P15336')"
"('Q9NX18', 'O95163')"
"('P28068', 'P04233')"
"('Q9UNX3', 'P62888')"
"('Q9UBU7', 'P33993')"
"('P24539', 'O75964')"
"('P62829', 'P62424')"
"('P67809', 'P55795')"
"('Q9H4K1', 'Q9Y620')"
"('P46776', 'P40429')"
"('Q9P0W2', 'P14866')"
"('Q14197', 'Q9Y3B7')"
"('O60814', 'Q93077')"
"('O43924', 'P63096')"
"('P46776', 'P05388')"
"('Q13043', 'P04637')"
"('P27482', 'Q32MK0')"
"('P27986', 'P29074')"
"('O43809', 'P26641')"
"('Q14680', 'O75716')"
"('Q9Y605', 'P28749')"
"('P63146', 'Q92541')"
"('P10721', 'P01116')"
"('Q13547', 'O60341')"
"('P15090', 'P08670')"
"('O60603', 'P68371')"
"('Q06190', 'P32121')"
"('P54259', 'O43439')"
"('Q96B97', 'P0CG48')"
"('Q13352', 'Q9P2H0')"
"('P25445', 'P68104')"
"('Q9ULH1', 'P42680')"
"('O14493', 'P56748')"
"('P25963', 'Q01201')"
"('P49327', 'Q13233')"
"('P45973', 'P07437')"
"('Q9UQR1', 'P56524')"
"('Q9Y4K0', 'P01243')"
"('Q15172', 'P68400')"
"('Q9NY33', 'P11142')"
"('Q9Y4L5', 'Q9Y2X8')"
"('O94762', 'P36954')"
"('Q8NEB9', 'Q9BXW4')"
"('P01106', 'P31040')"
"('O60262', 'O14775')"
"('P56880', 'Q8N6F1')"
"('P01106', 'O75529')"
"('P62249', 'P25398')"
"('Q08999', 'Q9UQ80')"
"('P62316', 'P29353')"
"('Q969D9', 'P08887')"
"('P84022', 'Q14186')"
"('P41235', 'P01106')"
"('Q96B18', 'Q16512')"
"('P05452', 'Q92882')"
"('P15498', 'P07437')"
"('O43676', 'O95182')"
"('Q9Y3C7', 'P38936')"
"('Q04864', 'Q8NFZ5')"
"('Q5RL73', 'P51159')"
"('P48552', 'P35609')"
"('Q9NW64', 'O60306')"
"('P04899', 'P27361')"
"('P62993', 'Q92932')"
"('P20701', 'P15498')"
"('Q8IW41', 'Q15750')"
"('O14965', 'O14920')"
"('P42704', 'P60520')"
"('P46108', 'Q9Y5H5')"
"('P08047', 'Q9UBT6')"
"('P04637', 'P42345')"
"('P43405', 'P42336')"
"('P11171', 'P61803')"
"('Q9Y2Q3', 'Q5VWQ8')"
"('P35914', 'Q9GZW8')"
"('Q9UNK0', 'P51809')"
"('P04222', 'P12268')"
"('P01308', 'P42336')"
"('P05112', 'Q6UXL0')"
"('O43237', 'P07437')"
"('P61981', 'Q92934')"
"('Q9BRP4', 'Q5VTR2')"
"('P01106', 'Q9UQ80')"
"('Q07960', 'Q92730')"
"('P07737', 'Q562R1')"
"('P07996', 'P18084')"
"('Q9HAU4', 'P21802')"
"('P25208', 'P16989')"
"('P62140', 'P48058')"
"('P52747', 'Q14653')"
"('P61981', 'Q14739')"
"('P09104', 'Q5JVS0')"
"('P28482', 'Q70SY1')"
"('Q99717', 'Q9Y3E7')"
"('O95163', 'Q9Y6M9')"
"('Q03001', 'Q9NYQ7')"
"('Q9BXR0', 'Q15047')"
"('P61978', 'Q9BXP5')"
"('P63244', 'P13569')"
"('P32121', 'Q8NGH3')"
"('P01023', 'P09038')"
"('P06400', 'Q99708')"
"('Q9Y4X4', 'Q96KQ7')"
"('P49841', 'P99999')"
"('P51610', 'Q16778')"
"('P14373', 'O14933')"
"('Q07890', 'Q969Y2')"
"('P51532', 'Q16666')"
"('P19544', 'O95201')"
"('Q13164', 'Q16665')"
"('O94921', 'P01877')"
"('P27361', 'Q68CJ9')"
"('P60900', 'P11171')"
"('Q9H9D4', 'Q13111')"
"('P62081', 'P35544')"
"('P22694', 'Q99819')"
"('Q9H0L4', 'Q05048')"
"('Q01094', 'P49756')"
"('Q14833', 'Q9P2W3')"
"('Q13315', 'Q9HCJ3')"
"('P46937', 'Q15797')"
"('Q9H832', 'Q8WU17')"
"('P62837', 'P62987')"
"('P35626', 'Q8NGE1')"
"('Q13098', 'Q13616')"
"('Q92783', 'Q13094')"
"('P51946', 'P25786')"
"('P02768', 'P02654')"
"('P09486', 'P43235')"
"('P50151', 'P42338')"
"('Q5VVX9', 'P08865')"
"('P14923', 'Q96JB5')"
"('P26006', 'Q9HBI0')"
"('P01344', 'P08069')"
"('Q05397', 'Q15788')"
"('O14933', 'O95071')"
"('Q9BY84', 'P53778')"
"('Q13191', 'P26951')"
"('Q9BVJ7', 'P29353')"
"('P01106', 'Q16548')"
"('Q9BYD1', 'Q9Y4K3')"
"('P07355', 'Q14164')"
"('O95757', 'P05787')"
"('P62136', 'O75807')"
"('Q93009', 'Q9ULU4')"
"('Q9UJX4', 'Q9NZH5')"
"('P05112', 'Q14626')"
"('P14210', 'Q04756')"
"('P01106', 'P25490')"
"('P18615', 'P61981')"
"('P35244', 'Q86WJ1')"
"('Q13472', 'O15360')"
"('Q6WCQ1', 'P07437')"
"('P01569', 'P40238')"
"('P22681', 'P43403')"
"('Q9H6J7', 'Q05086')"
"('P62258', 'Q13111')"
"('P60520', 'Q96AH8')"
"('Q13435', 'O43395')"
"('Q9UKW4', 'P13987')"
"('P78527', 'O75143')"
"('P09917', 'Q8WUH2')"
"('Q15173', 'Q8IZS8')"
"('Q8TAX9', 'P18146')"
"('Q5VTD9', 'P28799')"
"('Q49AN0', 'O15534')"
"('P04637', 'P54132')"
"('Q12933', 'Q9Y265')"
"('Q01543', 'P34810')"
"('P51532', 'Q96GM5')"
"('Q15418', 'Q9Y534')"
"('Q9H160', 'Q09472')"
"('P61254', 'P49207')"
"('P36894', 'Q12841')"
"('Q92905', 'Q9BXL7')"
"('P41567', 'Q14152')"
"('P32927', 'Q8WYR1')"
"('P62993', 'P10301')"
"('O95411', 'Q15287')"
"('Q8N5A5', 'O94776')"
"('P61981', 'O94915')"
"('P01106', 'P53804')"
"('P48634', 'P47897')"
"('Q13162', 'Q9UBN7')"
"('Q99684', 'P08246')"
"('P28562', 'Q13164')"
"('Q9H1K1', 'P31946')"
"('Q96HR3', 'Q15648')"
"('P23443', 'Q9BY77')"
"('Q15637', 'P10275')"
"('P53804', 'P0CG48')"
"('Q9NVI7', 'Q15628')"
"('Q04743', 'P98175')"
"('O43318', 'Q92831')"
"('O43809', 'P60896')"
"('P67775', 'Q9GZV5')"
"('P19793', 'O15516')"
"('P27986', 'P20936')"
"('P27361', 'O43623')"
"('O75791', 'P63244')"
"('P38936', 'Q99741')"
"('P17948', 'Q8WYR1')"
"('P01106', 'Q14683')"
"('P10809', 'P13569')"
"('P61978', 'P12544')"
"('O00222', 'P61952')"
"('P13010', 'Q96HA7')"
"('P02751', 'P01857')"
"('P00533', 'O00459')"
"('P09651', 'P48634')"
"('P46734', 'Q96MM3')"
"('Q9UBK5', 'P48736')"
"('Q8N5Z5', 'Q8TBB1')"
"('Q13432', 'P07737')"
"('O14730', 'P43686')"
"('P62736', 'O00459')"
"('P21673', 'O15197')"
"('P62995', 'Q15287')"
"('Q8WV24', 'Q13310')"
"('P11021', 'Q04864')"
"('Q8N2W9', 'O15105')"
"('Q13573', 'P53621')"
"('Q9HAV0', 'Q92569')"
"('O60925', 'P62857')"
"('P10276', 'Q9UKP3')"
"('P41182', 'O15197')"
"('P37023', 'P01137')"
"('P26010', 'P46108')"
"('Q8IWF7', 'Q05193')"
"('P48551', 'P01567')"
"('P27986', 'Q9P1A6')"
"('Q92945', 'Q01085')"
"('Q9NYF0', 'Q16512')"
"('Q06787', 'Q13153')"
"('Q96NL0', 'P78368')"
"('Q6ZU52', 'P19012')"
"('P30050', 'P05387')"
"('Q9UBB5', 'Q9BTC8')"
"('Q8NF50', 'P17081')"
"('P01111', 'P19174')"
"('P62310', 'Q01831')"
"('P84022', 'Q9UBH0')"
"('Q08117', 'O95343')"
"('P31947', 'Q6DT37')"
"('Q0VG06', 'Q9NVI1')"
"('P61224', 'Q8WYR1')"
"('O00255', 'P09630')"
"('O15264', 'Q14697')"
"('P18077', 'P62888')"
"('Q9BXL8', 'Q01094')"
"('Q9NPH9', 'Q08334')"
"('Q14CS0', 'P63279')"
"('Q03167', 'P61812')"
"('O15239', 'P03901')"
"('Q96A00', 'Q15139')"
"('Q8WTS6', 'P04637')"
"('Q13535', 'Q08379')"
"('P16615', 'Q15628')"
"('Q9NQT4', 'Q96SZ6')"
"('Q9C0K0', 'O95983')"
"('P00519', 'P29350')"
"('P42224', 'P33992')"
"('Q03164', 'Q93034')"
"('Q9UGJ0', 'Q12778')"
"('P29400', 'P18827')"
"('Q9GZS3', 'P52434')"
"('O43676', 'O00483')"
"('Q9ULM3', 'Q8IYH5')"
"('Q93084', 'P30457')"
"('Q92766', 'P07942')"
"('P54259', 'A6BM72')"
"('O43678', 'O95178')"
"('Q9NS91', 'Q149N8')"
"('P50150', 'P48544')"
"('O43707', 'P20929')"
"('Q8TEX9', 'O76071')"
"('P04183', 'P60709')"
"('Q99873', 'O60232')"
"('P16035', 'P22234')"
"('P18146', 'P04085')"
"('Q08050', 'P30307')"
"('Q5T2W1', 'P51790')"
"('P49023', 'P06241')"
"('Q03701', 'Q9UHA4')"
"('Q9Y572', 'Q9Y230')"
"('Q13315', 'P04792')"
"('P25786', 'Q9BPX1')"
"('Q9UKM9', 'O75626')"
"('O75676', 'Q68CJ9')"
"('O15111', 'P21580')"
"('P98175', 'Q8IX12')"
"('P25391', 'Q13683')"
"('P08123', 'P14316')"
"('O43242', 'O00231')"
"('O95990', 'O95751')"
"('Q96EB6', 'O75376')"
"('P62750', 'P27635')"
"('O75376', 'P25963')"
"('P22362', 'O00574')"
"('P07910', 'Q13151')"
"('O95163', 'P21333')"
"('P63104', 'P19105')"
"('Q9H1A4', 'Q13042')"
"('P41182', 'Q15771')"
"('Q9UKX7', 'Q99567')"
"('Q9UL18', 'P40429')"
"('Q9NRN7', 'Q8IY92')"
"('Q9Y4D7', 'O15041')"
"('P01106', 'Q9NQB0')"
"('P08754', 'P61073')"
"('P60673', 'P62736')"
"('Q92769', 'O75376')"
"('Q9NRA1', 'Q02763')"
"('Q12933', 'Q969F0')"
"('Q9H9Y6', 'Q15572')"
"('O43809', 'Q13595')"
"('O75496', 'Q99741')"
"('O43353', 'O95999')"
"('Q9BX69', 'Q13546')"
"('Q06124', 'O43559')"
"('Q05195', 'P0CG48')"
"('O00303', 'P55884')"
"('P46977', 'Q13454')"
"('P53567', 'P18847')"
"('Q9ULV8', 'Q99963')"
"('Q9BYB0', 'Q9NSB8')"
"('P09919', 'P26992')"
"('Q9NS56', 'O75800')"
"('Q9UKR5', 'Q9BTE0')"
"('Q16566', 'P40145')"
"('P00519', 'O60504')"
"('P30480', 'Q01813')"
"('P21980', 'P07996')"
"('Q08211', 'O60508')"
"('P17931', 'P55211')"
"('P31947', 'P33176')"
"('Q96RQ3', 'Q00005')"
"('P12268', 'Q9UBN6')"
"('P20827', 'P06241')"
"('P04156', 'Q9BRP8')"
"('P28749', 'Q9UQ80')"
"('Q8TEW0', 'Q9NQ66')"
"('P0C5Z0', 'Q96A08')"
"('Q08380', 'P41279')"
"('P46736', 'Q9NWV8')"
"('Q13573', 'P26373')"
"('P13725', 'Q08334')"
"('P09429', 'P48729')"
"('Q07157', 'P63267')"
"('P19320', 'Q92569')"
"('P37840', 'P51693')"
"('O60925', 'O15031')"
"('P26373', 'P62993')"
"('Q13573', 'Q8IYB8')"
"('P42766', 'P62888')"
"('Q7Z6J6', 'P14923')"
"('O15198', 'Q9H173')"
"('Q9ULV8', 'O15069')"
"('P09038', 'P21802')"
"('P58335', 'O75581')"
"('Q14161', 'P25098')"
"('P08069', 'Q15147')"
"('P61586', 'P60763')"
"('Q9NYJ8', 'P07437')"
"('P01563', 'P19235')"
"('O14610', 'Q92806')"
"('Q9UHD2', 'P25963')"
"('Q99459', 'P25440')"
"('P04844', 'Q15910')"
"('P28482', 'O43889')"
"('O75165', 'Q9UK32')"
"('P00492', 'Q9NRG1')"
"('P59901', 'P08637')"
"('P02751', 'P17301')"
"('P15822', 'P18206')"
"('Q14469', 'P31946')"
"('Q14165', 'P23508')"
"('406952', 'O43521')"
"('P45983', 'P67775')"
"('Q9Y297', 'Q14644')"
"('O43493', 'Q96CW1')"
"('Q99558', 'Q14449')"
"('P57730', 'P29466')"
"('P36956', 'P27361')"
"('Q6P2C8', 'Q93074')"
"('P62633', 'Q9H361')"
"('P41235', 'P84022')"
"('Q16514', 'O94864')"
"('Q9BVJ6', 'Q8NHQ1')"
"('Q8NF50', 'P52198')"
"('O60684', 'P55060')"
"('P01138', 'P10721')"
"('Q12933', 'Q12851')"
"('O43261', 'Q9NUQ8')"
"('P08172', 'P61952')"
"('Q9BY76', 'P11802')"
"('Q92560', 'O14933')"
"('P51148', 'P40337')"
"('P38398', 'P30876')"
"('P63104', 'P49643')"
"('Q9NQW6', 'Q13573')"
"('P42684', 'Q70E73')"
"('P63279', 'P22314')"
"('Q14315', 'Q9UBF9')"
"('O75251', 'O95298')"
"('Q9UPR3', 'Q06190')"
"('O14965', 'O15392')"
"('Q13424', 'P11169')"
"('Q5VTD9', 'Q15834')"
"('P41567', 'O15371')"
"('Q9NX58', 'O60832')"
"('Q9NY61', 'P52435')"
"('P07306', 'P56199')"
"('Q92620', 'Q8IWZ8')"
"('Q8TDY2', 'Q15714')"
"('P16333', 'O15524')"
"('Q9BRX2', 'Q3ZCQ8')"
"('P62487', 'P24928')"
"('P22612', 'P46019')"
"('Q6UXH1', 'Q00535')"
"('P00505', 'P21796')"
"('Q15287', 'Q13247')"
"('P38919', 'Q9BY77')"
"('P09693', 'P43403')"
"('Q00839', 'P55795')"
"('Q9H361', 'Q9H074')"
"('Q96EQ8', 'Q96LR5')"
"('Q9UD71', 'P22694')"
"('Q9UM13', 'Q9UJX4')"
"('Q9BT40', 'P81605')"
"('P29350', 'P18146')"
"('P08865', 'P62753')"
"('Q96ID5', 'P49903')"
"('Q13501', 'Q8NEY8')"
"('Q15047', 'Q9NRN5')"
"('Q6P1J9', 'P23193')"
"('P25391', 'P16144')"
"('Q13263', 'Q7L2J0')"
"('P53618', 'P13569')"
"('Q13315', 'Q9BWU0')"
"('P62714', 'Q9NSI5')"
"('O96013', 'Q86YP4')"
"('Q9NRD5', 'P84077')"
"('P11912', 'P29353')"
"('Q9UBY5', 'Q8WYR1')"
"('P01303', 'P49019')"
"('P0CG47', 'Q8IYW5')"
"('Q9Y2W2', 'Q92841')"
"('Q96EB6', 'P53539')"
"('O15287', 'Q9BXW9')"
"('Q93034', 'Q96BD6')"
"('P0C0S8', 'Q9UQL6')"
"('P50570', 'P54252')"
"('O15198', 'Q9Y5J3')"
"('407040', 'P46531')"
"('Q13177', 'Q13404')"
"('Q9HCG8', 'Q96B26')"
"('P02768', 'Q9Y4G6')"
"('Q99973', 'P17252')"
"('P11229', 'O95837')"
"('P16220', 'O60880')"
"('Q9UI09', 'Q16795')"
"('Q5EB52', 'Q92845')"
"('Q07955', 'Q16629')"
"('Q92731', 'Q9GZR2')"
"('P55268', 'O95295')"
"('Q14653', 'Q92887')"
"('Q9BQ66', 'Q8NE01')"
"('Q96B97', 'O15056')"
"('Q99741', 'Q7L590')"
"('O43147', 'Q12905')"
"('O15260', 'Q9BUV8')"
"('Q96AD5', 'Q712K3')"
"('O95685', 'O14965')"
"('P63220', 'P62081')"
"('Q9HB90', 'Q76FK4')"
"('Q9HAU5', 'Q9H0D6')"
"('P68400', 'P13861')"
"('Q99459', 'Q9P2I0')"
"('Q16821', 'P06400')"
"('Q96MT3', 'O14640')"
"('Q13153', 'Q9HCE7')"
"('O00631', 'P26678')"
"('O95785', 'P38936')"
"('Q96EY7', 'Q9UL18')"
"('P62873', 'P18545')"
"('P36873', 'Q7Z3S7')"
"('Q6IE81', 'P33992')"
"('O96019', 'Q6P4R8')"
"('Q96CS7', 'Q6VMQ6')"
"('O94915', 'Q9NRI5')"
"('Q9H1C0', 'P84996')"
"('Q9NRA1', 'P10721')"
"('P31150', 'P15153')"
"('Q14204', 'Q13573')"
"('P02768', 'Q9H6Z4')"
"('P04637', 'P27695')"
"('O95858', 'P41220')"
"('P01569', 'P26951')"
"('Q99708', 'Q92878')"
"('Q15796', 'O15523')"
"('P62879', 'P25116')"
"('Q12986', 'O43390')"
"('C9JDP6', 'P56747')"
"('Q8IZH2', 'Q13310')"
"('Q5VTL8', 'P61981')"
"('Q00325', 'Q9UL18')"
"('Q15796', 'Q00325')"
"('Q9UHF4', 'P23458')"
"('Q16537', 'O00305')"
"('Q5T5P2', 'Q9NQT4')"
"('Q9UPN9', 'O95619')"
"('P05496', 'O75947')"
"('Q969Q1', 'O15273')"
"('Q12789', 'P55769')"
"('O60271', 'Q9NPJ4')"
"('P01106', 'Q5QJE6')"
"('P08572', 'P26010')"
"('Q99683', 'P63104')"
"('Q9NZS9', 'P61077')"
"('P45984', 'P53539')"
"('Q99624', 'O75935')"
"('Q9UI09', 'O95298')"
"('Q86WV6', 'Q16666')"
"('Q13151', 'P49368')"
"('Q8NGE9', 'P38405')"
"('Q13315', 'Q96RU2')"
"('P41743', 'Q04917')"
"('P52735', 'O43432')"
"('P13569', 'P55060')"
"('P31946', 'O75643')"
"('Q92913', 'P08581')"
"('P00519', 'P04083')"
"('P01243', 'P62158')"
"('Q9P031', 'Q9Y4K3')"
"('Q9NVI1', 'Q9HAW0')"
"('P16220', 'Q9UHG2')"
"('Q8TBB1', 'Q13643')"
"('P61088', 'Q12986')"
"('Q13285', 'P46108')"
"('Q96BK5', 'Q14019')"
"('P38159', 'Q15287')"
"('P17676', 'O15553')"
"('Q99880', 'Q9UBL3')"
"('Q9BYW2', 'P54253')"
"('Q96IM9', 'P56597')"
"('Q9BYX4', 'Q9H6S1')"
"('P23508', 'P30084')"
"('P52435', 'Q9GZS3')"
"('P04626', 'P42680')"
"('P51571', 'O60739')"
"('P60953', 'P50552')"
"('O94776', 'Q9UKG1')"
"('Q9UBE8', 'Q9NQB0')"
"('P49715', 'P35638')"
"('P30101', 'P01130')"
"('Q9NVV9', 'O14641')"
"('Q16637', 'Q9BRK5')"
"('Q8IWZ8', 'Q13243')"
"('Q16513', 'P12931')"
"('P04406', 'O60941')"
"('P08700', 'P42701')"
"('P01106', 'Q9BVK8')"
"('O75486', 'Q8NEM7')"
"('O94864', 'Q16531')"
"('Q96A08', 'Q969S8')"
"('P19438', 'Q13490')"
"('O43915', 'P09619')"
"('P27540', 'P06400')"
"('P35626', 'Q8NGR2')"
"('Q76N89', 'O14640')"
"('O75446', 'Q09028')"
"('C9JDP6', 'Q8N7P3')"
"('Q9Y230', 'O95819')"
"('P49662', 'P06396')"
"('Q9BUJ2', 'P31943')"
"('P35609', 'Q96DF8')"
"('P62714', 'Q9UPR3')"
"('Q92782', 'P04843')"
"('Q13315', 'Q2TAK8')"
"('Q9BQ66', 'Q00587')"
"('Q9Y6N6', 'P18084')"
"('Q9H1Y0', 'Q9P258')"
"('Q9UKV8', 'P42677')"
"('Q9H0B3', 'Q15654')"
"('P98164', 'P11684')"
"('P00519', 'P61981')"
"('P49368', 'Q66LE6')"
"('O75928', 'P63165')"
"('P25205', 'Q16659')"
