negatives
"('Q8IZE3', 'Q86X19')"
"('Q96ST3', 'Q92731')"
"('A0JLT2', 'Q9H944')"
"('Q6PCT2', 'Q05D32')"
"('P26358', 'P05412')"
"('P52272', 'Q9NRR4')"
"('Q9UBS0', 'P26373')"
"('Q9BVK6', 'Q8NA92')"
"('Q5XUX1', 'Q92905')"
"('P13726', 'Q92544')"
"('P24593', 'Q96HJ5')"
"('P26640', 'Q8IY92')"
"('O00291', 'Q99732')"
"('O14965', 'P17936')"
"('Q9C005', 'Q9UGU5')"
"('Q8N490', 'O75170')"
"('Q9BTT4', 'Q9H944')"
"('Q15853', 'P29508')"
"('P43405', 'P01112')"
"('P53041', 'Q9H9T3')"
"('P38646', 'P11142')"
"('P14866', 'Q8IXM3')"
"('O75643', 'P05161')"
"('P68133', 'P50991')"
"('O75821', 'P41567')"
"('P36941', 'Q15051')"
"('P22102', 'Q9NRD1')"
"('Q7L8J4', 'P31946')"
"('Q92922', 'Q13469')"
"('Q8WWY3', 'P0DJD3')"
"('P63165', 'Q13489')"
"('Q9UDY2', 'P31946')"
"('Q13315', 'Q8TAQ2')"
"('Q9Y3B2', 'O60293')"
"('Q9NY27', 'Q9BWU0')"
"('P24386', 'Q8N302')"
"('Q00535', 'P50990')"
"('O43583', 'P22626')"
"('Q5T9S5', 'Q66GS9')"
"('P40855', 'Q9Y5Y5')"
"('P04114', 'O00182')"
"('O15151', 'Q9Y4L5')"
"('P24928', 'Q12906')"
"('Q9BYV6', 'P63279')"
"('Q9UNK0', 'P38606')"
"('P01579', 'P26992')"
"('Q9NZQ3', 'Q9NV31')"
"('O00487', 'P62333')"
"('Q8TAP6', 'O60341')"
"('P62857', 'O60828')"
"('O75197', 'O60353')"
"('Q6KF10', 'P36894')"
"('Q9NR45', 'P11926')"
"('Q01844', 'Q9NS23')"
"('P49721', 'P62987')"
"('Q01196', 'P17542')"
"('P05161', 'Q5VUA4')"
"('Q14204', 'Q96AH8')"
"('P36873', 'Q10570')"
"('P08588', 'Q12959')"
"('O95168', 'O43677')"
"('Q16363', 'Q8IWV7')"
"('Q8IV48', 'Q96FF9')"
"('P23526', 'O60739')"
"('P15822', 'P20339')"
"('O43318', 'Q96EX3')"
"('Q02809', 'Q9NRC8')"
"('Q53TN4', 'Q96PU5')"
"('O15131', 'Q92688')"
"('Q9BW11', 'P37198')"
"('P04629', 'P68371')"
"('P61289', 'P48556')"
"('P38646', 'O95819')"
"('Q9NNX1', 'Q8TD31')"
"('P18146', 'Q9NYI0')"
"('Q13177', 'P35580')"
"('P49407', 'O60431')"
"('A0AVT1', 'Q15631')"
"('Q99623', 'P07437')"
"('P67870', 'Q03112')"
"('Q9BZV1', 'Q9H867')"
"('P05067', 'O75348')"
"('P62508', 'Q15125')"
"('O60293', 'Q86YT6')"
"('P06241', 'P16885')"
"('Q00839', 'P62241')"
"('Q9Y4K3', 'Q9Y265')"
"('Q16819', 'Q99626')"
"('O94888', 'P54727')"
"('Q86VP1', 'Q99816')"
"('P42765', 'Q01085')"
"('Q04917', 'Q9H4B6')"
"('O00483', 'P15954')"
"('Q5T2W1', 'P05067')"
"('Q15124', 'P46939')"
"('Q9NZC7', 'Q92997')"
"('P17612', 'P14415')"
"('P63104', 'P61981')"
"('P53618', 'Q9H0W5')"
"('P62987', 'P83731')"
"('Q00597', 'P25685')"
"('Q14525', 'P48668')"
"('Q86WV1', 'Q16513')"
"('Q07627', 'Q9BYE3')"
"('Q8N1F7', 'P02679')"
"('P15151', 'Q07157')"
"('Q70CQ1', 'P42704')"
"('Q14093', 'Q9UIF7')"
"('O14965', 'P35556')"
"('Q92731', 'Q14160')"
"('Q9UGY1', 'Q9H2G4')"
"('Q6P2C8', 'Q969H0')"
"('Q8NAV1', 'O75530')"
"('Q8WVC0', 'P19388')"
"('O75436', 'P02751')"
"('P01588', 'Q99650')"
"('Q6P158', 'Q9NRC8')"
"('O43847', 'P16234')"
"('Q5T4S7', 'P62333')"
"('P51149', 'Q15904')"
"('Q9Y295', 'Q6IQ23')"
"('Q14999', 'Q9UQ35')"
"('Q13635', 'P04439')"
"('P06733', 'P52789')"
"('Q15393', 'O15121')"
"('Q9HCE1', 'O94992')"
"('P05067', 'Q8NC51')"
"('Q9BW66', 'Q63ZY3')"
"('P30041', 'P78417')"
"('Q3V6T2', 'O43379')"
"('Q15262', 'O75882')"
"('O95750', 'P07333')"
"('P11137', 'P62750')"
"('P05198', 'P02751')"
"('Q9BRI3', 'O14569')"
"('O95994', 'Q14118')"
"('P35243', 'Q13261')"
"('Q96GS4', 'Q93050')"
"('Q6RFH5', 'Q9P2D0')"
"('P51858', 'Q99714')"
"('Q16531', 'Q9H9S0')"
"('P49407', 'P23528')"
"('P07550', 'O60266')"
"('Q96JM3', 'Q7Z4V5')"
"('P78337', 'Q9ULX6')"
"('Q12931', 'Q93034')"
"('Q99828', 'P48552')"
"('Q6NUQ1', 'Q9Y2D8')"
"('Q15560', 'P17661')"
"('Q9NSB4', 'P60520')"
"('Q86UE8', 'O75679')"
"('Q02078', 'Q16531')"
"('Q13838', 'Q09028')"
"('O00213', 'P48023')"
"('P67775', 'Q92973')"
"('P54829', 'P45984')"
"('O60506', 'Q00688')"
"('Q7Z6Z7', 'O60763')"
"('Q8WVM8', 'Q92993')"
"('P16070', 'P50281')"
"('Q9ULJ3', 'Q8N122')"
"('P53007', 'Q8WUK0')"
"('P16989', 'Q9P270')"
"('Q9UQ84', 'P54132')"
"('Q9NVV9', 'Q9C086')"
"('O94806', 'P46527')"
"('O14920', 'P25963')"
"('Q9UNE7', 'Q96P20')"
"('Q6P5W5', 'B7ZAQ6')"
"('P15498', 'Q02750')"
"('Q15468', 'Q8NHV4')"
"('Q9UMX0', 'Q9UBU9')"
"('Q9BXI6', 'P15311')"
"('P04629', 'P47897')"
"('Q9Y2W1', 'Q9Y6Y0')"
"('Q15797', 'Q14671')"
"('Q9H116', 'P06748')"
"('Q5T754', 'Q9BQ66')"
"('P29474', 'Q96EP0')"
"('Q9H583', 'Q8N6M8')"
"('Q9Y4W6', 'Q9Y6H1')"
"('Q7L5N1', 'P20248')"
"('P55265', 'Q8N4V1')"
"('Q9Y230', 'P19388')"
"('P35226', 'P21246')"
"('O00567', 'Q7Z7K6')"
"('P49703', 'Q96A57')"
"('Q04323', 'Q9H992')"
"('Q13315', 'P05814')"
"('Q9H9E1', 'Q9UQL6')"
"('O00442', 'P62750')"
"('Q9H6E5', 'Q9NRD1')"
"('Q401N2', 'Q96QT4')"
"('P27348', 'P00338')"
"('P50458', 'P12644')"
"('Q9HC78', 'Q9UHB6')"
"('Q9Y496', 'Q96EK5')"
"('Q13625', 'Q04917')"
"('Q9H788', 'P51858')"
"('Q8TDR0', 'Q99784')"
"('Q92900', 'O14862')"
"('P78371', 'O15379')"
"('P22626', 'P07195')"
"('Q96CS2', 'P25205')"
"('O75792', 'Q86TU7')"
"('P53350', 'P49736')"
"('P01871', 'Q6PD62')"
"('P52434', 'P62487')"
"('Q12913', 'P01112')"
"('Q9NWT6', 'Q9Y450')"
"('P06241', 'P04216')"
"('Q9BXM0', 'Q9H2G2')"
"('O43390', 'O75525')"
"('P08172', 'Q5JY77')"
"('Q9H6W3', 'Q00839')"
"('Q9UJM3', 'Q8TCU3')"
"('P49810', 'Q9UMX0')"
"('Q9BYG3', 'P18124')"
"('Q8N726', 'P62140')"
"('Q9UKS7', 'Q9UQL6')"
"('Q9UKM9', 'O60858')"
"('Q9BWG6', 'P50222')"
"('P55854', 'P06733')"
"('P41218', 'Q9Y3T9')"
"('Q9NVV4', 'Q13137')"
"('O75947', 'O75489')"
"('P62316', 'Q86VM9')"
"('Q6L8H1', 'P26371')"
"('P08246', 'P10809')"
"('Q9UQ80', 'Q12904')"
"('Q13813', 'P12830')"
"('P01876', 'Q8N9F7')"
"('Q13351', 'Q96ST3')"
"('P58753', 'Q99836')"
"('P67775', 'O95684')"
"('Q9ULD0', 'P40763')"
"('O00744', 'Q13467')"
"('O15294', 'O95865')"
"('Q53HC5', 'P0CAP1')"
"('Q9H0R8', 'P62304')"
"('O60573', 'Q8TEJ3')"
"('Q01844', 'Q96CW9')"
"('Q9Y399', 'O60783')"
"('P19784', 'P15927')"
"('Q3KP44', 'Q15654')"
"('Q01844', 'Q9H7E2')"
"('Q14671', 'Q9ULL5')"
"('Q9UJ04', 'Q15834')"
"('P01579', 'P14902')"
"('Q7Z6Z7', 'P49736')"
"('Q9Y6K9', 'O75688')"
"('Q3LI66', 'P78385')"
"('Q9Y3C8', 'P40337')"
"('P48736', 'P10721')"
"('Q00839', 'O95793')"
"('Q13616', 'Q8IY81')"
"('O14976', 'Q9UL15')"
"('Q99836', 'Q93009')"
"('Q15758', 'Q969M3')"
"('Q8N4Q1', 'Q14061')"
"('Q8TES7', 'Q96MT8')"
"('Q00987', 'Q6PCD5')"
"('P62316', 'Q9BQA1')"
"('P30154', 'P54284')"
"('Q969T4', 'O00635')"
"('P62280', 'P61513')"
"('Q9NRC8', 'P58107')"
"('P25685', 'Q99816')"
"('Q96G23', 'O75787')"
"('P25774', 'O15392')"
"('P35579', 'P60709')"
"('Q9HC52', 'Q96C00')"
"('O15516', 'Q9UKL0')"
"('Q8NG92', 'P62873')"
"('P46926', 'Q9NRG1')"
"('P19012', 'O00459')"
"('Q8TB24', 'Q9NQZ8')"
"('Q8NEY4', 'Q9Y2Q5')"
"('P32119', 'P51688')"
"('Q9BT92', 'Q8N0X2')"
"('P67809', 'Q9HCE7')"
"('P62847', 'Q93034')"
"('Q8NGY0', 'P62873')"
"('Q969G3', 'Q15642')"
"('O14964', 'Q5HY92')"
"('Q5IJ48', 'Q14247')"
"('Q15554', 'P61964')"
"('P60709', 'P19338')"
"('Q9Y5K6', 'P19320')"
"('Q92930', 'Q9UGI8')"
"('P04843', 'Q9UNL2')"
"('P04637', 'Q8IXF0')"
"('P01106', 'Q96I99')"
"('Q13573', 'Q16625')"
"('Q9NTW7', 'P50402')"
"('Q9NZ01', 'P10398')"
"('P27986', 'P62736')"
"('P35558', 'P41235')"
"('Q04206', 'Q9Y297')"
"('P17900', 'Q15717')"
"('O75558', 'Q6NYC8')"
"('P42224', 'P11277')"
"('Q08J23', 'O94888')"
"('Q99961', 'P21802')"
"('Q9Y2K1', 'Q96M95')"
"('Q9HAU5', 'Q01780')"
"('Q8ND90', 'O14530')"
"('Q9Y2K6', 'P35250')"
"('P47985', 'Q13228')"
"('Q9UKB1', 'Q14157')"
"('P61289', 'Q8TAA3')"
"('Q13619', 'P38646')"
"('Q8TAX7', 'P04745')"
"('P48431', 'O95816')"
"('P22607', 'Q9Y371')"
"('P24928', 'Q9UL03')"
"('Q9UBC3', 'P24928')"
"('P29350', 'P31994')"
"('Q9H0R8', 'P47756')"
"('P18146', 'O95751')"
"('P50990', 'A6NHQ4')"
"('P45880', 'Q7KZF4')"
"('P07355', 'P24941')"
"('P04150', 'Q04917')"
"('Q8WWY8', 'Q6NSJ2')"
"('P17655', 'Q9H1Y0')"
"('O15381', 'Q96HE9')"
"('Q16576', 'P51531')"
"('P04114', 'P58340')"
"('Q9UBK9', 'Q9UHV9')"
"('Q9BX66', 'O75955')"
"('O75083', 'Q16082')"
"('Q8IYW5', 'Q9Y5A7')"
"('P12955', 'Q16719')"
"('P19387', 'Q9NZC7')"
"('P10912', 'O15524')"
"('P55210', 'P11021')"
"('P19438', 'O60674')"
"('Q9NQB0', 'Q15583')"
"('Q8WVK7', 'Q2KHM9')"
"('Q9P2M7', 'Q8IZD4')"
"('Q9P2B2', 'P27701')"
"('Q96TC7', 'P18031')"
"('P20073', 'P52742')"
"('P23511', 'P35638')"
"('Q8N2I9', 'Q7L5N1')"
"('O60566', 'P50539')"
"('P30101', 'P49736')"
"('Q9UID6', 'O43167')"
"('P61077', 'Q9NP87')"
"('Q5S007', 'Q5VVH5')"
"('Q13330', 'O00629')"
"('P04792', 'P17707')"
"('Q9H1Q7', 'O15162')"
"('O00629', 'P50990')"
"('P0C1Z6', 'Q9Y265')"
"('P62241', 'Q13616')"
"('P27635', 'O75179')"
"('P35268', 'P62241')"
"('Q9UBD9', 'Q99062')"
"('Q8N653', 'Q13111')"
"('Q15042', 'O15259')"
"('O15347', 'Q9NUU7')"
"('Q8TEW0', 'O15144')"
"('Q5U651', 'Q9H0H5')"
"('Q9UHX1', 'Q13283')"
"('Q9UGN5', 'Q9Y6X8')"
"('P29353', 'P19013')"
"('P62993', 'O75643')"
"('Q16586', 'Q9Y2U8')"
"('P51812', 'P46934')"
"('O95967', 'Q9Y4X0')"
"('Q01968', 'O75955')"
"('Q9UID6', 'Q8N680')"
"('P29992', 'Q9UHK0')"
"('Q9NR28', 'Q8IZL2')"
"('O94822', 'Q9Y5B0')"
"('Q15717', 'P98194')"
"('Q9UJZ1', 'Q9Y6E7')"
"('P49716', 'P11511')"
"('P09234', 'Q96EP0')"
"('O96020', 'Q02539')"
"('Q00987', 'Q5BKZ1')"
"('P25789', 'Q9NZZ3')"
"('Q8TD31', 'Q15742')"
"('P62280', 'P46778')"
"('P06400', 'O15151')"
"('Q8TAC2', 'Q9UNE7')"
"('P36578', 'Q13233')"
"('P33240', 'Q9UHD9')"
"('P63220', 'Q02878')"
"('O75368', 'Q9UNE7')"
"('P37231', 'Q86VZ6')"
"('O75436', 'A6NKF1')"
"('P35749', 'Q8NBT0')"
"('Q6P3W7', 'Q9NYZ3')"
"('P21333', 'Q6P1J9')"
"('P25398', 'Q13200')"
"('O60504', 'Q13153')"
"('P35869', 'Q04206')"
"('P48431', 'Q9H0U9')"
"('P53674', 'O95995')"
"('P31944', 'Q9Y478')"
"('P03372', 'Q86U06')"
"('Q99807', 'O43847')"
"('P49023', 'P17301')"
"('Q16623', 'Q96FZ5')"
"('Q9HCE7', 'Q02779')"
"('Q14994', 'O60244')"
"('Q07889', 'P43403')"
"('Q96QT6', 'Q7Z589')"
"('Q13043', 'P17066')"
"('P61019', 'Q5HYA8')"
"('Q5S007', 'Q16186')"
"('Q15653', 'P46940')"
"('Q9UNE7', 'Q99757')"
"('Q13433', 'P49286')"
"('O60260', 'Q07687')"
"('P0C7T5', 'Q9NP73')"
"('Q8IUH5', 'Q9BT49')"
"('P19835', 'P78380')"
"('Q9NQC7', 'Q9HC29')"
"('Q3LI70', 'Q9NRY6')"
"('P25024', 'Q71U36')"
"('P62993', 'Q86V48')"
"('Q96A72', 'Q5TD97')"
"('Q9Y5B9', 'Q9NTX7')"
"('P17040', 'P57086')"
"('Q96F10', 'Q16665')"
"('Q14790', 'P55957')"
"('P48681', 'O75147')"
"('P20618', 'Q9UET6')"
"('Q9H788', 'O75791')"
"('O14920', 'O75807')"
"('Q6ZW61', 'Q3SYG4')"
"('Q9NP79', 'Q14596')"
"('Q9C0F1', 'Q9HCJ0')"
"('Q8TCJ0', 'P46783')"
"('Q9Y265', 'Q96Q89')"
"('Q6ZN30', 'P56545')"
"('Q05193', 'Q9H1B7')"
"('Q96NL6', 'Q01968')"
"('P22612', 'Q02641')"
"('Q9Y6W3', 'Q96KQ4')"
"('Q02833', 'Q15154')"
"('P46781', 'P13612')"
"('Q9UL18', 'P38919')"
"('P48730', 'Q6ZRV2')"
"('P38159', 'P30153')"
"('P17301', 'P49023')"
"('O75582', 'Q13432')"
"('Q96CX6', 'O14980')"
"('O76080', 'P05067')"
"('Q13522', 'P41236')"
"('Q2WGJ6', 'Q99750')"
"('Q13423', 'Q9H488')"
"('Q96GG9', 'Q15796')"
"('P25942', 'Q92844')"
"('Q9Y6I4', 'O95786')"
"('Q6W2J9', 'P08047')"
"('Q8IWS0', 'P62807')"
"('Q8NH87', 'P62873')"
"('Q8IXL6', 'Q9H5I1')"
"('P62906', 'P62753')"
"('P57078', 'Q5JTW2')"
"('P62258', 'Q13049')"
"('O75478', 'Q8IYB3')"
"('P68400', 'Q9H063')"
"('P12956', 'O95166')"
"('Q92796', 'P23634')"
"('P49674', 'Q2KHM9')"
"('Q9H3U1', 'O43303')"
"('Q9GZL7', 'P36578')"
"('P61086', 'A5PLL7')"
"('P63261', 'P27348')"
"('P30154', 'P10415')"
"('P48645', 'Q07627')"
"('P53396', 'P05412')"
"('P59022', 'Q92922')"
"('Q9BXJ5', 'Q8NFW5')"
"('O43889', 'P23141')"
"('Q6XQN6', 'Q9GZT8')"
"('P15884', 'Q01860')"
"('Q9NYB0', 'O95848')"
"('Q9HBH0', 'Q9HCE1')"
"('Q8NBR6', 'Q68D91')"
"('Q9Y4A5', 'Q8NEM7')"
"('P36894', 'Q99717')"
"('P25800', 'Q8WXK1')"
"('Q7Z699', 'P62760')"
"('P49841', 'Q9H6Z9')"
"('P62837', 'Q86UD3')"
"('Q02548', 'Q96IV0')"
"('Q13573', 'P53350')"
"('O75110', 'Q9H269')"
"('Q9UJY4', 'Q9NVZ3')"
"('Q96FW1', 'P36969')"
"('Q13200', 'Q9UBU9')"
"('Q9UPQ3', 'P84077')"
"('P78314', 'P02787')"
"('Q96F07', 'Q8IZP0')"
"('Q86YS3', 'Q9H0H5')"
"('Q15047', 'Q8IUH5')"
"('O60841', 'Q8NDD1')"
"('Q9UHB7', 'P63010')"
"('Q9H4D5', 'P52948')"
"('P25490', 'P13569')"
"('Q9NZL4', 'P11142')"
"('Q9Y4K3', 'Q16552')"
"('Q3LI64', 'Q3LI66')"
"('P23508', 'Q9UNM6')"
"('Q5JTV8', 'Q13635')"
"('Q5QP82', 'Q969G2')"
"('P13945', 'Q96B67')"
"('P43115', 'Q6UXM1')"
"('Q8IWF7', 'Q9NPB0')"
"('P35544', 'P62841')"
"('P07550', 'O94826')"
"('P16989', 'P49959')"
"('Q6UWE0', 'O75604')"
"('P33552', 'P68104')"
"('P09661', 'O14980')"
"('O43918', 'Q92841')"
"('Q9NX70', 'Q969H0')"
"('O14530', 'Q6ZUJ4')"
"('P43115', 'Q58EX7')"
"('P43631', 'Q8N109')"
"('P52732', 'Q9NPJ6')"
"('Q9NPJ6', 'Q8WYA6')"
"('Q96D03', 'Q6L8G9')"
"('Q8N6Y0', 'P57105')"
"('P48643', 'Q9UBN7')"
"('P01100', 'Q99959')"
"('Q9H4K7', 'Q15750')"
"('Q9BR39', 'P56539')"
"('Q9BW83', 'O15269')"
"('O75147', 'P04637')"
"('P04406', 'Q13268')"
"('Q16643', 'Q9BPX5')"
"('Q9UNL2', 'Q969M3')"
"('P61769', 'Q8N423')"
"('P62937', 'Q15717')"
"('Q14CZ7', 'A3KMH1')"
"('Q92609', 'P31946')"
"('Q16630', 'Q92922')"
"('P63000', 'P39023')"
"('Q7Z6B7', 'P15153')"
"('Q8TED0', 'Q9Y4C8')"
"('Q13547', 'Q14938')"
"('P60842', 'Q9HAU5')"
"('P42226', 'Q9BQB6')"
"('Q16623', 'P08670')"
"('O00268', 'Q9H1A4')"
"('P45985', 'Q15759')"
"('P37837', 'Q12873')"
"('A1E959', 'Q9H0E2')"
"('P31483', 'P99999')"
"('P01100', 'Q04760')"
"('Q9NVX2', 'Q99832')"
"('P52272', 'Q9H4L7')"
"('O14640', 'Q5SW24')"
"('Q7L2H7', 'P08238')"
"('P30154', 'Q86Y56')"
"('Q9BYR6', 'Q5T754')"
"('Q53EZ4', 'Q5T5S1')"
"('P12273', 'P33992')"
"('P35711', 'Q6P2C8')"
"('Q8N3C7', 'Q58WW2')"
"('O75575', 'Q9Y2Y1')"
"('P32121', 'Q86V81')"
"('O00716', 'O43823')"
"('O15198', 'Q96AD5')"
"('Q8WY64', 'P78362')"
"('Q96JM7', 'Q9NWX5')"
"('P38936', 'P47897')"
"('Q7LFX5', 'Q8NBI5')"
"('P37235', 'Q2TAL6')"
"('P56279', 'Q86VP1')"
"('O15090', 'P48431')"
"('Q9GZN8', 'Q15435')"
"('Q12906', 'P05362')"
"('Q13033', 'Q13188')"
"('Q96LK0', 'Q3YEC7')"
"('P36873', 'Q01668')"
"('P00533', 'Q9Y2H8')"
"('Q9NQX4', 'Q14247')"
"('Q07812', 'P50454')"
"('Q7Z5B4', 'P13637')"
"('Q9GZT6', 'O43261')"
"('Q14145', 'Q9UKX7')"
"('Q99496', 'Q9UBK2')"
"('Q01201', 'Q99731')"
"('Q9NXV6', 'Q99459')"
"('Q96JB2', 'Q96CS2')"
"('Q5TB80', 'Q96NB1')"
"('Q9H5K3', 'Q86VR2')"
"('Q9NZJ5', 'Q16236')"
"('O95644', 'P49238')"
"('O15269', 'Q9BW83')"
"('P01229', 'Q13643')"
"('O75947', 'Q9P286')"
"('O14980', 'Q9H668')"
"('P05412', 'Q13162')"
"('O15357', 'P46940')"
"('P62837', 'Q9BYV2')"
"('Q9NZZ3', 'P62316')"
"('P49023', 'Q14511')"
"('Q9H213', 'P52292')"
"('P14598', 'P45984')"
"('O00159', 'O75083')"
"('Q8WXK1', 'Q9BQA1')"
"('P20073', 'P62328')"
"('Q00597', 'Q9BTP7')"
"('Q92538', 'Q8N490')"
"('Q99439', 'O95260')"
"('Q9UQR1', 'Q8NHQ1')"
"('Q9BRN9', 'Q86UD1')"
"('Q9NW61', 'Q01968')"
"('Q8TAE7', 'Q9H3M0')"
"('Q9UQB9', 'O95359')"
"('O43638', 'Q8WXX5')"
"('Q96DV4', 'O95817')"
"('P31260', 'Q8IXJ9')"
"('Q92731', 'P01100')"
"('Q9UH62', 'Q14697')"
"('O14744', 'Q8TBB1')"
"('P53007', 'O60260')"
"('Q9HB71', 'Q8IUQ4')"
"('P01112', 'P12830')"
"('P04629', 'Q13564')"
"('P61604', 'P29401')"
"('O15162', 'Q92608')"
"('P33947', 'Q15717')"
"('Q06124', 'P62316')"
"('Q15545', 'P50613')"
"('Q12906', 'P50914')"
"('P61981', 'P49407')"
"('O95758', 'Q99873')"
"('P38398', 'Q96F85')"
"('O43768', 'Q96SI1')"
"('Q9GZR7', 'P05388')"
"('O75521', 'Q8IWL3')"
"('Q9Y5K8', 'Q9Y2Q5')"
"('P46060', 'Q8NFH5')"
"('Q9Y3U8', 'P61221')"
"('Q9H2U2', 'P21964')"
"('Q8NBE8', 'P04183')"
"('O14827', 'Q9BZ23')"
"('P55081', 'Q8TAD8')"
"('Q38SD2', 'P29322')"
"('Q9NXK8', 'Q15293')"
"('P0C7P0', 'Q9NWU5')"
"('Q13105', 'Q9NYF0')"
"('P40926', 'P25788')"
"('Q5MNZ9', 'Q14457')"
"('P31276', 'P55316')"
"('Q8TEJ3', 'P56524')"
"('Q9H9D4', 'Q9NWQ4')"
"('Q08752', 'P29034')"
"('P21281', 'Q00341')"
"('P40763', 'P51532')"
"('P50991', 'P68133')"
"('Q9BYV2', 'Q8N5A5')"
"('Q5BKT4', 'Q03431')"
"('O15144', 'P55072')"
"('Q12907', 'Q92544')"
"('O75794', 'Q8IZP0')"
"('P04637', 'Q96BN2')"
"('Q9NQ55', 'Q96DB2')"
"('Q8WWZ3', 'Q9Y4K3')"
"('Q9Y388', 'P50914')"
"('P54852', 'P26715')"
"('Q9BXW6', 'Q8WWY3')"
"('P49841', 'Q14896')"
"('Q9UGL1', 'O00555')"
"('P78424', 'A6NEM1')"
"('Q5T4B2', 'P57678')"
"('P27635', 'P18124')"
"('P30518', 'Q00610')"
"('Q9Y6A1', 'Q9BZW8')"
"('A6NKT7', 'O94986')"
"('Q5S007', 'O95295')"
"('Q96L94', 'P48729')"
"('P03372', 'O75934')"
"('Q9H0W5', 'P17252')"
"('Q9NV88', 'Q96SY0')"
"('P62380', 'Q15126')"
"('P08047', 'P17096')"
"('P20962', 'P27707')"
"('O96019', 'Q9NRD1')"
"('Q9UNF1', 'Q92905')"
"('P04629', 'P49257')"
"('O00422', 'Q9UNL2')"
"('Q969D9', 'Q969J5')"
"('Q9UQL6', 'P55795')"
"('Q9Y383', 'O15530')"
"('P43626', 'P27986')"
"('P05067', 'Q53HV7')"
"('Q13315', 'Q00610')"
"('Q8N912', 'Q9BVX2')"
"('P35251', 'O00716')"
"('Q9P2D0', 'O76094')"
"('P28072', 'P30480')"
"('Q96CW1', 'Q9H853')"
"('P03923', 'Q9Y6M9')"
"('Q9UKT9', 'Q9NW38')"
"('Q8IYM2', 'Q6NYC1')"
"('Q5JVF3', 'Q9HC98')"
"('Q8N6K0', 'O14656')"
"('Q15835', 'P51679')"
"('Q09472', 'Q15650')"
"('Q96DW6', 'Q8IWA4')"
"('Q13315', 'Q92576')"
"('Q9UHG0', 'Q969H6')"
"('Q16555', 'Q70J99')"
"('Q9NR12', 'P01106')"
"('P43694', 'Q15022')"
"('P15884', 'P48023')"
"('O43854', 'Q9H0W5')"
"('Q9H4A3', 'Q9HAU5')"
"('Q96AG4', 'P00533')"
"('Q9NQT4', 'O75475')"
"('P08238', 'O15146')"
"('Q7L2E3', 'Q93034')"
"('Q96GX1', 'O60858')"
"('Q9H079', 'Q15717')"
"('O95197', 'Q9NRG1')"
"('Q14232', 'O94973')"
"('Q96GG9', 'O00571')"
"('Q92922', 'Q01201')"
"('Q07011', 'Q12933')"
"('Q92901', 'P62945')"
"('Q9UKB1', 'P06576')"
"('P32121', 'Q8NH18')"
"('P51790', 'O00214')"
"('P78324', 'P19012')"
"('P05412', 'P31946')"
"('P53675', 'Q9H0R8')"
"('P19447', 'Q9UBU9')"
"('P51532', 'Q8IZQ8')"
"('Q9H4A3', 'Q99759')"
"('O60504', 'Q9NX04')"
"('Q07666', 'P78362')"
"('P17612', 'Q8NGR2')"
"('Q9H2G2', 'Q86UR5')"
"('O00418', 'Q9NPF4')"
"('Q9P2B4', 'Q9Y3A3')"
"('Q6XQN6', 'P07741')"
"('P49736', 'Q9UM00')"
"('P78424', 'Q12888')"
"('P36542', 'P62736')"
"('Q5T200', 'Q9UHV7')"
"('P62807', 'Q8NCN4')"
"('Q93009', 'Q5U5Q3')"
"('P52701', 'Q10586')"
"('P16220', 'Q05707')"
"('P12235', 'O14498')"
"('P62877', 'Q7L5Y6')"
"('Q99613', 'Q9P015')"
"('Q92796', 'Q8N6T3')"
"('P51532', 'P04141')"
"('Q8WUA7', 'Q9Y2C4')"
"('P31150', 'P20338')"
"('Q9NWX5', 'P02675')"
"('Q14689', 'P98082')"
"('Q9NRR5', 'O75312')"
"('P51692', 'Q14765')"
"('P47813', 'P43146')"
"('Q96EM0', 'Q9Y305')"
"('P58304', 'Q8TBZ3')"
"('P08908', 'Q99500')"
"('P61086', 'P04637')"
"('Q8TF66', 'Q15907')"
"('Q7Z7C8', 'Q9UPP5')"
"('O95922', 'Q15751')"
"('P15056', 'Q8NC42')"
"('Q99459', 'P50570')"
"('Q08211', 'Q9BXB1')"
"('P36873', 'Q12879')"
"('Q96QV6', 'Q9UKV0')"
"('Q9ULV4', 'Q9H4F8')"
"('Q9NWW5', 'Q16623')"
"('Q99684', 'Q8IYJ3')"
"('P16144', 'P08648')"
"('P46783', 'O60216')"
"('Q8TB24', 'P22735')"
"('Q9Y277', 'Q15427')"
"('Q49AN0', 'Q15274')"
"('Q71SY5', 'P10276')"
"('Q8IYX8', 'Q96JN2')"
"('P48382', 'Q6P1J9')"
"('P15248', 'P15260')"
"('Q8TAB5', 'Q6A162')"
"('Q9BRZ2', 'Q9UNL4')"
"('Q7KZI7', 'Q04917')"
"('O00206', 'P21810')"
"('P62979', 'O96017')"
"('Q16543', 'Q96JB6')"
"('Q8WYQ5', 'P05067')"
"('Q9UBU9', 'Q8IY47')"
"('Q9Y3A2', 'Q9UBC9')"
"('Q15637', 'Q8TAP9')"
"('Q9H0I2', 'Q8WW01')"
"('P78362', 'O75937')"
"('O95831', 'Q04206')"
"('Q13043', 'O00139')"
"('O00232', 'O14579')"
"('Q15717', 'O60684')"
"('O43166', 'Q8N122')"
"('Q96T58', 'O00625')"
"('Q13137', 'P32969')"
"('P07900', 'Q96RG2')"
"('P60006', 'Q9BST9')"
