negatives
"frozenset({'Q9H6L4', 'TSH', 'Q5VWN6'})"
"frozenset({'Q16610', 'TSH', 'Q8IXT1'})"
"frozenset({'P05019', 'P09619', 'TSH'})"
"frozenset({'TSH', 'O15075', 'O43602'})"
"frozenset({'Q16827', 'TSH', 'P18146'})"
"frozenset({'TSH', 'P82912', 'P82675'})"
"frozenset({'TSH', 'Q9Y2M0', 'Q9BXW9'})"
"frozenset({'TSH', 'P09493', 'P60709'})"
"frozenset({'TSH', 'Q71U36', 'P04629'})"
"frozenset({'TSH', 'P04179', 'O14965'})"
"frozenset({'TSH', 'P00533', 'Q9P2R7'})"
"frozenset({'TSH', 'Q9UKK9', 'Q15599'})"
"frozenset({'P36896', 'TSH', 'P62942'})"
"frozenset({'TSH', 'Q15717', 'Q99081'})"
"frozenset({'TSH', 'P28702', 'Q9UKG1'})"
"frozenset({'P51149', 'TSH', 'P28838'})"
"frozenset({'TSH', 'Q15651', 'P62993'})"
"frozenset({'P19320', 'TSH', 'P54577'})"
"frozenset({'Q16629', 'P17612', 'TSH'})"
"frozenset({'TSH', 'P39880', 'Q92793'})"
"frozenset({'Q52LW3', 'TSH', 'Q92730'})"
"frozenset({'P34947', 'TSH', 'P18085'})"
"frozenset({'TSH', 'P46781', 'O15372'})"
"frozenset({'TSH', 'Q8TDI0', 'Q09028'})"
"frozenset({'P67809', 'TSH', 'P13010'})"
"frozenset({'TSH', 'Q5T752', 'Q9Y4B4'})"
"frozenset({'TSH', 'Q9UNH5', 'Q9UJX5'})"
"frozenset({'O75400', 'TSH', 'O43390'})"
"frozenset({'TSH', 'Q9BV68', 'Q9Y2L1'})"
"frozenset({'P78527', 'TSH', 'P09629'})"
"frozenset({'Q9BSM1', 'TSH', 'Q9H9J4'})"
"frozenset({'TSH', 'Q63ZY3', 'Q8TBB0'})"
"frozenset({'TSH', 'Q15029', 'P11387'})"
"frozenset({'TSH', 'P36578', 'P06748'})"
"frozenset({'TSH', 'Q13618', 'P32322'})"
"frozenset({'TSH', 'P0DI82', 'O75865'})"
"frozenset({'P48039', 'TSH', 'Q9HAV0'})"
"frozenset({'TSH', 'Q16854', 'P62760'})"
"frozenset({'P51668', 'TSH', 'A0AVT1'})"
"frozenset({'TSH', 'Q7L3T8', 'P54646'})"
"frozenset({'Q92624', 'TSH', 'Q9NYU1'})"
"frozenset({'TSH', 'Q9Y286', 'Q9UHX1'})"
"frozenset({'Q14738', 'Q9UBN1', 'TSH'})"
"frozenset({'O95644', 'TSH', 'P27348'})"
"frozenset({'Q9NYB9', 'TSH', 'Q9H6Z9'})"
"frozenset({'Q15257', 'TSH', 'P46734'})"
"frozenset({'Q9Y6N8', 'TSH', 'Q7L5N1'})"
"frozenset({'TSH', 'P19388', 'P49407'})"
"frozenset({'Q9Y6E2', 'TSH', 'P68402'})"
"frozenset({'TSH', 'Q8NHQ1', 'Q9UBS4'})"
"frozenset({'TSH', 'Q9HC62', 'P46060'})"
"frozenset({'Q5VTD9', 'Q08117', 'TSH'})"
"frozenset({'Q13387', 'P49757', 'TSH'})"
"frozenset({'P05067', 'TSH', 'P19419'})"
"frozenset({'TSH', 'Q9BYM8', 'Q9P0P0'})"
"frozenset({'TSH', 'P61218', 'Q9NZH5'})"
"frozenset({'TSH', 'Q15848', 'P49715'})"
"frozenset({'TSH', 'Q9BPX5', 'P12830'})"
"frozenset({'TSH', 'P42229', 'P24385'})"
"frozenset({'Q8N5Y8', 'TSH', 'Q8WTW3'})"
"frozenset({'TSH', 'A6NLU0', 'Q86YD7'})"
"frozenset({'TSH', 'P61956', 'Q92985'})"
"frozenset({'TSH', 'P18031', 'Q92748'})"
"frozenset({'TSH', 'P61289', 'Q9BXC9'})"
"frozenset({'TSH', 'P10301', 'O14939'})"
"frozenset({'TSH', 'Q9UL33', 'Q9H2G9'})"
"frozenset({'TSH', 'Q8NHG8', 'Q5H9R7'})"
"frozenset({'TSH', 'Q6NUN9', 'Q9Y6M1'})"
"frozenset({'TSH', 'Q96NB2', 'Q07002'})"
"frozenset({'TSH', 'Q9NR31', 'Q9C0B0'})"
"frozenset({'TSH', 'Q14653', 'P98170'})"
"frozenset({'P21333', 'TSH', 'Q6R327'})"
"frozenset({'Q14527', 'TSH', 'P04629'})"
"frozenset({'TSH', 'Q4W5P6', 'Q4ZIN3'})"
"frozenset({'TSH', 'Q8NAT1', 'Q9NRD1'})"
"frozenset({'TSH', 'Q9NRD1', 'Q07955'})"
"frozenset({'TSH', 'Q15475', 'Q96NX9'})"
"frozenset({'TSH', 'P38159', 'Q15366'})"
"frozenset({'TSH', 'P62847', 'P61326'})"
"frozenset({'TSH', 'Q96A09', 'Q96NS8'})"
"frozenset({'TSH', 'Q13618', 'Q9H3H5'})"
"frozenset({'TSH', 'P09769', 'P40763'})"
"frozenset({'TSH', 'Q9GZV9', 'P08581'})"
"frozenset({'TSH', 'P48357', 'P40225'})"
"frozenset({'Q0P6H9', 'TSH', 'P55060'})"
"frozenset({'TSH', 'Q969G3', 'Q8NF64'})"
"frozenset({'P42226', 'TSH', 'Q9Y258'})"
"frozenset({'TSH', 'Q99759', 'Q04206'})"
"frozenset({'TSH', 'P05783', 'O75022'})"
"frozenset({'Q8N5Y8', 'TSH', 'Q9UP83'})"
"frozenset({'Q9BZD4', 'Q9NP66', 'TSH'})"
"frozenset({'TSH', 'Q53H96', 'Q13618'})"
"frozenset({'TSH', 'Q01844', 'Q99961'})"
"frozenset({'P04626', 'TSH', 'Q9P035'})"
"frozenset({'Q96T58', 'TSH', 'Q9UGV2'})"
"frozenset({'Q05D60', 'TSH', 'P05412'})"
"frozenset({'TSH', 'Q00005', 'P62888'})"
"frozenset({'O76011', 'TSH', 'Q86UY5'})"
"frozenset({'TSH', 'P60896', 'Q15008'})"
"frozenset({'TSH', 'Q9Y4K3', 'P31941'})"
"frozenset({'TSH', 'Q8WU79', 'Q8N137'})"
"frozenset({'TSH', 'O60262', 'Q8NGS1'})"
"frozenset({'Q86VP6', 'P13645', 'TSH'})"
"frozenset({'TSH', 'Q49AN0', 'Q9UPY3'})"
"frozenset({'Q8NGF6', 'TSH', 'P22694'})"
"frozenset({'P11229', 'TSH', 'P63218'})"
"frozenset({'TSH', 'Q9NUI1', 'O75792'})"
"frozenset({'P05141', 'TSH', 'Q6NUK1'})"
"frozenset({'Q07889', 'TSH', 'P04049'})"
"frozenset({'P17040', 'TSH', 'P17029'})"
"frozenset({'TSH', 'O14763', 'O60637'})"
"frozenset({'P12004', 'P27797', 'TSH'})"
"frozenset({'P25815', 'TSH', 'Q96CN5'})"
"frozenset({'Q15843', 'TSH', 'P0C0S8'})"
"frozenset({'TSH', 'Q9Y3C7', 'P49336'})"
"frozenset({'TSH', 'P36873', 'Q96BA8'})"
"frozenset({'Q9UBI6', 'TSH', 'Q02156'})"
"frozenset({'TSH', 'P15311', 'O60344'})"
"frozenset({'TSH', 'Q92769', 'P49715'})"
"frozenset({'Q9HBZ2', 'TSH', 'P05067'})"
"frozenset({'O95831', 'TSH', 'Q13418'})"
"frozenset({'TSH', 'P36873', 'Q13557'})"
"frozenset({'TSH', 'Q9UQ35', 'P61326'})"
"frozenset({'TSH', 'Q8WV19', 'Q96CS7'})"
"frozenset({'Q9BRX5', 'Q08AM6', 'TSH'})"
"frozenset({'Q03135', 'TSH', 'Q14254'})"
"frozenset({'P32969', 'TSH', 'O43586'})"
"frozenset({'Q96DB2', 'TSH', 'Q7Z2G1'})"
"frozenset({'Q16531', 'TSH', 'P17483'})"
"frozenset({'TSH', 'P62258', 'Q96GE4'})"
"frozenset({'TSH', 'P23528', 'P61981'})"
"frozenset({'Q6A162', 'TSH', 'Q13875'})"
"frozenset({'TSH', 'Q16623', 'P62136'})"
"frozenset({'TSH', 'P68400', 'Q8TDD1'})"
"frozenset({'TSH', 'Q5TA76', 'P49901'})"
"frozenset({'P14784', 'TSH', 'P05000'})"
"frozenset({'TSH', 'P33993', 'Q53GS9'})"
"frozenset({'TSH', 'Q9Y6K9', 'Q7Z4H3'})"
"frozenset({'TSH', 'Q9Y4G6', 'Q9H444'})"
"frozenset({'TSH', 'Q8WUI4', 'O75044'})"
"frozenset({'P48051', 'TSH', 'P04899'})"
"frozenset({'TSH', 'Q8TAE7', 'Q92953'})"
"frozenset({'O00425', 'TSH', 'Q9Y3I0'})"
"frozenset({'P17612', 'TSH', 'Q9UHC3'})"
"frozenset({'O75643', 'Q99496', 'TSH'})"
"frozenset({'TSH', 'Q9UQ80', 'P26368'})"
"frozenset({'TSH', 'P42025', 'Q9Y2K7'})"
"frozenset({'P39687', 'TSH', 'O14980'})"
"frozenset({'TSH', 'P15313', 'P62873'})"
"frozenset({'P10145', 'Q16570', 'TSH'})"
"frozenset({'TSH', 'O60341', 'P0C7W6'})"
"frozenset({'Q12907', 'TSH', 'Q9NQ11'})"
"frozenset({'TSH', 'Q9NQR1', 'Q9UBN7'})"
"frozenset({'TSH', 'Q08945', 'P62807'})"
"frozenset({'TSH', 'Q8N1L9', 'P53567'})"
"frozenset({'Q5BKZ1', 'TSH', 'Q9UKB1'})"
"frozenset({'Q03135', 'TSH', 'Q8IZ07'})"
"frozenset({'TSH', 'Q9UK41', 'Q9BYV2'})"
"frozenset({'TSH', 'Q9NZ63', 'Q01968'})"
"frozenset({'TSH', 'Q7L7X3', 'P19544'})"
"frozenset({'TSH', 'Q9BV94', 'P13747'})"
"frozenset({'TSH', 'P40145', 'P63215'})"
"frozenset({'TSH', 'Q5TGZ0', 'O60488'})"
"frozenset({'TSH', 'P15336', 'P61106'})"
"frozenset({'Q8IY92', 'TSH', 'Q9NXF1'})"
"frozenset({'Q9BRK4', 'TSH', 'Q5T7W7'})"
"frozenset({'TSH', 'O14775', 'P35498'})"
"frozenset({'TSH', 'P63165', 'Q9H3D4'})"
"frozenset({'TSH', 'O94885', 'Q9Y4K3'})"
"frozenset({'TSH', 'Q8NEJ9', 'Q9BZL6'})"
"frozenset({'TSH', 'O43242', 'P62333'})"
"frozenset({'P49238', 'TSH', 'O14625'})"
"frozenset({'Q15717', 'TSH', 'P34925'})"
"frozenset({'P35613', 'TSH', 'P20648'})"
"frozenset({'TSH', 'Q07817', 'P49768'})"
"frozenset({'TSH', 'Q15154', 'Q9HC77'})"
"frozenset({'TSH', 'P22090', 'P46783'})"
"frozenset({'Q9Y3D0', 'TSH', 'P28340'})"
"frozenset({'TSH', 'Q14204', 'P21359'})"
"frozenset({'TSH', 'P28347', 'Q9NQB0'})"
"frozenset({'TSH', 'P30480', 'O75531'})"
"frozenset({'Q99728', 'TSH', 'P63104'})"
"frozenset({'P19338', 'TSH', 'P46782'})"
"frozenset({'TSH', 'P61026', 'P37802'})"
"frozenset({'TSH', 'O14788', 'Q86WB0'})"
"frozenset({'TSH', 'O14879', 'Q00839'})"
"frozenset({'Q9BT78', 'Q13620', 'TSH'})"
"frozenset({'TSH', 'Q8IXT5', 'Q96DB2'})"
"frozenset({'P25942', 'TSH', 'O00571'})"
"frozenset({'TSH', 'P53365', 'Q96HC4'})"
"frozenset({'Q8WVC0', 'TSH', 'P30876'})"
"frozenset({'P35250', 'Q92499', 'TSH'})"
"frozenset({'Q8NG99', 'TSH', 'Q9P2W3'})"
"frozenset({'TSH', 'Q14511', 'P86496'})"
"frozenset({'Q9P0L1', 'TSH', 'Q8N8B7'})"
"frozenset({'P62841', 'Q02539', 'TSH'})"
"frozenset({'TSH', 'P18124', 'Q5TC82'})"
"frozenset({'TSH', 'Q15418', 'P55072'})"
"frozenset({'TSH', 'P67870', 'P29590'})"
"frozenset({'TSH', 'Q9BZZ5', 'Q01860'})"
"frozenset({'TSH', 'P32242', 'Q6L8G9'})"
"frozenset({'Q9Y2W2', 'TSH', 'Q15365'})"
"frozenset({'TSH', 'P19429', 'Q66LE6'})"
"frozenset({'TSH', 'P50552', 'P28066'})"
"frozenset({'TSH', 'Q8NDF8', 'Q13200'})"
"frozenset({'Q14999', 'Q9H0A0', 'TSH'})"
"frozenset({'TSH', 'P01241', 'Q16740'})"
"frozenset({'Q9NX40', 'TSH', 'P63092'})"
"frozenset({'Q14004', 'TSH', 'Q9ULE6'})"
"frozenset({'TSH', 'Q9NRI5', 'Q9UQE7'})"
"frozenset({'TSH', 'Q9NR30', 'Q9NRD1'})"
"frozenset({'TSH', 'Q8N1B4', 'Q8TAU3'})"
"frozenset({'O00482', 'Q9NPJ4', 'TSH'})"
"frozenset({'TSH', 'Q9NP77', 'P62256'})"
"frozenset({'TSH', 'Q9NRR5', 'P53618'})"
"frozenset({'TSH', 'Q15831', 'Q9H0K1'})"
"frozenset({'P62891', 'TSH', 'P46777'})"
"frozenset({'TSH', 'O94776', 'P68431'})"
"frozenset({'Q5VZQ5', 'TSH', 'P36873'})"
"frozenset({'Q96CS2', 'Q8NA61', 'TSH'})"
"frozenset({'Q96LT7', 'TSH', 'Q13287'})"
"frozenset({'TSH', 'P22415', 'Q9UHL9'})"
"frozenset({'TSH', 'P35968', 'P17948'})"
"frozenset({'P56746', 'TSH', 'C9JDP6'})"
"frozenset({'P02775', 'Q9UBW8', 'TSH'})"
"frozenset({'Q13547', 'O94776', 'TSH'})"
"frozenset({'Q9BPY3', 'TSH', 'Q9P283'})"
"frozenset({'TSH', 'Q9BYN7', 'P62993'})"
"frozenset({'P57740', 'TSH', 'P08238'})"
"frozenset({'Q13620', 'TSH', 'Q15022'})"
"frozenset({'TSH', 'P82912', 'O60783'})"
"frozenset({'TSH', 'P51687', 'Q86U28'})"
"frozenset({'TSH', 'P28074', 'P28066'})"
"frozenset({'TSH', 'Q9H3M9', 'Q8WZ73'})"
"frozenset({'Q69YN4', 'TSH', 'Q5T200'})"
"frozenset({'Q13085', 'TSH', 'Q13200'})"
"frozenset({'TSH', 'P35626', 'Q9H339'})"
"frozenset({'P10809', 'Q9UM73', 'TSH'})"
"frozenset({'TSH', 'P51858', 'Q9UQE7'})"
"frozenset({'TSH', 'Q8N720', 'Q99801'})"
"frozenset({'Q86VP6', 'TSH', 'Q8TES7'})"
"frozenset({'Q9Y3A5', 'TSH', 'O43678'})"
"frozenset({'Q6IBS0', 'TSH', 'P47756'})"
"frozenset({'TSH', 'O15213', 'P05412'})"
"frozenset({'TSH', 'Q96P20', 'O95232'})"
"frozenset({'TSH', 'P14859', 'Q16881'})"
"frozenset({'Q9UHB6', 'TSH', 'O95782'})"
"frozenset({'TSH', 'P30041', 'Q9Y5K5'})"
"frozenset({'P17612', 'TSH', 'P07101'})"
"frozenset({'Q13362', 'Q13698', 'TSH'})"
"frozenset({'TSH', 'Q92552', 'Q92905'})"
"frozenset({'TSH', 'P49662', 'P41091'})"
"frozenset({'TSH', 'Q9NS56', 'Q05516'})"
"frozenset({'TSH', 'P61018', 'Q96JN0'})"
"frozenset({'TSH', 'P09471', 'P27361'})"
"frozenset({'TSH', 'Q8IWD4', 'O75147'})"
"frozenset({'Q9H5H4', 'TSH', 'Q9NRM2'})"
"frozenset({'TSH', 'P55042', 'P50281'})"
"frozenset({'Q96PD2', 'TSH', 'Q15262'})"
"frozenset({'P05067', 'TSH', 'Q9Y2Z9'})"
"frozenset({'TSH', 'Q9P2P5', 'Q9NQS7'})"
"frozenset({'TSH', 'P38398', 'P48552'})"
"frozenset({'TSH', 'P49901', 'A8MQ03'})"
"frozenset({'TSH', 'Q9HCE1', 'O00468'})"
"frozenset({'TSH', 'Q96KC9', 'Q9UL33'})"
"frozenset({'P49736', 'Q8NEM0', 'TSH'})"
"frozenset({'Q9Y679', 'TSH', 'P41145'})"
"frozenset({'P60014', 'TSH', 'P60410'})"
"frozenset({'TSH', 'P84243', 'Q9H160'})"
"frozenset({'O95168', 'TSH', 'O95169'})"
"frozenset({'TSH', 'Q6P0Q8', 'P09493'})"
"frozenset({'TSH', 'P16220', 'Q16695'})"
"frozenset({'P62851', 'TSH', 'P62750'})"
"frozenset({'O15297', 'TSH', 'P05412'})"
"frozenset({'Q8N4V1', 'TSH', 'Q9BYD6'})"
"frozenset({'Q9UBU9', 'TSH', 'Q13595'})"
"frozenset({'TSH', 'P10827', 'Q15185'})"
"frozenset({'Q14432', 'TSH', 'Q9Y5P6'})"
"frozenset({'Q96HE9', 'TSH', 'Q6DKI1'})"
"frozenset({'TSH', 'P78362', 'Q5T200'})"
"frozenset({'TSH', 'Q9Y3B2', 'Q15024'})"
"frozenset({'Q9BYR3', 'TSH', 'P60371'})"
"frozenset({'TSH', 'P31943', 'Q8WXA9'})"
"frozenset({'Q9H492', 'TSH', 'Q96NR8'})"
"frozenset({'TSH', 'P26373', 'P35240'})"
"frozenset({'Q13547', 'TSH', 'P48735'})"
"frozenset({'TSH', 'O14633', 'A8MQ03'})"
"frozenset({'TSH', 'Q93009', 'O43592'})"
"frozenset({'Q9BZV1', 'TSH', 'Q9Y230'})"
"frozenset({'TSH', 'P56282', 'Q04724'})"
"frozenset({'P49736', 'TSH', 'P28331'})"
"frozenset({'TSH', 'P62304', 'P62308'})"
"frozenset({'P09038', 'P36888', 'TSH'})"
"frozenset({'TSH', 'Q02878', 'P62266'})"
"frozenset({'TSH', 'P52198', 'Q13177'})"
"frozenset({'Q96QH2', 'TSH', 'O15379'})"
"frozenset({'Q9Y3M8', 'TSH', 'P21359'})"
"frozenset({'TSH', 'Q16543', 'Q13451'})"
"frozenset({'TSH', 'P62316', 'O95782'})"
"frozenset({'Q9GZR7', 'TSH', 'Q96FW1'})"
"frozenset({'Q13426', 'TSH', 'Q9Y496'})"
"frozenset({'TSH', 'Q5JWF2', 'Q6IAA8'})"
"frozenset({'TSH', 'P13987', 'P52735'})"
"frozenset({'TSH', 'Q8TEY5', 'P49841'})"
"frozenset({'TSH', 'P20929', 'Q13188'})"
"frozenset({'P12109', 'TSH', 'Q9UKX5'})"
"frozenset({'Q9BW61', 'TSH', 'Q8TEL6'})"
"frozenset({'P21246', 'TSH', 'P47756'})"
"frozenset({'Q9UBU9', 'TSH', 'P24534'})"
"frozenset({'Q9NWT6', 'TSH', 'P60468'})"
"frozenset({'Q9H0I2', 'TSH', 'O75934'})"
"frozenset({'Q9UK23', 'TSH', 'Q9Y6X8'})"
"frozenset({'P62328', 'TSH', 'Q9H5J8'})"
"frozenset({'O43593', 'Q13547', 'TSH'})"
"frozenset({'TSH', 'P09669', 'Q6UXV4'})"
"frozenset({'P24863', 'TSH', 'Q9H944'})"
"frozenset({'TSH', 'Q9BT17', 'Q86X53'})"
"frozenset({'TSH', 'Q14790', 'P09417'})"
"frozenset({'TSH', 'Q99805', 'P54709'})"
"frozenset({'TSH', 'P67775', 'Q5VY09'})"
"frozenset({'P30466', 'TSH', 'P13637'})"
"frozenset({'P16671', 'TSH', 'P08571'})"
"frozenset({'Q9UHD0', 'TSH', 'Q9HBE5'})"
"frozenset({'Q9UGN5', 'TSH', 'Q8IUD2'})"
"frozenset({'Q9UGM3', 'TSH', 'Q96JB5'})"
"frozenset({'TSH', 'Q13618', 'P27824'})"
"frozenset({'P60371', 'TSH', 'Q5TA78'})"
"frozenset({'TSH', 'Q04743', 'P23511'})"
"frozenset({'P49736', 'TSH', 'Q96AE4'})"
"frozenset({'TSH', 'Q9BYS1', 'Q9BYR5'})"
"frozenset({'TSH', 'Q05D32', 'Q96RN5'})"
"frozenset({'Q9P2A4', 'Q96GM5', 'TSH'})"
"frozenset({'TSH', 'O43396', 'P62333'})"
"frozenset({'TSH', 'P23258', 'P63208'})"
"frozenset({'TSH', 'Q9UKG1', 'Q15327'})"
"frozenset({'Q5VZ89', 'TSH', 'P12830'})"
"frozenset({'TSH', 'Q07812', 'Q7Z419'})"
"frozenset({'TSH', 'P19429', 'P45379'})"
"frozenset({'TSH', 'Q8TDZ2', 'P61006'})"
"frozenset({'TSH', 'P09619', 'P20809'})"
"frozenset({'TSH', 'Q9H3F6', 'Q15560'})"
"frozenset({'Q8N7P3', 'TSH', 'Q9Y5I7'})"
"frozenset({'Q14005', 'TSH', 'Q99712'})"
"frozenset({'Q8N149', 'TSH', 'O75015'})"
"frozenset({'O14979', 'TSH', 'P31939'})"
"frozenset({'TSH', 'Q9Y6E7', 'Q9NYK5'})"
"frozenset({'TSH', 'P17844', 'P57081'})"
"frozenset({'Q8WUK0', 'TSH', 'P60410'})"
"frozenset({'P22735', 'TSH', 'Q5TA76'})"
"frozenset({'P17707', 'TSH', 'Q9Y240'})"
"frozenset({'TSH', 'Q16594', 'P22087'})"
"frozenset({'O15027', 'TSH', 'Q9C0J8'})"
"frozenset({'TSH', 'P62937', 'Q08209'})"
"frozenset({'TSH', 'Q9Y4K3', 'P49411'})"
"frozenset({'Q14203', 'TSH', 'O00423'})"
"frozenset({'A6NEM1', 'TSH', 'Q9BV47'})"
"frozenset({'TSH', 'Q8NBT2', 'Q8IZT6'})"
"frozenset({'TSH', 'Q86WA8', 'Q15717'})"
"frozenset({'TSH', 'Q8NEU8', 'O75829'})"
"frozenset({'TSH', 'Q8TF39', 'P45973'})"
"frozenset({'TSH', 'P27694', 'P13010'})"
"frozenset({'P09661', 'TSH', 'Q9Y3B4'})"
"frozenset({'TSH', 'P50395', 'P05412'})"
"frozenset({'Q8NCE0', 'Q15054', 'TSH'})"
"frozenset({'TSH', 'Q13330', 'P63279'})"
"frozenset({'Q7Z2K6', 'TSH', 'Q9BXK5'})"
"frozenset({'Q2MV58', 'TSH', 'P22304'})"
"frozenset({'TSH', 'P51955', 'P23508'})"
"frozenset({'Q9NQG5', 'TSH', 'P07197'})"
"frozenset({'TSH', 'Q02878', 'Q00653'})"
"frozenset({'TSH', 'P07741', 'Q6XQN6'})"
"frozenset({'TSH', 'P25098', 'Q8NGC1'})"
"frozenset({'TSH', 'P35222', 'P15884'})"
"frozenset({'TSH', 'P36873', 'P05412'})"
"frozenset({'Q8N4L8', 'TSH', 'P43360'})"
"frozenset({'P32969', 'P68104', 'TSH'})"
"frozenset({'TSH', 'Q02156', 'P68133'})"
"frozenset({'TSH', 'P49368', 'P05161'})"
"frozenset({'TSH', 'P00533', 'Q92572'})"
"frozenset({'P67809', 'TSH', 'P60709'})"
"frozenset({'Q13619', 'TSH', 'Q9H9Q2'})"
"frozenset({'TSH', 'O95273', 'Q2VPK5'})"
"frozenset({'TSH', 'P16220', 'Q9BZL6'})"
"frozenset({'TSH', 'Q16659', 'Q8TDC0'})"
"frozenset({'Q15742', 'TSH', 'Q96EZ8'})"
"frozenset({'TSH', 'Q13263', 'P52736'})"
"frozenset({'P22003', 'TSH', 'P50222'})"
"frozenset({'TSH', 'Q9HCE1', 'Q9UDW1'})"
"frozenset({'O95206', 'TSH', 'Q8WUW1'})"
"frozenset({'TSH', 'Q92879', 'Q96AE4'})"
"frozenset({'TSH', 'P54198', 'Q14814'})"
"frozenset({'Q15633', 'TSH', 'Q9NW13'})"
"frozenset({'P40425', 'TSH', 'P34897'})"
"frozenset({'TSH', 'P61218', 'Q8TB68'})"
"frozenset({'Q16654', 'P10515', 'TSH'})"
"frozenset({'TSH', 'Q92552', 'Q86UX7'})"
"frozenset({'O14757', 'P12004', 'TSH'})"
"frozenset({'TSH', 'Q13428', 'P35244'})"
"frozenset({'TSH', 'O60568', 'Q7Z7J5'})"
"frozenset({'Q92508', 'TSH', 'P60981'})"
"frozenset({'TSH', 'Q92879', 'P11802'})"
"frozenset({'TSH', 'Q9BZK3', 'P30480'})"
"frozenset({'TSH', 'O14829', 'Q15751'})"
"frozenset({'TSH', 'Q86XK2', 'Q9H1R3'})"
"frozenset({'TSH', 'P12956', 'P35548'})"
"frozenset({'P17181', 'TSH', 'P40225'})"
"frozenset({'TSH', 'Q9Y4W2', 'Q5S007'})"
"frozenset({'TSH', 'Q8NGD1', 'P25098'})"
"frozenset({'P28845', 'TSH', 'P16671'})"
"frozenset({'TSH', 'Q9GZM7', 'P59991'})"
"frozenset({'TSH', 'P50402', 'Q6Y7W6'})"
"frozenset({'TSH', 'P49639', 'O43610'})"
"frozenset({'P60842', 'Q14657', 'TSH'})"
"frozenset({'P31947', 'TSH', 'Q9Y383'})"
"frozenset({'TSH', 'P78424', 'P33240'})"
"frozenset({'P05067', 'TSH', 'Q9Y4K3'})"
"frozenset({'P08637', 'P59901', 'TSH'})"
"frozenset({'TSH', 'P62995', 'P61981'})"
"frozenset({'P53990', 'TSH', 'Q9UM11'})"
"frozenset({'P50150', 'TSH', 'P45984'})"
"frozenset({'Q8WW22', 'TSH', 'Q9GZX7'})"
"frozenset({'TSH', 'Q9UMS4', 'Q9NZJ7'})"
"frozenset({'TSH', 'P06400', 'Q14188'})"
"frozenset({'P08238', 'TSH', 'Q92905'})"
"frozenset({'TSH', 'P04629', 'Q86TB9'})"
"frozenset({'TSH', 'Q9BRP4', 'P62195'})"
"frozenset({'TSH', 'Q7L190', 'Q99962'})"
"frozenset({'P62851', 'P12980', 'TSH'})"
"frozenset({'TSH', 'P24385', 'Q08999'})"
"frozenset({'TSH', 'Q6DD87', 'Q13315'})"
"frozenset({'Q9BZ23', 'TSH', 'Q9NQT8'})"
"frozenset({'TSH', 'P84243', 'P07954'})"
"frozenset({'Q9NRC8', 'TSH', 'Q96GQ7'})"
"frozenset({'TSH', 'Q12959', 'O14490'})"
"frozenset({'P38405', 'Q8NGP6', 'TSH'})"
"frozenset({'TSH', 'Q9Y6N5', 'O43542'})"
"frozenset({'P04637', 'TSH', 'Q5T4S7'})"
"frozenset({'P49736', 'TSH', 'Q562R1'})"
"frozenset({'TSH', 'P61247', 'Q9UMX5'})"
"frozenset({'Q13247', 'TSH', 'Q86U42'})"
"frozenset({'TSH', 'P11441', 'P61026'})"
"frozenset({'P62158', 'TSH', 'O14830'})"
"frozenset({'P36888', 'TSH', 'P52803'})"
"frozenset({'P0DMV9', 'TSH', 'Q9UL15'})"
"frozenset({'TSH', 'P25786', 'Q96D03'})"
"frozenset({'TSH', 'P08123', 'O95229'})"
"frozenset({'TSH', 'Q9P2H3', 'Q9Y366'})"
"frozenset({'TSH', 'P0DPB3', 'Q15751'})"
"frozenset({'TSH', 'Q8TCJ0', 'O43592'})"
"frozenset({'TSH', 'P56537', 'O76024'})"
"frozenset({'TSH', 'Q9UNX3', 'Q9BT49'})"
"frozenset({'Q96FW1', 'TSH', 'P23508'})"
"frozenset({'P06493', 'Q2KJY2', 'TSH'})"
"frozenset({'P50570', 'TSH', 'Q96AT9'})"
"frozenset({'Q8WXH0', 'TSH', 'Q15554'})"
"frozenset({'TSH', 'P16949', 'P05771'})"
"frozenset({'Q9BW61', 'TSH', 'Q9BT78'})"
"frozenset({'O94864', 'TSH', 'Q9NVC6'})"
"frozenset({'P78371', 'TSH', 'P50991'})"
"frozenset({'TSH', 'Q16659', 'Q13011'})"
"frozenset({'O60907', 'TSH', 'Q6STE5'})"
"frozenset({'Q9Y219', 'TSH', 'Q8TBJ4'})"
"frozenset({'TSH', 'P55072', 'P26373'})"
"frozenset({'TSH', 'O95817', 'P21266'})"
"frozenset({'TSH', 'Q9H0C8', 'P27361'})"
"frozenset({'P16234', 'TSH', 'Q92913'})"
"frozenset({'P38936', 'TSH', 'Q14671'})"
"frozenset({'TSH', 'Q9GZQ8', 'Q15084'})"
"frozenset({'TSH', 'Q99496', 'Q92522'})"
"frozenset({'P23396', 'TSH', 'Q9UBU9'})"
"frozenset({'TSH', 'Q07666', 'Q8WWM7'})"
"frozenset({'P01877', 'TSH', 'Q9Y619'})"
"frozenset({'TSH', 'Q9UFC0', 'O43913'})"
"frozenset({'TSH', 'Q96QS3', 'Q9H0B6'})"
"frozenset({'Q9Y2X7', 'TSH', 'P25098'})"
"frozenset({'TSH', 'Q9UKT8', 'Q09472'})"
"frozenset({'Q9Y698', 'TSH', 'Q13554'})"
"frozenset({'TSH', 'Q15532', 'Q14152'})"
"frozenset({'P19387', 'TSH', 'O14744'})"
