negatives
"frozenset({'Q9BSI4', 'M', 'P36871'})"
"frozenset({'M', 'Q5U5Q3', 'Q1KMD3'})"
"frozenset({'Q01668', 'M', 'Q14738'})"
"frozenset({'M', 'Q16594', 'Q7Z7C8'})"
"frozenset({'M', 'Q9BYR6', 'Q5T5B0'})"
"frozenset({'M', 'P35579', 'Q9NRC8'})"
"frozenset({'M', 'Q07890', 'Q96L33'})"
"frozenset({'P16118', 'P22694', 'M'})"
"frozenset({'Q14568', 'M', 'O95166'})"
"frozenset({'M', 'O43187', 'Q86VW0'})"
"frozenset({'M', 'P02686', 'Q96QT4'})"
"frozenset({'M', 'A8MQ03', 'P78385'})"
"frozenset({'O00238', 'M', 'P84022'})"
"frozenset({'M', 'Q04864', 'Q16548'})"
"frozenset({'Q8TB45', 'M', 'P48729'})"
"frozenset({'M', 'P14618', 'Q9UQL6'})"
"frozenset({'M', 'P52735', 'P19174'})"
"frozenset({'M', 'P35222', 'P46940'})"
"frozenset({'Q9ULX9', 'M', 'Q8N1L9'})"
"frozenset({'M', 'P62917', 'P62913'})"
"frozenset({'M', 'P54619', 'Q16526'})"
"frozenset({'M', 'Q9Y5K5', 'P17980'})"
"frozenset({'Q5JSL3', 'M', 'Q9P258'})"
"frozenset({'M', 'P20807', 'Q8N3K9'})"
"frozenset({'M', 'Q8N6P7', 'P05013'})"
"frozenset({'M', 'O15504', 'Q9BW27'})"
"frozenset({'M', 'O60291', 'P54252'})"
"frozenset({'Q9UBZ9', 'M', 'Q9Y2S7'})"
"frozenset({'Q6PCD5', 'M', 'Q9Y4L1'})"
"frozenset({'M', 'Q9Y2I6', 'P0DMV8'})"
"frozenset({'M', 'Q12905', 'P62750'})"
"frozenset({'M', 'Q9Y3B7', 'Q7Z7H8'})"
"frozenset({'M', 'Q99459', 'Q96CW5'})"
"frozenset({'P62258', 'M', 'P30307'})"
"frozenset({'M', 'P50336', 'O95299'})"
"frozenset({'M', 'P55039', 'P61244'})"
"frozenset({'P46013', 'M', 'Q16637'})"
"frozenset({'M', 'Q96EP0', 'P54259'})"
"frozenset({'M', 'Q9H967', 'P78371'})"
"frozenset({'Q92905', 'M', 'Q9NZJ5'})"
"frozenset({'M', 'P50148', 'Q99418'})"
"frozenset({'M', 'Q92945', 'Q92754'})"
"frozenset({'M', 'Q9BSJ2', 'Q6NUN9'})"
"frozenset({'Q96JB5', 'M', 'Q00987'})"
"frozenset({'M', 'Q14498', 'P38919'})"
"frozenset({'Q14005', 'M', 'O14974'})"
"frozenset({'Q9NP97', 'M', 'Q9NZW5'})"
"frozenset({'P55899', 'M', 'Q04206'})"
"frozenset({'M', 'Q96F07', 'P50552'})"
"frozenset({'M', 'P11021', 'Q13619'})"
"frozenset({'P04629', 'M', 'Q86U42'})"
"frozenset({'M', 'O75914', 'Q15811'})"
"frozenset({'M', 'P08100', 'Q15075'})"
"frozenset({'M', 'P23508', 'Q9HC52'})"
"frozenset({'O95153', 'O00555', 'M'})"
"frozenset({'M', 'Q9H9B4', 'Q14257'})"
"frozenset({'Q9Y4K3', 'M', 'P20290'})"
"frozenset({'P13569', 'M', 'Q13952'})"
"frozenset({'Q96N95', 'M', 'Q9BRR0'})"
"frozenset({'Q9BSF4', 'O00189', 'M'})"
"frozenset({'M', 'Q15717', 'P27707'})"
"frozenset({'O95185', 'M', 'O95631'})"
"frozenset({'O00483', 'M', 'P12236'})"
"frozenset({'Q6ZTQ3', 'M', 'Q13188'})"
"frozenset({'M', 'P62910', 'O60739'})"
"frozenset({'P01889', 'M', 'Q14166'})"
"frozenset({'Q9BQG0', 'M', 'P62847'})"
"frozenset({'M', 'Q9BZ23', 'P21796'})"
"frozenset({'Q14790', 'M', 'Q8TD06'})"
"frozenset({'P31269', 'M', 'O00470'})"
"frozenset({'Q9Y297', 'M', 'Q00839'})"
"frozenset({'M', 'Q92731', 'P47755'})"
"frozenset({'M', 'Q9Y586', 'P40424'})"
"frozenset({'Q9H8V3', 'M', 'P60900'})"
"frozenset({'M', 'P08047', 'P15692'})"
"frozenset({'P09012', 'M', 'O95758'})"
"frozenset({'Q8TD31', 'M', 'Q9NP66'})"
"frozenset({'M', 'P17066', 'P04637'})"
"frozenset({'P23193', 'M', 'Q8N7H5'})"
"frozenset({'M', 'Q9NU53', 'Q9H4F8'})"
"frozenset({'Q99865', 'Q9Y3D0', 'M'})"
"frozenset({'Q8IXZ2', 'M', 'P36941'})"
"frozenset({'M', 'Q4KMZ1', 'Q14145'})"
"frozenset({'P62873', 'M', 'Q02156'})"
"frozenset({'P35219', 'M', 'O43186'})"
"frozenset({'M', 'O43868', 'O75360'})"
"frozenset({'A3KMH1', 'M', 'P18075'})"
"frozenset({'M', 'O95980', 'Q9C0F1'})"
"frozenset({'M', 'Q9BXB1', 'P49750'})"
"frozenset({'Q96IZ0', 'M', 'O43293'})"
"frozenset({'M', 'Q13573', 'P54646'})"
"frozenset({'Q14244', 'M', 'P18146'})"
"frozenset({'M', 'Q8WVT3', 'O75865'})"
"frozenset({'M', 'Q9H492', 'Q96CV9'})"
"frozenset({'M', 'Q9UQM7', 'Q08828'})"
"frozenset({'Q9UGI0', 'M', 'Q9HCE1'})"
"frozenset({'M', 'P11473', 'P11142'})"
"frozenset({'M', 'Q16254', 'Q99728'})"
"frozenset({'Q9NVI7', 'M', 'Q9BUV8'})"
"frozenset({'M', 'Q9BRJ7', 'Q86VP6'})"
"frozenset({'Q14457', 'M', 'Q96KP1'})"
"frozenset({'M', 'P02652', 'P05090'})"
"frozenset({'O15075', 'O60573', 'M'})"
"frozenset({'M', 'Q96EY1', 'O15209'})"
"frozenset({'M', 'Q9HCE1', 'Q86WN1'})"
"frozenset({'P53701', 'M', 'P08574'})"
"frozenset({'M', 'Q15185', 'P53041'})"
"frozenset({'M', 'Q99962', 'P49418'})"
"frozenset({'Q99496', 'M', 'Q53F19'})"
"frozenset({'Q8NHG7', 'M', 'Q14565'})"
"frozenset({'P36969', 'M', 'P06733'})"
"frozenset({'M', 'P07900', 'Q9UKT8'})"
"frozenset({'M', 'Q9Y2X3', 'P18124'})"
"frozenset({'M', 'P12814', 'Q6IQ23'})"
"frozenset({'O15105', 'M', 'Q96FJ0'})"
"frozenset({'M', 'Q9GZV5', 'P78371'})"
"frozenset({'P22626', 'M', 'P68400'})"
"frozenset({'M', 'P29317', 'P31749'})"
"frozenset({'M', 'Q9NW13', 'P60520'})"
"frozenset({'M', 'P49639', 'Q96MH2'})"
"frozenset({'Q9NVT9', 'M', 'Q86Y56'})"
"frozenset({'P62877', 'M', 'Q9H4M3'})"
"frozenset({'P25106', 'M', 'Q14674'})"
"frozenset({'M', 'P26641', 'Q9HAU4'})"
"frozenset({'M', 'P13612', 'P26599'})"
"frozenset({'Q15011', 'M', 'Q86TM6'})"
"frozenset({'Q9P227', 'M', 'Q8IXI1'})"
"frozenset({'M', 'Q13794', 'Q01094'})"
"frozenset({'M', 'O43463', 'P22692'})"
"frozenset({'Q9HC73', 'M', 'P05231'})"
"frozenset({'M', 'Q9P2P5', 'Q8NC69'})"
"frozenset({'M', 'O43175', 'O00422'})"
"frozenset({'M', 'Q92569', 'O75920'})"
"frozenset({'Q3SXY8', 'M', 'Q16539'})"
"frozenset({'Q9H8Y5', 'M', 'Q5VZE5'})"
"frozenset({'M', 'Q8N9E0', 'Q9UK58'})"
"frozenset({'Q93009', 'M', 'Q01201'})"
"frozenset({'M', 'O14841', 'P78424'})"
"frozenset({'Q13561', 'M', 'P62993'})"
"frozenset({'M', 'Q70CQ1', 'Q16342'})"
"frozenset({'M', 'P13807', 'Q9GZV8'})"
"frozenset({'M', 'Q96BP3', 'O95758'})"
"frozenset({'M', 'P05067', 'O75449'})"
"frozenset({'M', 'Q99836', 'Q92985'})"
"frozenset({'P78537', 'Q99624', 'M'})"
"frozenset({'M', 'Q96PU5', 'Q96HD9'})"
"frozenset({'M', 'P32121', 'O00443'})"
"frozenset({'M', 'P04818', 'P13612'})"
"frozenset({'M', 'Q13007', 'Q86YC2'})"
"frozenset({'M', 'Q9UBS5', 'P16520'})"
"frozenset({'M', 'P61088', 'Q12904'})"
"frozenset({'O00267', 'M', 'Q86X55'})"
"frozenset({'Q7Z6B7', 'M', 'P61586'})"
"frozenset({'Q13614', 'M', 'Q00613'})"
"frozenset({'M', 'Q9P287', 'P67870'})"
"frozenset({'M', 'Q9Y294', 'Q8IWY9'})"
"frozenset({'M', 'Q13797', 'P21815'})"
"frozenset({'Q8NCY6', 'P25786', 'M'})"
"frozenset({'P07900', 'M', 'P11387'})"
"frozenset({'P42285', 'M', 'P30153'})"
"frozenset({'M', 'P49841', 'Q9UHR5'})"
"frozenset({'M', 'O14874', 'Q8N5D0'})"
"frozenset({'Q92949', 'M', 'Q8NCC5'})"
"frozenset({'M', 'P60372', 'Q6UXX9'})"
"frozenset({'M', 'O60234', 'Q8IU85'})"
"frozenset({'P50552', 'M', 'O75096'})"
"frozenset({'P22681', 'M', 'P19174'})"
"frozenset({'Q9BQ89', 'M', 'O76011'})"
"frozenset({'M', 'Q3SY84', 'Q13617'})"
"frozenset({'M', 'Q9Y6M1', 'P02751'})"
"frozenset({'M', 'Q9UPN9', 'O96019'})"
"frozenset({'P52333', 'M', 'Q08334'})"
"frozenset({'M', 'Q08881', 'Q9UKW4'})"
"frozenset({'Q96CX2', 'Q96FW1', 'M'})"
"frozenset({'M', 'Q9UHY1', 'P63172'})"
"frozenset({'M', 'O60701', 'Q15554'})"
"frozenset({'Q7Z3D6', 'M', 'Q9Y3D2'})"
"frozenset({'M', 'P11509', 'P41235'})"
"frozenset({'P25054', 'M', 'Q99741'})"
"frozenset({'M', 'Q12988', 'O75936'})"
"frozenset({'P28069', 'M', 'Q15648'})"
"frozenset({'M', 'O95467', 'P23786'})"
"frozenset({'P62136', 'M', 'P04629'})"
"frozenset({'Q9Y618', 'M', 'P08047'})"
"frozenset({'M', 'Q5T7V8', 'Q96KG9'})"
"frozenset({'P58012', 'M', 'P16619'})"
"frozenset({'M', 'P20340', 'Q8TDW5'})"
"frozenset({'M', 'Q13404', 'P07195'})"
"frozenset({'M', 'O76003', 'Q15084'})"
"frozenset({'M', 'P05556', 'P55072'})"
"frozenset({'Q15061', 'M', 'O95071'})"
"frozenset({'Q92769', 'P23527', 'M'})"
"frozenset({'M', 'P17021', 'O95273'})"
"frozenset({'P40855', 'Q969V5', 'M'})"
"frozenset({'M', 'Q96B26', 'Q15560'})"
"frozenset({'M', 'Q9BQE3', 'Q99832'})"
"frozenset({'M', 'P51884', 'Q8N1G4'})"
"frozenset({'M', 'Q14738', 'Q66LE6'})"
"frozenset({'M', 'Q9NZJ0', 'P38936'})"
"frozenset({'P26368', 'M', 'O60234'})"
"frozenset({'Q14999', 'M', 'Q8WUM9'})"
"frozenset({'M', 'P14778', 'O43187'})"
"frozenset({'P28482', 'M', 'P46695'})"
"frozenset({'M', 'Q9UMD9', 'Q9H0L4'})"
"frozenset({'M', 'O60383', 'Q96IZ7'})"
"frozenset({'M', 'Q8WV44', 'Q96C24'})"
"frozenset({'M', 'P06576', 'Q15070'})"
"frozenset({'M', 'Q15717', 'Q13886'})"
"frozenset({'M', 'Q5RKV6', 'Q8IZ52'})"
"frozenset({'Q08170', 'P35637', 'M'})"
"frozenset({'P34741', 'P57078', 'M'})"
"frozenset({'P31946', 'M', 'P08069'})"
"frozenset({'M', 'P04637', 'Q16637'})"
"frozenset({'M', 'O14828', 'O94768'})"
"frozenset({'P60409', 'Q9HCN3', 'M'})"
"frozenset({'Q9BW61', 'M', 'P49736'})"
"frozenset({'M', 'Q9NV96', 'Q6ZT21'})"
"frozenset({'M', 'P24468', 'O75376'})"
"frozenset({'M', 'P60174', 'Q13616'})"
"frozenset({'M', 'Q15389', 'P16234'})"
"frozenset({'M', 'P21333', 'P47756'})"
"frozenset({'M', 'Q9BYR8', 'P61968'})"
"frozenset({'M', 'Q96ST3', 'P10275'})"
"frozenset({'M', 'Q9BVV2', 'Q15834'})"
"frozenset({'M', 'Q13526', 'Q9BWG4'})"
"frozenset({'M', 'Q01130', 'Q9UBK2'})"
"frozenset({'M', 'Q86Y82', 'Q13144'})"
"frozenset({'M', 'P12109', 'P26006'})"
"frozenset({'Q53HC9', 'M', 'Q9UID3'})"
"frozenset({'Q8NGH3', 'M', 'P32121'})"
"frozenset({'M', 'Q05397', 'O43281'})"
"frozenset({'M', 'Q8TDM0', 'O95295'})"
"frozenset({'M', 'Q16665', 'P14618'})"
"frozenset({'M', 'Q13263', 'O14709'})"
"frozenset({'M', 'Q9BXJ9', 'P02751'})"
"frozenset({'M', 'Q96L34', 'O14964'})"
"frozenset({'Q9NPF4', 'M', 'Q9BXV9'})"
"frozenset({'M', 'Q8N960', 'Q01484'})"
"frozenset({'Q9BT22', 'M', 'P03372'})"
"frozenset({'P18507', 'M', 'P46459'})"
"frozenset({'M', 'Q9Y697', 'Q6PD62'})"
"frozenset({'Q14457', 'M', 'Q86Y13'})"
"frozenset({'O60264', 'M', 'Q12873'})"
"frozenset({'Q04206', 'M', 'P19876'})"
"frozenset({'M', 'Q13322', 'Q9Y4H2'})"
"frozenset({'M', 'Q8TC07', 'Q86VP1'})"
"frozenset({'P28222', 'M', 'P04899'})"
"frozenset({'P04629', 'M', 'P15692'})"
"frozenset({'P10276', 'M', 'P78543'})"
"frozenset({'M', 'P08670', 'O95696'})"
"frozenset({'M', 'Q06710', 'P0DMV8'})"
"frozenset({'Q13838', 'Q8NI27', 'M'})"
"frozenset({'M', 'Q9H0K1', 'Q13131'})"
"frozenset({'Q8IXJ6', 'M', 'O15121'})"
"frozenset({'Q13618', 'M', 'Q96CW1'})"
"frozenset({'M', 'Q15393', 'Q8IX12'})"
"frozenset({'M', 'Q9NXN4', 'Q9UKB1'})"
"frozenset({'O76061', 'P50613', 'M'})"
"frozenset({'M', 'Q7Z6Z7', 'P62829'})"
"frozenset({'M', 'Q96RT8', 'Q08AG7'})"
"frozenset({'O43318', 'Q9NRF9', 'M'})"
"frozenset({'M', 'O00409', 'Q70JA7'})"
"frozenset({'M', 'P38159', 'Q13242'})"
"frozenset({'M', 'Q9BZQ8', 'P06748'})"
"frozenset({'M', 'Q14160', 'Q8IY92'})"
"frozenset({'Q00534', 'M', 'Q05519'})"
"frozenset({'M', 'P34931', 'Q9P035'})"
"frozenset({'P35626', 'M', 'Q8NGF9'})"
"frozenset({'Q13315', 'M', 'Q96GD4'})"
"frozenset({'M', 'Q15147', 'P62879'})"
"frozenset({'Q02779', 'M', 'P42858'})"
"frozenset({'M', 'P08588', 'P38405'})"
"frozenset({'M', 'Q71U36', 'Q9H9S0'})"
"frozenset({'M', 'P30740', 'Q00403'})"
"frozenset({'P35626', 'M', 'A6NDH6'})"
"frozenset({'O95229', 'M', 'O00622'})"
"frozenset({'M', 'Q14140', 'O60733'})"
"frozenset({'M', 'Q9HCE1', 'Q8NEY8'})"
"frozenset({'M', 'Q9NRC8', 'P08621'})"
"frozenset({'P22694', 'M', 'Q8NGX0'})"
"frozenset({'M', 'O14654', 'Q9BV73'})"
"frozenset({'M', 'Q8N4J0', 'P08235'})"
"frozenset({'M', 'P07288', 'P01857'})"
"frozenset({'Q9P253', 'M', 'Q86YA3'})"
"frozenset({'M', 'P05112', 'O60674'})"
"frozenset({'Q7Z4P5', 'M', 'O00238'})"
"frozenset({'M', 'O60674', 'P17181'})"
"frozenset({'Q96S96', 'M', 'Q02750'})"
"frozenset({'Q05513', 'M', 'P13645'})"
"frozenset({'M', 'P14373', 'Q9HC52'})"
"frozenset({'P51451', 'M', 'P16885'})"
"frozenset({'M', 'Q13557', 'P05412'})"
"frozenset({'M', 'P05067', 'Q9NSC5'})"
"frozenset({'Q9UKX5', 'M', 'Q9HBI1'})"
"frozenset({'M', 'Q58FF8', 'Q9BUU2'})"
"frozenset({'M', 'P05388', 'P62917'})"
"frozenset({'P46531', 'M', 'O94906'})"
"frozenset({'M', 'P13807', 'Q9Y250'})"
"frozenset({'M', 'P42701', 'P01568'})"
"frozenset({'Q16627', 'M', 'P25024'})"
"frozenset({'M', 'Q96EQ8', 'P61077'})"
"frozenset({'M', 'O95425', 'P62140'})"
"frozenset({'Q9Y371', 'M', 'P61923'})"
"frozenset({'P50914', 'Q13617', 'M'})"
"frozenset({'P62979', 'M', 'P12004'})"
"frozenset({'O14497', 'M', 'Q13469'})"
"frozenset({'Q9NP66', 'M', 'Q8TBB1'})"
"frozenset({'M', 'O43889', 'Q14773'})"
"frozenset({'M', 'Q96NE9', 'P61981'})"
"frozenset({'M', 'O95466', 'P42166'})"
"frozenset({'M', 'Q9Y230', 'Q96CW1'})"
"frozenset({'M', 'P62280', 'P61513'})"
"frozenset({'Q13618', 'M', 'Q12931'})"
"frozenset({'Q9BYD3', 'Q07021', 'M'})"
"frozenset({'M', 'Q9NYL9', 'P24941'})"
"frozenset({'M', 'O75530', 'Q9BVP2'})"
"frozenset({'Q96S44', 'M', 'Q9Y3C4'})"
"frozenset({'M', 'P13637', 'Q99832'})"
"frozenset({'M', 'Q5VTY9', 'P10275'})"
"frozenset({'O15162', 'M', 'Q8WWR8'})"
"frozenset({'Q9H7B4', 'M', 'Q8TAA9'})"
"frozenset({'P51451', 'M', 'Q8N5R6'})"
"frozenset({'Q99626', 'M', 'Q9UJW3'})"
"frozenset({'M', 'O75970', 'Q96A37'})"
"frozenset({'Q9Y277', 'M', 'P12236'})"
"frozenset({'Q01970', 'M', 'O14745'})"
"frozenset({'M', 'P22612', 'O43524'})"
"frozenset({'P30530', 'M', 'Q06418'})"
"frozenset({'Q16891', 'Q01780', 'M'})"
"frozenset({'Q99436', 'P20618', 'M'})"
"frozenset({'Q5VYK3', 'M', 'P35580'})"
"frozenset({'Q15424', 'M', 'Q70EL2'})"
"frozenset({'M', 'P52333', 'P21860'})"
"frozenset({'Q9BYD2', 'M', 'Q8IXZ2'})"
"frozenset({'M', 'O75962', 'Q16670'})"
"frozenset({'P48039', 'Q14997', 'M'})"
"frozenset({'M', 'Q92817', 'P13674'})"
"frozenset({'M', 'P25789', 'Q9C0J9'})"
"frozenset({'M', 'P14416', 'P61952'})"
"frozenset({'M', 'O95425', 'P04150'})"
"frozenset({'P35626', 'Q5JQS5', 'M'})"
"frozenset({'M', 'P10909', 'P14625'})"
"frozenset({'P11274', 'M', 'O96018'})"
"frozenset({'M', 'P35237', 'Q9UKR3'})"
"frozenset({'M', 'P21246', 'O43765'})"
"frozenset({'P63000', 'M', 'O60890'})"
"frozenset({'P49411', 'Q9GZQ8', 'M'})"
"frozenset({'P16473', 'M', 'Q9Y467'})"
"frozenset({'P63104', 'Q04837', 'M'})"
"frozenset({'M', 'Q9UHB6', 'Q9ULR3'})"
"frozenset({'M', 'Q14240', 'O60271'})"
"frozenset({'Q13087', 'M', 'P60520'})"
"frozenset({'M', 'Q9HCE1', 'Q08211'})"
"frozenset({'M', 'Q9Y448', 'Q15154'})"
"frozenset({'M', 'Q8NBS9', 'P55060'})"
"frozenset({'Q01804', 'M', 'Q02413'})"
"frozenset({'M', 'Q13618', 'Q96IK5'})"
"frozenset({'M', 'Q92583', 'P51684'})"
"frozenset({'M', 'O60563', 'P54277'})"
"frozenset({'O75369', 'M', 'Q96C86'})"
"frozenset({'Q9UKI8', 'M', 'Q99638'})"
"frozenset({'M', 'P35998', 'Q9H040'})"
"frozenset({'M', 'P50991', 'Q9NVK5'})"
"frozenset({'M', 'Q9Y248', 'P13639'})"
"frozenset({'M', 'P07355', 'P20823'})"
"frozenset({'M', 'Q96C55', 'Q9NRD5'})"
"frozenset({'M', 'Q9BQ83', 'P35749'})"
"frozenset({'P49336', 'M', 'Q13503'})"
"frozenset({'Q9Y5J5', 'M', 'P08195'})"
"frozenset({'M', 'Q9Y4K3', 'P12081'})"
"frozenset({'M', 'O95292', 'Q9Y5X3'})"
"frozenset({'M', 'O00571', 'Q13418'})"
"frozenset({'M', 'O95630', 'Q9BZP3'})"
"frozenset({'M', 'Q16543', 'Q9BSF8'})"
"frozenset({'M', 'Q53EL6', 'Q5S007'})"
"frozenset({'M', 'Q07890', 'P11233'})"
"frozenset({'P28290', 'M', 'P22681'})"
"frozenset({'M', 'Q00536', 'O95544'})"
"frozenset({'M', 'P15884', 'Q15560'})"
"frozenset({'P04629', 'M', 'O00401'})"
"frozenset({'P28482', 'Q8N122', 'M'})"
"frozenset({'M', 'Q92835', 'P46109'})"
"frozenset({'P07900', 'M', 'O94966'})"
"frozenset({'M', 'Q13478', 'P18146'})"
"frozenset({'M', 'Q9ULJ3', 'Q5TCX8'})"
"frozenset({'P49286', 'M', 'O15164'})"
"frozenset({'M', 'P29590', 'P23458'})"
"frozenset({'M', 'Q9UER7', 'Q9H3D4'})"
"frozenset({'O75553', 'M', 'Q8WU79'})"
"frozenset({'M', 'O95602', 'Q9BXB1'})"
"frozenset({'M', 'P52306', 'Q13636'})"
"frozenset({'M', 'Q16584', 'P60953'})"
"frozenset({'P12318', 'Q06124', 'M'})"
"frozenset({'Q8TEQ6', 'M', 'Q93034'})"
"frozenset({'M', 'Q9Y6M7', 'P12830'})"
"frozenset({'P60903', 'M', 'P00747'})"
"frozenset({'M', 'Q13573', 'Q8N6R0'})"
"frozenset({'M', 'P15735', 'Q92973'})"
"frozenset({'M', 'P68133', 'P42771'})"
"frozenset({'P46100', 'M', 'Q92793'})"
"frozenset({'M', 'P36873', 'P19525'})"
"frozenset({'M', 'Q93034', 'Q8N782'})"
"frozenset({'M', 'P11021', 'Q8TF40'})"
"frozenset({'M', 'Q8TCG1', 'Q92597'})"
"frozenset({'Q15637', 'M', 'Q9UBK2'})"
"frozenset({'Q9UBK9', 'M', 'Q9BYV6'})"
"frozenset({'Q13492', 'M', 'A1L0T0'})"
"frozenset({'P09619', 'M', 'P05013'})"
"frozenset({'M', 'Q8NI36', 'Q9NY93'})"
"frozenset({'Q9P1W9', 'M', 'Q8NFZ0'})"
"frozenset({'M', 'Q8N6C5', 'P27037'})"
"frozenset({'Q9Y5B9', 'Q8WVC0', 'M'})"
"frozenset({'M', 'P01106', 'O43143'})"
"frozenset({'Q5VYK3', 'Q8TF39', 'M'})"
"frozenset({'M', 'O14867', 'Q92750'})"
"frozenset({'P35244', 'M', 'Q99933'})"
"frozenset({'Q9P2K5', 'Q9H9B4', 'M'})"
"frozenset({'M', 'P63220', 'P46782'})"
"frozenset({'M', 'Q9HCG8', 'Q16825'})"
"frozenset({'M', 'P30050', 'P62249'})"
"frozenset({'M', 'O60749', 'Q15714'})"
"frozenset({'P33992', 'M', 'Q93062'})"
"frozenset({'M', 'P22694', 'Q8N127'})"
"frozenset({'M', 'P27635', 'Q92979'})"
"frozenset({'M', 'Q9HBW0', 'P41182'})"
"frozenset({'M', 'P37837', 'P07864'})"
"frozenset({'M', 'Q9Y4F3', 'Q6ZRI6'})"
"frozenset({'M', 'O96017', 'O75400'})"
"frozenset({'M', 'Q9BUI4', 'P0DPB5'})"
"frozenset({'P22460', 'M', 'Q96EB6'})"
"frozenset({'M', 'P62987', 'P58335'})"
"frozenset({'M', 'Q9Y224', 'P49770'})"
"frozenset({'M', 'Q5VVX9', 'Q6PJ69'})"
"frozenset({'M', 'P51959', 'Q13619'})"
"frozenset({'M', 'Q70EL4', 'P67870'})"
"frozenset({'Q96FW1', 'Q99623', 'M'})"
"frozenset({'Q7Z6L0', 'M', 'O43181'})"
"frozenset({'M', 'Q92837', 'Q8N2S1'})"
"frozenset({'M', 'O75822', 'Q99614'})"
"frozenset({'M', 'Q15653', 'Q14161'})"
"frozenset({'M', 'Q9HCE1', 'P18848'})"
"frozenset({'M', 'O60232', 'Q9NTJ3'})"
"frozenset({'M', 'P13612', 'Q8N983'})"
"frozenset({'Q69YU3', 'M', 'Q96QF0'})"
"frozenset({'M', 'P12109', 'Q15262'})"
"frozenset({'M', 'P62899', 'P62249'})"
"frozenset({'Q99750', 'M', 'P24278'})"
"frozenset({'M', 'Q9Y312', 'Q56P03'})"
"frozenset({'M', 'Q9UMR2', 'Q92817'})"
"frozenset({'M', 'P25098', 'Q9UKL2'})"
"frozenset({'Q9Y297', 'M', 'P46934'})"
"frozenset({'Q00535', 'M', 'Q16620'})"
"frozenset({'P07550', 'M', 'Q6UB35'})"
"frozenset({'Q14999', 'M', 'P31943'})"
"frozenset({'Q8N3X1', 'M', 'P42858'})"
"frozenset({'P01579', 'M', 'P49711'})"
"frozenset({'O14965', 'M', 'O60260'})"
"frozenset({'M', 'Q9H0U3', 'P05412'})"
"frozenset({'M', 'P46778', 'P26373'})"
"frozenset({'M', 'Q9H4L5', 'Q9Y228'})"
"frozenset({'M', 'O96019', 'Q9NXR8'})"
"frozenset({'Q8IX06', 'M', 'Q9BWG6'})"
"frozenset({'P04629', 'M', 'Q8IYB3'})"
"frozenset({'M', 'Q9BXW9', 'O95619'})"
"frozenset({'M', 'O43823', 'Q14186'})"
"frozenset({'Q9H063', 'M', 'Q96JH7'})"
"frozenset({'M', 'P46379', 'Q7Z434'})"
"frozenset({'M', 'P11021', 'Q9Y6X8'})"
"frozenset({'Q92769', 'M', 'P08151'})"
"frozenset({'P61769', 'M', 'P02786'})"
"frozenset({'P68431', 'M', 'Q01082'})"
"frozenset({'Q14344', 'M', 'Q96RI0'})"
"frozenset({'Q96FW1', 'M', 'P02766'})"
"frozenset({'M', 'Q92785', 'Q9UDV6'})"
"frozenset({'Q13309', 'M', 'Q13485'})"
"frozenset({'M', 'O60763', 'P42574'})"
"frozenset({'M', 'P56945', 'Q16539'})"
"frozenset({'M', 'P04818', 'P68400'})"
"frozenset({'M', 'Q9HA38', 'Q9ULM6'})"
"frozenset({'M', 'Q9NRC8', 'Q13895'})"
"frozenset({'Q9UGM1', 'Q07065', 'M'})"
"frozenset({'O94776', 'M', 'Q13547'})"
"frozenset({'M', 'P05787', 'Q9H307'})"
"frozenset({'M', 'P61619', 'P60059'})"
"frozenset({'P32929', 'M', 'P48147'})"
"frozenset({'M', 'P41221', 'Q13485'})"
"frozenset({'M', 'P09497', 'Q9H267'})"
"frozenset({'M', 'Q9BXN2', 'Q7L0Q8'})"
"frozenset({'P47224', 'M', 'A4D1S5'})"
"frozenset({'M', 'P08779', 'P18146'})"
"frozenset({'Q13315', 'M', 'Q13472'})"
"frozenset({'M', 'O95467', 'P25024'})"
"frozenset({'M', 'O14920', 'P67775'})"
"frozenset({'M', 'P54274', 'P04632'})"
"frozenset({'M', 'Q9BUJ2', 'O60506'})"
"frozenset({'M', 'Q8IVS8', 'Q53G59'})"
"frozenset({'M', 'Q9P2H3', 'Q8IY31'})"
"frozenset({'Q8N122', 'M', 'Q9UBU9'})"
"frozenset({'P27348', 'M', 'P48730'})"
"frozenset({'M', 'Q9NWX6', 'Q96MX6'})"
"frozenset({'M', 'P05067', 'Q9H5V9'})"
"frozenset({'Q8IX90', 'M', 'Q9NPJ6'})"
"frozenset({'M', 'P49736', 'P27658'})"
"frozenset({'P12931', 'M', 'P21333'})"
"frozenset({'M', 'A6ND48', 'Q9P2W3'})"
"frozenset({'M', 'O15524', 'P16871'})"
"frozenset({'M', 'P51991', 'Q92616'})"
"frozenset({'M', 'P53618', 'P05067'})"
"frozenset({'M', 'O00590', 'Q99616'})"
"frozenset({'P26196', 'O43298', 'M'})"
"frozenset({'P28482', 'M', 'Q92908'})"
"frozenset({'Q9ULX3', 'M', 'Q13823'})"
"frozenset({'M', 'Q08379', 'Q6NS38'})"
"frozenset({'M', 'O95292', 'O75396'})"
"frozenset({'Q99496', 'M', 'P04908'})"
"frozenset({'M', 'Q9UI95', 'O96006'})"
"frozenset({'O15205', 'M', 'Q9H832'})"
"frozenset({'M', 'Q92542', 'P17931'})"
"frozenset({'P60660', 'M', 'P0DP25'})"
"frozenset({'M', 'Q8NH16', 'P22612'})"
