negatives
"frozenset({'O43747', 'BCR', 'Q96S82'})"
"frozenset({'Q96DI7', 'BCR', 'Q9UHR6'})"
"frozenset({'Q9HAV7', 'BCR', 'P16949'})"
"frozenset({'O60763', 'BCR', 'Q92538'})"
"frozenset({'P35221', 'Q92905', 'BCR'})"
"frozenset({'P61586', 'O75746', 'BCR'})"
"frozenset({'Q6PGQ7', 'BCR', 'P56705'})"
"frozenset({'Q9H2S9', 'BCR', 'Q92769'})"
"frozenset({'P47914', 'P02751', 'BCR'})"
"frozenset({'P48668', 'P05783', 'BCR'})"
"frozenset({'O60684', 'BCR', 'P41743'})"
"frozenset({'Q9Y243', 'P30154', 'BCR'})"
"frozenset({'P61586', 'BCR', 'P19174'})"
"frozenset({'O75955', 'BCR', 'Q8TAT6'})"
"frozenset({'Q9BWF2', 'BCR', 'P19174'})"
"frozenset({'Q9HD47', 'BCR', 'P62826'})"
"frozenset({'O60906', 'BCR', 'Q8NI60'})"
"frozenset({'Q13885', 'O15259', 'BCR'})"
"frozenset({'O00469', 'BCR', 'O00267'})"
"frozenset({'Q15154', 'O95758', 'BCR'})"
"frozenset({'BCR', 'P60372', 'Q15040'})"
"frozenset({'P24666', 'BCR', 'P02751'})"
"frozenset({'Q01973', 'BCR', 'O60343'})"
"frozenset({'Q13698', 'BCR', 'P62879'})"
"frozenset({'BCR', 'Q13153', 'P30613'})"
"frozenset({'Q9BRK5', 'BCR', 'Q13576'})"
"frozenset({'Q13148', 'BCR', 'Q9NR30'})"
"frozenset({'Q9UPW0', 'BCR', 'Q15554'})"
"frozenset({'P21673', 'BCR', 'Q9NUT2'})"
"frozenset({'Q66GS9', 'Q9BT25', 'BCR'})"
"frozenset({'P16104', 'BCR', 'A6NMY6'})"
"frozenset({'O75581', 'P58335', 'BCR'})"
"frozenset({'Q15843', 'BCR', 'Q99878'})"
"frozenset({'Q15024', 'BCR', 'P04637'})"
"frozenset({'Q9H497', 'BCR', 'Q5JTV8'})"
"frozenset({'Q15843', 'Q13098', 'BCR'})"
"frozenset({'BCR', 'P43363', 'Q8WUB2'})"
"frozenset({'Q149N8', 'BCR', 'Q15819'})"
"frozenset({'Q9BT92', 'BCR', 'O95140'})"
"frozenset({'Q15572', 'O15446', 'BCR'})"
"frozenset({'P16104', 'BCR', 'O95881'})"
"frozenset({'Q96K37', 'Q96IP4', 'BCR'})"
"frozenset({'P62701', 'BCR', 'P60520'})"
"frozenset({'P51858', 'BCR', 'Q5TZA2'})"
"frozenset({'Q16667', 'BCR', 'Q00526'})"
"frozenset({'O95758', 'Q12905', 'BCR'})"
"frozenset({'Q9UHV2', 'BCR', 'Q8IVS8'})"
"frozenset({'BCR', 'P06733', 'Q9BXL5'})"
"frozenset({'Q70UQ0', 'Q5QGZ9', 'BCR'})"
"frozenset({'P14618', 'P53355', 'BCR'})"
"frozenset({'Q9H4H8', 'BCR', 'P49841'})"
"frozenset({'P22694', 'BCR', 'A6NND4'})"
"frozenset({'Q13263', 'BCR', 'P51668'})"
"frozenset({'BCR', 'Q13191', 'P43403'})"
"frozenset({'Q9BW62', 'P68371', 'BCR'})"
"frozenset({'BCR', 'P35240', 'Q9NP79'})"
"frozenset({'Q32MK0', 'Q13153', 'BCR'})"
"frozenset({'BCR', 'P51149', 'Q9HCC9'})"
"frozenset({'BCR', 'P54727', 'Q96IV0'})"
"frozenset({'P29460', 'BCR', 'P62805'})"
"frozenset({'Q16620', 'P20783', 'BCR'})"
"frozenset({'Q5T3J3', 'Q99547', 'BCR'})"
"frozenset({'O75376', 'Q99623', 'BCR'})"
"frozenset({'P28799', 'Q5VTD9', 'BCR'})"
"frozenset({'P25025', 'BCR', 'Q9Y4X3'})"
"frozenset({'Q07889', 'BCR', 'P10398'})"
"frozenset({'Q8TBF4', 'Q96HE9', 'BCR'})"
"frozenset({'BCR', 'O14933', 'Q86UD3'})"
"frozenset({'Q9UI09', 'BCR', 'Q9P015'})"
"frozenset({'Q13616', 'BCR', 'P23769'})"
"frozenset({'Q13315', 'BCR', 'Q6ZU65'})"
"frozenset({'Q6P1J9', 'BCR', 'Q7L2J0'})"
"frozenset({'P05067', 'BCR', 'P00966'})"
"frozenset({'BCR', 'P09467', 'Q96D59'})"
"frozenset({'Q9ULK4', 'BCR', 'O95619'})"
"frozenset({'Q04206', 'BCR', 'O95644'})"
"frozenset({'BCR', 'P11021', 'P61106'})"
"frozenset({'Q8IYX8', 'O75874', 'BCR'})"
"frozenset({'Q86Y07', 'BCR', 'P38432'})"
"frozenset({'Q92870', 'Q8NEU8', 'BCR'})"
"frozenset({'P06702', 'P04271', 'BCR'})"
"frozenset({'BCR', 'Q9HD33', 'Q9NX20'})"
"frozenset({'Q9NZK7', 'BCR', 'P27361'})"
"frozenset({'Q9Y4K3', 'BCR', 'Q14566'})"
"frozenset({'Q8NH50', 'BCR', 'P32121'})"
"frozenset({'Q9BVN2', 'O15049', 'BCR'})"
"frozenset({'P14625', 'BCR', 'P38646'})"
"frozenset({'Q02156', 'BCR', 'O15530'})"
"frozenset({'BCR', 'Q9UMS6', 'O15400'})"
"frozenset({'P06748', 'BCR', 'Q8N726'})"
"frozenset({'P63104', 'P62834', 'BCR'})"
"frozenset({'P28562', 'P28482', 'BCR'})"
"frozenset({'O00716', 'BCR', 'Q14980'})"
"frozenset({'Q00796', 'BCR', 'Q9NQP4'})"
"frozenset({'P83876', 'BCR', 'P09211'})"
"frozenset({'P43358', 'P10176', 'BCR'})"
"frozenset({'P30050', 'Q92905', 'BCR'})"
"frozenset({'P20073', 'Q13432', 'BCR'})"
"frozenset({'P31153', 'BCR', 'P63279'})"
"frozenset({'Q9HCE1', 'Q8NB46', 'BCR'})"
"frozenset({'Q15256', 'BCR', 'Q13164'})"
"frozenset({'O00231', 'BCR', 'P28074'})"
"frozenset({'BCR', 'Q00610', 'Q09472'})"
"frozenset({'O00291', 'P61088', 'BCR'})"
"frozenset({'Q9UKB1', 'BCR', 'Q01664'})"
"frozenset({'Q9UKY1', 'BCR', 'P42330'})"
"frozenset({'BCR', 'O94826', 'Q9UHA4'})"
"frozenset({'BCR', 'P08047', 'Q9UBT6'})"
"frozenset({'Q9NRC8', 'Q9Y262', 'BCR'})"
"frozenset({'BCR', 'Q9H853', 'Q96RT7'})"
"frozenset({'P27361', 'P09874', 'BCR'})"
"frozenset({'Q99661', 'BCR', 'Q9P0N9'})"
"frozenset({'Q02487', 'BCR', 'P49759'})"
"frozenset({'P18510', 'BCR', 'Q9NYB0'})"
"frozenset({'Q14565', 'BCR', 'Q8NHY2'})"
"frozenset({'BCR', 'O14559', 'P63000'})"
"frozenset({'Q96CS3', 'Q96BY9', 'BCR'})"
"frozenset({'Q15459', 'BCR', 'O75530'})"
"frozenset({'P35579', 'Q13616', 'BCR'})"
"frozenset({'Q96K80', 'BCR', 'Q86VP6'})"
"frozenset({'BCR', 'P46934', 'O95400'})"
"frozenset({'Q8NFM4', 'Q8WZA2', 'BCR'})"
"frozenset({'Q8IXY8', 'Q92624', 'BCR'})"
"frozenset({'BCR', 'Q9UGU0', 'Q16777'})"
"frozenset({'Q9HCE1', 'Q9NZ53', 'BCR'})"
"frozenset({'O00483', 'BCR', 'P22612'})"
"frozenset({'Q9UHD9', 'Q03692', 'BCR'})"
"frozenset({'P05141', 'Q15526', 'BCR'})"
"frozenset({'Q15393', 'BCR', 'O60506'})"
"frozenset({'Q86X19', 'Q96SK2', 'BCR'})"
"frozenset({'Q8WYN0', 'Q96FV9', 'BCR'})"
"frozenset({'P11142', 'BCR', 'Q96A73'})"
"frozenset({'P36873', 'BCR', 'P62136'})"
"frozenset({'Q9UI12', 'Q16864', 'BCR'})"
"frozenset({'P23771', 'P08047', 'BCR'})"
"frozenset({'Q13114', 'Q13077', 'BCR'})"
"frozenset({'Q9H0M0', 'Q9NVD3', 'BCR'})"
"frozenset({'P04629', 'BCR', 'P33992'})"
"frozenset({'O43255', 'BCR', 'Q8IUQ4'})"
"frozenset({'P41236', 'P01106', 'BCR'})"
"frozenset({'P98177', 'BCR', 'P16234'})"
"frozenset({'BCR', 'P49720', 'Q9BQ83'})"
"frozenset({'P22694', 'BCR', 'Q14571'})"
"frozenset({'BCR', 'O15144', 'Q9P1U1'})"
"frozenset({'Q8NEC5', 'BCR', 'P26371'})"
"frozenset({'Q8N163', 'BCR', 'Q8WVZ9'})"
"frozenset({'P83731', 'BCR', 'P62277'})"
"frozenset({'Q9UBI1', 'Q86VX2', 'BCR'})"
"frozenset({'P03372', 'BCR', 'Q9BTC8'})"
"frozenset({'P60763', 'P98170', 'BCR'})"
"frozenset({'P01375', 'BCR', 'P21810'})"
"frozenset({'P09972', 'BCR', 'P49736'})"
"frozenset({'P62906', 'Q9H0R8', 'BCR'})"
"frozenset({'Q71SY5', 'BCR', 'Q9UHV7'})"
"frozenset({'P51570', 'BCR', 'Q9H8V3'})"
"frozenset({'O60840', 'Q16537', 'BCR'})"
"frozenset({'P68400', 'Q15475', 'BCR'})"
"frozenset({'Q15717', 'BCR', 'P46089'})"
"frozenset({'Q9UJV9', 'P04629', 'BCR'})"
"frozenset({'BCR', 'P22612', 'Q96D31'})"
"frozenset({'P10253', 'BCR', 'O60506'})"
"frozenset({'Q6P5R6', 'BCR', 'P49736'})"
"frozenset({'Q13443', 'P06756', 'BCR'})"
"frozenset({'P13797', 'P62993', 'BCR'})"
"frozenset({'P13569', 'Q7Z2H8', 'BCR'})"
"frozenset({'Q86YT5', 'BCR', 'P59991'})"
"frozenset({'BCR', 'P42229', 'Q92731'})"
"frozenset({'P47813', 'BCR', 'O00303'})"
"frozenset({'BCR', 'Q13636', 'P62820'})"
"frozenset({'P52434', 'BCR', 'P30876'})"
"frozenset({'Q9UHB9', 'Q7KZF4', 'BCR'})"
"frozenset({'Q8NEA9', 'BCR', 'Q9NRD5'})"
"frozenset({'P08574', 'P48047', 'BCR'})"
"frozenset({'Q5T7N3', 'Q9NSC5', 'BCR'})"
"frozenset({'O75177', 'BCR', 'Q92785'})"
"frozenset({'P46108', 'P61981', 'BCR'})"
"frozenset({'Q92569', 'P02774', 'BCR'})"
"frozenset({'P33993', 'BCR', 'O95696'})"
"frozenset({'Q13618', 'BCR', 'Q9H0C5'})"
"frozenset({'Q9P2X3', 'BCR', 'P22314'})"
"frozenset({'P40425', 'BCR', 'P48431'})"
"frozenset({'Q9UBP5', 'Q96ST3', 'BCR'})"
"frozenset({'Q8IZU1', 'BCR', 'Q15287'})"
"frozenset({'Q5TDH0', 'BCR', 'Q9BXJ9'})"
"frozenset({'P25445', 'BCR', 'Q9UER7'})"
"frozenset({'P04792', 'BCR', 'Q9UEY8'})"
"frozenset({'O00762', 'Q9NYG5', 'BCR'})"
"frozenset({'P52272', 'O14964', 'BCR'})"
"frozenset({'BCR', 'Q8IU54', 'Q13651'})"
"frozenset({'BCR', 'O95433', 'Q7Z6Z7'})"
"frozenset({'BCR', 'Q8IX12', 'P68431'})"
"frozenset({'P48668', 'BCR', 'O76011'})"
"frozenset({'P00533', 'BCR', 'O75886'})"
"frozenset({'Q13206', 'BCR', 'P41218'})"
"frozenset({'Q969H0', 'P09467', 'BCR'})"
"frozenset({'O15105', 'BCR', 'P04637'})"
"frozenset({'BCR', 'P51531', 'P11473'})"
"frozenset({'P40337', 'BCR', 'O75608'})"
"frozenset({'P49642', 'Q8WWY8', 'BCR'})"
"frozenset({'Q969W1', 'P00519', 'BCR'})"
"frozenset({'Q9UM13', 'BCR', 'P49917'})"
"frozenset({'P16401', 'Q05655', 'BCR'})"
"frozenset({'P19438', 'BCR', 'Q6GQQ9'})"
"frozenset({'Q16584', 'BCR', 'Q12929'})"
"frozenset({'BCR', 'Q71U36', 'Q3KQU3'})"
"frozenset({'P04264', 'BCR', 'Q86UA6'})"
"frozenset({'Q9UMD9', 'BCR', 'P23229'})"
"frozenset({'O00255', 'P01106', 'BCR'})"
"frozenset({'BCR', 'Q9ULD6', 'Q9H7D0'})"
"frozenset({'P52739', 'O15327', 'BCR'})"
"frozenset({'Q9NRA8', 'P45983', 'BCR'})"
"frozenset({'P49747', 'BCR', 'O75578'})"
"frozenset({'Q9NS91', 'BCR', 'Q9BQI6'})"
"frozenset({'BCR', 'Q9BZL3', 'Q9BRK4'})"
"frozenset({'P55010', 'O15371', 'BCR'})"
"frozenset({'P12956', 'Q9Y5N6', 'BCR'})"
"frozenset({'Q6DKI2', 'P55011', 'BCR'})"
"frozenset({'Q4FZB7', 'Q8IVT5', 'BCR'})"
"frozenset({'BCR', 'P55084', 'Q969P0'})"
"frozenset({'P17081', 'BCR', 'Q52LW3'})"
"frozenset({'BCR', 'Q9Y2X9', 'P57078'})"
"frozenset({'P05013', 'BCR', 'Q6UWB1'})"
"frozenset({'Q9Y6K0', 'BCR', 'O00400'})"
"frozenset({'Q16821', 'P27482', 'BCR'})"
"frozenset({'Q92841', 'BCR', 'P03372'})"
"frozenset({'Q9Y365', 'Q6IQ23', 'BCR'})"
"frozenset({'P08754', 'P61073', 'BCR'})"
"frozenset({'BCR', 'O95630', 'Q92783'})"
"frozenset({'Q9Y224', 'BCR', 'Q9P1U1'})"
"frozenset({'BCR', 'P02751', 'P02747'})"
"frozenset({'O95248', 'P52799', 'BCR'})"
"frozenset({'Q3SY46', 'Q8TBB1', 'BCR'})"
"frozenset({'P62750', 'BCR', 'P62277'})"
"frozenset({'BCR', 'P62993', 'Q0VD86'})"
"frozenset({'Q5XKP0', 'Q96A35', 'BCR'})"
"frozenset({'BCR', 'Q00839', 'Q8N726'})"
"frozenset({'Q16718', 'BCR', 'Q13501'})"
"frozenset({'Q13469', 'BCR', 'Q9BZS1'})"
"frozenset({'BCR', 'P60896', 'Q5VYK3'})"
"frozenset({'BCR', 'Q16540', 'P61978'})"
"frozenset({'Q8NHQ1', 'BCR', 'Q15834'})"
"frozenset({'P14618', 'Q15751', 'BCR'})"
"frozenset({'BCR', 'P08708', 'P15880'})"
"frozenset({'Q9HB19', 'P36406', 'BCR'})"
"frozenset({'P39023', 'BCR', 'Q99558'})"
"frozenset({'O15318', 'BCR', 'Q9Y535'})"
"frozenset({'Q15435', 'BCR', 'Q96MX6'})"
"frozenset({'Q9HCS4', 'BCR', 'P56545'})"
"frozenset({'Q9UKS7', 'BCR', 'Q13363'})"
"frozenset({'Q9P2W3', 'BCR', 'Q8NH18'})"
"frozenset({'Q13469', 'BCR', 'Q9UQR1'})"
"frozenset({'Q99750', 'BCR', 'Q08AG5'})"
"frozenset({'Q96DB2', 'Q9Y2Z0', 'BCR'})"
"frozenset({'Q8N8N0', 'BCR', 'Q96B02'})"
"frozenset({'P20929', 'Q13464', 'BCR'})"
"frozenset({'Q9BZE0', 'BCR', 'A6NEM1'})"
"frozenset({'P63244', 'BCR', 'O95433'})"
"frozenset({'Q9NRR4', 'BCR', 'Q15797'})"
"frozenset({'Q9C002', 'P22830', 'BCR'})"
"frozenset({'Q9UN81', 'BCR', 'P23527'})"
"frozenset({'O15270', 'Q969W0', 'BCR'})"
"frozenset({'BCR', 'Q9P2W3', 'Q8NGB4'})"
"frozenset({'P52435', 'BCR', 'P36954'})"
"frozenset({'Q14164', 'BCR', 'Q9BXJ9'})"
"frozenset({'Q9HCE7', 'Q15750', 'BCR'})"
"frozenset({'Q9H190', 'BCR', 'P0DMU9'})"
"frozenset({'Q9NYG2', 'Q01844', 'BCR'})"
"frozenset({'P15822', 'Q16891', 'BCR'})"
"frozenset({'O75475', 'BCR', 'P48506'})"
"frozenset({'BCR', 'O15047', 'Q93079'})"
"frozenset({'P09629', 'Q6ZT12', 'BCR'})"
"frozenset({'BCR', 'Q9H1A4', 'Q9UNH5'})"
"frozenset({'Q6X784', 'Q86XX4', 'BCR'})"
"frozenset({'Q13535', 'BCR', 'Q9H3H1'})"
"frozenset({'BCR', 'Q96BA8', 'Q8IXM6'})"
"frozenset({'Q9NRL2', 'Q9NRF9', 'BCR'})"
"frozenset({'BCR', 'P04003', 'Q96GM5'})"
"frozenset({'BCR', 'P29374', 'P85037'})"
"frozenset({'P25787', 'BCR', 'Q5VYK3'})"
"frozenset({'Q9UQ35', 'BCR', 'P62081'})"
"frozenset({'P01568', 'O60674', 'BCR'})"
"frozenset({'Q9NX01', 'P15884', 'BCR'})"
"frozenset({'Q8N9N5', 'Q6P1W5', 'BCR'})"
"frozenset({'Q9BYK8', 'Q9NRC8', 'BCR'})"
"frozenset({'BCR', 'P23919', 'Q99459'})"
"frozenset({'Q8NF91', 'Q96EV8', 'BCR'})"
"frozenset({'BCR', 'P78527', 'Q13469'})"
"frozenset({'O14737', 'BCR', 'P01889'})"
"frozenset({'Q07157', 'Q9NRM7', 'BCR'})"
"frozenset({'Q13748', 'BCR', 'Q13043'})"
"frozenset({'Q8IX90', 'Q8WX93', 'BCR'})"
"frozenset({'O60383', 'Q9H0Q3', 'BCR'})"
"frozenset({'P35579', 'BCR', 'P24941'})"
"frozenset({'Q9Y3B4', 'Q96BK5', 'BCR'})"
"frozenset({'Q8NBT0', 'P09104', 'BCR'})"
"frozenset({'BCR', 'P05388', 'P83731'})"
"frozenset({'P25098', 'Q8NGB9', 'BCR'})"
"frozenset({'Q92997', 'Q9P0T4', 'BCR'})"
"frozenset({'P27694', 'P35240', 'BCR'})"
"frozenset({'Q92900', 'O77932', 'BCR'})"
"frozenset({'Q13617', 'BCR', 'P13010'})"
"frozenset({'P06241', 'Q13177', 'BCR'})"
"frozenset({'Q8N9N5', 'Q8TAP6', 'BCR'})"
"frozenset({'Q13148', 'BCR', 'Q15366'})"
"frozenset({'P11441', 'A1L0T0', 'BCR'})"
"frozenset({'BCR', 'Q9BXB1', 'O14976'})"
"frozenset({'BCR', 'Q9P2P5', 'Q15269'})"
"frozenset({'Q9Y4P8', 'Q9NTX5', 'BCR'})"
"frozenset({'Q9NVX2', 'BCR', 'P40227'})"
"frozenset({'Q9GZP0', 'P07333', 'BCR'})"
"frozenset({'Q9UJV9', 'BCR', 'Q15637'})"
"frozenset({'Q8IX03', 'P35240', 'BCR'})"
"frozenset({'Q15323', 'BCR', 'Q92608'})"
"frozenset({'Q16520', 'Q16534', 'BCR'})"
"frozenset({'Q8IWL3', 'Q15031', 'BCR'})"
"frozenset({'Q6ZRV2', 'Q8WVB6', 'BCR'})"
"frozenset({'Q7Z3K3', 'BCR', 'Q99471'})"
"frozenset({'P10809', 'P00747', 'BCR'})"
"frozenset({'O75674', 'P06396', 'BCR'})"
"frozenset({'Q13547', 'BCR', 'P23769'})"
"frozenset({'Q9NWA0', 'P49336', 'BCR'})"
"frozenset({'P42574', 'O95817', 'BCR'})"
"frozenset({'P35638', 'Q07889', 'BCR'})"
"frozenset({'P42696', 'BCR', 'P26373'})"
"frozenset({'Q9NQ69', 'BCR', 'Q2TBE0'})"
"frozenset({'Q14765', 'BCR', 'Q09472'})"
"frozenset({'P46782', 'P62750', 'BCR'})"
"frozenset({'Q8NHZ8', 'BCR', 'Q9H1A4'})"
"frozenset({'Q96HA8', 'P02792', 'BCR'})"
"frozenset({'P27482', 'BCR', 'P51828'})"
"frozenset({'P19838', 'BCR', 'Q96C00'})"
"frozenset({'BCR', 'P29692', 'Q9NUX5'})"
"frozenset({'P68366', 'Q6P2Q9', 'BCR'})"
"frozenset({'Q9C004', 'BCR', 'Q15569'})"
"frozenset({'Q96SB4', 'O15547', 'BCR'})"
"frozenset({'Q96B96', 'BCR', 'Q96HH6'})"
"frozenset({'O43290', 'P53999', 'BCR'})"
"frozenset({'O60216', 'BCR', 'Q04637'})"
"frozenset({'Q96EQ0', 'Q8TDN6', 'BCR'})"
"frozenset({'Q12931', 'O15392', 'BCR'})"
"frozenset({'P84098', 'BCR', 'P62979'})"
"frozenset({'P54727', 'BCR', 'P61960'})"
"frozenset({'Q13309', 'BCR', 'P24941'})"
"frozenset({'Q641Q2', 'Q8TES7', 'BCR'})"
"frozenset({'Q96HS1', 'BCR', 'O00429'})"
"frozenset({'BCR', 'P41223', 'Q9NRD5'})"
"frozenset({'P01111', 'BCR', 'Q9NS23'})"
"frozenset({'Q14790', 'O15234', 'BCR'})"
"frozenset({'Q9NSE4', 'BCR', 'P31942'})"
"frozenset({'Q9BUN8', 'BCR', 'P24588'})"
"frozenset({'BCR', 'P05067', 'P61371'})"
"frozenset({'BCR', 'P15927', 'Q6WCQ1'})"
"frozenset({'P09874', 'BCR', 'Q7Z6Z7'})"
"frozenset({'Q06787', 'BCR', 'Q9Y2D8'})"
"frozenset({'BCR', 'P21333', 'P07148'})"
"frozenset({'Q01968', 'BCR', 'Q13636'})"
"frozenset({'Q9UM54', 'P21333', 'BCR'})"
"frozenset({'P63104', 'P15056', 'BCR'})"
"frozenset({'O15084', 'Q6ZU80', 'BCR'})"
"frozenset({'Q01581', 'P53602', 'BCR'})"
"frozenset({'Q12905', 'BCR', 'P51571'})"
"frozenset({'Q99666', 'P46060', 'BCR'})"
"frozenset({'O95757', 'BCR', 'O43765'})"
"frozenset({'Q9BRJ6', 'Q96HE9', 'BCR'})"
"frozenset({'O95835', 'Q8IX03', 'BCR'})"
"frozenset({'BCR', 'Q96EP0', 'Q9BYQ4'})"
"frozenset({'Q9P2I0', 'BCR', 'Q99728'})"
"frozenset({'BCR', 'Q05519', 'O94992'})"
"frozenset({'BCR', 'Q9UNS2', 'Q9Y4E8'})"
"frozenset({'Q9UHC1', 'P10275', 'BCR'})"
"frozenset({'Q13618', 'P31942', 'BCR'})"
"frozenset({'Q96BT7', 'BCR', 'P50990'})"
"frozenset({'P62269', 'BCR', 'Q96EY1'})"
"frozenset({'BCR', 'Q9NVU7', 'P19784'})"
"frozenset({'P35548', 'BCR', 'P78424'})"
"frozenset({'BCR', 'P22612', 'Q07812'})"
"frozenset({'Q14789', 'O60763', 'BCR'})"
"frozenset({'P26678', 'Q16623', 'BCR'})"
"frozenset({'Q8N6L1', 'P40337', 'BCR'})"
"frozenset({'P62877', 'Q92564', 'BCR'})"
"frozenset({'P61956', 'O60232', 'BCR'})"
"frozenset({'BCR', 'O75800', 'Q9NX47'})"
"frozenset({'Q9Y399', 'BCR', 'O60783'})"
"frozenset({'P29459', 'Q969J5', 'BCR'})"
"frozenset({'Q99755', 'BCR', 'P48729'})"
"frozenset({'Q9UGJ0', 'BCR', 'Q13085'})"
"frozenset({'O95758', 'P17812', 'BCR'})"
"frozenset({'Q9BSB4', 'Q9BVC4', 'BCR'})"
"frozenset({'Q13315', 'Q9NY93', 'BCR'})"
"frozenset({'Q5TA81', 'BCR', 'P60329'})"
"frozenset({'Q9Y468', 'BCR', 'O43823'})"
"frozenset({'P25098', 'BCR', 'Q8NG76'})"
"frozenset({'P22102', 'BCR', 'Q93034'})"
"frozenset({'Q99750', 'Q86XF7', 'BCR'})"
"frozenset({'BCR', 'O43765', 'Q9Y3F4'})"
"frozenset({'Q92616', 'BCR', 'P49662'})"
"frozenset({'Q8WUD6', 'Q01968', 'BCR'})"
"frozenset({'BCR', 'Q16602', 'P06881'})"
"frozenset({'BCR', 'P62917', 'Q99613'})"
"frozenset({'Q16236', 'BCR', 'P14921'})"
"frozenset({'Q15047', 'P78417', 'BCR'})"
"frozenset({'Q96IR7', 'Q9P2R7', 'BCR'})"
"frozenset({'Q15717', 'Q9P021', 'BCR'})"
"frozenset({'BCR', 'Q13158', 'Q96DZ5'})"
"frozenset({'Q15428', 'Q07955', 'BCR'})"
"frozenset({'Q96HT8', 'BCR', 'O00459'})"
"frozenset({'Q01668', 'BCR', 'P16298'})"
"frozenset({'P05412', 'BCR', 'Q05D60'})"
"frozenset({'BCR', 'Q12874', 'P61163'})"
"frozenset({'P46108', 'P84022', 'BCR'})"
"frozenset({'Q14157', 'BCR', 'P19320'})"
"frozenset({'Q07889', 'P42338', 'BCR'})"
"frozenset({'Q13439', 'BCR', 'Q9NRG4'})"
"frozenset({'BCR', 'O60220', 'O14933'})"
"frozenset({'P25098', 'O60431', 'BCR'})"
"frozenset({'Q92841', 'P01106', 'BCR'})"
"frozenset({'P41214', 'BCR', 'O43143'})"
"frozenset({'O95274', 'BCR', 'P51790'})"
"frozenset({'BCR', 'Q96KN1', 'O96017'})"
"frozenset({'Q9BYE7', 'Q8IWI9', 'BCR'})"
"frozenset({'O95835', 'P06493', 'BCR'})"
"frozenset({'P27348', 'BCR', 'P07910'})"
"frozenset({'O15084', 'BCR', 'Q01484'})"
"frozenset({'Q9NVI7', 'BCR', 'Q15008'})"
"frozenset({'Q9UBI6', 'P46663', 'BCR'})"
"frozenset({'Q9NRI5', 'BCR', 'Q14203'})"
"frozenset({'Q96RS0', 'BCR', 'P83369'})"
"frozenset({'Q9UBC3', 'P19387', 'BCR'})"
"frozenset({'Q9UKB1', 'BCR', 'Q13387'})"
"frozenset({'P42226', 'Q9UHD0', 'BCR'})"
"frozenset({'O00141', 'BCR', 'O95202'})"
"frozenset({'Q5TEC3', 'O95273', 'BCR'})"
"frozenset({'O14980', 'P46060', 'BCR'})"
"frozenset({'Q13009', 'BCR', 'Q9NQT8'})"
"frozenset({'O95456', 'Q96CC6', 'BCR'})"
"frozenset({'BCR', 'P62993', 'Q13796'})"
"frozenset({'Q96DV4', 'O95817', 'BCR'})"
"frozenset({'Q13472', 'BCR', 'Q0VG06'})"
"frozenset({'Q9UQ35', 'Q08211', 'BCR'})"
"frozenset({'P24539', 'P67936', 'BCR'})"
"frozenset({'Q9P246', 'BCR', 'O43741'})"
"frozenset({'P47992', 'BCR', 'P32248'})"
"frozenset({'Q9Y5A7', 'P55036', 'BCR'})"
"frozenset({'P51858', 'Q8IWS0', 'BCR'})"
"frozenset({'O15264', 'P98177', 'BCR'})"
"frozenset({'Q9Y487', 'Q9Y3E5', 'BCR'})"
"frozenset({'O75880', 'BCR', 'Q9NPJ6'})"
"frozenset({'Q13887', 'BCR', 'P53567'})"
"frozenset({'P05412', 'BCR', 'Q1KMD3'})"
"frozenset({'BCR', 'Q99963', 'P08173'})"
"frozenset({'P06400', 'P20936', 'BCR'})"
"frozenset({'P33552', 'BCR', 'P62877'})"
"frozenset({'P02533', 'P18146', 'BCR'})"
"frozenset({'Q15046', 'BCR', 'Q9Y676'})"
"frozenset({'Q9ULR3', 'Q9Y3M8', 'BCR'})"
"frozenset({'Q96JH8', 'BCR', 'P24941'})"
"frozenset({'P35579', 'BCR', 'P13612'})"
"frozenset({'Q13613', 'Q9BV73', 'BCR'})"
"frozenset({'P29016', 'Q8IWB1', 'BCR'})"
"frozenset({'O15169', 'BCR', 'P84996'})"
"frozenset({'BCR', 'Q4G0X9', 'Q96M98'})"
"frozenset({'P39656', 'BCR', 'P11310'})"
"frozenset({'P84077', 'BCR', 'O14617'})"
"frozenset({'O94973', 'BCR', 'Q9Y2M0'})"
"frozenset({'BCR', 'P47985', 'P38646'})"
"frozenset({'O00422', 'BCR', 'Q9BXP5'})"
"frozenset({'Q07889', 'O60239', 'BCR'})"
"frozenset({'Q6NUQ4', 'BCR', 'P01909'})"
"frozenset({'O15126', 'P21589', 'BCR'})"
"frozenset({'Q07666', 'P35568', 'BCR'})"
"frozenset({'BCR', 'Q9UGI0', 'Q9P2B4'})"
"frozenset({'P60866', 'BCR', 'P15880'})"
"frozenset({'Q3B820', 'Q5JR59', 'BCR'})"
"frozenset({'Q9NSK0', 'O60282', 'BCR'})"
"frozenset({'Q8IZU0', 'BCR', 'O43395'})"
"frozenset({'Q10567', 'Q96CW1', 'BCR'})"
"frozenset({'P25098', 'Q8NH18', 'BCR'})"
"frozenset({'Q9HCG7', 'BCR', 'P82650'})"
"frozenset({'Q9Y2K2', 'P27348', 'BCR'})"
"frozenset({'P68036', 'BCR', 'Q9UNE7'})"
"frozenset({'P62873', 'BCR', 'Q8NGV6'})"
"frozenset({'P10451', 'BCR', 'P46777'})"
"frozenset({'P82933', 'P54274', 'BCR'})"
