negatives
"frozenset({'Q14CS0', 'IL6', 'Q8NFH3'})"
"frozenset({'IL6', 'P11234', 'P62158'})"
"frozenset({'IL6', 'P51149', 'Q9P253'})"
"frozenset({'IL6', 'P15880', 'Q13620'})"
"frozenset({'IL6', 'O95793', 'Q9UM11'})"
"frozenset({'IL6', 'P01889', 'P35080'})"
"frozenset({'IL6', 'Q9H2M9', 'Q6ZW49'})"
"frozenset({'Q96JN0', 'Q06330', 'IL6'})"
"frozenset({'IL6', 'Q12931', 'Q9H2C0'})"
"frozenset({'IL6', 'Q92802', 'Q96LA8'})"
"frozenset({'IL6', 'Q96G21', 'Q16666'})"
"frozenset({'IL6', 'P15927', 'P55317'})"
"frozenset({'Q9HAT8', 'Q9NQ48', 'IL6'})"
"frozenset({'Q99608', 'Q7Z4N8', 'IL6'})"
"frozenset({'IL6', 'Q8N806', 'O60663'})"
"frozenset({'Q9UJU2', 'Q9H5J0', 'IL6'})"
"frozenset({'IL6', 'P35749', 'P57060'})"
"frozenset({'IL6', 'P22307', 'O94763'})"
"frozenset({'IL6', 'P17535', 'P24385'})"
"frozenset({'IL6', 'O76021', 'Q14999'})"
"frozenset({'IL6', 'P29074', 'Q92993'})"
"frozenset({'IL6', 'P25445', 'O14763'})"
"frozenset({'IL6', 'Q9Y5V3', 'Q9H583'})"
"frozenset({'IL6', 'Q5T4B2', 'Q3LI66'})"
"frozenset({'IL6', 'O00141', 'P49411'})"
"frozenset({'Q99460', 'P17980', 'IL6'})"
"frozenset({'IL6', 'P04156', 'Q86Y79'})"
"frozenset({'IL6', 'Q92734', 'Q9GZQ8'})"
"frozenset({'IL6', 'O75147', 'Q15061'})"
"frozenset({'IL6', 'Q9Y240', 'Q70UQ0'})"
"frozenset({'IL6', 'O43513', 'Q9NX70'})"
"frozenset({'IL6', 'P35610', 'Q9P0N5'})"
"frozenset({'IL6', 'P05067', 'P01189'})"
"frozenset({'IL6', 'Q6PF05', 'Q9BWG6'})"
"frozenset({'IL6', 'P62491', 'P61981'})"
"frozenset({'IL6', 'P30837', 'P04181'})"
"frozenset({'IL6', 'P68371', 'Q5U5Q3'})"
"frozenset({'IL6', 'Q13148', 'P62249'})"
"frozenset({'IL6', 'P15018', 'Q01113'})"
"frozenset({'Q86VW0', 'Q9HC52', 'IL6'})"
"frozenset({'Q9NRD1', 'P05556', 'IL6'})"
"frozenset({'IL6', 'Q8N9N5', 'Q9H1K1'})"
"frozenset({'IL6', 'P15880', 'Q9NQZ2'})"
"frozenset({'IL6', 'Q9HAT0', 'Q96AX1'})"
"frozenset({'O43542', 'O00165', 'IL6'})"
"frozenset({'IL6', 'P12956', 'Q15080'})"
"frozenset({'IL6', 'Q96QV6', 'P38919'})"
"frozenset({'IL6', 'Q9HCE1', 'Q9BYN8'})"
"frozenset({'IL6', 'P49840', 'P10275'})"
"frozenset({'IL6', 'Q86X40', 'P0DMV9'})"
"frozenset({'Q9HBE5', 'P22681', 'IL6'})"
"frozenset({'IL6', 'P14625', 'Q9NTG7'})"
"frozenset({'IL6', 'Q8TF65', 'Q96ID5'})"
"frozenset({'IL6', 'P01889', 'Q07444'})"
"frozenset({'IL6', 'P35227', 'P20963'})"
"frozenset({'Q13315', 'Q92922', 'IL6'})"
"frozenset({'IL6', 'P41182', 'O76003'})"
"frozenset({'IL6', 'Q02556', 'P09619'})"
"frozenset({'IL6', 'Q6PI48', 'Q8IWL3'})"
"frozenset({'IL6', 'O76064', 'Q13416'})"
"frozenset({'IL6', 'P05412', 'Q2Y0W8'})"
"frozenset({'P61326', 'P08727', 'IL6'})"
"frozenset({'Q9UKX5', 'P24821', 'IL6'})"
"frozenset({'O75558', 'Q3B820', 'IL6'})"
"frozenset({'IL6', 'Q9HC36', 'Q13084'})"
"frozenset({'IL6', 'Q15811', 'P50570'})"
"frozenset({'IL6', 'Q13885', 'P27348'})"
"frozenset({'IL6', 'P46379', 'O15372'})"
"frozenset({'Q15084', 'Q969P0', 'IL6'})"
"frozenset({'P48729', 'Q92614', 'IL6'})"
"frozenset({'IL6', 'Q9ULV8', 'Q01344'})"
"frozenset({'IL6', 'Q13615', 'O15084'})"
"frozenset({'IL6', 'P00738', 'O95257'})"
"frozenset({'IL6', 'P35556', 'Q6FHJ7'})"
"frozenset({'IL6', 'Q13838', 'P62993'})"
"frozenset({'IL6', 'P43246', 'P29144'})"
"frozenset({'O14746', 'O00255', 'IL6'})"
"frozenset({'IL6', 'Q9GZZ8', 'Q9HA64'})"
"frozenset({'IL6', 'P00519', 'Q07817'})"
"frozenset({'IL6', 'O96005', 'P49257'})"
"frozenset({'IL6', 'Q15555', 'Q7Z6Z7'})"
"frozenset({'IL6', 'O00566', 'Q9NQZ2'})"
"frozenset({'IL6', 'Q92905', 'Q8WWZ4'})"
"frozenset({'P57052', 'P05067', 'IL6'})"
"frozenset({'Q92633', 'P08754', 'IL6'})"
"frozenset({'IL6', 'Q99612', 'Q16594'})"
"frozenset({'P06493', 'P18754', 'IL6'})"
"frozenset({'Q02539', 'O60832', 'IL6'})"
"frozenset({'IL6', 'Q969H0', 'P49427'})"
"frozenset({'IL6', 'P07900', 'Q8WVJ2'})"
"frozenset({'IL6', 'O14967', 'Q8NBP7'})"
"frozenset({'IL6', 'Q8NHG7', 'Q92890'})"
"frozenset({'IL6', 'O00555', 'Q12805'})"
"frozenset({'IL6', 'P31947', 'P05161'})"
"frozenset({'IL6', 'Q9H4B4', 'P04049'})"
"frozenset({'IL6', 'P55212', 'P60709'})"
"frozenset({'IL6', 'Q401N2', 'Q9Y5Y0'})"
"frozenset({'Q9H0C5', 'Q9H201', 'IL6'})"
"frozenset({'IL6', 'P15924', 'P60033'})"
"frozenset({'IL6', 'Q8NEU8', 'Q7L591'})"
"frozenset({'IL6', 'Q13838', 'O00560'})"
"frozenset({'P06493', 'P16949', 'IL6'})"
"frozenset({'IL6', 'P01111', 'P61952'})"
"frozenset({'IL6', 'Q9BRU9', 'O76015'})"
"frozenset({'IL6', 'P11021', 'Q13616'})"
"frozenset({'IL6', 'P67870', 'Q9P1Y6'})"
"frozenset({'IL6', 'P20930', 'P20794'})"
"frozenset({'IL6', 'P49810', 'Q8WW43'})"
"frozenset({'IL6', 'O75083', 'Q15493'})"
"frozenset({'IL6', 'Q9NVP1', 'Q9GZS1'})"
"frozenset({'IL6', 'Q8WXX7', 'Q04726'})"
"frozenset({'IL6', 'Q66GS9', 'O00178'})"
"frozenset({'O15120', 'IL6', 'Q9UGH3'})"
"frozenset({'IL6', 'P35221', 'O60716'})"
"frozenset({'IL6', 'Q86YD7', 'Q9HAT0'})"
"frozenset({'IL6', 'P37173', 'Q15052'})"
"frozenset({'IL6', 'Q99717', 'Q15797'})"
"frozenset({'IL6', 'P41235', 'P26927'})"
"frozenset({'IL6', 'Q9UBU9', 'O75380'})"
"frozenset({'IL6', 'O95166', 'P56182'})"
"frozenset({'IL6', 'P09012', 'Q9HCK8'})"
"frozenset({'IL6', 'Q06210', 'O95433'})"
"frozenset({'IL6', 'P49450', 'P09874'})"
"frozenset({'IL6', 'Q9NPG1', 'Q93097'})"
"frozenset({'IL6', 'Q9UKL3', 'P15104'})"
"frozenset({'IL6', 'Q8IWB7', 'Q9UPM6'})"
"frozenset({'IL6', 'Q06330', 'Q9H161'})"
"frozenset({'IL6', 'P29558', 'Q9UMX0'})"
"frozenset({'Q07955', 'O75925', 'IL6'})"
"frozenset({'IL6', 'Q92905', 'Q4VCS5'})"
"frozenset({'IL6', 'P06732', 'Q8NEY4'})"
"frozenset({'IL6', 'Q9H845', 'Q9Y277'})"
"frozenset({'IL6', 'O95602', 'Q16659'})"
"frozenset({'Q96ST3', 'Q4LE39', 'IL6'})"
"frozenset({'IL6', 'P28065', 'P30876'})"
"frozenset({'IL6', 'Q96B36', 'P78318'})"
"frozenset({'IL6', 'Q08289', 'Q15173'})"
"frozenset({'IL6', 'P40227', 'Q9H0W5'})"
"frozenset({'IL6', 'P50281', 'P09958'})"
"frozenset({'IL6', 'P55036', 'O14775'})"
"frozenset({'P23443', 'Q9BYV9', 'IL6'})"
"frozenset({'IL6', 'P62837', 'Q9NZS9'})"
"frozenset({'IL6', 'P26038', 'P18031'})"
"frozenset({'Q9UHB9', 'O95793', 'IL6'})"
"frozenset({'IL6', 'P05388', 'P46776'})"
"frozenset({'IL6', 'P46087', 'Q9BT49'})"
"frozenset({'Q9ULW0', 'P21266', 'IL6'})"
"frozenset({'IL6', 'O14980', 'O94776'})"
"frozenset({'IL6', 'Q9Y3I1', 'Q96RD7'})"
"frozenset({'IL6', 'O60231', 'Q9Y253'})"
"frozenset({'IL6', 'P82980', 'Q92796'})"
"frozenset({'O60333', 'Q4G0F5', 'IL6'})"
"frozenset({'P42285', 'IL6', 'O00471'})"
"frozenset({'IL6', 'Q9C0F3', 'O60341'})"
"frozenset({'IL6', 'Q07889', 'Q00341'})"
"frozenset({'P18084', 'P04406', 'IL6'})"
"frozenset({'O75791', 'IL6', 'Q13480'})"
"frozenset({'IL6', 'P78537', 'O95295'})"
"frozenset({'P06733', 'IL6', 'Q9H0D6'})"
"frozenset({'IL6', 'P62995', 'Q9H0S4'})"
"frozenset({'IL6', 'Q16706', 'O75955'})"
"frozenset({'IL6', 'Q9NRR5', 'P53816'})"
"frozenset({'IL6', 'Q96J02', 'Q9H0E2'})"
"frozenset({'O00267', 'Q9NRC8', 'IL6'})"
"frozenset({'IL6', 'Q96FW1', 'Q9BYV2'})"
"frozenset({'IL6', 'Q86W42', 'Q15022'})"
"frozenset({'IL6', 'O60341', 'P19012'})"
"frozenset({'IL6', 'Q12906', 'P03372'})"
"frozenset({'Q14247', 'P35326', 'IL6'})"
"frozenset({'P38159', 'P52756', 'IL6'})"
"frozenset({'IL6', 'P04275', 'P56199'})"
"frozenset({'IL6', 'Q16666', 'Q8WUM0'})"
"frozenset({'P29350', 'Q96P31', 'IL6'})"
"frozenset({'IL6', 'Q701N4', 'Q5T751'})"
"frozenset({'IL6', 'O75508', 'Q9BZL3'})"
"frozenset({'IL6', 'Q4FZB7', 'Q8IVT5'})"
"frozenset({'IL6', 'Q13387', 'P62068'})"
"frozenset({'P63027', 'Q16854', 'IL6'})"
"frozenset({'IL6', 'P26951', 'P04141'})"
"frozenset({'Q9UM47', 'Q8IZL2', 'IL6'})"
"frozenset({'IL6', 'Q9UM11', 'Q99502'})"
"frozenset({'IL6', 'Q9UEU0', 'Q96P70'})"
"frozenset({'Q16543', 'Q9H2G9', 'IL6'})"
"frozenset({'IL6', 'Q96M29', 'O95429'})"
"frozenset({'IL6', 'P11441', 'Q58FF7'})"
"frozenset({'IL6', 'P12814', 'P46821'})"
"frozenset({'IL6', 'P22736', 'Q13263'})"
"frozenset({'IL6', 'Q149N8', 'Q96GS4'})"
"frozenset({'IL6', 'Q8N2K1', 'Q14258'})"
"frozenset({'IL6', 'P16220', 'P52926'})"
"frozenset({'IL6', 'P05106', 'P17252'})"
"frozenset({'Q9Y397', 'Q6UXL0', 'IL6'})"
"frozenset({'IL6', 'Q13227', 'Q09472'})"
"frozenset({'IL6', 'Q03164', 'P49639'})"
"frozenset({'IL6', 'Q96PM5', 'P05787'})"
"frozenset({'P13569', 'Q99720', 'IL6'})"
"frozenset({'IL6', 'Q8N122', 'P31946'})"
"frozenset({'IL6', 'Q13547', 'Q93009'})"
"frozenset({'IL6', 'Q9C040', 'Q96EV8'})"
"frozenset({'IL6', 'P19397', 'P27701'})"
"frozenset({'IL6', 'P43405', 'Q13480'})"
"frozenset({'IL6', 'P49368', 'P63151'})"
"frozenset({'IL6', 'Q12905', 'P11279'})"
"frozenset({'IL6', 'Q9H0S4', 'Q9Y2X3'})"
"frozenset({'IL6', 'P14649', 'Q9UBX2'})"
"frozenset({'IL6', 'Q9HCE1', 'Q7Z6J9'})"
"frozenset({'IL6', 'P13010', 'O60264'})"
"frozenset({'P51116', 'P61371', 'IL6'})"
"frozenset({'IL6', 'P19438', 'Q9NVI7'})"
"frozenset({'IL6', 'Q96T91', 'P01225'})"
"frozenset({'IL6', 'Q9UKT9', 'Q9HAQ2'})"
"frozenset({'IL6', 'Q01518', 'Q96EB6'})"
"frozenset({'IL6', 'Q8IY92', 'P48594'})"
"frozenset({'Q9NWW7', 'O43711', 'IL6'})"
"frozenset({'IL6', 'Q06124', 'P02730'})"
"frozenset({'IL6', 'P13612', 'P14868'})"
"frozenset({'IL6', 'Q3B726', 'P23771'})"
"frozenset({'IL6', 'P60411', 'Q9BRU9'})"
"frozenset({'IL6', 'Q5XKR4', 'Q00534'})"
"frozenset({'Q86VP6', 'Q9H799', 'IL6'})"
"frozenset({'IL6', 'P04179', 'P46778'})"
"frozenset({'IL6', 'O60237', 'O14974'})"
"frozenset({'Q8WUI4', 'Q9Y597', 'IL6'})"
"frozenset({'IL6', 'Q14103', 'O95400'})"
"frozenset({'IL6', 'Q8TDY2', 'O95758'})"
"frozenset({'IL6', 'P24928', 'P23025'})"
"frozenset({'P49736', 'IL6', 'O75340'})"
"frozenset({'IL6', 'Q86U86', 'Q9NPI1'})"
"frozenset({'IL6', 'Q6NUQ1', 'Q2TBE0'})"
"frozenset({'IL6', 'P49407', 'Q8NGX0'})"
"frozenset({'IL6', 'Q16670', 'P60331'})"
"frozenset({'IL6', 'Q9UHD9', 'P49286'})"
"frozenset({'Q13573', 'Q86U86', 'IL6'})"
"frozenset({'IL6', 'P49407', 'Q8TCB6'})"
"frozenset({'IL6', 'O14503', 'Q9UK80'})"
"frozenset({'IL6', 'P50221', 'Q969R5'})"
"frozenset({'IL6', 'Q7L1V2', 'P49754'})"
"frozenset({'IL6', 'P26368', 'Q6Y7W6'})"
"frozenset({'IL6', 'O75364', 'P02647'})"
"frozenset({'IL6', 'Q9Y620', 'P25786'})"
"frozenset({'IL6', 'P51610', 'P27694'})"
"frozenset({'P51948', 'Q13888', 'IL6'})"
"frozenset({'Q6PJ21', 'Q9Y6R0', 'IL6'})"
"frozenset({'IL6', 'O43236', 'Q9H3Q1'})"
"frozenset({'IL6', 'Q13608', 'P46776'})"
"frozenset({'Q96NU1', 'Q13077', 'IL6'})"
"frozenset({'IL6', 'Q15185', 'Q9NRG4'})"
"frozenset({'IL6', 'Q9GZL7', 'Q9UBQ0'})"
"frozenset({'P51116', 'Q9P270', 'IL6'})"
"frozenset({'IL6', 'P23284', 'P07237'})"
"frozenset({'IL6', 'Q9NY59', 'Q5UIP0'})"
"frozenset({'IL6', 'O75112', 'P24539'})"
"frozenset({'IL6', 'Q9P000', 'Q01201'})"
"frozenset({'IL6', 'Q08945', 'Q92832'})"
"frozenset({'IL6', 'Q9Y265', 'Q12933'})"
"frozenset({'IL6', 'Q8WUB8', 'O14497'})"
"frozenset({'IL6', 'P22694', 'P09471'})"
"frozenset({'IL6', 'Q13308', 'P16473'})"
"frozenset({'O95219', 'Q8IX03', 'IL6'})"
"frozenset({'IL6', 'Q7Z3S9', 'Q9UK33'})"
"frozenset({'IL6', 'O43809', 'O75530'})"
"frozenset({'Q8IZJ0', 'P31785', 'IL6'})"
"frozenset({'IL6', 'Q5H9R7', 'Q96KP6'})"
"frozenset({'IL6', 'Q86WG5', 'P01100'})"
"frozenset({'IL6', 'O75822', 'O75528'})"
"frozenset({'P36542', 'P01009', 'IL6'})"
"frozenset({'IL6', 'O94782', 'P61964'})"
"frozenset({'IL6', 'Q9NSC5', 'O75604'})"
"frozenset({'Q13363', 'P35221', 'IL6'})"
"frozenset({'IL6', 'Q9ULH1', 'Q15788'})"
"frozenset({'IL6', 'Q5SR56', 'Q15717'})"
"frozenset({'IL6', 'Q07021', 'Q6IPR1'})"
"frozenset({'Q9UKN8', 'O60936', 'IL6'})"
"frozenset({'Q6K0P9', 'Q07021', 'IL6'})"
"frozenset({'IL6', 'Q9NRF2', 'P35568'})"
"frozenset({'Q12968', 'P49841', 'IL6'})"
"frozenset({'IL6', 'Q09028', 'P08047'})"
"frozenset({'Q13315', 'Q9NVU0', 'IL6'})"
"frozenset({'IL6', 'Q9BS16', 'O75381'})"
"frozenset({'IL6', 'O60812', 'P27694'})"
"frozenset({'IL6', 'O95166', 'O94906'})"
"frozenset({'IL6', 'P34932', 'Q9H3S7'})"
"frozenset({'IL6', 'Q92665', 'Q9H9S0'})"
"frozenset({'IL6', 'Q14197', 'Q7Z7F7'})"
"frozenset({'IL6', 'Q969J5', 'O14544'})"
"frozenset({'IL6', 'Q7Z4V5', 'Q8WTR2'})"
"frozenset({'IL6', 'Q96IP4', 'Q53EP0'})"
"frozenset({'IL6', 'Q92905', 'P55789'})"
"frozenset({'IL6', 'Q99848', 'Q9UL40'})"
"frozenset({'IL6', 'P63244', 'O15344'})"
"frozenset({'IL6', 'Q99665', 'P07202'})"
"frozenset({'Q9NS87', 'P08670', 'IL6'})"
"frozenset({'IL6', 'Q04721', 'P55196'})"
"frozenset({'IL6', 'P41091', 'P20042'})"
"frozenset({'IL6', 'Q99496', 'Q8NEB9'})"
"frozenset({'IL6', 'Q8WXW3', 'Q96GS4'})"
"frozenset({'IL6', 'Q86UT6', 'P01106'})"
"frozenset({'IL6', 'P52294', 'Q9BTT0'})"
"frozenset({'IL6', 'Q96HA8', 'P49247'})"
"frozenset({'IL6', 'Q9UBW8', 'Q15139'})"
"frozenset({'IL6', 'Q8NBZ0', 'Q13131'})"
"frozenset({'IL6', 'O95071', 'Q9H040'})"
"frozenset({'IL6', 'P11441', 'O75396'})"
"frozenset({'IL6', 'Q13435', 'Q8IVT5'})"
"frozenset({'IL6', 'Q99996', 'Q5SW79'})"
"frozenset({'IL6', 'P40145', 'P63218'})"
"frozenset({'IL6', 'Q9BXW9', 'Q8IYD8'})"
"frozenset({'P06733', 'Q13642', 'IL6'})"
"frozenset({'Q00839', 'P07550', 'IL6'})"
"frozenset({'IL6', 'Q96IZ7', 'Q8N1G4'})"
"frozenset({'IL6', 'P15880', 'P28370'})"
"frozenset({'Q00535', 'Q99832', 'IL6'})"
"frozenset({'IL6', 'P63010', 'P52735'})"
"frozenset({'Q9UNA1', 'O14613', 'IL6'})"
"frozenset({'IL6', 'P35453', 'O00358'})"
"frozenset({'IL6', 'Q9HBI0', 'Q13797'})"
"frozenset({'O94832', 'Q6ZW49', 'IL6'})"
"frozenset({'IL6', 'Q9NS98', 'Q9HCM2'})"
"frozenset({'IL6', 'Q9H0W5', 'O60716'})"
"frozenset({'IL6', 'Q9BYD2', 'Q9NZE8'})"
"frozenset({'IL6', 'Q52LG2', 'Q9BYR8'})"
"frozenset({'P04629', 'Q9UN86', 'IL6'})"
"frozenset({'IL6', 'O43598', 'Q9UET6'})"
"frozenset({'Q9Y385', 'Q9P0N5', 'IL6'})"
"frozenset({'P36888', 'Q9GZV9', 'IL6'})"
"frozenset({'IL6', 'Q96IW7', 'Q9NPE6'})"
"frozenset({'IL6', 'P62820', 'Q96DX5'})"
"frozenset({'IL6', 'P37840', 'Q9UJY1'})"
"frozenset({'IL6', 'Q8TDD5', 'Q9NR82'})"
"frozenset({'IL6', 'P30480', 'P62750'})"
"frozenset({'IL6', 'P04792', 'Q14847'})"
"frozenset({'O75791', 'Q8TF50', 'IL6'})"
"frozenset({'Q00535', 'Q92733', 'IL6'})"
"frozenset({'P06493', 'P19793', 'IL6'})"
"frozenset({'IL6', 'Q9NS64', 'Q9BVX2'})"
"frozenset({'IL6', 'P19338', 'P35269'})"
"frozenset({'IL6', 'Q9NRC8', 'P36873'})"
"frozenset({'IL6', 'P51610', 'Q5JU00'})"
"frozenset({'IL6', 'Q9Y624', 'P23560'})"
"frozenset({'IL6', 'O43251', 'P54253'})"
"frozenset({'P06493', 'P31350', 'IL6'})"
"frozenset({'IL6', 'Q9NZQ3', 'P62993'})"
"frozenset({'IL6', 'Q8TEE9', 'O15523'})"
"frozenset({'IL6', 'Q9P2J5', 'Q96BZ8'})"
"frozenset({'IL6', 'P21333', 'Q14999'})"
"frozenset({'IL6', 'P61586', 'P63000'})"
"frozenset({'IL6', 'Q9Y2U8', 'Q16586'})"
"frozenset({'P19784', 'IL6', 'P11388'})"
"frozenset({'IL6', 'P49642', 'Q3ZCQ8'})"
"frozenset({'IL6', 'P01111', 'P53779'})"
"frozenset({'Q9H213', 'O75360', 'IL6'})"
"frozenset({'Q9H6U6', 'O95429', 'IL6'})"
"frozenset({'IL6', 'P05112', 'P27361'})"
"frozenset({'IL6', 'P30154', 'P10415'})"
"frozenset({'IL6', 'Q99583', 'P01106'})"
"frozenset({'IL6', 'P04792', 'P83916'})"
"frozenset({'IL6', 'Q9H0E7', 'Q96EL3'})"
"frozenset({'IL6', 'Q66PJ3', 'P68400'})"
"frozenset({'Q9NYF3', 'Q8IVT5', 'IL6'})"
"frozenset({'IL6', 'Q16254', 'P11586'})"
"frozenset({'Q15262', 'IL6', 'Q495W5'})"
"frozenset({'IL6', 'P07550', 'P11586'})"
"frozenset({'IL6', 'Q13547', 'Q16552'})"
"frozenset({'P51532', 'Q16548', 'IL6'})"
"frozenset({'Q9NXC2', 'Q2PPJ7', 'IL6'})"
"frozenset({'IL6', 'Q53HL2', 'O75928'})"
"frozenset({'IL6', 'P63279', 'P05549'})"
"frozenset({'IL6', 'Q96P16', 'Q8WV92'})"
"frozenset({'IL6', 'P60371', 'Q9NQX5'})"
"frozenset({'IL6', 'Q14197', 'Q99714'})"
"frozenset({'IL6', 'Q9UJ41', 'P61981'})"
"frozenset({'IL6', 'Q9UHD9', 'O15427'})"
"frozenset({'IL6', 'P05067', 'Q9Y324'})"
"frozenset({'IL6', 'Q9BWU1', 'Q15022'})"
"frozenset({'IL6', 'Q5T7P8', 'Q13049'})"
"frozenset({'IL6', 'P05387', 'Q9GZR7'})"
"frozenset({'IL6', 'Q96I99', 'P52815'})"
"frozenset({'IL6', 'Q9UBS9', 'P27635'})"
"frozenset({'P30048', 'Q14999', 'IL6'})"
"frozenset({'IL6', 'P10071', 'Q86VH2'})"
"frozenset({'IL6', 'O75044', 'P17081'})"
"frozenset({'IL6', 'Q9H4E7', 'Q86YV0'})"
"frozenset({'Q15287', 'P09016', 'IL6'})"
"frozenset({'Q86VP6', 'IL6', 'Q9Y5B9'})"
"frozenset({'IL6', 'P49591', 'Q9H3P7'})"
"frozenset({'IL6', 'Q9P2H0', 'P0CAP1'})"
"frozenset({'IL6', 'P33527', 'Q9Y697'})"
"frozenset({'IL6', 'Q14999', 'O15145'})"
"frozenset({'IL6', 'P35326', 'P08631'})"
"frozenset({'IL6', 'O43597', 'Q9NUL5'})"
"frozenset({'IL6', 'P05386', 'P18621'})"
"frozenset({'IL6', 'O94952', 'P04637'})"
"frozenset({'IL6', 'Q9Y275', 'O95373'})"
"frozenset({'O95235', 'O00506', 'IL6'})"
"frozenset({'IL6', 'Q99466', 'Q06330'})"
"frozenset({'IL6', 'Q96GF1', 'P28066'})"
"frozenset({'IL6', 'Q9NYU2', 'Q06609'})"
"frozenset({'IL6', 'P04259', 'P19012'})"
"frozenset({'IL6', 'O95153', 'Q9BZW8'})"
"frozenset({'IL6', 'Q9BQ15', 'P68104'})"
"frozenset({'P10588', 'Q15788', 'IL6'})"
"frozenset({'Q9H8W4', 'P22415', 'IL6'})"
"frozenset({'Q9BYG5', 'Q5T447', 'IL6'})"
"frozenset({'Q8IYM1', 'Q99719', 'IL6'})"
"frozenset({'Q92747', 'Q07889', 'IL6'})"
"frozenset({'IL6', 'Q8NBS9', 'Q14999'})"
"frozenset({'O95817', 'Q5TDH0', 'IL6'})"
"frozenset({'IL6', 'Q01196', 'P10276'})"
"frozenset({'IL6', 'Q06124', 'P49327'})"
"frozenset({'IL6', 'P00533', 'Q07954'})"
"frozenset({'IL6', 'Q96N67', 'Q96II8'})"
"frozenset({'IL6', 'Q9UKG1', 'Q09028'})"
"frozenset({'IL6', 'Q9NQR4', 'P49755'})"
"frozenset({'IL6', 'O75915', 'Q86VR2'})"
"frozenset({'Q96CN9', 'Q8N684', 'IL6'})"
"frozenset({'Q14943', 'P01889', 'IL6'})"
"frozenset({'IL6', 'Q5JVF3', 'Q9NX46'})"
"frozenset({'IL6', 'Q9BUI4', 'Q92752'})"
"frozenset({'IL6', 'P26196', 'P31946'})"
"frozenset({'IL6', 'Q03112', 'P84022'})"
"frozenset({'IL6', 'O14519', 'Q16576'})"
"frozenset({'IL6', 'P05067', 'Q8IWU6'})"
"frozenset({'IL6', 'O75052', 'P00491'})"
"frozenset({'Q96ST3', 'P34947', 'IL6'})"
"frozenset({'IL6', 'P80723', 'Q9NQW6'})"
"frozenset({'IL6', 'Q99595', 'Q9Y5T4'})"
"frozenset({'IL6', 'Q86WW8', 'Q15323'})"
"frozenset({'IL6', 'Q13137', 'Q14161'})"
"frozenset({'IL6', 'Q6IQ23', 'P05198'})"
"frozenset({'IL6', 'P62987', 'P46778'})"
"frozenset({'IL6', 'P32121', 'Q9H209'})"
"frozenset({'IL6', 'P12318', 'P27986'})"
"frozenset({'IL6', 'Q8HWS3', 'Q92731'})"
"frozenset({'IL6', 'Q5T6S3', 'Q15022'})"
"frozenset({'P25440', 'IL6', 'Q9Y230'})"
"frozenset({'IL6', 'Q9H0E3', 'Q5JU00'})"
"frozenset({'P49207', 'Q9UNX3', 'IL6'})"
"frozenset({'IL6', 'Q96PQ6', 'P26373'})"
"frozenset({'IL6', 'O00501', 'O95484'})"
"frozenset({'IL6', 'Q9NXH9', 'Q9BY42'})"
"frozenset({'IL6', 'Q7L2J0', 'P09874'})"
"frozenset({'O15417', 'Q9UBW8', 'IL6'})"
"frozenset({'IL6', 'O15504', 'Q9H0R8'})"
"frozenset({'P60369', 'Q12891', 'IL6'})"
"frozenset({'O43463', 'P41134', 'IL6'})"
"frozenset({'IL6', 'Q15078', 'P62993'})"
"frozenset({'Q96KQ7', 'O75626', 'IL6'})"
"frozenset({'IL6', 'P82933', 'P04637'})"
"frozenset({'IL6', 'O14980', 'Q13243'})"
"frozenset({'Q92831', 'P68431', 'IL6'})"
"frozenset({'IL6', 'P05814', 'P42229'})"
"frozenset({'IL6', 'P62917', 'Q8IUF8'})"
"frozenset({'IL6', 'P07948', 'Q9UHB6'})"
"frozenset({'IL6', 'O14980', 'Q8TED0'})"
"frozenset({'IL6', 'Q8NEC5', 'P60412'})"
"frozenset({'IL6', 'Q8N1B4', 'P35613'})"
"frozenset({'IL6', 'P13807', 'Q96G74'})"
"frozenset({'P61601', 'Q9BXJ5', 'IL6'})"
"frozenset({'IL6', 'P14735', 'P00338'})"
"frozenset({'IL6', 'Q12931', 'Q9UQ80'})"
"frozenset({'P50914', 'P27635', 'IL6'})"
"frozenset({'IL6', 'Q00537', 'Q8NHU6'})"
"frozenset({'IL6', 'Q7Z3Y8', 'P43243'})"
"frozenset({'IL6', 'P17947', 'Q92793'})"
"frozenset({'IL6', 'Q8N5L8', 'Q68CZ1'})"
"frozenset({'Q92858', 'Q02363', 'IL6'})"
"frozenset({'IL6', 'Q9Y6R1', 'P17612'})"
"frozenset({'IL6', 'Q5T3J3', 'P10828'})"
"frozenset({'IL6', 'Q96T51', 'Q96DA2'})"
"frozenset({'IL6', 'P05412', 'P60568'})"
"frozenset({'IL6', 'Q8N8S7', 'Q13263'})"
"frozenset({'Q8NHM5', 'Q9HC52', 'IL6'})"
"frozenset({'IL6', 'Q03933', 'P54652'})"
"frozenset({'IL6', 'P22694', 'Q01814'})"
"frozenset({'IL6', 'O14610', 'O00329'})"
"frozenset({'IL6', 'P22612', 'P62873'})"
"frozenset({'IL6', 'Q8TD86', 'Q86XI6'})"
"frozenset({'IL6', 'P54132', 'Q9H334'})"
"frozenset({'P35222', 'O75581', 'IL6'})"
"frozenset({'IL6', 'Q8N1S5', 'Q9NW97'})"
"frozenset({'IL6', 'Q13404', 'Q9NPD8'})"
"frozenset({'Q00839', 'P32969', 'IL6'})"
