negatives
"frozenset({'P62995', 'Alpha6Beta4Integrin', 'O75531'})"
"frozenset({'O14503', 'P54253', 'Alpha6Beta4Integrin'})"
"frozenset({'P06748', 'P46777', 'Alpha6Beta4Integrin'})"
"frozenset({'P35626', 'Alpha6Beta4Integrin', 'P47888'})"
"frozenset({'Q8NHX4', 'Q99750', 'Alpha6Beta4Integrin'})"
"frozenset({'P13796', 'P16871', 'Alpha6Beta4Integrin'})"
"frozenset({'Q04206', 'O15519', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13009', 'P05129', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5M775', 'Alpha6Beta4Integrin', 'O75787'})"
"frozenset({'O15155', 'Alpha6Beta4Integrin', 'P61218'})"
"frozenset({'Q9UI95', 'Q13291', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2J4', 'P61160', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9NWT8', 'Q9UPN4'})"
"frozenset({'Q6NZY4', 'Q9NQT5', 'Alpha6Beta4Integrin'})"
"frozenset({'O95363', 'Alpha6Beta4Integrin', 'P60370'})"
"frozenset({'Q07157', 'O00159', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NI22', 'Alpha6Beta4Integrin', 'P43686'})"
"frozenset({'P50222', 'P63208', 'Alpha6Beta4Integrin'})"
"frozenset({'P45983', 'Alpha6Beta4Integrin', 'O43379'})"
"frozenset({'Q99081', 'Alpha6Beta4Integrin', 'P42229'})"
"frozenset({'Q9HCE7', 'Q9H8M7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UJW9', 'Alpha6Beta4Integrin', 'Q92754'})"
"frozenset({'O43347', 'P11940', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H972', 'P05067', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6X784', 'Alpha6Beta4Integrin', 'Q9HBH1'})"
"frozenset({'Q14161', 'Alpha6Beta4Integrin', 'Q9ULX9'})"
"frozenset({'A6NL08', 'P62873', 'Alpha6Beta4Integrin'})"
"frozenset({'P12830', 'Q9NRY6', 'Alpha6Beta4Integrin'})"
"frozenset({'P62424', 'P12236', 'Alpha6Beta4Integrin'})"
"frozenset({'P04637', 'O15055', 'Alpha6Beta4Integrin'})"
"frozenset({'P41182', 'Q9UPT6', 'Alpha6Beta4Integrin'})"
"frozenset({'P21127', 'Alpha6Beta4Integrin', 'P34932'})"
"frozenset({'Q92905', 'Alpha6Beta4Integrin', 'P29803'})"
"frozenset({'Q9NP92', 'Q14197', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9GZZ9', 'Alpha6Beta4Integrin', 'P00558'})"
"frozenset({'P78337', 'Q16348', 'Alpha6Beta4Integrin'})"
"frozenset({'O94966', 'Alpha6Beta4Integrin', 'Q9H2V7'})"
"frozenset({'O95985', 'Alpha6Beta4Integrin', 'Q9H7E2'})"
"frozenset({'P61619', 'P01892', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H845', 'Alpha6Beta4Integrin', 'P25705'})"
"frozenset({'P54289', 'Alpha6Beta4Integrin', 'P62136'})"
"frozenset({'P35244', 'P52907', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6UXB4', 'P02749', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15418', 'Q86XI6', 'Alpha6Beta4Integrin'})"
"frozenset({'P60409', 'Q6ZT89', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q92956', 'P14866'})"
"frozenset({'P15311', 'P05161', 'Alpha6Beta4Integrin'})"
"frozenset({'Q3KQU3', 'Alpha6Beta4Integrin', 'Q86VQ0'})"
"frozenset({'Q93034', 'Alpha6Beta4Integrin', 'O43592'})"
"frozenset({'Q6UXN9', 'Alpha6Beta4Integrin', 'P17987'})"
"frozenset({'Q9BV73', 'P40429', 'Alpha6Beta4Integrin'})"
"frozenset({'O43541', 'Alpha6Beta4Integrin', 'Q6ZSG1'})"
"frozenset({'O14497', 'Alpha6Beta4Integrin', 'Q14526'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9BYD6', 'Q9P0P8'})"
"frozenset({'Alpha6Beta4Integrin', 'Q7L014', 'Q9NQC3'})"
"frozenset({'P31948', 'P00966', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96M86', 'Alpha6Beta4Integrin', 'P53350'})"
"frozenset({'Q08380', 'P50990', 'Alpha6Beta4Integrin'})"
"frozenset({'P41743', 'Q9UK80', 'Alpha6Beta4Integrin'})"
"frozenset({'O94776', 'Alpha6Beta4Integrin', 'Q9BZR8'})"
"frozenset({'O00422', 'Alpha6Beta4Integrin', 'P10646'})"
"frozenset({'Q969Q6', 'Q9P209', 'Alpha6Beta4Integrin'})"
"frozenset({'P15151', 'P51808', 'Alpha6Beta4Integrin'})"
"frozenset({'P60410', 'P05107', 'Alpha6Beta4Integrin'})"
"frozenset({'O95619', 'Q15468', 'Alpha6Beta4Integrin'})"
"frozenset({'P01127', 'Alpha6Beta4Integrin', 'P20908'})"
"frozenset({'Q16630', 'Q9NYG5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92905', 'Q6UN15', 'Alpha6Beta4Integrin'})"
"frozenset({'P04818', 'Alpha6Beta4Integrin', 'O94888'})"
"frozenset({'Q15306', 'P51617', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRD5', 'Alpha6Beta4Integrin', 'Q96ST8'})"
"frozenset({'Q9NZQ3', 'O60504', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6IQ21', 'Alpha6Beta4Integrin', 'Q9UGY1'})"
"frozenset({'Q9UK53', 'Q93009', 'Alpha6Beta4Integrin'})"
"frozenset({'P28331', 'Alpha6Beta4Integrin', 'P22695'})"
"frozenset({'Q7L8C5', 'Q9ULB1', 'Alpha6Beta4Integrin'})"
"frozenset({'P11021', 'Alpha6Beta4Integrin', 'Q8NEB9'})"
"frozenset({'Q8WUM4', 'Q9NRC8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYJ9', 'Alpha6Beta4Integrin', 'Q15717'})"
"frozenset({'Q8NA03', 'P05067', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92793', 'Alpha6Beta4Integrin', 'O75444'})"
"frozenset({'P39687', 'Alpha6Beta4Integrin', 'Q13077'})"
"frozenset({'O75494', 'P06702', 'Alpha6Beta4Integrin'})"
"frozenset({'O60701', 'P31153', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NQ29', 'O60930', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BQY4', 'Q3SYF9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H6Z9', 'P08235', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8NA54', 'Alpha6Beta4Integrin', 'Q86XT4'})"
"frozenset({'P52630', 'Alpha6Beta4Integrin', 'Q9NSE2'})"
"frozenset({'Q9H3R5', 'Q6IPU0', 'Alpha6Beta4Integrin'})"
"frozenset({'P17612', 'Alpha6Beta4Integrin', 'Q8NG99'})"
"frozenset({'P21860', 'P60709', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NRK6', 'Alpha6Beta4Integrin', 'O43678'})"
"frozenset({'Alpha6Beta4Integrin', 'O75489', 'Q13011'})"
"frozenset({'P11021', 'P10909', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99583', 'P61244', 'Alpha6Beta4Integrin'})"
"frozenset({'O43638', 'Alpha6Beta4Integrin', 'Q9NVV4'})"
"frozenset({'Q9UBG7', 'P50222', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96C92', 'Alpha6Beta4Integrin', 'Q66GS9'})"
"frozenset({'Q8IZU1', 'Alpha6Beta4Integrin', 'Q15742'})"
"frozenset({'Q8IV13', 'Q15468', 'Alpha6Beta4Integrin'})"
"frozenset({'P38919', 'Q9UKV8', 'Alpha6Beta4Integrin'})"
"frozenset({'O15156', 'Q96C24', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H0W5', 'Q9H2P0', 'Alpha6Beta4Integrin'})"
"frozenset({'P49407', 'Q9Y6M1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4K3', 'Alpha6Beta4Integrin', 'Q9Y3F4'})"
"frozenset({'Q8WWI1', 'Alpha6Beta4Integrin', 'O95466'})"
"frozenset({'P46783', 'Alpha6Beta4Integrin', 'O95433'})"
"frozenset({'P05067', 'Alpha6Beta4Integrin', 'O14796'})"
"frozenset({'Alpha6Beta4Integrin', 'Q8WTP8', 'Q9NR56'})"
"frozenset({'Q00535', 'Alpha6Beta4Integrin', 'Q15078'})"
"frozenset({'P34982', 'Alpha6Beta4Integrin', 'P22612'})"
"frozenset({'Q13618', 'Alpha6Beta4Integrin', 'O43660'})"
"frozenset({'Q7Z6A9', 'Q06124', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y4Z0', 'Alpha6Beta4Integrin', 'Q9Y675'})"
"frozenset({'O60830', 'P05067', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99816', 'Q9BRG2', 'Alpha6Beta4Integrin'})"
"frozenset({'P98161', 'P00519', 'Alpha6Beta4Integrin'})"
"frozenset({'P14618', 'O60664', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6P4Q7', 'Q12974', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P2E3', 'Q9NRR4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q99961', 'Alpha6Beta4Integrin', 'Q13330'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9H2G9', 'Q92993'})"
"frozenset({'P14550', 'Q8TDQ7', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13485', 'Alpha6Beta4Integrin', 'O15198'})"
"frozenset({'P53990', 'Alpha6Beta4Integrin', 'Q9UBP5'})"
"frozenset({'Q8WUI4', 'Alpha6Beta4Integrin', 'Q9UKV0'})"
"frozenset({'P11362', 'Alpha6Beta4Integrin', 'O95863'})"
"frozenset({'P11308', 'P06748', 'Alpha6Beta4Integrin'})"
"frozenset({'P04637', 'Alpha6Beta4Integrin', 'P31350'})"
"frozenset({'P33778', 'Q6NUN9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TDR0', 'P68133', 'Alpha6Beta4Integrin'})"
"frozenset({'P23258', 'Alpha6Beta4Integrin', 'O43379'})"
"frozenset({'P17948', 'Alpha6Beta4Integrin', 'P04085'})"
"frozenset({'Q53T94', 'P04637', 'Alpha6Beta4Integrin'})"
"frozenset({'P00533', 'Q96C36', 'Alpha6Beta4Integrin'})"
"frozenset({'O43504', 'Q96A05', 'Alpha6Beta4Integrin'})"
"frozenset({'P49763', 'O14786', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BTC0', 'O75367', 'Alpha6Beta4Integrin'})"
"frozenset({'P13569', 'P20823', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8WUK0', 'Alpha6Beta4Integrin', 'Q9Y4W6'})"
"frozenset({'P49760', 'Q8IYB3', 'Alpha6Beta4Integrin'})"
"frozenset({'P15622', 'Q8WV44', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'O15111', 'Q16637'})"
"frozenset({'Q8N4V1', 'P57737', 'Alpha6Beta4Integrin'})"
"frozenset({'P12931', 'Q8N5S1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N6R1', 'Q6PL24', 'Alpha6Beta4Integrin'})"
"frozenset({'P05114', 'Alpha6Beta4Integrin', 'Q6PFW1'})"
"frozenset({'O94986', 'Alpha6Beta4Integrin', 'Q13568'})"
"frozenset({'Alpha6Beta4Integrin', 'P46459', 'Q16827'})"
"frozenset({'P17029', 'P05067', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y247', 'Q8N6L0', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P01889', 'P42356'})"
"frozenset({'P17612', 'Q8NGC6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P283', 'P20073', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13191', 'Q9NR46', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96GX1', 'Q8IV08', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96PN8', 'Q03989', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96PU8', 'Alpha6Beta4Integrin', 'Q86X55'})"
"frozenset({'P35249', 'Q12905', 'Alpha6Beta4Integrin'})"
"frozenset({'O43251', 'O75553', 'Alpha6Beta4Integrin'})"
"frozenset({'P19338', 'Q96QD9', 'Alpha6Beta4Integrin'})"
"frozenset({'O14503', 'Alpha6Beta4Integrin', 'Q13895'})"
"frozenset({'Q13148', 'Alpha6Beta4Integrin', 'Q5VWX1'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9HAV4', 'Q5JUW0'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9GZZ8', 'P02751'})"
"frozenset({'P46734', 'P53778', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NZC7', 'Q6UN15', 'Alpha6Beta4Integrin'})"
"frozenset({'Q15528', 'Alpha6Beta4Integrin', 'O75478'})"
"frozenset({'P11233', 'Alpha6Beta4Integrin', 'Q9HBH0'})"
"frozenset({'P86478', 'P23769', 'Alpha6Beta4Integrin'})"
"frozenset({'O14965', 'P55290', 'Alpha6Beta4Integrin'})"
"frozenset({'Q05BQ5', 'Q7L5N1', 'Alpha6Beta4Integrin'})"
"frozenset({'P55735', 'O15027', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UKT9', 'P63165', 'Alpha6Beta4Integrin'})"
"frozenset({'P61758', 'Q5TBB1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UJW9', 'Q9NRD5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6PKG0', 'Alpha6Beta4Integrin', 'Q5TCZ1'})"
"frozenset({'P25685', 'Alpha6Beta4Integrin', 'Q9H0R8'})"
"frozenset({'P31483', 'Alpha6Beta4Integrin', 'P34949'})"
"frozenset({'Q63HR2', 'Q8TDR4', 'Alpha6Beta4Integrin'})"
"frozenset({'P60866', 'B5ME19', 'Alpha6Beta4Integrin'})"
"frozenset({'P51692', 'Alpha6Beta4Integrin', 'P20963'})"
"frozenset({'P62942', 'P37802', 'Alpha6Beta4Integrin'})"
"frozenset({'P48051', 'P59768', 'Alpha6Beta4Integrin'})"
"frozenset({'P32121', 'Alpha6Beta4Integrin', 'Q13574'})"
"frozenset({'Q8IVF5', 'Alpha6Beta4Integrin', 'Q8IXI1'})"
"frozenset({'Alpha6Beta4Integrin', 'O00410', 'P07686'})"
"frozenset({'Q14145', 'Alpha6Beta4Integrin', 'Q9H0R8'})"
"frozenset({'Q6IEU7', 'P62873', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NWB1', 'Q99700', 'Alpha6Beta4Integrin'})"
"frozenset({'O60341', 'Q96N77', 'Alpha6Beta4Integrin'})"
"frozenset({'Q969Q5', 'Alpha6Beta4Integrin', 'Q7Z3Y8'})"
"frozenset({'Q8TAA9', 'Q96SB4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13315', 'Alpha6Beta4Integrin', 'Q08170'})"
"frozenset({'P62807', 'Alpha6Beta4Integrin', 'P19838'})"
"frozenset({'Q9BXB5', 'Q96HS1', 'Alpha6Beta4Integrin'})"
"frozenset({'O60262', 'Q8NH90', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P01106', 'Q9BS16'})"
"frozenset({'Q09019', 'Alpha6Beta4Integrin', 'O75317'})"
"frozenset({'Q92820', 'P04629', 'Alpha6Beta4Integrin'})"
"frozenset({'P47928', 'P15923', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N5M1', 'Alpha6Beta4Integrin', 'Q9UBB9'})"
"frozenset({'Q12778', 'Alpha6Beta4Integrin', 'Q15759'})"
"frozenset({'Q8N684', 'Alpha6Beta4Integrin', 'Q5HY98'})"
"frozenset({'O60739', 'P62910', 'Alpha6Beta4Integrin'})"
"frozenset({'P61981', 'Q12802', 'Alpha6Beta4Integrin'})"
"frozenset({'P61289', 'P51858', 'Alpha6Beta4Integrin'})"
"frozenset({'P02763', 'Alpha6Beta4Integrin', 'Q8WXS4'})"
"frozenset({'Q8NGZ4', 'P22612', 'Alpha6Beta4Integrin'})"
"frozenset({'P00750', 'Alpha6Beta4Integrin', 'P02751'})"
"frozenset({'Q96H55', 'Q13045', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NZC7', 'Alpha6Beta4Integrin', 'P31942'})"
"frozenset({'Q6V1X1', 'Q16552', 'Alpha6Beta4Integrin'})"
"frozenset({'Q09028', 'Alpha6Beta4Integrin', 'P49848'})"
"frozenset({'P62424', 'P62945', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9HCP0', 'Alpha6Beta4Integrin', 'Q8IW50'})"
"frozenset({'Q96KA5', 'P23258', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y463', 'Alpha6Beta4Integrin', 'P61457'})"
"frozenset({'Q06710', 'Alpha6Beta4Integrin', 'P22694'})"
"frozenset({'P62834', 'Alpha6Beta4Integrin', 'P15056'})"
"frozenset({'P35222', 'O43623', 'Alpha6Beta4Integrin'})"
"frozenset({'P00533', 'Alpha6Beta4Integrin', 'P01241'})"
"frozenset({'P35626', 'Q8NGI0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6P9B9', 'O00716', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NYH9', 'Q9BQD3', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P68104', 'O95166'})"
"frozenset({'Q01826', 'Q12952', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TCT1', 'P61088', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5T749', 'P50222', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92985', 'P01568', 'Alpha6Beta4Integrin'})"
"frozenset({'Q16531', 'Alpha6Beta4Integrin', 'Q9Y2Q3'})"
"frozenset({'Q14999', 'P10586', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P11142', 'Q00597'})"
"frozenset({'Q09028', 'P04183', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y572', 'P62873', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UBU9', 'Alpha6Beta4Integrin', 'Q8N448'})"
"frozenset({'P62491', 'Q02156', 'Alpha6Beta4Integrin'})"
"frozenset({'Q00987', 'Alpha6Beta4Integrin', 'Q9NRM7'})"
"frozenset({'Q15397', 'P22087', 'Alpha6Beta4Integrin'})"
"frozenset({'P62879', 'Alpha6Beta4Integrin', 'Q15878'})"
"frozenset({'P15880', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'Q7Z589', 'Alpha6Beta4Integrin', 'Q9Y2X9'})"
"frozenset({'O15105', 'P22681', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96ST3', 'Alpha6Beta4Integrin', 'Q99798'})"
"frozenset({'P60410', 'Q8NHQ9', 'Alpha6Beta4Integrin'})"
"frozenset({'P11021', 'P11387', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'Q06190', 'Q13698'})"
"frozenset({'P46940', 'Q6NYC8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9NYK6', 'Alpha6Beta4Integrin', 'Q08AG7'})"
"frozenset({'Alpha6Beta4Integrin', 'P08575', 'P06241'})"
"frozenset({'O14757', 'Q5SW96', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6DKI1', 'Q96HE9', 'Alpha6Beta4Integrin'})"
"frozenset({'O00264', 'P11441', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9C040', 'Alpha6Beta4Integrin', 'P21580'})"
"frozenset({'P49407', 'Q8NGX9', 'Alpha6Beta4Integrin'})"
"frozenset({'P12830', 'Q86X29', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P35637', 'O95166'})"
"frozenset({'Q9P055', 'P62333', 'Alpha6Beta4Integrin'})"
"frozenset({'O14802', 'Alpha6Beta4Integrin', 'Q13547'})"
"frozenset({'Q5SZL2', 'Alpha6Beta4Integrin', 'Q7Z7A1'})"
"frozenset({'P17931', 'Q9Y666', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3C0', 'P47755', 'Alpha6Beta4Integrin'})"
"frozenset({'P51681', 'Alpha6Beta4Integrin', 'P56282'})"
"frozenset({'Alpha6Beta4Integrin', 'Q13427', 'Q12800'})"
"frozenset({'Alpha6Beta4Integrin', 'Q07960', 'Q9H4E5'})"
"frozenset({'Alpha6Beta4Integrin', 'Q9UHK0', 'P43304'})"
"frozenset({'Q8TBB1', 'Q96HT8', 'Alpha6Beta4Integrin'})"
"frozenset({'P17612', 'Q9P1Q5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BXB1', 'P53675', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BVG3', 'P84022', 'Alpha6Beta4Integrin'})"
"frozenset({'Q86UR5', 'Alpha6Beta4Integrin', 'Q38SD2'})"
"frozenset({'P29474', 'Alpha6Beta4Integrin', 'P0DP23'})"
"frozenset({'Q9H9D4', 'Q5VU43', 'Alpha6Beta4Integrin'})"
"frozenset({'P36507', 'Q7L2J0', 'Alpha6Beta4Integrin'})"
"frozenset({'P00533', 'Alpha6Beta4Integrin', 'P42338'})"
"frozenset({'P08637', 'P06239', 'Alpha6Beta4Integrin'})"
"frozenset({'P11308', 'Q12906', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9P209', 'O60343', 'Alpha6Beta4Integrin'})"
"frozenset({'P31749', 'P42345', 'Alpha6Beta4Integrin'})"
"frozenset({'P22087', 'Alpha6Beta4Integrin', 'Q9UH62'})"
"frozenset({'Q9NXV6', 'Alpha6Beta4Integrin', 'P09651'})"
"frozenset({'Q8N4C7', 'Q8N0S2', 'Alpha6Beta4Integrin'})"
"frozenset({'O14980', 'O43524', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y3M2', 'Q07002', 'Alpha6Beta4Integrin'})"
"frozenset({'O75534', 'P30480', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6PL18', 'P18146', 'Alpha6Beta4Integrin'})"
"frozenset({'P06454', 'Alpha6Beta4Integrin', 'Q15554'})"
"frozenset({'P35232', 'Alpha6Beta4Integrin', 'P06400'})"
"frozenset({'P40222', 'Q68CZ6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TEK3', 'Alpha6Beta4Integrin', 'Q96SY0'})"
"frozenset({'P45880', 'Alpha6Beta4Integrin', 'P00403'})"
"frozenset({'Q8IXZ2', 'O14595', 'Alpha6Beta4Integrin'})"
"frozenset({'Q5T4F7', 'Alpha6Beta4Integrin', 'P16104'})"
"frozenset({'P35680', 'P10451', 'Alpha6Beta4Integrin'})"
"frozenset({'O75376', 'Q8NFT2', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13617', 'Alpha6Beta4Integrin', 'Q9BQA1'})"
"frozenset({'Q04206', 'Q96P20', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8IZJ0', 'Q01113', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'A0AVF1', 'Q86VQ0'})"
"frozenset({'Q86VP6', 'Alpha6Beta4Integrin', 'Q15560'})"
"frozenset({'O14744', 'P61326', 'Alpha6Beta4Integrin'})"
"frozenset({'O15524', 'Q06124', 'Alpha6Beta4Integrin'})"
"frozenset({'Alpha6Beta4Integrin', 'P36896', 'Q9H582'})"
"frozenset({'P11586', 'Alpha6Beta4Integrin', 'P01889'})"
"frozenset({'O60739', 'P26583', 'Alpha6Beta4Integrin'})"
"frozenset({'Q14999', 'Q9UHB6', 'Alpha6Beta4Integrin'})"
"frozenset({'P22612', 'P32418', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y6K0', 'P01106', 'Alpha6Beta4Integrin'})"
"frozenset({'O94903', 'Q9NRX4', 'Alpha6Beta4Integrin'})"
"frozenset({'Q0JRZ9', 'P42566', 'Alpha6Beta4Integrin'})"
"frozenset({'O75665', 'Alpha6Beta4Integrin', 'Q9Y3F4'})"
"frozenset({'P62873', 'Q6IEV9', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9Y6A4', 'Q12872', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9C002', 'P11047', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96EV8', 'Q8NEY1', 'Alpha6Beta4Integrin'})"
"frozenset({'P30480', 'P55036', 'Alpha6Beta4Integrin'})"
"frozenset({'Q04206', 'Q9Y265', 'Alpha6Beta4Integrin'})"
"frozenset({'O14775', 'Q16539', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9UJ70', 'Alpha6Beta4Integrin', 'Q53H82'})"
"frozenset({'P62140', 'P38159', 'Alpha6Beta4Integrin'})"
"frozenset({'P13489', 'O95819', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H6L5', 'Q9P0N5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96TA1', 'Q96QK1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9HCN8', 'Alpha6Beta4Integrin', 'Q9P0I2'})"
"frozenset({'P04183', 'Alpha6Beta4Integrin', 'P16278'})"
"frozenset({'Q96JB5', 'Alpha6Beta4Integrin', 'Q15078'})"
"frozenset({'Q6UXH8', 'O43255', 'Alpha6Beta4Integrin'})"
"frozenset({'P05112', 'Q14626', 'Alpha6Beta4Integrin'})"
"frozenset({'Q03393', 'Q9Y576', 'Alpha6Beta4Integrin'})"
"frozenset({'O43482', 'Q13618', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H2G2', 'Alpha6Beta4Integrin', 'Q9UBN7'})"
"frozenset({'Q15796', 'Q13950', 'Alpha6Beta4Integrin'})"
"frozenset({'Q70CQ3', 'Alpha6Beta4Integrin', 'Q8IWL3'})"
"frozenset({'P58753', 'Alpha6Beta4Integrin', 'Q99836'})"
"frozenset({'Q7L4I2', 'Q6NUQ1', 'Alpha6Beta4Integrin'})"
"frozenset({'Q96SI9', 'P35244', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8N163', 'Q7L2J0', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92630', 'Alpha6Beta4Integrin', 'P61962'})"
"frozenset({'Q6DKI2', 'P23634', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13488', 'O43711', 'Alpha6Beta4Integrin'})"
"frozenset({'Q12905', 'Alpha6Beta4Integrin', 'O75147'})"
"frozenset({'Q9BXW9', 'P13521', 'Alpha6Beta4Integrin'})"
"frozenset({'Q13683', 'Alpha6Beta4Integrin', 'Q9NY97'})"
"frozenset({'O60313', 'Q13618', 'Alpha6Beta4Integrin'})"
"frozenset({'Q01814', 'Q9BRK5', 'Alpha6Beta4Integrin'})"
"frozenset({'Q6UY14', 'Alpha6Beta4Integrin', 'Q969U6'})"
"frozenset({'A5D8V6', 'Q92734', 'Alpha6Beta4Integrin'})"
"frozenset({'Q8TAU3', 'Q9GZM8', 'Alpha6Beta4Integrin'})"
"frozenset({'Q92830', 'Q9HBM6', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H3D4', 'P01023', 'Alpha6Beta4Integrin'})"
"frozenset({'P35268', 'P62829', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9BYR5', 'Alpha6Beta4Integrin', 'Q8N8B7'})"
"frozenset({'O43542', 'Alpha6Beta4Integrin', 'Q9NVC6'})"
"frozenset({'P60520', 'Alpha6Beta4Integrin', 'P22694'})"
"frozenset({'P30050', 'P52272', 'Alpha6Beta4Integrin'})"
"frozenset({'Q9H8Y8', 'Alpha6Beta4Integrin', 'P49755'})"
