negatives
"('P38646', 'Q9Y4K3')"
"('P46940', 'P08729')"
"('Q9Y2R2', 'P10912')"
"('406987', 'P98172')"
"('Q9H9B4', 'Q14164')"
"('P61158', 'P59998')"
"('P49841', 'Q96QU8')"
"('Q6ZVD8', 'P31751')"
"('Q99615', 'Q99759')"
"('P56282', 'Q92993')"
"('P25963', 'Q15653')"
"('P08637', 'Q8N149')"
"('P02654', 'P02652')"
"('Q14164', 'Q13347')"
"('Q13261', 'Q12933')"
"('Q13535', 'P31025')"
"('Q6PD62', 'P02679')"
"('P11831', 'Q13642')"
"('Q9H211', 'Q13309')"
"('P12814', 'Q9NPC6')"
"('Q9H981', 'P25490')"
"('Q7RTN6', 'Q9Y376')"
"('P48736', 'P01112')"
"('P04156', 'P10415')"
"('Q9Y6W5', 'O15143')"
"('Q9H5I1', 'Q15819')"
"('O60343', 'Q9NR30')"
"('Q96GM8', 'P62136')"
"('P30153', 'Q86XL3')"
"('Q92769', 'Q9UK53')"
"('P01225', 'Q01718')"
"('Q9Y2V2', 'Q15418')"
"('Q9H7L9', 'Q13547')"
"('O00303', 'Q13347')"
"('P05121', 'O15105')"
"('P62826', 'Q9UI26')"
"('O00141', 'O95202')"
"('Q9NYJ8', 'P07900')"
"('O15381', 'Q14194')"
"('P17480', 'O15160')"
"('Q8TE76', 'P12757')"
"('O95168', 'O95167')"
"('P60568', 'Q01113')"
"('O95831', 'Q14197')"
"('Q9H093', 'Q16543')"
"('Q99798', 'Q7RTS9')"
"('Q13191', 'Q14626')"
"('P22301', 'P19838')"
"('Q9UI08', 'P02549')"
"('Q03518', 'Q12923')"
"('P08603', 'O43524')"
"('P35606', 'Q9UKE5')"
"('P12931', 'Q96Q35')"
"('P54259', 'Q96EP0')"
"('P56192', 'Q9Y6K9')"
"('P01106', 'Q9Y4I1')"
"('O75508', 'O95471')"
"('Q14839', 'Q13573')"
"('P29972', 'O95967')"
"('P01106', 'P05023')"
"('P12931', 'Q7Z7K6')"
"('Q9H6Z9', 'Q99814')"
"('P10599', 'P40337')"
"('Q13136', 'A0JLT2')"
"('P11171', 'P22061')"
"('P13995', 'Q9Y6F1')"
"('Q5T4F7', 'Q9H461')"
"('Q9ULG1', 'Q9H9F9')"
"('P62306', 'Q9UK45')"
"('P11166', 'P27824')"
"('P54257', 'Q9H7E9')"
"('P36954', 'O95402')"
"('Q04771', 'O00212')"
"('Q14197', 'Q99623')"
"('P16333', 'O75534')"
"('P17252', 'Q02930')"
"('P63092', 'Q99614')"
"('P49023', 'P16671')"
"('Q9NPI8', 'Q8NB91')"
"('P46778', 'P18621')"
"('P02792', 'Q8IWF7')"
"('P51671', 'P61073')"
"('Q15648', 'P10275')"
"('Q12906', 'P09234')"
"('Q9H1K1', 'Q13303')"
"('Q5T4F7', 'P04628')"
"('Q9NVU0', 'P62875')"
"('Q9Y375', 'P07355')"
"('Q8NH87', 'P38405')"
"('P07339', 'P01730')"
"('Q13255', 'Q05586')"
"('P23142', 'P48745')"
"('P35900', 'P51116')"
"('Q16619', 'Q01344')"
"('O15144', 'P59998')"
"('Q14315', 'P55157')"
"('Q8TEM1', 'Q99567')"
"('Q13952', 'P17483')"
"('O14965', 'Q9ULW0')"
"('P24390', 'Q9HAW0')"
"('Q13237', 'P53778')"
"('O95835', 'O43464')"
"('P62316', 'P26641')"
"('P31994', 'Q6PI73')"
"('O14933', 'O60260')"
"('P63267', 'Q9UI47')"
"('Q01844', 'Q8N6Q3')"
"('Q9Y5V3', 'O95071')"
"('P02461', 'P56199')"
"('Q12888', 'O76064')"
"('Q96D09', 'P11229')"
"('Q14315', 'Q13326')"
"('Q8IU54', 'P26992')"
"('P23508', 'P21796')"
"('Q99759', 'Q9H4A3')"
"('P00338', 'P20823')"
"('Q13485', 'P17676')"
"('P10914', 'P67809')"
"('P62820', 'Q16658')"
"('Q8NH74', 'P38405')"
"('O95433', 'O14490')"
"('Q12959', 'O60333')"
"('P62979', 'Q86WV6')"
"('Q8IUE6', 'Q99879')"
"('P49913', 'P04406')"
"('Q9UKY1', 'P61604')"
"('P32969', 'P46776')"
"('P51116', 'Q9NS73')"
"('P61981', 'P48730')"
"('O00585', 'P07339')"
"('P18146', 'P14778')"
"('Q8IX12', 'Q86V81')"
"('Q96KK5', 'Q99879')"
"('P40337', 'P20701')"
"('O14745', 'Q05397')"
"('Q08999', 'P35232')"
"('P16220', 'Q6BAA4')"
"('O95477', 'O15085')"
"('Q7L523', 'Q9NQL2')"
"('Q86V81', 'P61978')"
"('Q12769', 'Q9Y3B2')"
"('Q08170', 'Q15287')"
"('P43146', 'P62906')"
"('Q96EB6', 'O15350')"
"('Q9UBK5', 'Q8WYR1')"
"('Q86UA6', 'P19438')"
"('P02686', 'P09237')"
"('P20823', 'P35680')"
"('Q15910', 'P15498')"
"('Q8NB37', 'O95084')"
"('P29466', 'P42574')"
"('O60733', 'Q12772')"
"('P12004', 'P24941')"
"('Q14232', 'P23508')"
"('P25786', 'Q13137')"
"('Q9Y2W7', 'Q03060')"
"('P51991', 'P52597')"
"('Q9H0R8', 'Q9BZH6')"
"('Q9H0N5', 'Q9Y463')"
"('Q8NCD3', 'Q16891')"
"('Q8TAD8', 'Q9NRR4')"
"('O43318', 'O15304')"
"('P39748', 'P09651')"
"('O00483', 'Q9NX14')"
"('P27986', 'Q96T58')"
"('P35527', 'P02647')"
"('Q9Y2U5', 'Q99759')"
"('Q96KN7', 'P19532')"
"('P05556', 'P31946')"
"('Q99612', 'Q9NRX1')"
"('Q15306', 'Q02790')"
"('P01857', 'P01700')"
"('P51159', 'P68104')"
"('Q15797', 'Q9Y466')"
"('P08581', 'Q9ULV8')"
"('P17980', 'O00232')"
"('O15105', 'Q13485')"
"('Q13217', 'P34931')"
"('Q9NPG2', 'P09471')"
"('P50591', 'Q13158')"
"('Q99996', 'Q9NRG4')"
"('P12830', 'P35527')"
"('Q9H8Y8', 'Q96DH6')"
"('Q9Y5X1', 'Q07890')"
"('Q92621', 'P35658')"
"('A6NIT4', 'Q99062')"
"('P04637', 'P26583')"
"('P63279', 'P04637')"
"('Q52LW3', 'Q9H4E5')"
"('P51617', 'O00206')"
"('Q15796', 'P57729')"
"('406884', 'P01111')"
"('Q8N6C8', 'P31994')"
"('O95630', 'P0CG48')"
"('P78559', 'Q9GZQ8')"
"('Q15714', 'Q9Y2V2')"
"('P61981', 'Q32P44')"
"('P05388', 'P68402')"
"('P53350', 'Q5T280')"
"('P07602', 'P49281')"
"('Q99683', 'Q9UM73')"
"('P83436', 'Q96JB2')"
"('P46778', 'P30050')"
"('P62195', 'Q9UL46')"
"('Q92759', 'P50613')"
"('Q06455', 'Q9UHD0')"
"('O43809', 'Q13422')"
"('Q9H2B2', 'Q12846')"
"('P60660', 'Q00005')"
"('P12107', 'Q9UKX5')"
"('Q15365', 'P01241')"
"('P32121', 'Q8NGF6')"
"('Q02790', 'Q9UBE0')"
"('P15529', 'P05556')"
"('Q16649', 'P18846')"
"('Q9NS56', 'P63279')"
"('Q99759', 'P48643')"
"('O00221', 'O14980')"
"('P55795', 'P35609')"
"('P30086', 'P27986')"
"('Q96LR5', 'Q99942')"
"('Q13501', 'Q12830')"
"('Q9Y2H8', 'Q15797')"
"('P54652', 'P53779')"
"('Q29RF7', 'Q8WVM7')"
"('Q01081', 'Q01130')"
"('O75478', 'Q92831')"
"('Q08043', 'Q6P1J9')"
"('Q6UWE0', 'P54253')"
"('P63244', 'P78396')"
"('Q9UGJ1', 'Q9H668')"
"('Q8TBK6', 'Q14562')"
"('406887', 'P05231')"
"('Q92597', 'Q13200')"
"('Q13404', 'P61088')"
"('Q13526', 'Q14653')"
"('Q07817', 'P09467')"
"('P50213', 'P51553')"
"('Q13216', 'P23025')"
"('P49366', 'P63241')"
"('Q9NS73', 'Q9NP79')"
"('Q3B7T1', 'Q07817')"
"('P01241', 'Q00796')"
"('Q7Z478', 'Q9HA65')"
"('Q14188', 'O75182')"
"('Q92889', 'P07992')"
"('Q9Y5K5', 'O15105')"
"('Q9Y618', 'Q96T58')"
"('P25963', 'P04637')"
"('P18146', 'Q9NS87')"
"('Q9UKK6', 'Q86V81')"
"('O15264', 'P00338')"
"('Q86Y39', 'P56556')"
"('Q9BY41', 'O75367')"
"('P62158', 'Q15858')"
"('P35443', 'Q05397')"
"('Q13257', 'Q9Y3Q8')"
"('P63215', 'P25116')"
"('P00533', 'P07947')"
"('Q9UK08', 'Q92806')"
"('P08631', 'Q96B97')"
"('P00505', 'Q6I9Y2')"
"('Q9Y258', 'P25025')"
"('P12931', 'P25098')"
"('Q13233', 'P34931')"
"('P43360', 'Q92797')"
"('P84098', 'P47914')"
"('P61956', 'Q7Z3J3')"
"('Q13976', 'Q16539')"
"('Q92769', 'Q99684')"
"('P10912', 'P08575')"
"('Q9Y4X3', 'P51681')"
"('Q96MG7', 'Q96MF7')"
"('P45973', 'P23497')"
"('Q52LW3', 'P61586')"
"('Q8TES7', 'Q14134')"
"('O75528', 'Q09472')"
"('P17612', 'P41181')"
"('Q13200', 'Q9UKB1')"
"('P04406', 'Q12906')"
"('O14561', 'O43678')"
"('P21860', 'Q4VC44')"
"('Q9P0U4', 'Q6DRA6')"
"('P61964', 'P62807')"
"('P51532', 'Q99547')"
"('P16104', 'Q9NYB0')"
"('P48382', 'P08123')"
"('P10301', 'Q12967')"
"('Q6WCQ1', 'P53680')"
"('O15519', 'O00220')"
"('P43307', 'Q9UL18')"
"('Q969H0', 'Q99466')"
"('Q99584', 'P18206')"
"('Q9UQN3', 'Q12933')"
"('P52434', 'Q9NW08')"
"('P25208', 'P35638')"
"('Q92769', 'O75446')"
"('Q96Q42', 'P12980')"
"('O43261', 'P20823')"
"('P39023', 'Q02543')"
"('Q92759', 'Q13216')"
"('P27361', 'P10415')"
"('P37198', 'Q9NVV9')"
"('Q99942', 'P62837')"
"('P23588', 'Q14240')"
"('P42262', 'O60282')"
"('P17405', 'P09525')"
"('Q9UKS6', 'P28482')"
"('P48736', 'P16144')"
"('Q99967', 'Q92481')"
"('Q15906', 'Q15014')"
"('Q8N201', 'P16150')"
"('Q5VTD9', 'Q9NRD5')"
"('P62714', 'Q96L34')"
"('P78386', 'P61981')"
"('P17931', 'P04217')"
"('Q9Y265', 'P20226')"
"('O43914', 'O95944')"
"('P51813', 'P42574')"
"('P13232', 'Q9HBE5')"
"('Q9Y3U8', 'P61254')"
"('P61160', 'P12830')"
"('Q9UHD2', 'P25963')"
"('P11362', 'Q8WYR1')"
"('Q9Y385', 'Q6UWE0')"
"('Q9H2G2', 'O14513')"
"('Q68EM7', 'P60763')"
"('P56880', 'O14493')"
"('Q9NWA0', 'Q96HR3')"
"('Q96P09', 'P42574')"
"('P41091', 'O15371')"
"('P47914', 'P18621')"
"('O60664', 'P51151')"
"('Q9H2G2', 'Q9UQ16')"
"('P33176', 'Q9UBN6')"
"('O75400', 'P40123')"
"('P63096', 'P50150')"
"('P52434', 'P19387')"
"('Q9BTC0', 'Q9H0M0')"
"('P62913', 'P29590')"
"('P12004', 'P35249')"
"('Q9NVJ2', 'P21281')"
"('Q9UK08', 'P45984')"
"('Q8TDQ1', 'P29350')"
"('Q14192', 'Q13643')"
"('Q9UER7', 'Q86Z02')"
"('P16220', 'Q8TAP4')"
"('P62847', 'P60866')"
"('Q12906', 'Q9UL18')"
"('Q9UHY1', 'P24522')"
"('O15131', 'Q9Y5K6')"
"('P24941', 'P28482')"
"('Q6P5X5', 'P62714')"
"('O60262', 'Q00722')"
"('P81605', 'P21796')"
"('P01241', 'P62158')"
"('P42680', 'Q8WV28')"
"('Q9UNH7', 'P13693')"
"('P49720', 'P63104')"
"('O00422', 'P31689')"
"('P62805', 'P49716')"
"('P11245', 'P41227')"
"('Q9NYJ8', 'P31943')"
"('Q12789', 'P15882')"
"('406955', 'P46527')"
"('P49763', 'P09619')"
"('P09429', 'P27695')"
"('P63104', 'P28749')"
"('P68104', 'Q9HCU9')"
"('Q8IWZ8', 'P52756')"
"('P06493', 'Q8NEB9')"
"('P01570', 'P42701')"
"('Q09472', 'Q99683')"
"('O00471', 'Q13133')"
"('P01568', 'P42701')"
"('Q16663', 'P51679')"
"('Q14289', 'P40763')"
"('O60333', 'P51681')"
"('O14503', 'Q9NPI1')"
"('O60315', 'P12830')"
"('P36578', 'P35268')"
"('P62487', 'Q9NX70')"
"('P08670', 'Q9Y572')"
"('Q9HAU4', 'O14544')"
"('P62316', 'O95782')"
"('P68032', 'P04406')"
"('P62330', 'Q969V3')"
"('P10809', 'Q00005')"
"('Q07666', 'P63162')"
"('P18206', 'P16871')"
"('P62891', 'P18621')"
"('Q9NRR5', 'P10124')"
"('407040', 'Q02750')"
"('Q09472', 'Q8TAD8')"
"('P49841', 'P15880')"
"('Q9UM11', 'Q12834')"
"('Q9UL18', 'Q9UKV8')"
"('P46776', 'P27635')"
"('P49841', 'P61968')"
"('Q02539', 'Q8IXJ6')"
"('Q9Y5S2', 'Q13546')"
"('Q86YW9', 'Q96HR3')"
"('P31749', 'Q07817')"
"('Q96KQ7', 'Q9UBC3')"
"('Q9UNE7', 'P0CG47')"
"('P52803', 'P08069')"
"('P22612', 'O60840')"
"('P49914', 'Q9Y3Q8')"
"('Q8IU85', 'P29474')"
"('Q66LE6', 'P32121')"
"('O15530', 'Q04917')"
"('P20936', 'P49023')"
"('O00303', 'O00165')"
"('P50150', 'Q9UBY5')"
"('Q14781', 'P84243')"
"('Q9Y6K9', 'O14654')"
"('Q01484', 'Q13009')"
"('O75438', 'O15239')"
"('Q93063', 'P26441')"
"('P08575', 'P04629')"
"('P30876', 'Q6PD62')"
"('Q00005', 'Q02878')"
"('A8MTJ3', 'P16499')"
"('Q9Y3F4', 'O75365')"
"('O43741', 'P11166')"
"('Q9NW08', 'P62875')"
"('P05388', 'P63104')"
"('P08913', 'P50148')"
"('P18077', 'P42766')"
"('P62140', 'Q9BZL4')"
"('Q8IXK0', 'O95503')"
"('Q16637', 'P51693')"
"('Q9Y478', 'A2RTX5')"
"('P55957', 'Q07817')"
"('P30504', 'P01889')"
"('O60508', 'Q86U42')"
"('P09936', 'P23508')"
"('Q13043', 'P02686')"
"('P15172', 'P24468')"
"('P49407', 'P19634')"
"('Q14151', 'P02647')"
"('Q9ULW0', 'O43255')"
"('Q8NHW4', 'P49238')"
"('P62306', 'Q9UHX1')"
"('Q9BSJ8', 'P63104')"
"('O15131', 'P39687')"
"('P60174', 'P63104')"
"('P84243', 'Q09472')"
"('Q10570', 'Q6ZVL6')"
"('P01569', 'Q9HBE5')"
"('Q8IX03', 'Q5UIP0')"
"('Q8NBJ4', 'Q9BQ52')"
"('P06729', 'P01730')"
"('P29966', 'Q9Y4K3')"
"('O95819', 'Q9UNE7')"
"('Q9UBB5', 'Q16576')"
"('P27986', 'Q8IWV1')"
"('Q8WTQ7', 'P49682')"
"('Q9Y219', 'O43597')"
"('P46109', 'Q05397')"
"('Q01105', 'P01241')"
"('Q13362', 'P62955')"
"('Q9Y297', 'Q9UKB1')"
"('P49368', 'Q9UHD2')"
"('Q9UGL9', 'P08670')"
"('P47914', 'P30050')"
"('P56537', 'Q9H293')"
"('P15153', 'P63261')"
"('Q5XKP0', 'P30457')"
"('Q9BYM8', 'Q9Y2X8')"
"('P49407', 'P32302')"
"('Q9P0W0', 'Q01113')"
"('Q15306', 'P42226')"
"('Q8WVD3', 'Q9Y2X8')"
"('O60343', 'Q8NEY1')"
"('Q8TD31', 'O95433')"
"('Q9HBI1', 'P18564')"
"('P20273', 'P43405')"
"('P30101', 'P11047')"
"('P63151', 'Q15170')"
"('Q99459', 'Q7Z6Z7')"
"('P29590', 'P45973')"
"('O60934', 'Q13472')"
"('P18084', 'P51636')"
"('P22612', 'P50552')"
"('Q13490', 'Q9NR28')"
"('Q9UP83', 'P25054')"
"('Q96JK9', 'Q92830')"
"('O14497', 'Q92925')"
"('Q9HBW0', 'P62879')"
"('P10767', 'P00533')"
"('P23396', 'P20333')"
"('P50053', 'P14678')"
"('Q16695', 'P07288')"
"('P62277', 'P23396')"
"('Q9NZJ5', 'Q13489')"
"('Q96DA0', 'Q9NRR5')"
"('P62330', 'Q14204')"
"('Q9NS56', 'P04637')"
"('Q9NP87', 'P13010')"
"('Q9NRQ2', 'Q9NV56')"
"('Q96IP4', 'Q96KS0')"
"('P61254', 'Q9UL18')"
"('P63279', 'P29590')"
"('O15379', 'Q16576')"
"('P10451', 'Q05397')"
"('P42262', 'Q05586')"
"('P26373', 'P19174')"
"('P61978', 'Q05519')"
"('P62714', 'Q96N67')"
"('Q04695', 'Q2TAY7')"
"('P00439', 'Q14CB8')"
"('O15350', 'Q9H3D4')"
"('P48730', 'Q16526')"
"('Q96LZ3', 'Q12968')"
"('P49190', 'P62158')"
"('Q8N122', 'Q9BVC4')"
"('O94993', 'O95989')"
"('Q6ZSG1', 'P61077')"
"('P30273', 'Q9ULY5')"
"('O60641', 'P20823')"
"('O00180', 'P63279')"
"('Q9BXH1', 'P18146')"
"('P04150', 'P00813')"
"('Q99459', 'P17980')"
"('Q13555', 'Q01118')"
"('Q7L0Y3', 'Q14197')"
"('Q9NSB8', 'Q14643')"
"('Q6UXF1', 'Q99962')"
"('Q53HC9', 'P24941')"
"('P36575', 'Q93091')"
"('Q9Y4E8', 'P61201')"
"('O95178', 'O95167')"
"('Q8NGQ3', 'P38405')"
"('Q9UL03', 'Q9Y4K3')"
"('Q16512', 'Q9NYF0')"
"('Q01081', 'Q92620')"
"('P62891', 'P30050')"
"('P20936', 'P06213')"
"('Q04206', 'P17987')"
"('P63279', 'P35609')"
"('Q16539', 'P30153')"
"('Q05655', 'O60266')"
"('O00422', 'Q9UGY1')"
"('P51532', 'Q01196')"
"('Q9UIS9', 'P42224')"
"('O00221', 'O75170')"
"('P31995', 'Q15759')"
"('A8TX70', 'Q13683')"
"('Q9GZT8', 'P61457')"
"('P14091', 'P46379')"
"('P15498', 'P78314')"
"('Q15428', 'P26368')"
"('Q9NPJ1', 'Q05084')"
"('Q16774', 'P18146')"
"('P63104', 'P0CG48')"
"('O15169', 'P67775')"
"('O95433', 'P21333')"
"('P62906', 'P05388')"
"('O15467', 'P32302')"
"('Q13573', 'P46459')"
"('Q14790', 'Q13177')"
"('Q9NRD5', 'P12931')"
"('Q969G3', 'Q86U86')"
"('P22612', 'Q07343')"
"('Q8NGF4', 'P38405')"
"('P52756', 'O43390')"
"('Q15717', 'O75293')"
"('P84022', 'Q9Y3F4')"
"('Q13797', 'P63261')"
"('Q9BT78', 'P38936')"
"('P32121', 'Q8NGK5')"
"('O95166', 'Q9Y5U8')"
"('Q12805', 'P54259')"
"('407011', 'O94925')"
"('P12931', 'P16284')"
"('Q14112', 'P98160')"
"('P19174', 'Q13087')"
"('P62158', 'P15884')"
"('Q96EV8', 'Q9ULM2')"
"('Q13485', 'P62070')"
"('P30154', 'P57087')"
"('P62701', 'O95819')"
"('P43405', 'P27986')"
"('P05113', 'Q14626')"
"('P63316', 'P19429')"
"('Q07890', 'Q15628')"
"('Q9NP31', 'P04626')"
"('Q9BWJ5', 'Q13435')"
"('O75530', 'P07711')"
"('P12931', 'Q9NQ76')"
"('P54727', 'Q15008')"
"('Q15459', 'Q86XP3')"
"('Q13233', 'P46781')"
"('P00973', 'Q05823')"
"('Q7L590', 'Q7Z7J5')"
"('P06400', 'Q92543')"
"('Q12959', 'Q14160')"
"('P16233', 'P04118')"
"('Q13535', 'Q9UQ35')"
"('P62829', 'P18621')"
"('P21673', 'Q04724')"
"('Q04724', 'P61604')"
"('P49407', 'O14640')"
"('P40145', 'P13569')"
"('P03901', 'Q16795')"
"('P07942', 'Q7L1I2')"
"('P78563', 'O00308')"
"('Q9Y6D6', 'O75365')"
"('Q9NS23', 'Q96BY2')"
"('Q9NRR5', 'Q8NEM7')"
"('P06241', 'O75563')"
"('P36405', 'Q13432')"
"('Q92993', 'O43781')"
"('P61088', 'O00237')"
"('P06213', 'Q9NRF2')"
"('Q9C000', 'O15553')"
"('554213', 'Q00534')"
"('Q9Y4L5', 'Q969T4')"
"('Q15653', 'O60477')"
"('P09237', 'P16070')"
"('O94925', 'P62330')"
"('P78545', 'O76013')"
"('P31749', 'P54253')"
"('P25490', 'P51610')"
"('Q0VF96', 'P25054')"
"('P35237', 'P00749')"
"('P12314', 'Q8NHJ6')"
"('Q99816', 'P08631')"
"('Q99650', 'P52333')"
"('P08670', 'Q53TS8')"
"('P98171', 'P62745')"
"('P27361', 'P10636')"
"('O95376', 'P68036')"
"('P62277', 'P62081')"
"('Q9NZ42', 'Q8WW43')"
"('O14686', 'Q9C005')"
"('Q12933', 'Q9Y4K4')"
"('Q9BT78', 'Q92905')"
"('O95865', 'P11802')"
"('O60258', 'P09619')"
"('P62899', 'P62945')"
"('407037', 'P05423')"
"('P63104', 'Q9H9J4')"
"('P30480', 'P17174')"
"('P51817', 'P54840')"
"('P62330', 'P22695')"
"('P56199', 'P46109')"
"('Q96L91', 'Q13315')"
"('O75925', 'Q15744')"
"('P48039', 'P63000')"
"('Q09472', 'Q86X55')"
"('P21860', 'Q99963')"
"('P51693', 'Q9UGL9')"
"('Q04206', 'Q13352')"
"('P57088', 'Q15008')"
"('Q14999', 'Q92990')"
"('P01106', 'Q9NR11')"
"('P51828', 'P51817')"
"('P29353', 'P19174')"
"('O00257', 'Q99496')"
"('P17252', 'P63215')"
"('P61952', 'P11229')"
"('P57721', 'P78537')"
"('P62158', 'Q16816')"
"('Q9H8S9', 'Q9BQD3')"
"('Q16649', 'Q01658')"
"('Q00013', 'P49841')"
"('O60381', 'P18146')"
"('O95467', 'P12931')"
"('P63098', 'Q14934')"
"('A6ZKI3', 'O60381')"
"('P27695', 'P40763')"
"('P24522', 'P68104')"
"('Q14194', 'Q9Y2M5')"
"('P35052', 'Q99075')"
"('P08174', 'P00519')"
"('P60953', 'Q9Y4K3')"
"('P15036', 'O95405')"
"('P19474', 'P29692')"
"('Q14511', 'O14965')"
"('Q03518', 'Q03519')"
"('P30049', 'P25705')"
"('P49137', 'P16220')"
"('Q13151', 'Q8IYB3')"
"('Q9HC98', 'P30291')"
"('P61952', 'Q8TCU6')"
"('Q6NZ67', 'Q96CW5')"
"('P41235', 'P11712')"
"('P33778', 'P0C0S8')"
"('P16333', 'Q8IVH8')"
"('Q01094', 'P49716')"
"('Q92913', 'Q02763')"
"('P62280', 'P62753')"
"('P62917', 'P40429')"
"('Q562F6', 'Q13257')"
"('Q9UHB6', 'P13569')"
"('Q5HYK7', 'P62993')"
"('P61604', 'Q14194')"
"('O43521', 'P21796')"
"('Q9Y4K3', 'O95999')"
"('Q9H6R7', 'Q9HCP0')"
"('P28566', 'P63215')"
"('P06748', 'Q9BQG0')"
"('O00193', 'Q14164')"
"('P03973', 'P18146')"
"('Q96IP4', 'Q92743')"
"('P63098', 'P48454')"
"('P54259', 'P61964')"
"('P06127', 'O60880')"
"('P04629', 'Q92569')"
"('O95967', 'Q8TCX5')"
"('Q00526', 'P06400')"
"('Q9UBD9', 'Q8N6P7')"
"('Q9HCN6', 'P07948')"
"('P50914', 'Q92901')"
"('Q09161', 'O43432')"
"('Q96HP0', 'P63000')"
"('P61513', 'P46779')"
"('Q16611', 'Q9GZX7')"
"('P83881', 'P26373')"
"('Q99759', 'P07900')"
"('P36897', 'O00743')"
"('P04049', 'Q3ZCQ8')"
"('P27986', 'Q9Y259')"
"('Q15428', 'O60506')"
"('Q9Y5P8', 'Q7Z3S7')"
"('P56856', 'Q96B33')"
"('Q15714', 'Q14194')"
"('P17538', 'P01009')"
"('Q9NYW7', 'A8MTJ3')"
"('P21246', 'P24522')"
"('Q8TAP4', 'O43298')"
"('P53680', 'P62316')"
"('P35998', 'O00487')"
"('P55795', 'Q08170')"
"('P01574', 'Q13568')"
"('Q9P2H0', 'Q9NUL3')"
"('P62829', 'P30050')"
"('Q01201', 'Q8NFD5')"
"('P01871', 'Q06187')"
"('O75674', 'Q15155')"
"('Q9NSB2', 'Q9BQ83')"
"('Q96RU8', 'Q02750')"
"('Q08945', 'P04745')"
"('P15927', 'Q9NZC9')"
"('P12931', 'P60709')"
"('Q8TBB1', 'Q07955')"
"('P08069', 'Q9ULV8')"
"('P62910', 'P46777')"
"('P47992', 'P61073')"
"('P30450', 'P43628')"
"('Q15170', 'P63151')"
"('P33991', 'P55201')"
"('P30533', 'P49792')"
"('P04637', 'P06748')"
"('P68400', 'Q13526')"
"('P35579', 'P62993')"
"('Q9BYX2', 'P18146')"
"('O14980', 'P11388')"
"('O95994', 'Q9NPI1')"
"('Q13619', 'P0C0S5')"
"('Q9NVD7', 'P17301')"
"('P12931', 'Q07666')"
"('P78543', 'P12980')"
"('P14854', 'Q8IXH7')"
"('P52701', 'P01106')"
"('P07204', 'P46695')"
"('Q8TCY5', 'P41968')"
"('P30740', 'P08311')"
"('P30050', 'P62987')"
"('Q96JB5', 'Q9NRH3')"
"('O95864', 'Q13485')"
"('P61313', 'P35268')"
"('P07948', 'Q6S5L8')"
"('Q9H079', 'O95251')"
"('Q9HCU9', 'P11142')"
"('P56545', 'Q92769')"
"('P02751', 'P29279')"
"('Q96Q15', 'Q8ND04')"
"('P67870', 'P16278')"
"('P62917', 'P46778')"
"('P21673', 'Q9Y3C7')"
"('O15198', 'P02751')"
"('P83731', 'P61313')"
"('P68104', 'O43504')"
"('P16333', 'P15153')"
"('Q05513', 'P41743')"
"('O15519', 'O00303')"
"('P20333', 'O60641')"
"('Q13535', 'Q92989')"
"('O95967', 'P28300')"
"('Q12789', 'Q9BTY7')"
"('Q9UBI6', 'O95467')"
"('O15198', 'Q03001')"
"('P29466', 'Q9C000')"
"('Q9UK32', 'P01116')"
"('P63241', 'Q92831')"
"('P18146', 'P15812')"
"('Q96P09', 'P55210')"
"('Q92765', 'P56706')"
"('P00519', 'Q9Y5Y3')"
"('Q14197', 'Q9BYC9')"
"('P07478', 'Q8TEW0')"
"('Q13797', 'P05106')"
"('P42768', 'P08631')"
"('Q9H2X6', 'P63165')"
"('P63000', 'P68133')"
"('Q71DI3', 'Q9HC52')"
"('Q14164', 'P25788')"
"('P35326', 'Q14247')"
"('Q5FWF5', 'O60216')"
"('Q13200', 'Q9UHD2')"
"('Q96ES7', 'P51610')"
"('P07910', 'P55795')"
"('P52597', 'P50616')"
"('P42680', 'P23470')"
"('P11802', 'Q13547')"
"('P00519', 'P98161')"
"('Q99961', 'P08581')"
"('Q96A08', 'Q6UXN9')"
"('P42574', 'Q13153')"
"('Q8IY92', 'P48047')"
"('O00217', 'O43677')"
"('P63104', 'Q92934')"
"('O60285', 'Q7Z794')"
"('Q03518', 'P08047')"
"('Q5T9A4', 'Q96T60')"
"('Q14203', 'P42575')"
"('P54652', 'O14727')"
"('Q96RT1', 'O15105')"
"('Q9GZY0', 'P52948')"
"('Q15834', 'Q96M91')"
"('O15357', 'Q15811')"
"('Q8WZA2', 'P30305')"
"('P10809', 'O14920')"
"('Q99873', 'Q9Y6Q9')"
"('O75569', 'Q9UI95')"
"('Q9NS56', 'P29590')"
"('Q8NGV0', 'P38405')"
"('P08575', 'P08581')"
"('Q02543', 'P46776')"
"('P20023', 'P15391')"
"('Q9HCS4', 'Q9Y265')"
"('P56706', 'O75581')"
"('Q9UFF9', 'P52907')"
"('Q15746', 'P24844')"
"('P20823', 'Q9P015')"
"('O00505', 'P30480')"
"('P21333', 'P84022')"
"('Q06124', 'P05787')"
"('Q9NPF7', 'Q14626')"
"('P12110', 'P26012')"
"('Q9UGP5', 'P18887')"
"('P46783', 'Q9Y6K9')"
"('O15259', 'Q9NRR5')"
"('P62750', 'P05387')"
"('Q9BQ15', 'Q9NRY2')"
"('P27635', 'P63173')"
"('Q16659', 'P02647')"
"('Q13277', 'P60880')"
"('Q99418', 'P32121')"
