negatives
"('Q99759', 'Q9BV68')"
"('P13725', 'P32927')"
"('P48634', 'O15460')"
"('P61421', 'Q15475')"
"('P11171', 'P12004')"
"('Q14166', 'P01889')"
"('Q96L91', 'P17480')"
"('P30050', 'Q02543')"
"('Q92993', 'P20749')"
"('Q9Y3U8', 'P62910')"
"('Q9NUL3', 'Q96C10')"
"('Q15853', 'Q12974')"
"('Q9NWB1', 'O14641')"
"('Q05215', 'O95644')"
"('Q9GZR7', 'P08238')"
"('Q13237', 'Q99941')"
"('Q12933', 'P53779')"
"('P22694', 'P42262')"
"('P28482', 'O15198')"
"('P29965', 'Q04864')"
"('O00221', 'P55072')"
"('Q9Y272', 'O14775')"
"('P58546', 'Q14164')"
"('Q86UT6', 'Q13114')"
"('P16144', 'Q14315')"
"('O95168', 'Q16795')"
"('P0CG47', 'Q13485')"
"('Q9H845', 'Q14197')"
"('P10827', 'P29590')"
"('Q9UNE7', 'Q7Z7E8')"
"('P62714', 'P04083')"
"('Q17RW2', 'P18827')"
"('P63173', 'P18077')"
"('P49588', 'P63104')"
"('O43657', 'Q5UIP0')"
"('P07315', 'P02511')"
"('Q15797', 'P20337')"
"('O75964', 'P24539')"
"('P50616', 'P31942')"
"('P68402', 'O60260')"
"('Q13233', 'P20333')"
"('P08107', 'Q9UBR2')"
"('Q96EQ8', 'Q9BYX4')"
"('O15111', 'Q9NX02')"
"('P31689', 'P49703')"
"('P10275', 'P62136')"
"('Q9C035', 'Q9BX70')"
"('P62993', 'O14513')"
"('P62136', 'O14965')"
"('Q9Y6H6', 'Q9H3H3')"
"('Q5JY77', 'P50238')"
"('O95990', 'Q15834')"
"('O95990', 'Q9Y4E8')"
"('Q03701', 'P01106')"
"('P41208', 'Q13569')"
"('P42771', 'P63279')"
"('P06241', 'Q14315')"
"('P10644', 'P35520')"
"('Q6ZSY5', 'P46019')"
"('Q92922', 'Q12824')"
"('O15504', 'P49792')"
"('P49790', 'P35658')"
"('Q96F46', 'O43318')"
"('P16520', 'Q8TCU6')"
"('Q92636', 'P63244')"
"('P20933', 'P02768')"
"('O75821', 'Q13573')"
"('O75800', 'Q9H992')"
"('Q16665', 'P14921')"
"('P62913', 'P40429')"
"('Q9Y5K6', 'P06729')"
"('P28221', 'Q9P2W3')"
"('P62899', 'Q9NVP2')"
"('Q16827', 'P06213')"
"('Q02156', 'Q9NSI5')"
"('Q9P2W3', 'P48051')"
"('P01241', 'P06748')"
"('Q16543', 'O43187')"
"('Q9GZX7', 'O15131')"
"('Q9UI14', 'Q96HA8')"
"('Q96NA2', 'Q3ZCM7')"
"('Q9UNL4', 'O95251')"
"('P16333', 'Q9H2X0')"
"('P11021', 'P04637')"
"('P20292', 'P09917')"
"('Q9Y4D1', 'Q15642')"
"('Q9BUV8', 'O15260')"
"('P62993', 'O60264')"
"('P08133', 'P62993')"
"('P18124', 'Q92901')"
"('O75569', 'P29353')"
"('P01106', 'Q14978')"
"('Q9C086', 'Q8NBZ0')"
"('P31749', 'A8MVU1')"
"('Q99558', 'Q7Z434')"
"('Q13315', 'O43296')"
"('Q68CZ2', 'Q15788')"
"('Q8NHW5', 'Q13233')"
"('P18077', 'P46777')"
"('Q9NR09', 'P53350')"
"('Q15078', 'Q7L5N1')"
"('Q9Y6B7', 'O43427')"
"('Q9BUV8', 'Q92616')"
"('P29466', 'P10144')"
"('Q9UBS0', 'O00418')"
"('Q13387', 'P51805')"
"('Q07889', 'Q04695')"
"('Q96RU3', 'O95271')"
"('P36873', 'Q01668')"
"('P52657', 'Q08050')"
"('P35268', 'P61353')"
"('P55196', 'O14640')"
"('Q9NPB9', 'P80098')"
"('Q99547', 'Q5UIP0')"
"('Q96MT8', 'Q8N6Y0')"
"('P49841', 'O75448')"
"('Q9BQ66', 'P26992')"
"('Q96HR3', 'Q9BWU1')"
"('Q9P0W0', 'Q99062')"
"('Q00839', 'Q9Y6K9')"
"('O00141', 'Q15118')"
"('Q9NX70', 'Q14498')"
"('Q9NPD3', 'P01889')"
"('Q13683', 'P53708')"
"('P04183', 'P19883')"
"('Q16548', 'Q04864')"
"('O00217', 'O95299')"
"('Q15118', 'Q96BR1')"
"('Q06187', 'Q9Y4D1')"
"('P16298', 'O94916')"
"('Q9ULJ6', 'Q5VU97')"
"('Q9Y6H6', 'Q9NS23')"
"('P61960', 'Q9UK32')"
"('Q99962', 'Q9NYF0')"
"('P78352', 'Q14957')"
"('Q969H0', 'P04217')"
"('Q9UGF5', 'P38405')"
"('Q13733', 'O75365')"
"('Q96KM6', 'Q9NRG4')"
"('P62979', 'Q9Y2H0')"
"('P14136', 'O75791')"
"('Q9H1J1', 'Q8IYD1')"
"('Q9UHD9', 'O95967')"
"('O15530', 'Q04917')"
"('Q13315', 'Q6KC79')"
"('P08670', 'P13805')"
"('Q15910', 'P49918')"
"('P27701', 'P01730')"
"('P08107', 'P11142')"
"('P13942', 'P06756')"
"('Q92793', 'Q15596')"
"('P30530', 'Q07912')"
"('P62829', 'P62913')"
"('Q9HC98', 'P08195')"
"('406957', 'P01116')"
"('Q9UJU5', 'O75751')"
"('O75131', 'Q13573')"
"('P06756', 'P01111')"
"('P10145', 'P23396')"
"('P04406', 'O15264')"
"('P61201', 'Q02556')"
"('P63208', 'Q9UKT7')"
"('Q9H6Y7', 'O14832')"
"('Q9NP81', 'Q9UHX1')"
"('P29350', 'Q7Z6A9')"
"('P27635', 'Q99558')"
"('Q9H3U1', 'P01106')"
"('Q99856', 'P63279')"
"('P27482', 'P51828')"
"('343477', 'P43686')"
"('P04049', 'Q02750')"
"('Q02156', 'Q15349')"
"('Q13535', 'Q9NTI5')"
"('P12318', 'P59901')"
"('P61077', 'Q9UHC7')"
"('O95466', 'P12956')"
"('P16220', 'P62805')"
"('Q9H0E3', 'Q9Y4A5')"
"('P35244', 'Q9Y605')"
"('Q17RW2', 'P13612')"
"('Q96EQ8', 'O95786')"
"('Q10587', 'Q16534')"
"('Q9NV56', 'P62805')"
"('P80188', 'P14780')"
"('Q9HCT0', 'Q14512')"
"('P62266', 'P46777')"
"('Q96B02', 'Q6UWE0')"
"('Q6KC79', 'O95084')"
"('Q9UKT4', 'Q8NHZ8')"
"('P41235', 'O75448')"
"('Q8NG97', 'P38405')"
"('P40337', 'Q13315')"
"('P04637', 'O15350')"
"('P27986', 'P01112')"
"('Q16384', 'O95863')"
"('P01106', 'Q14997')"
"('O75528', 'Q9NR33')"
"('Q92599', 'Q15019')"
"('Q92569', 'P01111')"
"('O75643', 'P51617')"
"('P49137', 'P29353')"
"('Q9Y5S8', 'P13498')"
"('Q13547', 'Q92769')"
"('Q9HBE4', 'Q9UGN5')"
"('Q9HC29', 'Q9NRD8')"
"('Q3KQU3', 'Q7L5N1')"
"('Q8IUQ4', 'Q8WV19')"
"('Q99750', 'P54259')"
"('O15198', 'O75533')"
"('O14933', 'Q9UII4')"
"('O15360', 'Q14469')"
"('Q9C0J8', 'Q05516')"
"('P63173', 'P61927')"
"('Q13315', 'P01009')"
"('Q9UK08', 'Q15147')"
"('P10747', 'O00459')"
"('O95813', 'Q9H1J5')"
"('Q9UM13', 'P06493')"
"('P35222', 'P80098')"
"('Q01101', 'Q92796')"
"('Q9NWT6', 'Q9HBA0')"
"('O15360', 'Q15788')"
"('P31749', 'O60437')"
"('P62979', 'Q15796')"
"('Q15172', 'P30153')"
"('Q16566', 'O43306')"
"('O00716', 'Q14186')"
"('Q99973', '7012')"
"('O00755', 'O96014')"
"('O00743', 'P78318')"
"('Q15714', 'Q15047')"
"('P61421', 'Q6P1Q9')"
"('P38159', 'O43390')"
"('P01242', 'P26992')"
"('P01243', 'P62714')"
"('Q6SZW1', 'O14967')"
"('P24941', 'Q9UJX5')"
"('P23396', 'P19838')"
"('P62993', 'P05387')"
"('Q9GZT8', 'P27348')"
"('P78368', 'P18846')"
"('P18146', 'Q9NR48')"
"('P15018', 'Q99062')"
"('P52565', 'Q99963')"
"('Q8TDY2', 'Q14151')"
"('Q9BST9', 'Q9BZR6')"
"('P08253', 'P02452')"
"('P19438', 'P60709')"
"('Q05516', 'P13994')"
"('Q13224', 'Q01668')"
"('Q8IY92', 'Q9NWU2')"
"('P14770', 'P46108')"
"('Q9BRC7', 'Q9HCM9')"
"('O15160', 'O95602')"
"('P03891', 'P03901')"
"('P31946', 'O43143')"
"('Q96EK9', 'Q13573')"
"('O95471', 'P56856')"
"('Q00005', 'P62829')"
"('Q07021', 'Q9BRL6')"
"('O14610', 'P27986')"
"('P30939', 'O60262')"
"('P19387', 'P18615')"
"('P53350', 'Q5SQH8')"
"('Q14116', 'Q13478')"
"('Q15291', 'Q99880')"
"('P0CG48', 'Q86WV6')"
"('Q13315', 'Q01167')"
"('Q14686', 'P84022')"
"('Q9UN74', 'Q5UIP0')"
"('Q16665', 'P08047')"
"('Q13555', 'P30307')"
"('Q9Y4A5', 'Q9ULK4')"
"('Q8NFZ5', 'P19838')"
"('O43586', 'P83881')"
"('Q9H0E9', 'P19793')"
"('P04406', 'Q96EB6')"
"('P51617', 'P40763')"
"('Q9UBD9', 'P14784')"
"('Q9P1U1', 'Q99996')"
"('P36542', 'P25705')"
"('Q99848', 'P19525')"
"('P26951', 'Q92569')"
"('P20936', 'P08133')"
"('O15131', 'O15305')"
"('P12004', 'P11171')"
"('Q9H9L3', 'P46108')"
"('P06241', 'P13671')"
"('P63098', 'Q9UJX3')"
"('P09914', 'P60228')"
"('P63104', 'P35579')"
"('O15379', 'Q6FI13')"
"('O75618', 'P42574')"
"('Q9BVP2', 'P01106')"
"('P38398', 'P40763')"
"('Q8N357', 'P13686')"
"('P01133', 'P00403')"
"('Q01813', 'Q9Y4K3')"
"('Q6WCQ1', 'Q13748')"
"('P56746', 'Q96B33')"
"('Q6P2Q9', 'Q15029')"
"('Q8IZD9', 'P55157')"
"('P63092', 'Q99614')"
"('P30939', 'P59768')"
"('P52756', 'Q08211')"
"('P12956', 'Q9P2K8')"
"('P01589', 'P51692')"
"('P49407', 'Q7Z4V5')"
"('P16885', 'Q3MJ16')"
"('Q8TBE0', 'O75525')"
"('Q9NYQ7', 'Q9BZF9')"
"('P22612', 'P50552')"
"('Q04206', 'Q9NPH5')"
"('Q86W26', 'P29466')"
"('Q14CB8', 'P00439')"
"('Q16566', 'Q92793')"
"('P36896', 'Q9UER7')"
"('Q12778', 'P01236')"
"('Q8WXH5', 'Q08334')"
"('P30876', 'P19387')"
"('Q06710', 'P23771')"
"('P62256', 'O00429')"
"('O43264', 'O75365')"
"('P86790', 'Q99459')"
"('Q9NPD8', 'Q14469')"
"('Q9Y2Q3', 'Q9NZT2')"
"('Q9NYJ8', 'Q9UQL6')"
"('Q96BR9', 'Q9H9D4')"
"('Q4V326', 'Q96IK5')"
"('Q9Y6M4', 'P16220')"
"('Q9NUQ8', 'Q96GM8')"
"('Q9BZL6', 'O60925')"
"('Q6XZF7', 'O60566')"
"('P12757', 'Q9H160')"
"('P38570', 'O75530')"
"('P63010', 'Q15811')"
"('P15924', 'P19838')"
"('Q12873', 'P08670')"
"('P05000', 'P42702')"
"('P42229', 'P43365')"
"('Q92597', 'Q92499')"
"('P52756', 'Q07817')"
"('P0C1Z6', 'O60936')"
"('Q99459', 'P58107')"
"('P10636', 'P62987')"
"('Q93079', 'Q9Y5B9')"
"('Q9H9Q2', 'Q13098')"
"('Q15759', 'P61244')"
"('Q9NSI5', 'P55196')"
"('P23467', 'P19022')"
"('P05107', 'Q9UNS2')"
"('P27361', 'P17676')"
"('Q14444', 'P01889')"
"('Q9P2H0', 'P08670')"
"('Q07889', 'Q96RF0')"
"('O15379', 'Q99933')"
"('P19525', 'Q9H0D6')"
"('P55157', 'Q9UIF9')"
"('P00519', 'P42345')"
"('P20073', 'O15442')"
"('O00463', 'Q15750')"
"('Q9P2H0', 'P41220')"
"('P68871', 'P60520')"
"('P62913', 'P62910')"
"('Q5FWF4', 'P16220')"
"('P56524', 'P62807')"
"('Q15714', 'Q5XKP0')"
"('Q5TCX8', 'P31946')"
"('O60675', 'Q16621')"
"('Q8IU54', 'Q14653')"
"('Q00005', 'P46940')"
"('A6NCV1', 'P38405')"
"('P05107', 'Q05397')"
"('P49023', 'P51956')"
"('P01242', 'P52333')"
"('Q14185', 'P61586')"
"('P09544', 'O75197')"
"('Q05195', 'P17676')"
"('P06899', 'Q8WUI4')"
"('P43307', 'P60468')"
"('Q9HBY0', 'P13498')"
"('O43318', 'O14733')"
"('Q9Y572', 'Q00325')"
"('P38432', 'Q4J6C6')"
"('P61289', 'P06576')"
"('Q92608', 'Q92730')"
"('Q14573', 'Q13554')"
"('Q8IZD9', 'P61587')"
"('P03886', 'O14561')"
"('O94761', 'Q00005')"
"('Q15013', 'P51681')"
"('Q9UQM7', 'P15336')"
"('Q9P0U4', 'Q16778')"
"('O14579', 'P53621')"
"('P50395', 'Q9Y478')"
"('Q16513', 'Q99459')"
"('Q5R3I4', 'P04183')"
"('O75376', 'Q96ST3')"
"('Q9Y6X8', 'P62834')"
"('P26951', 'P29597')"
"('P05937', 'Q9NQA5')"
"('P27708', 'Q15628')"
"('O15121', 'P11217')"
"('Q99755', 'O14640')"
"('Q9H8V3', 'P62993')"
"('O15111', 'P36941')"
"('P05231', 'P40763')"
"('Q9UL63', 'Q8IY92')"
"('P68363', 'Q9BVA1')"
"('P60709', 'P12882')"
"('P62330', 'P36406')"
"('P17612', 'P59768')"
"('Q07666', 'P61978')"
"('Q9UBM7', 'Q99608')"
"('Q16254', 'Q12996')"
"('P02708', 'Q02556')"
"('P63165', 'Q7Z3J3')"
"('P10721', 'O75970')"
"('P62993', 'P00813')"
"('Q05397', 'P61073')"
"('P29460', 'Q5VWK5')"
"('Q9NZZ3', 'O75351')"
"('Q9Y320', 'Q9H3N1')"
"('Q7Z5Q5', 'Q9Y2S7')"
"('P08069', 'P27986')"
"('Q9H3R5', 'Q8N766')"
"('Q9NT62', 'Q9BQ83')"
"('P08107', 'P11021')"
"('Q9BRP4', 'P19438')"
"('P16949', 'P52594')"
"('Q92753', 'Q15788')"
"('P33764', 'Q92796')"
"('Q14194', 'P05091')"
"('O14744', 'Q9Y6K1')"
"('P39023', 'Q9Y3U8')"
"('P62979', 'P25789')"
"('P16298', 'Q9NZT1')"
"('Q8N726', 'P11802')"
"('Q9Y297', 'Q13616')"
"('Q6FHJ7', 'P09544')"
"('Q96PV6', 'Q9Y3Y4')"
"('Q13200', 'P62195')"
"('P16333', 'P52757')"
"('P08246', 'Q08117')"
"('Q99623', 'Q13530')"
"('P01871', 'Q6PD62')"
"('P28222', 'O14775')"
"('Q9UKI9', 'Q9Y5Z7')"
"('Q9Y241', 'P11171')"
"('P04637', 'P29466')"
"('P04156', 'Q969H4')"
"('Q92786', 'O15379')"
"('Q9Y618', 'P10275')"
"('P24071', 'P02741')"
"('P16220', 'P18850')"
"('Q14055', 'Q99689')"
"('O75643', 'P25054')"
"('Q9Y294', 'Q13112')"
"('P21453', 'P63096')"
"('O43318', 'P54619')"
"('P14598', 'Q9HBY0')"
"('P30504', 'Q9Y262')"
"('Q86V81', 'Q08211')"
"('P62847', 'P62081')"
"('Q70YC5', 'Q9NRI5')"
"('O75643', 'P14678')"
"('Q96Q05', 'Q9Y6K9')"
"('A6NMZ7', 'Q9HCN6')"
"('Q99728', 'Q9UKY1')"
"('O00505', 'P46527')"
"('Q6PKG0', 'Q14141')"
"('P24385', 'P12931')"
"('Q9Y3F4', 'Q14164')"
"('Q14596', 'Q9NP79')"
"('Q9NTJ3', 'Q15003')"
"('P40763', 'P29350')"
"('Q9Y675', 'P51668')"
"('P63220', 'P62280')"
"('Q96BT3', 'Q15560')"
"('P60520', 'P28340')"
"('Q00005', 'P62258')"
"('P50151', 'P27986')"
"('Q14676', 'Q96RU2')"
"('P10909', 'P16104')"
"('P63000', 'O96013')"
"('Q15172', 'Q8IZS8')"
"('O75038', 'Q16513')"
"('P21333', 'P38398')"
"('P05129', 'P05556')"
"('Q96PU8', 'Q9NTK1')"
"('P38398', 'P55072')"
"('P62829', 'P42766')"
"('O60603', 'Q9H0E2')"
"('P61927', 'P05388')"
"('P49842', 'Q02447')"
"('Q96EB6', 'Q9Y618')"
"('Q15008', 'O00233')"
"('P11684', 'P02751')"
"('P30480', 'P27695')"
"('P01241', 'O43242')"
"('Q06323', 'O00231')"
"('Q9Y613', 'P63104')"
"('P31644', 'Q9H0R8')"
"('P05771', 'Q13224')"
"('Q8WUK0', 'Q16659')"
"('P35658', 'Q8TEM1')"
"('Q02833', 'Q9P212')"
"('Q9BWU1', 'Q9BTT4')"
"('Q9Y490', 'P84103')"
"('P09496', 'P63010')"
"('P25685', 'P11142')"
"('P02462', 'P05106')"
"('P62244', 'P60866')"
"('P05386', 'Q9NPI1')"
"('P48556', 'Q15796')"
"('Q00978', 'P19525')"
"('406987', 'P53634')"
"('P25398', 'P62847')"
"('P62913', 'Q9Y6K9')"
"('P05060', 'Q16635')"
"('Q12933', 'Q9NS68')"
"('P51610', 'Q03164')"
"('P35443', 'Q9UKX5')"
"('Q9HCS7', 'Q13435')"
"('P67870', 'O43257')"
"('P35713', 'Q06413')"
"('P37840', 'O94811')"
"('Q9UBN7', 'Q7L7L0')"
"('Q13105', 'P62256')"
"('Q99683', 'P11532')"
"('O75529', 'Q96BN2')"
"('P49746', 'P56199')"
"('Q969S8', 'Q7Z2G1')"
"('Q6IBS0', 'Q9BY76')"
"('Q14697', 'P16035')"
"('Q15654', 'P67936')"
"('P46934', 'P35968')"
"('P51668', 'Q8IUQ4')"
"('Q8NCM8', 'P07437')"
"('Q9Y265', 'P41279')"
"('O00255', 'P84022')"
"('Q7LC44', 'P19012')"
"('Q9P0U4', 'P51610')"
"('Q71UI9', 'Q96DB2')"
"('P78337', 'Q93062')"
"('P63000', 'Q05513')"
"('P10827', 'P50613')"
"('P63104', 'P54253')"
"('P23378', 'Q14197')"
"('P52292', 'Q08881')"
"('Q8ND25', 'P61077')"
"('P36894', 'Q13873')"
"('Q05655', 'P62993')"
"('Q8N752', 'O15169')"
"('Q99689', 'Q9Y3D7')"
"('Q9Y4K3', 'P49116')"
"('P46940', 'P08729')"
"('Q9H461', 'Q2MKA7')"
"('P13569', 'P40424')"
"('P50995', 'O75340')"
"('P05129', 'O00471')"
"('P00558', 'O15264')"
"('O15481', 'Q8IY81')"
"('Q7L5D6', 'P20962')"
"('Q9UQL6', 'P62807')"
"('Q12982', 'P60953')"
"('P39019', 'P62979')"
"('Q14289', 'P06241')"
"('P07858', 'Q9HBJ7')"
"('P40926', 'P07954')"
"('Q5JY77', 'Q9BUZ4')"
"('Q969H0', 'P62877')"
"('P62873', 'Q99677')"
"('P62837', 'Q96A37')"
"('P41597', 'P32121')"
"('O43175', 'Q99759')"
"('O15287', 'O43542')"
"('Q9C086', 'Q96RL1')"
"('Q13501', 'P41743')"
"('P08572', 'P18827')"
"('O15551', 'O95832')"
"('P31943', 'Q15427')"
"('Q16363', 'Q6VMQ6')"
"('P35638', 'P17676')"
"('P62070', 'Q13393')"
"('P62316', 'Q13191')"
"('Q14683', 'P11802')"
"('P01891', 'Q9Y4L1')"
"('O15119', 'Q9H0E2')"
"('Q12933', 'Q05516')"
"('O14974', 'Q9Y572')"
"('P37802', 'P16871')"
"('P23526', 'Q9Y4K3')"
"('Q13882', 'P31749')"
"('Q71UI9', 'Q7Z2G1')"
"('O14788', 'Q14703')"
"('O15111', 'P19438')"
"('Q15041', 'P37268')"
"('Q07889', 'P19174')"
"('Q9UBU3', 'P43115')"
"('P16104', 'O75529')"
"('P31749', 'O14558')"
"('Q8WZ42', 'Q9UHX1')"
"('Q9UKB1', 'Q9GZV5')"
"('P01106', 'P15170')"
"('P53350', 'O60216')"
"('Q15047', 'P31751')"
"('O15524', 'P40238')"
"('P01308', 'P14616')"
"('O75818', 'Q9H633')"
"('Q9BYB0', 'P06241')"
"('P05556', 'P48736')"
"('Q9UQC2', 'P28482')"
"('Q9UKF6', 'Q6UN15')"
"('P62993', 'P31273')"
"('Q99873', 'P61978')"
"('O43374', 'P10301')"
"('P24385', 'Q13105')"
"('Q96GM8', 'P04637')"
"('P62837', 'P98170')"
"('Q13751', 'Q496J9')"
"('Q96RL7', 'Q9H2G2')"
"('P37837', 'P62330')"
"('P62258', 'P30291')"
"('Q14197', 'Q8N0V3')"
"('P10721', 'O00459')"
"('P02766', 'P50502')"
"('P01889', 'P09661')"
"('P26599', 'P63104')"
"('A8K6C2', 'P48357')"
"('P38159', 'Q07955')"
"('Q02818', 'P55212')"
"('Q9H4A3', 'P63104')"
"('P36897', 'Q9UNE7')"
"('P52735', 'Q9GZY6')"
"('Q9H7Z3', 'Q15287')"
"('Q99459', 'P29353')"
"('P17174', 'Q9UKE5')"
"('P61073', 'Q99623')"
"('P05067', 'P04406')"
"('P04406', 'P08238')"
"('P08138', 'Q15628')"
"('Q13191', 'Q99963')"
"('Q7Z6Z7', 'P04637')"
"('P61158', 'O15143')"
"('A4UGR9', 'Q9UET6')"
"('P23945', 'Q9UKG1')"
"('Q99731', 'Q92985')"
"('P30876', 'Q9NZC7')"
"('P51813', 'P20333')"
"('P35626', 'Q8NGD0')"
"('P16885', 'O60674')"
"('P18621', 'P46778')"
"('Q6P2C8', 'Q93074')"
"('Q9UK61', 'O60343')"
"('P43405', 'O00206')"
"('P52742', 'P49841')"
"('Q9P227', 'O00212')"
"('O14678', 'Q96BY9')"
"('Q9NR96', 'P60002')"
"('Q9Y5Y2', 'O75365')"
"('P41221', 'Q9UEF7')"
"('P63096', 'O60840')"
"('P16333', 'Q9Y2D5')"
"('Q969G5', 'Q9UBC2')"
"('P04080', 'O43597')"
"('O60333', 'P78352')"
"('Q9NZI8', 'P78330')"
"('P61244', 'P36873')"
"('Q8IYF1', 'O43298')"
"('Q969Q6', 'P31751')"
"('P07199', 'Q9UK32')"
"('Q15622', 'P38405')"
"('O14737', 'O60739')"
"('O95400', 'P09651')"
"('P05154', 'P07225')"
"('Q9NX47', 'P0CG48')"
"('P01106', 'Q9BZR9')"
"('Q05209', 'P04629')"
"('O14512', 'P42224')"
"('Q96CW1', 'Q92597')"
"('P40337', 'Q99595')"
"('Q9Y6U3', 'Q99759')"
"('Q96B97', 'Q15303')"
"('P68133', 'Q13315')"
"('Q9GZM7', 'P07384')"
"('P15923', 'P10275')"
"('Q13547', 'O75182')"
"('Q01581', 'Q14164')"
"('P0C0L5', 'P06681')"
"('P41182', 'P04637')"
"('O00762', 'P14635')"
"('Q9UI14', 'Q14088')"
"('P20929', 'Q9Y6J8')"
"('Q99638', 'O60921')"
"('P61160', 'P62993')"
"('Q15697', 'P63165')"
"('Q9UJX5', 'Q9H1A4')"
"('Q07889', 'Q13588')"
"('O43768', 'P25205')"
"('O95104', 'O75554')"
"('Q9BQQ3', 'Q9BZL6')"
"('Q96JP5', 'P08887')"
"('O95817', 'P11142')"
"('O00217', 'P03891')"
"('O00148', 'Q99459')"
"('Q9Y6K9', 'Q9UIA9')"
"('O00175', 'P32248')"
"('Q99459', 'Q8WWH5')"
"('Q8IWF7', 'Q9BQY4')"
"('P51587', 'O43242')"
"('Q99570', 'O95295')"
"('Q8N5V2', 'Q9H7E9')"
"('O14745', 'P15311')"
"('Q9UJX6', 'Q9NX58')"
"('Q15653', 'O15446')"
"('P63104', 'Q96TC7')"
"('Q9UBC3', 'P63165')"
"('P62266', 'Q00005')"
"('Q9NRR5', 'P16949')"
"('P98082', 'P84022')"
"('Q9C026', 'A8MVU1')"
"('P35222', 'P22626')"
"('O15235', 'Q13432')"
"('P08648', 'P35609')"
"('Q9HAU4', 'Q15797')"
"('Q92698', 'Q14240')"
"('P28070', 'O14818')"
"('P36578', 'P49207')"
"('Q00005', 'P14866')"
"('Q96AH8', 'P01889')"
"('Q9C0C7', 'P51784')"
"('P04637', 'Q12888')"
"('P78543', 'P12980')"
"('Q12873', 'Q14839')"
"('Q09472', 'P10145')"
"('Q9BWJ5', 'Q15393')"
"('O75400', 'Q86Z02')"
"('P15018', 'P78552')"
"('P20701', 'Q9Y4G6')"
"('Q08379', 'P25054')"
"('P63167', 'P78352')"
"('P49703', 'P31689')"
"('Q8TDR0', 'Q9P2Q2')"
"('P21860', 'Q99962')"
"('Q06190', 'Q92736')"
"('P41743', 'P04406')"
"('P49815', 'P62993')"
"('P62829', 'Q9P287')"
"('P0C0S8', 'Q9UKV0')"
"('P15408', 'P35638')"
"('P04632', 'P11802')"
"('P11940', 'Q9BWF3')"
"('Q14533', 'P19012')"
"('Q13526', 'P07199')"
"('O96019', 'Q8NFD5')"
"('O75182', 'Q9Y6D9')"
"('Q9GZN1', 'Q7L2H7')"
"('P36406', 'Q9Y6K9')"
"('P46531', 'Q15797')"
"('P56597', 'Q8WWB3')"
"('P23511', 'P17096')"
"('P33993', 'Q96BK5')"
"('Q93063', 'Q16394')"
"('Q86WN2', 'Q99650')"
"('Q16254', 'O75182')"
"('Q9UM73', 'Q9UJM3')"
"('Q9Y2X8', 'O43164')"
"('Q96EZ8', 'Q9H9F9')"
"('O43597', 'P98160')"
"('P27361', 'P16949')"
"('Q8N474', 'O00755')"
"('O14503', 'P04637')"
"('P47914', 'O60739')"
"('Q5EB52', 'Q8NHQ1')"
"('Q02078', 'Q16539')"
"('Q99436', 'Q9Y5K5')"
"('P42574', 'P20700')"
"('P67870', 'P35611')"
"('P01308', 'Q92569')"
"('Q14160', 'Q6P1M3')"
"('Q9UHD8', 'Q99459')"
"('Q9H251', 'O00159')"
"('P49841', 'Q12873')"
"('Q9BZI7', 'Q6DKK2')"
"('Q9UGP4', 'Q9NRM7')"
"('Q01201', 'P01574')"
"('Q9BX70', 'P68104')"
"('Q9P0M6', 'Q96DB2')"
"('P14625', 'P19388')"
"('P0CG12', 'O75554')"
"('P19532', 'Q9HB71')"
"('P62633', 'P18146')"
"('P63146', 'Q13432')"
"('Q9Y2C9', 'P16671')"
"('Q9H2G2', 'Q9ULH1')"
"('Q9BXY4', 'Q9H461')"
"('Q92583', 'P51679')"
"('Q15046', 'P04406')"
"('O75164', 'O43521')"
"('P61619', 'Q15714')"
"('Q8WXH5', 'P15509')"
"('Q9Y4K3', 'P0CG47')"
"('A0JLT2', 'Q96JH8')"
"('Q15393', 'Q15843')"
"('P49459', 'O75150')"
"('P02649', 'P06858')"
"('P13500', 'P46094')"
"('P23508', 'O15067')"
"('P61927', 'P40429')"
"('O60739', 'Q9GZZ1')"
"('P84022', 'P17844')"
"('P15502', 'P17931')"
"('P04637', 'Q9ULZ3')"
"('Q15382', 'Q13315')"
"('Q12849', 'Q9UET6')"
"('Q13753', 'P26006')"
"('P48039', 'Q15084')"
"('P23945', 'Q8NEU8')"
"('Q13554', 'P27815')"
"('O43633', 'Q9UN37')"
"('P14373', 'Q9H2F5')"
"('Q9UHD0', 'P15509')"
"('P11387', 'P46013')"
"('P83731', 'P47914')"
"('P21675', 'Q08999')"
"('Q13530', 'Q9H173')"
"('Q9Y5B9', 'Q99459')"
"('O94817', 'Q969H6')"
"('P50150', 'P40145')"
"('P68133', 'Q9H2F5')"
"('Q8N109', 'Q06124')"
"('Q8IVI9', 'Q05193')"
"('P29033', 'P08034')"
"('P17612', 'P46020')"
"('P27986', 'O43561')"
"('Q9NYB9', 'Q96F07')"
"('P22681', 'P32927')"
"('Q5T3J3', 'P04083')"
"('P80075', 'P49682')"
"('P25963', 'Q8IUD2')"
"('P60763', 'O75914')"
"('P20809', 'P78552')"
"('O00221', 'P28066')"
"('P25054', 'Q9H9E3')"
"('P01106', 'O60762')"
"('Q9UKW4', 'P78314')"
"('P78362', 'Q15287')"
"('P00441', 'Q13561')"
"('O43688', 'P46379')"
"('Q13573', 'Q7L014')"
"('Q00403', 'P19438')"
"('Q00987', 'P07949')"
"('Q14164', 'P61081')"
"('P49765', 'P22455')"
