negatives
"('Q8NAT1', 'P05067')"
"('Q12959', 'Q96PE1')"
"('P40855', 'Q8IZT6')"
"('Q9UMR2', 'Q9Y2U9')"
"('Q9NRC8', 'Q8N3C0')"
"('P29372', 'P03372')"
"('Q09472', 'P52292')"
"('Q9BZ29', 'O94817')"
"('Q8NEB9', 'P0DMV8')"
"('Q01113', 'Q92993')"
"('A5D8V6', 'Q7Z4N8')"
"('Q6P1L8', 'P49406')"
"('O95819', 'Q02878')"
"('Q9Y5Y5', 'P56589')"
"('Q13422', 'O43602')"
"('P05067', 'Q8NDX6')"
"('P20936', 'Q92574')"
"('P84022', 'Q8N5R6')"
"('P31947', 'Q86YD1')"
"('Q13509', 'Q9P289')"
"('Q49AN0', 'O95071')"
"('Q13813', 'P21333')"
"('P21980', 'P11413')"
"('Q15750', 'Q96JB5')"
"('P49841', 'Q16877')"
"('Q13323', 'Q9UNK0')"
"('Q9GZZ9', 'P30084')"
"('Q7Z7H8', 'Q00325')"
"('P26641', 'P17028')"
"('P09086', 'P04150')"
"('Q15717', 'P09923')"
"('P27701', 'P20701')"
"('Q9H7B2', 'Q9NRC8')"
"('Q13557', 'P07900')"
"('Q96B97', 'Q9NZM3')"
"('P62195', 'P43686')"
"('O43678', 'O95182')"
"('Q8WUB8', 'Q6STE5')"
"('P05023', 'P50990')"
"('Q9BYQ0', 'Q2WGJ6')"
"('Q9BXW4', 'Q9NS23')"
"('Q9NPA0', 'Q5J8M3')"
"('Q9UK33', 'Q7Z3S9')"
"('P47897', 'O95816')"
"('P60520', 'P18433')"
"('P04278', 'P04733')"
"('Q9BZD4', 'P23497')"
"('O95817', 'Q0VD86')"
"('O60264', 'P38398')"
"('P60709', 'P12931')"
"('P49368', 'Q14004')"
"('P24821', 'Q05397')"
"('P49427', 'Q9Y3I1')"
"('Q9BYV2', 'Q96GG9')"
"('O75909', 'P54253')"
"('Q8IYB3', 'P35659')"
"('Q9NYF3', 'O60504')"
"('O00506', 'Q8IYA8')"
"('Q8IX01', 'Q8N183')"
"('P31260', 'Q99853')"
"('Q8N5P1', 'P68400')"
"('Q9Y3Q4', 'Q9P1Z3')"
"('Q9BTL4', 'Q9NXX6')"
"('Q16512', 'P60033')"
"('Q8TBB1', 'P08183')"
"('P58658', 'Q9Y2P4')"
"('Q49AM3', 'P13284')"
"('Q5JUK2', 'Q03989')"
"('P62760', 'O00165')"
"('Q9H4E7', 'Q9ULK0')"
"('P51116', 'P38159')"
"('O94992', 'Q16665')"
"('Q01974', 'P86480')"
"('Q5T2N8', 'Q9BYG5')"
"('O95373', 'Q96KN7')"
"('Q9Y230', 'P50613')"
"('Q9HB07', 'Q9NR34')"
"('Q9P0U4', 'Q96Q07')"
"('O75818', 'O75817')"
"('P05106', 'P46109')"
"('P40933', 'P16471')"
"('Q9H7B4', 'P42694')"
"('Q9Y2R4', 'Q9NY61')"
"('Q96RU2', 'Q86VU5')"
"('Q8WWQ0', 'O94888')"
"('Q9NUJ1', 'Q15717')"
"('Q03135', 'Q06187')"
"('Q96SW2', 'Q9BQA1')"
"('P17028', 'Q8WV44')"
"('P25963', 'Q13748')"
"('Q96ED9', 'P15622')"
"('P22102', 'P04629')"
"('P23246', 'Q8WXK4')"
"('Q92621', 'Q9HCE1')"
"('Q9BXJ5', 'Q9BYV2')"
"('P47897', 'Q96KR1')"
"('Q14790', 'Q9UI38')"
"('P49674', 'Q15370')"
"('O95072', 'O60216')"
"('Q9UBS4', 'Q04323')"
"('Q9UBU9', 'Q9BTM9')"
"('P24158', 'P11215')"
"('Q7Z3I7', 'Q96BR9')"
"('P10321', 'Q07444')"
"('P68104', 'P05412')"
"('P35813', 'P32121')"
"('P52569', 'O95292')"
"('P68431', 'Q8N806')"
"('Q15466', 'P28702')"
"('Q9Y2W1', 'Q9UKB1')"
"('Q9NV96', 'Q99675')"
"('Q13643', 'Q15796')"
"('Q16543', 'Q14584')"
"('Q01844', 'P61956')"
"('Q13287', 'Q92985')"
"('Q9NWK9', 'Q9Y2G2')"
"('P03372', 'A6NMY6')"
"('P13639', 'P82675')"
"('P49736', 'P30153')"
"('P68431', 'P12004')"
"('P05412', 'Q01780')"
"('Q01105', 'Q96G74')"
"('Q9H6Y5', 'Q07157')"
"('Q96PP4', 'P40692')"
"('Q8IUH5', 'O15130')"
"('P13725', 'P10912')"
"('Q53EZ4', 'Q2TAK8')"
"('Q96B23', 'P63279')"
"('Q9UPN4', 'Q68CZ1')"
"('Q9BYW2', 'Q16695')"
"('Q96L91', 'O95400')"
"('P13645', 'Q93034')"
"('Q15717', 'P20810')"
"('P48775', 'P50222')"
"('O75420', 'P56915')"
"('O00560', 'P53365')"
"('O75925', 'Q9Y4K3')"
"('P25205', 'O15514')"
"('Q5TCX8', 'P56524')"
"('O00483', 'Q96A26')"
"('O15269', 'Q9NUV7')"
"('O75323', 'P11217')"
"('O00231', 'O43242')"
"('Q99759', 'Q9BSQ5')"
"('Q68EM7', 'Q9H4E5')"
"('Q9UHJ3', 'P17482')"
"('Q9HC29', 'Q8N697')"
"('O75800', 'Q9Y4K3')"
"('P11171', 'P49458')"
"('P06733', 'P23284')"
"('Q9UGN5', 'Q01664')"
"('Q9Y5J1', 'Q9BQ04')"
"('O95199', 'Q9BT78')"
"('Q9P2P5', 'Q96JM7')"
"('O75592', 'O00257')"
"('Q8N9N5', 'Q6PIV2')"
"('P62805', 'Q92830')"
"('P67775', 'P18146')"
"('Q15699', 'P07492')"
"('Q92905', 'Q9Y5X1')"
"('P33991', 'P33992')"
"('Q9UBU9', 'O95817')"
"('Q15527', 'P14373')"
"('P29474', 'Q92947')"
"('Q9H3K2', 'Q9C0B0')"
"('Q5SW79', 'Q9H672')"
"('Q9UL03', 'P19387')"
"('Q9Y3M2', 'Q9H2C0')"
"('Q13151', 'Q13247')"
"('Q8N3L3', 'Q6A163')"
"('P50222', 'P55273')"
"('Q8TC92', 'P49888')"
"('O15355', 'O00308')"
"('P17612', 'Q8NGC0')"
"('Q07001', 'O75360')"
"('P13010', 'P52294')"
"('O00159', 'P47755')"
"('P05141', 'Q7Z7K0')"
"('P62263', 'Q96L21')"
"('O15520', 'Q02763')"
"('O95274', 'Q9Y5Y0')"
"('O43818', 'Q12788')"
"('P63000', 'Q13546')"
"('P27694', 'Q9H2U1')"
"('P03372', 'Q7Z6E9')"
"('Q9UBV8', 'P06744')"
"('Q9UMY4', 'O43865')"
"('Q99418', 'P05107')"
"('Q96LA8', 'Q8NEC7')"
"('P84077', 'Q9NRW1')"
"('P41235', 'P10589')"
"('P62837', 'P42566')"
"('Q9BW85', 'P18146')"
"('Q92765', 'Q9NPG1')"
"('P01242', 'P52333')"
"('P12931', 'P98082')"
"('Q16659', 'Q9Y4R8')"
"('Q9UBW8', 'Q15843')"
"('Q15233', 'P00918')"
"('Q5EBL8', 'Q9NRM7')"
"('P62979', 'P09619')"
"('Q15046', 'P18621')"
"('P40429', 'Q92901')"
"('P62736', 'P19838')"
"('P01857', 'P35368')"
"('P12830', 'Q96B97')"
"('P84085', 'P19320')"
"('Q13490', 'P24864')"
"('Q16698', 'P51659')"
"('P35244', 'Q13148')"
"('O94776', 'P26358')"
"('Q9UM82', 'Q08379')"
"('Q9H0H5', 'O95613')"
"('Q9UMY4', 'P37802')"
"('P82930', 'Q12905')"
"('Q8NEY3', 'Q8IUQ4')"
"('Q14457', 'Q8WU20')"
"('Q9HCU4', 'P01375')"
"('Q15717', 'Q15428')"
"('Q16637', 'Q09028')"
"('Q9UGM1', 'Q96RQ1')"
"('P10644', 'O75386')"
"('P68363', 'O75643')"
"('P49703', 'Q8IWV7')"
"('Q96RT7', 'Q13748')"
"('Q8IWV8', 'O95156')"
"('Q9UHL3', 'P0C7A2')"
"('Q9NVI1', 'P49286')"
"('P13612', 'Q8N983')"
"('P26368', 'P52756')"
"('P21580', 'Q14164')"
"('O14639', 'Q9HD40')"
"('P31943', 'P49407')"
"('P63244', 'Q02156')"
"('P31153', 'P04632')"
"('P25786', 'P60520')"
"('Q6UXV4', 'Q8IXI2')"
"('P40937', 'Q8N0Z3')"
"('Q96GY3', 'P10243')"
"('P57772', 'Q9H9Y6')"
"('Q9P013', 'P60763')"
"('P02775', 'Q92879')"
"('P41250', 'P48163')"
"('Q86X51', 'Q9BUZ4')"
"('O15382', 'O43889')"
"('Q8WUI4', 'Q9BTM1')"
"('P03905', 'O15239')"
"('Q9Y3A0', 'Q9Y2Z9')"
"('Q15554', 'O95271')"
"('Q15047', 'Q9NPA5')"
"('P38398', 'Q04727')"
"('Q9UBU9', 'P50542')"
"('Q16666', 'Q13895')"
"('P02675', 'O75364')"
"('O14978', 'Q8NF99')"
"('Q99757', 'P63010')"
"('P33552', 'Q8IU85')"
"('Q9BRT9', 'P08559')"
"('Q9Y2Q3', 'Q9UBB6')"
"('Q01094', 'Q9Y5K5')"
"('Q5JUW0', 'Q9H061')"
"('Q92569', 'P57078')"
"('Q5JR59', 'Q15398')"
"('Q92845', 'Q5TZK3')"
"('O60508', 'Q9BQ65')"
"('O60674', 'P07947')"
"('P50222', 'Q92688')"
"('O75530', 'Q9Y2R4')"
"('P62701', 'P30050')"
"('P00533', 'O43175')"
"('P50990', 'Q04206')"
"('P21291', 'P35658')"
"('P40197', 'O00459')"
"('P09874', 'P12004')"
"('Q9H4G0', 'P28070')"
"('O14757', 'P09884')"
"('P02679', 'P06756')"
"('Q13387', 'O95777')"
"('Q5T5U3', 'P63172')"
"('Q9H5K3', 'Q9Y6A1')"
"('Q8N1G0', 'Q92610')"
"('Q13554', 'Q14524')"
"('Q8WV44', 'Q9NYW8')"
"('Q99766', 'Q6P1M3')"
"('P06733', 'Q6P1J9')"
"('P11532', 'P05067')"
"('P24941', 'P14174')"
"('Q14257', 'Q9BY84')"
"('Q9NRX2', 'P62266')"
"('P09923', 'O00716')"
"('Q9BZE4', 'P17844')"
"('P42768', 'P49792')"
"('Q9Y478', 'P18077')"
"('P17302', 'A6NHL2')"
"('Q9Y383', 'Q9UKV3')"
"('Q16778', 'Q9UBL3')"
"('Q9BRX9', 'O14492')"
"('P11802', 'Q12931')"
"('O14828', 'Q9BV68')"
"('O00206', 'Q9NPH5')"
"('Q96KB5', 'P05412')"
"('P54253', 'Q969X2')"
"('P12830', 'P22061')"
"('P63173', 'Q9H492')"
"('P08238', 'Q14764')"
"('P27824', 'P41143')"
"('Q58EX7', 'Q9H788')"
"('P62993', 'P62263')"
"('Q8NDP4', 'A8MQ03')"
"('O95619', 'P06703')"
"('P49770', 'Q92499')"
"('Q99578', 'P55196')"
"('O95696', 'P27635')"
"('Q86SE9', 'P42694')"
"('Q3B820', 'Q6NT76')"
"('A1L190', 'Q5XKE5')"
"('P62736', 'Q5S007')"
"('P29460', 'P00533')"
"('P51858', 'P40938')"
"('Q9UBD9', 'P14784')"
"('Q13630', 'Q6UWP2')"
"('Q13064', 'Q3SY00')"
"('Q70EL2', 'Q9UKM9')"
"('P00533', 'Q9Y6R0')"
"('P05067', 'Q9Y5A6')"
"('O75147', 'Q14525')"
"('Q99750', 'Q03989')"
"('P27635', 'Q9HC52')"
"('Q96AE7', 'Q9NRD1')"
"('Q9BYR8', 'A8MQ03')"
"('Q9BQ67', 'O15355')"
"('P19387', 'A0JLT2')"
"('Q12769', 'Q9BTM9')"
"('O76074', 'Q9NXC5')"
"('P19338', 'Q9UH65')"
"('Q15006', 'Q14527')"
"('P11309', 'Q14980')"
"('O75494', 'Q99728')"
"('Q02750', 'Q16236')"
"('Q5T7N2', 'Q9H2D6')"
"('Q3KQU3', 'Q5SW79')"
"('Q9UHV8', 'Q9UKS6')"
"('P16220', 'Q9NPA2')"
"('P04629', 'Q9Y4W2')"
"('Q92754', 'Q76M96')"
"('P46734', 'P53779')"
"('P78318', 'Q92783')"
"('P07203', 'Q9Y6E7')"
"('O14495', 'P55072')"
"('Q9Y6C2', 'Q6ISS4')"
"('P04637', 'Q9BXH1')"
"('P83916', 'Q13263')"
"('P99999', 'O14732')"
"('P25490', 'Q9P0K8')"
"('Q8IW93', 'P60953')"
"('P63000', 'O14986')"
"('Q15811', 'Q8TBA6')"
"('Q9HAU4', 'Q14896')"
"('Q9NYG5', 'Q9NR09')"
"('P48067', 'Q86X19')"
"('P0DP25', 'Q9UKE5')"
"('P25398', 'P23396')"
"('O75312', 'Q7Z422')"
"('Q9H2F3', 'P50222')"
"('Q9Y5Z0', 'Q9UJY4')"
"('Q9UBH6', 'P33176')"
"('P62241', 'Q9Y3U8')"
"('Q8ND25', 'Q969U6')"
"('Q9BWG6', 'Q8TF50')"
"('P29400', 'P40337')"
"('Q9BQ66', 'P60410')"
"('Q05209', 'O14662')"
"('O43175', 'Q13043')"
"('Q309B1', 'P29466')"
"('Q9NYV4', 'Q6P1J9')"
"('P84103', 'Q01860')"
"('Q6P2Q9', 'Q8WXK1')"
"('P41208', 'Q6PD62')"
"('Q14195', 'P43246')"
"('P06239', 'P16885')"
"('Q9BYQ4', 'Q8TCT0')"
"('O75934', 'Q16610')"
"('P09874', 'Q5TC82')"
"('Q9ULX6', 'Q7L5A3')"
"('P14735', 'P22695')"
"('P54652', 'P05412')"
"('Q96SI1', 'O43768')"
"('Q13573', 'Q68E01')"
"('P10244', 'Q09028')"
"('P36543', 'P26651')"
"('P49662', 'Q9BVK8')"
"('Q16637', 'Q13243')"
"('P05141', 'P62913')"
"('P18754', 'P57078')"
"('Q8WXD5', 'P81274')"
"('Q9C009', 'O00442')"
"('Q15831', 'Q9UNE7')"
"('Q14195', 'P50502')"
"('Q9UKR5', 'P51114')"
"('Q86X76', 'P39880')"
"('Q9BXS5', 'Q9NP64')"
"('Q15942', 'Q96AC1')"
"('Q9Y5A9', 'Q13618')"
"('P23276', 'Q01844')"
"('P05771', 'Q8NEM2')"
"('Q99496', 'O00267')"
"('P05089', 'P35244')"
"('Q16706', 'Q9BVK6')"
"('P24385', 'P06858')"
"('Q8N0Z2', 'O94929')"
"('Q13233', 'P25686')"
"('P27797', 'P60201')"
"('Q9NYM9', 'O15498')"
"('P38936', 'P16401')"
"('Q15020', 'Q9Y2D5')"
"('P17252', 'P17812')"
"('Q02156', 'P63244')"
"('P62857', 'P68431')"
"('Q8IWZ6', 'P50991')"
"('P04141', 'P19235')"
"('O43508', 'Q12933')"
"('Q9Y385', 'Q92813')"
"('P55268', 'O00459')"
"('P62333', 'Q9C0C7')"
"('Q8N616', 'P06729')"
"('Q96CW1', 'P63010')"
"('P53701', 'O95297')"
"('Q13546', 'O00635')"
"('Q13506', 'Q9HC77')"
"('P38432', 'O60341')"
"('Q15047', 'Q13568')"
"('P09012', 'P18206')"
"('P35998', 'P25789')"
"('Q9BYQ4', 'Q6L8G8')"
"('Q13123', 'Q8TCG1')"
"('Q5T3J3', 'Q02363')"
"('Q9BUF5', 'Q15051')"
"('P04629', 'Q8N3P4')"
"('P28066', 'P02751')"
"('Q92905', 'Q02413')"
"('P05090', 'Q9BSE2')"
"('O00567', 'Q96QE3')"
"('O43918', 'Q92616')"
"('O76064', 'P06899')"
"('Q86YV6', 'Q92905')"
"('Q13618', 'P63151')"
"('P19878', 'P04899')"
"('Q9UKX7', 'Q92621')"
"('P07384', 'P12955')"
"('P18858', 'O14965')"
"('O15066', 'Q92845')"
"('P07199', 'Q96CV9')"
"('Q96PU4', 'P24864')"
"('Q9H8Y8', 'Q9BVG8')"
"('Q6NUS6', 'Q00765')"
"('Q71UI9', 'Q08945')"
"('O15438', 'Q9Y277')"
"('Q14166', 'Q96FW1')"
"('Q6FHJ7', 'Q9ULW2')"
"('Q9BV73', 'Q5JTW2')"
"('Q16401', 'O00487')"
"('P62277', 'P83731')"
"('P68104', 'Q13619')"
"('Q9NR48', 'Q9NPB6')"
"('P0DP25', 'Q13555')"
"('O00541', 'O43684')"
"('Q13535', 'Q5TCZ1')"
"('P07948', 'Q9H9A5')"
"('Q9P253', 'Q9UMS6')"
"('P78383', 'Q92609')"
"('Q15573', 'Q16777')"
"('P13995', 'O00299')"
"('Q13449', 'P42858')"
"('Q13617', 'O43474')"
"('Q96CV9', 'Q9BS34')"
"('Q8IY26', 'Q9BVX2')"
"('P04637', 'Q9NY65')"
"('P35626', 'Q8NGD1')"
"('Q9Y2I6', 'O95684')"
"('Q14676', 'O43175')"
"('Q15738', 'P04798')"
"('O75027', 'P05067')"
"('P00533', 'Q14318')"
"('Q9UK80', 'O75420')"
"('Q8IVD9', 'Q96M94')"
"('P46781', 'P60866')"
"('Q9P246', 'P06865')"
"('Q13469', 'Q16666')"
"('P38398', 'P35250')"
"('P46531', 'Q92974')"
"('P31040', 'Q9P2R7')"
"('Q9P2K2', 'P23284')"
"('Q9Y5M8', 'Q15714')"
"('P19320', 'Q8WWM7')"
"('P55157', 'P51398')"
"('Q7Z417', 'P28799')"
"('Q9UBE0', 'O75665')"
"('P22090', 'P23396')"
"('P19525', 'P46087')"
"('Q9H1Y0', 'P55072')"
"('P50548', 'P55345')"
"('Q01860', 'Q14573')"
"('P23297', 'Q9GZT8')"
"('Q14004', 'Q58FG1')"
"('O95758', 'P18077')"
"('Q9Y6W8', 'Q03154')"
"('P84103', 'Q9UI30')"
"('Q92963', 'O00458')"
"('P17655', 'P62258')"
"('Q969H0', 'O96020')"
"('Q04864', 'Q5VZI3')"
"('Q9P2R3', 'P34947')"
"('P05388', 'P05387')"
"('P61106', 'Q01968')"
"('Q71RC2', 'Q9BV68')"
"('Q96GD4', 'P42704')"
"('P28749', 'P29323')"
"('Q9GZS1', 'O00425')"
"('Q9Y230', 'Q9NSA3')"
"('Q8WWW0', 'Q9UK41')"
"('Q9H4I2', 'Q01664')"
"('Q04323', 'O15347')"
"('P62701', 'Q9H2C0')"
"('Q6UVJ0', 'Q99871')"
"('P42025', 'Q13618')"
"('P27361', 'P39877')"
"('Q8TDD1', 'Q13206')"
"('Q15365', 'P07550')"
"('Q15139', 'P23141')"
"('P09629', 'Q6ZT12')"
"('Q6EEV4', 'Q9BWH6')"
"('Q6NVY1', 'P55795')"
"('Q86U38', 'Q8N8Q3')"
"('Q9H2F5', 'O95619')"
"('P07814', 'Q00653')"
"('P62993', 'Q96RD6')"
"('P21817', 'P62942')"
"('P40337', 'Q9NR31')"
"('Q9Y3U8', 'P62269')"
"('P60228', 'O00303')"
"('Q14031', 'P56199')"
"('P30304', 'Q14004')"
"('Q13315', 'Q96GE4')"
"('Q9ULV4', 'O95466')"
"('Q6ZVK8', 'O95073')"
"('P14555', 'Q9GZR1')"
"('O15075', 'Q14966')"
"('Q14207', 'Q9BQA5')"
"('Q13563', 'P08240')"
"('P52294', 'O43660')"
"('Q15459', 'P61088')"
"('P55290', 'Q06609')"
"('P21583', 'P17948')"
"('Q01844', 'Q99816')"
"('O75084', 'P62166')"
"('P46782', 'P35268')"
"('Q9BT25', 'Q9NVX0')"
"('Q13509', 'Q14527')"
"('Q8IZP0', 'Q8IYB3')"
"('Q9BVN2', 'O75603')"
"('Q6NUN9', 'P62280')"
"('Q86YD3', 'Q9H4M9')"
"('Q8N5N7', 'Q2NL82')"
"('Q8TDB4', 'P00533')"
"('P08631', 'Q13905')"
"('P61289', 'P42771')"
"('Q15942', 'Q8WWV3')"
"('Q13200', 'Q9Y468')"
"('P46108', 'P13647')"
"('Q16864', 'P14866')"
"('Q9UBW7', 'P34932')"
"('P26447', 'Q8TAP6')"
"('P17612', 'Q15149')"
"('Q13009', 'Q07890')"
"('P32121', 'P62316')"
"('Q13315', 'Q9H9B1')"
"('O60271', 'Q6IN85')"
"('Q15007', 'Q15750')"
"('P48730', 'Q96A00')"
"('P49407', 'Q8TEY7')"
"('P22392', 'P15531')"
"('Q00535', 'P12004')"
"('O95425', 'Q9NR12')"
"('P19404', 'Q9UI09')"
"('Q9Y248', 'Q96AC1')"
"('P63172', 'Q5T5U3')"
"('P04637', 'Q9NPP4')"
"('P14866', 'P49411')"
"('Q15392', 'P0C7P0')"
"('Q13398', 'Q13263')"
"('Q9BYQ2', 'P60370')"
"('Q13257', 'Q9UJX5')"
"('Q99497', 'Q92769')"
"('Q8TF46', 'Q15024')"
"('P51965', 'P36406')"
"('Q9NUQ3', 'Q8TF74')"
"('Q4VC12', 'Q86YD7')"
"('O14544', 'Q9H4B6')"
"('P00519', 'O75688')"
"('P30260', 'P60484')"
"('P27694', 'Q9H9Y6')"
"('Q13155', 'P14868')"
"('O00459', 'P51681')"
"('Q13829', 'Q96HA8')"
"('P08238', 'P07333')"
"('P33991', 'P68431')"
"('P21810', 'O00206')"
"('P04083', 'Q9Y600')"
"('Q58FF7', 'P11441')"
"('Q96SN8', 'Q15022')"
"('Q9Y6A5', 'P04629')"
"('P51970', 'P01106')"
"('Q8N2X6', 'P36406')"
"('P42229', 'P11309')"
"('P09630', 'P25054')"
"('P43360', 'P62714')"
"('Q7Z7F7', 'Q9NQ50')"
"('Q8N423', 'P05534')"
"('Q01543', 'Q13351')"
"('O75608', 'P40337')"
"('Q9BT73', 'Q99436')"
"('O95751', 'Q9NX04')"
"('Q13895', 'Q15303')"
"('Q13177', 'Q15796')"
"('Q9NXX6', 'Q03181')"
"('P10276', 'P53779')"
"('Q9Y3A3', 'O75533')"
"('P57740', 'Q53GS7')"
"('Q9BSJ2', 'Q9H4B6')"
"('Q96SB4', 'Q96MU7')"
"('Q96N38', 'Q8N653')"
"('O60216', 'P24752')"
"('Q14194', 'P82930')"
"('Q96GY3', 'Q14188')"
"('P00441', 'Q9Y680')"
"('P49916', 'P61289')"
"('P38398', 'Q9H0A0')"
"('Q9NWD8', 'Q8TE77')"
"('Q6AI12', 'Q8N3D4')"
"('P30518', 'Q13596')"
"('P50452', 'Q01518')"
"('P29508', 'P25788')"
"('Q96FF9', 'O00429')"
"('Q8N9F7', 'P68871')"
"('Q6ZRR9', 'Q71U36')"
"('Q15910', 'Q12906')"
"('P62910', 'Q9NR30')"
"('Q9NUX5', 'Q86WR7')"
"('P10275', 'P06396')"
"('Q5S007', 'P43243')"
"('Q6PJ69', 'Q05086')"
"('P22314', 'P48039')"
"('O14788', 'P68104')"
"('P15311', 'P26038')"
"('P40855', 'Q96NR8')"
"('P22607', 'P01111')"
"('Q2M1P5', 'Q9HC77')"
"('Q7L2H7', 'P08238')"
"('Q9NPJ6', 'O43617')"
"('Q16401', 'Q92845')"
"('Q6AI12', 'Q96CW5')"
"('Q7Z4Q2', 'P01106')"
"('Q6PGP7', 'P06748')"
"('O00170', 'O00408')"
"('P09769', 'P98077')"
"('P05067', 'O60664')"
"('P09661', 'Q13435')"
"('Q9BSI4', 'Q15554')"
"('Q9Y371', 'Q9NR46')"
"('P04424', 'Q12889')"
"('P38936', 'P06493')"
"('Q6FI13', 'Q96DB2')"
"('P25398', 'P61313')"
"('Q3LI64', 'O14558')"
"('Q5TD97', 'O96015')"
"('Q96MX6', 'Q15435')"
"('Q9UL18', 'Q04206')"
"('Q6ZNG1', 'P49716')"
"('Q9UKS6', 'Q9BY11')"
"('O43581', 'O60506')"
"('P60896', 'Q7Z3V4')"
"('P23508', 'P05783')"
"('Q15154', 'O95235')"
"('Q9HCM7', 'Q8N488')"
"('Q9H5F2', 'Q9UBV8')"
"('P57075', 'P61221')"
"('A8MQ03', 'P48645')"
"('Q92793', 'Q01201')"
"('Q96EB6', 'Q9Y4H2')"
"('P08172', 'Q99961')"
"('Q9H307', 'Q96DB2')"
"('Q96EB1', 'O95163')"
"('P18031', 'O14939')"
"('Q04837', 'P36543')"
"('P46940', 'P23528')"
"('Q9Y6Y0', 'P61978')"
"('P49760', 'P49761')"
"('P19784', 'O75400')"
"('Q9BYV2', 'O95678')"
"('O95218', 'O43865')"
"('Q9P032', 'O75439')"
"('Q9Y388', 'P06748')"
"('P31269', 'Q9H7Z6')"
"('Q9NPA0', 'Q86X19')"
"('Q9Y696', 'Q99436')"
"('P00740', 'P03951')"
"('Q6ISS4', 'Q9Y6C2')"
"('Q9NX58', 'P46781')"
"('Q9Y4C8', 'Q8TED0')"
"('Q9Y2X3', 'Q14137')"
"('P01100', 'Q02930')"
"('P13612', 'P35268')"
"('P01106', 'Q6XE24')"
"('O00628', 'Q9H2J4')"
"('P04181', 'Q9HAN9')"
"('Q9UI95', 'Q9UBZ9')"
"('P41221', 'Q9H1J7')"
"('Q14676', 'Q92878')"
"('P40222', 'Q9NS73')"
"('Q9H871', 'Q9UL63')"
"('P39023', 'Q02878')"
"('P53803', 'P52435')"
"('P50221', 'Q9H6Z4')"
"('Q8IVT5', 'Q96A33')"
"('Q16531', 'Q9BTE7')"
"('P49407', 'O43869')"
"('Q14566', 'P62805')"
"('O75530', 'O75691')"
"('P18146', 'Q00887')"
"('Q96EB6', 'Q99755')"
"('Q6P1K2', 'Q96EQ0')"
"('P46379', 'P49841')"
"('Q96LR2', 'P48730')"
"('P17612', 'P27448')"
"('Q504T8', 'O95257')"
"('Q16619', 'Q99062')"
"('Q9Y5V3', 'O60477')"
"('P35908', 'Q13618')"
"('P50616', 'P61978')"
"('Q86Y97', 'O43586')"
"('P05412', 'P20671')"
"('Q92626', 'P40200')"
"('Q13398', 'A6NFI3')"
"('Q6NUS6', 'Q53FV1')"
"('Q9NRC8', 'P46782')"
"('Q13617', 'P12955')"
"('O60721', 'P06241')"
"('Q8NFH5', 'Q9BTX1')"
"('Q92734', 'P31151')"
"('Q04206', 'P51531')"
"('O15027', 'Q15051')"
"('P49902', 'Q96K17')"
"('P68104', 'Q8IYB3')"
"('Q9HAT0', 'O60504')"
"('O95751', 'O14966')"
"('P28482', 'Q9H8V3')"
"('Q13029', 'Q01094')"
"('Q8N3V7', 'P28289')"
"('P17612', 'Q9UNY4')"
"('Q9H4I9', 'P32249')"
"('O43303', 'P25189')"
"('Q99459', 'O75116')"
"('Q9NXH9', 'Q86WV1')"
"('O94826', 'P26599')"
"('Q13617', 'P62316')"
"('O75438', 'P03905')"
"('Q8IVT2', 'Q08379')"
"('O14975', 'Q8NBT2')"
"('Q99816', 'P04155')"
"('P48039', 'P12814')"
"('Q92985', 'O75398')"
"('P29375', 'O75182')"
"('O15344', 'P62837')"
"('Q96H20', 'Q9Y4G6')"
"('Q8N0X7', 'Q9H2P9')"
"('Q9UN70', 'Q96ES6')"
"('Q99814', 'P60228')"
"('Q16621', 'P57086')"
"('Q13901', 'Q96B26')"
"('P15336', 'Q9NQC3')"
"('O60307', 'Q6IQ23')"
"('P51571', 'Q86VP6')"
"('P27216', 'Q96CW5')"
"('Q9C0C7', 'P60900')"
"('Q15910', 'P51808')"
"('P22612', 'Q8NH90')"
"('P41162', 'Q6UX06')"
"('Q15637', 'Q9NSD9')"
"('O75208', 'O96008')"
"('P46776', 'P24941')"
"('Q96KQ7', 'Q9BSU3')"
"('P49674', 'O15078')"
"('Q96B97', 'Q00610')"
"('Q9Y6K9', 'O14802')"
"('O43715', 'Q9Y3B1')"
"('Q96DN5', 'Q49A88')"
"('Q9Y2G2', 'P51587')"
"('P05198', 'P06748')"
"('Q92793', 'P31260')"
"('A4D2G3', 'P62873')"
"('Q99459', 'P62195')"
"('P98194', 'P04629')"
"('Q16778', 'P25440')"
"('P02778', 'P27487')"
"('P17405', 'Q2TAA5')"
"('P33992', 'Q93077')"
"('Q13243', 'O14980')"
"('P51452', 'O60238')"
"('Q676U5', 'Q9UBU9')"
"('O43915', 'P08138')"
"('O14508', 'P51692')"
"('Q9Y297', 'Q96RT1')"
"('Q96EY1', 'Q13418')"
"('Q9ULA0', 'Q68CZ2')"
"('Q99741', 'Q9H3R0')"
"('P15018', 'P14784')"
"('Q15276', 'Q9UKL0')"
"('Q9BVJ6', 'Q15397')"
"('Q8NF91', 'Q99459')"
"('Q15904', 'P05129')"
"('Q9Y679', 'O15269')"
"('P30304', 'P50750')"
"('Q9NX58', 'Q8IWS0')"
"('Q9HBZ2', 'O15162')"
