negatives
"('P18850', 'Q68CJ9')"
"('P61981', 'Q9UJF2')"
"('Q9UBN7', 'P17252')"
"('Q9BZZ5', 'Q9UKV3')"
"('O15264', 'P01100')"
"('P30305', 'Q08050')"
"('P26368', 'P51991')"
"('Q15435', 'P31749')"
"('P17612', 'Q13733')"
"('Q15008', 'Q9NVI7')"
"('Q07812', 'Q09472')"
"('P18124', 'P46776')"
"('Q8NI35', 'O00254')"
"('P30519', 'Q9Y3C7')"
"('A6NIT4', 'Q9HBE5')"
"('Q13247', 'Q15365')"
"('P01034', 'P0C0L4')"
"('P22681', 'Q9UHF4')"
"('P30876', 'Q9NX70')"
"('P01236', 'P42701')"
"('P14678', 'Q14204')"
"('Q3ZCM7', 'O43237')"
"('P63151', 'Q92736')"
"('A5YKK6', 'P78543')"
"('Q9P2I0', 'P62136')"
"('P01889', 'P20618')"
"('P16949', 'P30480')"
"('Q86W42', 'Q8NI27')"
"('Q9NYG5', 'Q9UM11')"
"('Q9NYL9', 'Q9BVJ7')"
"('Q5T764', 'P60228')"
"('Q8IY92', 'P08709')"
"('Q9Y2X8', 'Q9NZS9')"
"('O15055', 'P48730')"
"('P35916', 'P46109')"
"('Q9Y4K3', 'P46781')"
"('Q9Y2T4', 'Q9GZV5')"
"('P07910', 'P16104')"
"('P02751', 'P40337')"
"('P78537', 'Q96ES7')"
"('P49427', 'Q9P0S9')"
"('P62979', 'Q9Y2H0')"
"('P15153', 'O94929')"
"('O75582', 'P16220')"
"('P35398', 'Q09472')"
"('Q5T3J3', 'Q9Y3A3')"
"('P05019', 'P35916')"
"('P67809', 'P14866')"
"('Q9P2H0', 'Q13352')"
"('Q9Y508', 'P27361')"
"('Q96CN9', 'Q9Y2I6')"
"('P08581', 'P01111')"
"('P02786', 'B0I1T2')"
"('P29350', 'P15529')"
"('Q7Z434', 'Q13158')"
"('P51692', 'Q13882')"
"('Q9NWB1', 'O14641')"
"('P05129', 'P18564')"
"('Q6ZRQ5', 'Q96BK5')"
"('Q9H1I8', 'Q9P2J2')"
"('Q8WUA2', 'Q99717')"
"('O00541', 'P49407')"
"('Q13503', 'Q9NX70')"
"('Q9UI08', 'P08631')"
"('Q9P2W9', 'Q12981')"
"('P06576', 'Q16637')"
"('P20248', 'P10244')"
"('O75365', 'O95816')"
"('P62273', 'P62857')"
"('P63279', 'P15104')"
"('Q9BYE9', 'Q6P0Q8')"
"('Q8NHQ1', 'Q6P1J9')"
"('Q9UNQ2', 'Q9Y5V3')"
"('Q96IF1', 'Q9Y4K3')"
"('P31946', 'Q8N3F8')"
"('O95298', 'O43676')"
"('Q99963', 'Q99962')"
"('Q9UBS4', 'P08107')"
"('Q969Y2', 'Q07890')"
"('P31152', 'P51812')"
"('Q7L5N1', 'P55210')"
"('Q15714', 'Q13619')"
"('P42574', 'Q9BYP7')"
"('O15173', 'Q14164')"
"('P10828', 'A5YKK6')"
"('Q9Y478', 'P55786')"
"('Q16513', 'P62993')"
"('O00308', 'Q9BTC0')"
"('Q6IF63', 'P38405')"
"('P16104', 'Q92878')"
"('O14492', 'P22681')"
"('Q9NZ63', 'O00267')"
"('P56537', 'O43427')"
"('407019', 'Q9Y5Y6')"
"('P48736', 'P29992')"
"('O15534', 'Q49AN0')"
"('O15169', 'P20823')"
"('Q8N257', 'P16401')"
"('Q9BVP2', 'P04637')"
"('O43741', 'Q16877')"
"('P49321', 'Q71DI3')"
"('Q9UBD3', 'P51685')"
"('P33993', 'P60520')"
"('Q13368', 'Q8WV44')"
"('O00222', 'P63096')"
"('P51991', 'Q8IX12')"
"('P12111', 'P23229')"
"('Q8TBB1', 'Q12933')"
"('P06730', 'P42704')"
"('Q9Y5J3', 'P12757')"
"('P18825', 'Q14344')"
"('P04637', 'P06400')"
"('P41159', 'P26992')"
"('O95402', 'Q96RN5')"
"('P01106', 'P05023')"
"('Q9ULD4', 'P27986')"
"('P25963', 'P51617')"
"('P59768', 'P40145')"
"('Q13349', 'Q9HB31')"
"('O75334', 'Q99459')"
"('P05556', 'P22694')"
"('Q9NRR5', 'Q8WV48')"
"('Q7Z6B0', 'Q01844')"
"('P46020', 'P11216')"
"('Q2I0M4', 'Q14164')"
"('Q9P2S5', 'P11177')"
"('P23528', 'P60174')"
"('P46779', 'P62424')"
"('P67775', 'O43521')"
"('Q14164', 'Q9UL25')"
"('P35227', 'P51784')"
"('Q86Y01', 'Q09472')"
"('Q16537', 'P30154')"
"('Q2TB90', 'P14618')"
"('Q08050', 'P29084')"
"('Q9HBI1', 'Q15052')"
"('P16188', 'P30450')"
"('Q9BUJ2', 'Q86V81')"
"('P06400', 'Q8TDY2')"
"('Q05193', 'Q99961')"
"('Q9BY11', 'P03928')"
"('Q15329', 'O95661')"
"('P05556', 'Q9NVD7')"
"('Q13233', 'P60709')"
"('Q9UK08', 'P45984')"
"('P32121', 'A6NL26')"
"('P05771', 'Q06710')"
"('O15198', 'Q5XPI4')"
"('P22626', 'O60508')"
"('Q15788', 'O43909')"
"('P52272', 'Q00839')"
"('P16104', 'Q9UBN7')"
"('O94817', 'Q9HCE1')"
"('Q02779', '84451')"
"('O95267', 'P01116')"
"('P25054', 'Q96GD4')"
"('P16104', 'P29401')"
"('P31947', 'Q12788')"
"('Q9Y258', 'P51677')"
"('P27348', 'Q4FZB7')"
"('P20916', 'P04156')"
"('Q9UPN9', 'O43439')"
"('Q9Y2T4', 'P51617')"
"('P05997', 'P08648')"
"('Q6P1J6', 'Q09013')"
"('P50453', 'Q5T3J3')"
"('P63104', 'P07814')"
"('Q15652', 'P24522')"
"('P63261', 'P16871')"
"('P60709', 'P45973')"
"('P18754', 'Q9Y478')"
"('Q9Y3D7', 'Q6QNY1')"
"('P51965', 'O95071')"
"('P00533', 'P78527')"
"('P15336', 'P01574')"
"('P05129', 'Q9GZQ8')"
"('Q9NYY3', 'O95163')"
"('Q96T58', 'P27986')"
"('P25205', 'Q99741')"
"('Q96HR8', 'P27824')"
"('Q9HC52', 'P84243')"
"('Q96BY2', 'Q9NRR5')"
"('Q9NWB1', 'P57723')"
"('O00212', 'P36897')"
"('Q15910', 'Q13387')"
"('Q86X95', 'Q9UBG7')"
"('P45985', 'Q14315')"
"('P45983', 'P42229')"
"('Q9UHD0', 'P10912')"
"('O94979', 'O95486')"
"('P21266', 'P01241')"
"('P50150', 'Q01970')"
"('Q03518', 'Q03519')"
"('P22612', 'Q9UD71')"
"('P13797', 'P01889')"
"('Q9H8Y8', 'Q08379')"
"('P05000', 'Q14626')"
"('P10767', 'P00533')"
"('Q14204', 'Q13573')"
"('Q86XI6', 'P54840')"
"('Q8WYA6', 'P61978')"
"('Q13064', 'Q13404')"
"('P62910', 'P62917')"
"('Q9H0M0', 'Q15303')"
"('P51884', 'P48023')"
"('Q9BVA1', 'P20333')"
"('Q68CP9', 'Q6STE5')"
"('P20290', 'Q96BK5')"
"('Q96B02', 'Q9BY78')"
"('P11717', 'Q9UJY5')"
"('P31946', 'Q9UQC2')"
"('O14654', 'P48039')"
"('P62993', 'P0CG48')"
"('P30480', 'P31689')"
"('Q8NI29', 'Q13616')"
"('P59768', 'Q08462')"
"('Q04206', 'Q92830')"
"('P63211', 'P45984')"
"('Q8IZI9', 'P32927')"
"('P01106', 'Q9UBC3')"
"('P08174', 'P06241')"
"('Q8TF46', 'O60573')"
"('P07900', 'Q13131')"
"('Q8N5V2', 'Q9H5J8')"
"('P20273', 'O60880')"
"('Q13277', 'O95405')"
"('Q9BPX5', 'Q9Y4R7')"
"('Q92621', 'Q8TEM1')"
"('P62140', 'Q16821')"
"('Q9UFC0', 'Q13573')"
"('P50991', 'Q13233')"
"('P48039', 'O00264')"
"('407043', 'Q13153')"
"('Q13315', 'Q9NQ84')"
"('P55774', 'P68104')"
"('Q96EL2', 'Q9NY93')"
"('Q9P1A6', 'P62993')"
"('Q15149', 'P53680')"
"('O95793', 'P62753')"
"('O60262', 'Q8NFM4')"
"('P49918', 'P24941')"
"('O14610', 'Q92806')"
"('P01106', 'P19338')"
"('Q13547', 'P10828')"
"('P60709', 'Q8TDR0')"
"('P29322', 'P48736')"
"('P17706', 'P42224')"
"('Q9UET6', 'P61254')"
"('P01275', 'P47871')"
"('Q9UBI6', 'Q08828')"
"('Q15942', 'P41220')"
"('O95750', 'P29317')"
"('Q969Q1', 'P19429')"
"('Q9P2G9', 'P26368')"
"('Q15759', 'P15336')"
"('P12931', 'Q03135')"
"('Q92574', 'P61981')"
"('O43493', 'Q9H2G2')"
"('Q32MK0', 'P62993')"
"('Q9UN86', 'Q04206')"
"('Q8N157', 'Q9NRG4')"
"('P49841', 'Q92837')"
"('Q10586', 'P12956')"
"('O15379', 'P40763')"
"('P49327', 'O15264')"
"('407007', 'P03956')"
"('P61026', 'Q15717')"
"('Q07352', 'P68402')"
"('Q13347', 'P01241')"
"('P27361', 'P46734')"
"('Q15843', 'Q05639')"
"('Q13526', 'Q9UKT4')"
"('Q9ULV8', 'O14933')"
"('P05388', 'P40429')"
"('Q07912', 'Q02543')"
"('Q9UJX3', 'Q99459')"
"('Q9UBM7', 'Q13418')"
"('Q13432', 'O60341')"
"('P55957', 'Q9Y4G2')"
"('Q10586', 'Q12873')"
"('Q99623', 'Q9Y4K3')"
"('Q5SZQ8', 'Q15365')"
"('Q8WX92', 'P55157')"
"('P51948', 'P24385')"
"('P00748', 'P00747')"
"('A8K6C2', 'Q6UXL0')"
"('Q13765', 'P16104')"
"('P01106', 'Q9Y5Q9')"
"('Q01094', 'P14635')"
"('Q00987', 'Q9H832')"
"('Q13315', 'Q8N4S9')"
"('P62993', 'P05783')"
"('P62807', 'O94817')"
"('O95433', 'P55287')"
"('P36897', 'Q9NPB6')"
"('Q86V81', 'P16104')"
"('O14640', 'Q9NYF0')"
"('P54619', 'O95822')"
"('Q12906', 'Q15654')"
"('P10914', 'Q13568')"
"('Q9UJX3', 'O95997')"
"('P62136', 'Q8IWU2')"
"('P17612', 'Q9HBA0')"
"('Q9Y5Q8', 'Q12789')"
"('P09693', 'P43405')"
"('P60953', 'P31150')"
"('Q13247', 'Q12986')"
"('Q92614', 'P54253')"
"('Q9GZT6', 'Q9NX18')"
"('Q99816', 'Q9BRB3')"
"('P62899', 'P83881')"
"('P01106', 'Q9NR45')"
"('P52292', 'Q401N2')"
"('P31152', 'P15056')"
"('P62851', 'P62249')"
"('Q92731', 'Q8TDD1')"
"('P32121', 'Q8NGW6')"
"('Q13976', 'Q9NPA1')"
"('P01574', 'Q6UXL0')"
"('Q6FI13', 'Q9UKV0')"
"('Q9NRI5', 'Q96JN2')"
"('Q9P287', 'Q96IP4')"
"('Q13315', 'Q9Y4K3')"
"('Q04917', 'Q14103')"
"('P22897', 'P61812')"
"('P20774', 'P55157')"
"('O43752', 'Q9HD26')"
"('Q8NHQ1', 'Q9BUY5')"
"('Q99878', 'P62807')"
"('O75400', 'Q9Y4D1')"
"('Q6NUN9', 'Q9BPY3')"
"('P20309', 'Q8IZF0')"
"('P12004', 'O60739')"
"('P42574', 'P28331')"
"('Q04206', 'O15297')"
"('P19438', 'P40939')"
"('P15090', 'Q92882')"
"('Q8WWM7', 'P78396')"
"('Q13509', 'Q15012')"
"('P05112', 'Q01344')"
"('P30153', 'P63151')"
"('P22234', 'O15264')"
"('Q9Y4K3', 'P04181')"
"('Q8IZ07', 'Q9Y3C5')"
"('P78330', 'O75365')"
"('P17405', 'P20073')"
"('Q8IZC6', 'P05106')"
"('P13725', 'Q99650')"
"('P30040', 'Q9NRR5')"
"('P16278', 'P04183')"
"('P34995', 'O95837')"
"('P01569', 'P19235')"
"('P14923', 'Q7Z6J6')"
"('O75937', 'Q8IX12')"
"('P22694', 'P26678')"
"('P09619', 'P53618')"
"('Q9NZT1', 'Q16816')"
"('O00232', 'Q14164')"
"('P17544', 'Q8WYK2')"
"('Q70Z53', 'Q9NX46')"
"('Q6UXN9', 'O15047')"
"('Q05823', 'Q02241')"
"('P54253', 'Q8WW36')"
"('P35221', 'P25054')"
"('P04632', 'P17655')"
"('Q15389', 'P11362')"
"('P02686', 'Q8IW41')"
"('P83881', 'Q9Y3U8')"
"('P51970', 'O96000')"
"('Q9HC16', 'P62979')"
"('O43909', 'P12931')"
"('P14373', 'Q9UL03')"
"('P56182', 'P21673')"
"('Q9UI10', 'Q13144')"
"('P13805', 'Q9UGU5')"
"('Q15910', 'P10276')"
"('O14807', 'Q9P212')"
"('Q09472', 'P25208')"
"('Q7Z434', 'O95140')"
"('P11047', 'P55268')"
"('P27708', 'Q00653')"
"('Q9HB71', 'Q9UKE5')"
"('P62987', 'P49459')"
"('O75554', 'Q16630')"
"('P12814', 'Q96HC4')"
"('P78536', 'P05067')"
"('Q06455', 'Q99081')"
"('P08238', 'O95433')"
"('Q13547', 'P35498')"
"('Q8N726', 'P06748')"
"('Q8WXE1', 'P33993')"
"('Q99750', 'Q8NE01')"
"('P43026', 'Q16671')"
"('P22087', 'A0JLT2')"
"('P40939', 'Q14164')"
"('P62879', 'Q08462')"
"('P62280', 'P62266')"
"('P23396', 'P62701')"
"('Q12778', 'P01584')"
"('O14640', 'P46531')"
"('Q9HCM9', 'O95433')"
"('P30480', 'P61086')"
"('B2RTY4', 'P60953')"
"('P30480', 'P49411')"
"('P02766', 'P01857')"
"('Q04912', 'P62258')"
"('Q5T3J3', 'Q9NPI1')"
"('Q13330', 'O95983')"
"('O75340', 'Q96B97')"
"('P68400', 'Q92994')"
"('O00178', 'Q99459')"
"('O15085', 'Q8IXI1')"
"('P05556', 'Q15027')"
"('P63208', 'Q15796')"
"('P61160', 'O15144')"
"('Q9NZ42', 'Q9Y219')"
"('Q5VYV7', 'Q9BQ83')"
"('P35544', 'P62263')"
"('Q13233', 'P58107')"
"('O43586', 'P18077')"
"('P49763', 'P29317')"
"('Q8WWY3', 'Q9H9G7')"
"('P52565', 'Q15011')"
"('P27658', 'O95967')"
"('Q9Y478', 'Q16526')"
"('Q99613', 'O75822')"
"('Q15382', 'Q8N122')"
"('O95819', 'P62701')"
"('Q13443', 'Q9UKS6')"
"('Q9Y4K3', 'Q5ST30')"
"('Q13315', 'Q5H9F3')"
"('Q13751', 'Q05397')"
"('Q92597', 'P27824')"
"('P46776', 'P62917')"
"('O00255', 'P08670')"
"('P31749', 'P98170')"
"('Q96KK5', 'Q99880')"
"('P78324', 'O60674')"
"('P17844', 'Q9Y2Q3')"
"('P51965', 'O76064')"
"('Q9NPF7', 'P17181')"
"('P41159', 'O43699')"
"('Q12933', 'Q9NZD8')"
"('Q6H3X3', 'O43908')"
"('Q9UII5', 'Q9H422')"
"('P62993', 'Q9Y478')"
"('Q9UJS0', 'Q14197')"
"('P46934', 'P00533')"
"('Q9GZS1', 'Q9NXS2')"
"('Q9GZQ8', 'Q8WWW0')"
"('Q6WCQ1', 'O14974')"
"('Q9Y4G8', 'Q99623')"
"('P63211', 'O95622')"
"('P09693', 'Q92569')"
"('Q9BQI3', 'P45985')"
"('Q16787', 'P34741')"
"('Q9BTY7', 'Q14181')"
"('P60763', 'Q9BYG5')"
"('Q9BQ66', 'Q9NZ81')"
"('P61088', 'Q9Y4K3')"
"('P30291', 'Q9HCE7')"
"('P27348', 'P26196')"
"('P06241', 'O00459')"
"('O60739', 'Q9BSL1')"
"('Q16254', 'P10244')"
"('P62487', 'O15514')"
"('P05141', 'Q14197')"
"('P12314', 'Q16539')"
"('P61077', 'Q9UPQ4')"
"('O95256', 'P19838')"
"('Q9UBN7', 'Q71UI9')"
"('Q9NU22', 'Q99459')"
"('Q8N149', 'P08637')"
"('Q9NYQ7', 'Q9UH65')"
"('P55769', 'Q96DI7')"
"('P55036', 'Q15369')"
"('P35579', 'O14950')"
"('Q8TBB1', 'O43298')"
"('Q8TCT6', '440264')"
"('P51693', 'Q03013')"
"('Q9BTT6', 'Q12959')"
"('Q13573', 'Q9H4B7')"
"('P52815', 'Q14164')"
"('O15015', 'Q99750')"
"('P41235', 'Q96IU2')"
"('Q08380', 'P41279')"
"('P03915', 'O95169')"
"('Q00537', 'Q8NHU6')"
"('P59665', 'P49841')"
"('P19174', 'Q00169')"
"('Q8IUC6', 'Q9Y4K3')"
"('O43913', 'Q13415')"
"('Q11203', 'O15062')"
"('Q9NPH3', 'P46734')"
"('Q14457', 'P51784')"
"('Q8NFD5', 'O96019')"
"('P05015', 'P15260')"
"('Q9H7D0', 'P15924')"
"('Q96D09', 'P08588')"
"('P62995', 'Q9Y6Y0')"
"('Q9Y4G6', 'P13612')"
"('Q96GD4', 'Q99661')"
"('P43364', 'Q7Z614')"
"('P49841', 'Q86WZ6')"
"('Q00653', 'P05015')"
"('Q13489', 'Q01094')"
"('P17535', 'P20702')"
"('P00533', 'Q13239')"
"('Q9H5I1', 'P46108')"
"('Q8NFH3', 'O15504')"
"('O96020', 'Q9UJX3')"
"('Q9HAU0', 'P08727')"
"('O15479', 'Q9UQ35')"
"('P01106', 'P67809')"
"('P02679', 'P00488')"
"('Q9UL18', 'Q9H361')"
"('Q12933', 'P63000')"
"('Q15942', 'O95835')"
"('Q96RD0', 'P38405')"
"('P62837', 'Q8N5U6')"
"('Q15648', 'Q9NX70')"
"('Q9Y5J5', 'Q5VWQ8')"
"('Q9BPY3', 'P08670')"
"('P03901', 'P03897')"
"('Q8NI60', 'Q9UI14')"
"('Q00653', 'P17858')"
"('P60709', 'Q13188')"
"('O95696', 'P55201')"
"('P06241', 'Q92918')"
"('P62979', 'Q9H2S5')"
"('Q8TCG1', 'Q9HBA0')"
"('P18146', 'O43889')"
"('O43353', 'P30084')"
"('P25025', 'Q92664')"
"('O96033', 'Q9NUQ8')"
"('P25116', 'P50148')"
"('Q15418', 'P46527')"
"('P38432', 'Q6ZVK8')"
"('Q09472', 'Q06330')"
"('P62826', 'Q05639')"
"('Q9P2H0', 'O43504')"
"('P51970', 'O43674')"
"('O43426', 'P49418')"
"('P60228', 'P43146')"
"('O14896', 'Q02556')"
"('P22061', 'P40337')"
"('Q92793', 'Q13887')"
"('Q9BZL4', 'P24844')"
"('O95918', 'P38405')"
"('P07199', 'P61296')"
"('P84077', 'O60733')"
"('P49407', 'P30556')"
"('P02452', 'P26006')"
"('Q8N1F8', 'Q8NHQ1')"
"('P28799', 'P80370')"
"('Q9UJW0', 'Q01484')"
"('Q15466', 'Q13573')"
"('Q9NPJ4', 'P10276')"
"('Q16557', 'Q9BZL6')"
"('P16070', 'P35240')"
"('Q13415', 'O95251')"
"('Q9Y4K3', 'Q16620')"
"('Q07889', 'Q7L0Q8')"
"('Q12933', 'Q96B97')"
"('Q6SZW1', 'O14967')"
"('Q8N2W9', 'Q9NQB0')"
"('P36873', 'Q13263')"
"('Q13509', 'Q13409')"
"('P07954', 'P40926')"
"('P51817', 'Q86YV6')"
"('Q15075', 'P51149')"
"('Q15428', 'Q13242')"
"('P15407', 'P35638')"
"('P08571', 'Q9NR96')"
"('Q16619', 'P15509')"
"('P06576', 'P31483')"
"('Q93074', 'Q9BTT4')"
"('P07237', 'Q03692')"
"('Q9H9D4', 'Q8NHQ1')"
"('Q00005', 'Q8WWM7')"
"('Q9UBI6', 'P48051')"
"('O14802', 'Q9Y250')"
"('O94805', 'Q92925')"
"('A0JLT2', 'Q9Y3C7')"
"('Q9BTV5', 'P55209')"
"('Q99459', 'Q13227')"
"('P23497', 'Q92793')"
"('O43390', 'O95433')"
"('P18146', 'O75330')"
"('Q92993', 'Q9BWC9')"
"('Q93034', 'Q15843')"
"('P46695', 'P27361')"
"('P48729', 'P18846')"
"('O43556', 'Q16586')"
"('Q92733', 'Q13356')"
"('Q96ES7', 'O75478')"
"('Q8NE01', 'O75365')"
"('Q99567', 'Q96EE3')"
"('P09651', 'P62993')"
"('Q9Y297', 'Q9C026')"
"('P27658', 'P25067')"
"('Q14790', 'P27361')"
"('P22694', 'P17861')"
"('P49207', 'O43586')"
"('P24522', 'P19793')"
"('P35222', 'P42167')"
"('P01106', 'P09429')"
"('Q15424', 'Q12873')"
"('P49137', 'P04792')"
"('Q96FN4', 'Q6W2J9')"
"('P00374', 'P04637')"
"('Q9UM73', 'P51532')"
"('Q15428', 'O95400')"
"('P35326', 'P12931')"
"('Q92963', 'P21246')"
"('P01570', 'P16871')"
"('Q8N0Z8', 'Q14197')"
"('Q9P2S5', 'Q93084')"
"('P62993', 'P46092')"
"('Q9H0R8', 'O00410')"
"('Q8NE71', 'Q96BK5')"
"('P27448', 'P05060')"
"('O60229', 'P19021')"
"('Q9UPN3', 'P58401')"
"('Q01484', 'Q9UKE5')"
"('O14965', 'Q16600')"
"('Q9Y2I6', 'Q15910')"
"('Q15843', 'Q03468')"
"('P01106', 'Q9UQ80')"
"('Q13233', 'P51965')"
"('Q7Z5R6', 'Q9Y490')"
"('Q9BY11', 'O00401')"
"('Q07817', 'Q6PKG0')"
"('P04792', 'P00488')"
"('O00165', 'P13569')"
"('P08962', 'P01033')"
"('P62993', 'P09211')"
"('O14490', 'P27986')"
"('Q9NYV6', 'O95602')"
"('P33076', 'P48382')"
"('P30086', 'Q9UET6')"
"('Q14576', 'Q93062')"
"('O15264', 'P11940')"
"('O15519', 'P62273')"
"('O15371', 'Q99613')"
"('P23759', 'P15121')"
"('Q7L2H7', 'Q9Y478')"
"('P19438', 'P16278')"
"('Q9UQE7', 'P11802')"
"('Q14676', 'Q99728')"
"('Q9P1W8', 'O43914')"
"('P30511', 'P26717')"
"('Q9H7E9', 'O95201')"
"('Q03518', 'Q9UER7')"
"('O95500', 'O95484')"
"('Q9BTM1', 'O15379')"
"('Q13315', 'Q9BQS8')"
"('P51610', 'Q13547')"
"('P51665', 'P62191')"
"('Q14103', 'Q06265')"
"('P98175', 'Q13123')"
"('Q92985', 'Q9H171')"
"('P08123', 'P02452')"
"('P62491', 'Q14164')"
"('P02647', 'Q8WTV0')"
"('Q9BY27', 'O60858')"
"('P57078', 'Q6Q0C0')"
"('P03915', 'P56556')"
"('P05129', 'Q08828')"
"('O75369', 'P26006')"
"('P62750', 'P46776')"
"('Q9UBE0', 'P04637')"
"('O95831', 'Q92956')"
"('Q13554', 'P27361')"
"('Q9H4P4', 'P04629')"
"('343477', 'Q9Y4K3')"
"('Q9P2F6', 'P84095')"
"('Q9UKR5', 'P20073')"
"('Q14974', 'Q15628')"
"('Q13509', 'Q13838')"
"('O14493', 'O00501')"
"('Q14209', 'P42771')"
"('O14641', 'P49841')"
"('Q13573', 'Q12824')"
"('Q9H4L5', 'P31947')"
"('P31749', 'Q6P1N0')"
"('Q8WUI4', 'P61981')"
"('Q9NPA2', 'P16220')"
"('P35222', 'O94907')"
"('Q9ULV8', 'P15260')"
"('Q9HAU4', 'Q13501')"
"('P62993', 'Q96RI1')"
"('Q13137', 'O95990')"
"('O00267', 'P22415')"
"('Q14164', 'P58876')"
"('Q05066', 'P84022')"
"('Q9NTM9', 'Q6IA69')"
"('O43688', 'P46379')"
"('P08069', 'Q9NZN5')"
"('Q12888', 'P15927')"
"('P39023', 'P98175')"
"('P24723', 'Q9BX67')"
"('P07384', 'P49810')"
"('Q13424', 'P33993')"
"('Q9BRT9', 'Q7L590')"
"('Q07889', 'P21860')"
"('P01571', 'P16871')"
"('O15519', 'P41182')"
"('P53778', 'Q8NER1')"
"('P05014', 'P01589')"
"('O75369', 'P17301')"
"('P52434', '100008587')"
"('Q8IZL8', 'P22087')"
"('Q99962', 'Q15303')"
"('Q01201', 'Q07021')"
"('P62424', 'Q02543')"
"('Q96GM8', 'Q13501')"
"('P60228', 'P41091')"
"('Q99614', 'P50148')"
"('P55157', 'Q9BX66')"
"('P08754', 'O14775')"
"('P27361', 'Q9C0H2')"
"('P54253', 'Q93062')"
"('P16220', 'Q9UPW6')"
"('Q7Z434', 'Q96EQ8')"
"('P12004', 'O60673')"
"('P33992', 'Q12906')"
"('P55199', 'Q96H20')"
"('Q9C0C9', 'Q15102')"
"('Q15369', 'Q8TEY7')"
"('P62330', 'Q13148')"
"('Q9Y535', 'Q9NVU0')"
"('Q15654', 'Q12933')"
"('P18124', 'P47914')"
"('P17252', 'Q13526')"
"('Q86UW7', 'Q96B02')"
"('Q13158', 'Q9GZR7')"
"('Q14203', 'P49662')"
"('Q8TEW6', 'P04626')"
"('P35442', 'P17301')"
"('O15389', 'O60880')"
"('P62070', 'Q13485')"
"('Q12933', 'P05141')"
"('P84077', 'Q9NRD5')"
"('Q9BTL3', 'Q9BQY4')"
"('Q92993', 'P17600')"
"('Q96KK5', 'P06899')"
"('Q9UNM6', 'P01889')"
"('P36402', 'P46937')"
"('Q9UJV9', 'P55157')"
"('O43175', 'O15264')"
"('O60262', 'Q9H1C0')"
"('P63000', 'O60260')"
"('P19876', 'P46092')"
"('P35609', 'P08648')"
"('P43403', 'P31749')"
"('P46109', 'P22681')"
"('P12814', 'Q9UMD9')"
"('P20333', 'O14654')"
"('Q14164', 'P08579')"
"('P00519', 'P50607')"
"('Q92538', 'P31946')"
"('O43678', 'P03915')"
"('P55072', 'Q92890')"
"('P18146', 'Q92569')"
"('O14920', 'Q9UBT7')"
"('P49913', 'Q99572')"
"('Q7Z4H7', 'Q9Y580')"
"('P33992', 'Q09472')"
"('Q04206', 'P09914')"
"('Q96RG2', 'P04792')"
"('P62993', 'O43609')"
"('Q8TBK6', 'Q13427')"
"('Q96A08', 'Q9UBN7')"
"('P03886', 'O95169')"
"('Q9NPH0', 'O60262')"
"('Q96KG7', 'Q9UL54')"
"('Q66LE6', 'P46937')"
"('P60604', 'Q9NTX7')"
"('Q9NRD5', 'Q16595')"
"('P13569', 'Q9UJC5')"
"('P62993', 'Q9UM54')"
"('O15504', 'P78406')"
"('P04439', 'Q8N423')"
"('P63104', 'P49841')"
"('O75937', 'P01243')"
"('P10145', 'P51677')"
"('O14503', 'Q00987')"
"('P01903', 'P16220')"
"('O14920', 'O43283')"
"('Q07889', 'O60674')"
"('Q6P158', 'Q9NX58')"
"('Q9BZK7', 'Q9Y618')"
"('Q15906', 'Q96Q83')"
"('P63104', 'P42345')"
"('O95467', 'Q99614')"
"('P10914', 'P25774')"
"('P53674', 'P53672')"
"('P16333', 'P21860')"
"('Q3T906', 'Q9NRI5')"
"('P21281', 'P24158')"
"('Q96BR9', 'Q7L590')"
"('P84077', 'Q9ULH1')"
"('P82914', 'Q9UL18')"
"('Q15303', 'P27986')"
"('P23763', 'Q16623')"
"('Q12824', 'Q13573')"
"('O95793', 'O15234')"
"('O14920', 'O00221')"
"('P04792', 'O14920')"
"('P38398', 'O14867')"
"('O95696', 'P25205')"
"('Q86VI4', 'Q01094')"
"('P01889', 'P07355')"
"('Q02763', 'Q15147')"
"('P63172', 'P21796')"
"('Q8TAW3', 'Q16659')"
"('P61247', 'P46781')"
"('Q9H7D7', 'Q9BQ67')"
"('P78317', 'Q9Y2X8')"
"('Q15631', 'Q99598')"
"('Q9Y6F1', 'P13995')"
"('P61586', 'P23528')"
"('Q9UG01', 'Q9UBR4')"
"('O75365', 'Q9Y5Y2')"
"('Q13315', 'Q9Y248')"
"('Q00005', 'Q96RQ3')"
"('P15336', 'P17544')"
"('Q3KNV8', 'O00762')"
"('O15162', 'Q15637')"
"('P50750', 'Q9UHB7')"
"('P08648', 'P12814')"
"('Q99708', 'P61968')"
"('P47712', 'P08670')"
"('O75147', 'P02768')"
"('Q9C000', 'Q9HC29')"
"('O60566', 'O15379')"
"('P63165', 'Q03518')"
"('Q05397', 'P40259')"
"('P27824', 'Q9Y6K9')"
"('Q9NZJ5', 'P52564')"
"('P31152', 'P01106')"
"('Q9Y6G9', 'Q13748')"
"('Q96D42', 'Q9H3S1')"
"('P67775', 'Q04206')"
"('Q14541', 'P01009')"
"('P61081', 'Q13617')"
"('Q99459', 'Q9NUQ8')"
"('Q9H583', 'O75365')"
"('P04637', 'O15547')"
"('P62829', 'Q9Y6K9')"
