negatives
"('Q15773', 'Q96T76')"
"('Q99683', 'O15524')"
"('Q14695', 'P04843')"
"('Q9UN88', 'P60520')"
"('Q96JQ0', 'P61956')"
"('O00401', 'P46108')"
"('P0CG48', 'P62993')"
"('Q9Y5B0', 'P84090')"
"('P25105', 'Q00610')"
"('Q02556', 'Q9NPI8')"
"('P62136', 'P60484')"
"('Q9UBQ5', 'O60739')"
"('Q14247', 'O43516')"
"('O95455', 'P16333')"
"('P22694', 'Q13224')"
"('Q9H9Y6', 'P60709')"
"('Q99750', 'O43734')"
"('Q9UQM7', 'O43889')"
"('P49720', 'P01243')"
"('P29597', 'P25105')"
"('Q9Y5X1', 'Q07912')"
"('Q9NRI5', 'P07437')"
"('P30153', 'P62955')"
"('406947', 'O00622')"
"('Q15714', 'P40937')"
"('Q9H3U1', 'Q9P2S5')"
"('O75351', 'Q7LBR1')"
"('P26373', 'P62917')"
"('Q13901', 'Q01780')"
"('Q01094', 'P24385')"
"('Q8NGH3', 'P38405')"
"('P39687', 'Q13077')"
"('Q05209', 'Q13526')"
"('P55072', 'P23508')"
"('P18146', 'Q9BZJ6')"
"('Q16254', 'O43463')"
"('Q9ULK6', 'Q9H832')"
"('Q13114', 'P61964')"
"('P16104', 'Q96HE7')"
"('O75928', 'P40763')"
"('P12814', 'Q8TDR0')"
"('Q9NQX3', 'Q16445')"
"('Q5UIP0', 'P51159')"
"('O00221', 'P07900')"
"('Q01105', 'P22392')"
"('P17252', 'Q9UK08')"
"('P29992', 'Q9NQ66')"
"('P12956', 'P14625')"
"('Q01105', 'P17480')"
"('P0CJ69', 'P25090')"
"('P14136', 'Q96JP2')"
"('Q9Y2Q3', 'Q8WUM4')"
"('B1A4H9', 'Q99062')"
"('O75604', 'Q00653')"
"('Q13490', 'Q15628')"
"('P27361', 'P19793')"
"('O43663', 'P35900')"
"('Q07021', 'Q9HBU1')"
"('P25940', 'Q9UKX5')"
"('P48634', 'P46092')"
"('Q12834', 'Q14532')"
"('P61073', 'Q14847')"
"('P52298', 'P62826')"
"('P42680', 'Q9ULH1')"
"('P68400', 'Q16665')"
"('P51610', 'Q92769')"
"('O76071', 'Q96T76')"
"('Q12846', 'P54920')"
"('P24723', 'Q07157')"
"('Q9H0L4', 'Q92797')"
"('P14678', 'Q6P2Q9')"
"('O75352', 'P61247')"
"('P29590', 'P08047')"
"('P18146', 'P49336')"
"('Q9UET6', 'Q9Y295')"
"('P60866', 'P62993')"
"('Q8TDV5', 'P63092')"
"('Q13315', 'Q15029')"
"('O76094', 'Q99459')"
"('Q9Y3C5', 'Q6ZVM7')"
"('P07437', 'P43403')"
"('P47897', 'Q99558')"
"('Q9Y4K3', 'P17948')"
"('P34969', 'O60262')"
"('Q9BUJ2', 'P35637')"
"('P42224', 'P17948')"
"('P52756', 'P38159')"
"('Q9P2K9', 'Q7LDG7')"
"('P51955', 'Q9H254')"
"('Q9UNS1', 'P33991')"
"('Q9H2G2', 'Q14315')"
"('P11308', 'O96014')"
"('Q00577', 'P20702')"
"('O00442', 'Q9NR30')"
"('Q9NX47', 'Q9NPD8')"
"('Q9Y4R8', 'Q9BTP7')"
"('Q9Y3P9', 'P26010')"
"('Q92530', 'Q9BQY4')"
"('P49023', 'P23229')"
"('P17542', 'Q99801')"
"('P05556', 'Q08043')"
"('P25105', 'P29992')"
"('Q6P996', 'Q2M3C7')"
"('P52434', 'P36954')"
"('P02775', 'P32302')"
"('P16157', 'Q5VST9')"
"('Q04206', 'P26373')"
"('Q9NZT1', 'Q16816')"
"('P10275', 'Q99873')"
"('P13010', 'O95997')"
"('O43542', 'Q92698')"
"('P53779', 'P46109')"
"('Q9Y3C5', 'P62979')"
"('P13224', 'O00329')"
"('P48047', 'P56537')"
"('P01876', 'P42285')"
"('Q9BX70', 'P51681')"
"('Q86YR5', 'P08754')"
"('P37231', 'Q9H0E9')"
"('P61513', 'Q96BK5')"
"('O96013', 'Q9H1R3')"
"('P38646', 'Q14197')"
"('P05198', 'O75821')"
"('Q13237', 'Q01814')"
"('P62917', 'Q9NXU5')"
"('Q13118', 'Q15393')"
"('Q9BQD7', 'Q9Y383')"
"('P60900', 'P55036')"
"('P20591', 'Q9Y210')"
"('Q15287', 'Q9UQ88')"
"('Q9NQV8', 'P12980')"
"('O60262', 'Q9H1C0')"
"('P10415', 'P51572')"
"('P28907', 'P08637')"
"('Q9Y2D1', 'P17676')"
"('P62380', 'Q15286')"
"('Q9BW27', 'P52948')"
"('Q01813', 'P20333')"
"('P49821', 'Q01844')"
"('Q6P1X5', 'P21675')"
"('P0CG47', 'Q9UJ41')"
"('P14416', 'P16520')"
"('P51149', 'Q9BQE3')"
"('P16234', 'Q07890')"
"('P56537', 'P20290')"
"('Q13362', 'P10415')"
"('Q9UI30', 'Q9Y5N5')"
"('Q99828', 'P49810')"
"('O14901', 'Q13547')"
"('Q13616', 'Q9HAW4')"
"('Q9UKS6', 'Q13444')"
"('Q5T4F7', 'Q9H1J5')"
"('P01892', 'Q8N743')"
"('P27635', 'Q16659')"
"('P17612', 'Q06432')"
"('Q9H8W4', 'P15104')"
"('P10321', 'P43630')"
"('P62081', 'P62841')"
"('P20827', 'P21802')"
"('O95985', 'Q13156')"
"('Q15375', 'P00519')"
"('Q15714', 'Q9H4A3')"
"('Q9UBL3', 'Q13432')"
"('Q14527', 'Q9NS91')"
"('Q13501', 'P19438')"
"('P05015', 'P19235')"
"('P05386', 'P61513')"
"('P26368', 'P51003')"
"('Q9H633', 'O75818')"
"('O75167', 'P46108')"
"('Q3ZCQ8', 'Q00653')"
"('P63104', 'P09493')"
"('Q86UL8', 'P45983')"
"('Q96FA3', 'Q9NWZ3')"
"('Q13352', 'O76024')"
"('O43765', 'Q96SL4')"
"('Q13362', 'Q9Y698')"
"('P13942', 'P23229')"
"('P78369', 'P56856')"
"('O14641', 'O95817')"
"('Q9NR28', 'Q9Y4K3')"
"('P00533', 'Q15303')"
"('P35637', 'P10827')"
"('Q9BSM1', 'P78364')"
"('Q13555', 'P15336')"
"('Q92793', 'P01574')"
"('Q9UPN9', 'O75081')"
"('P62304', 'Q9Y4Z0')"
"('Q14203', 'O14576')"
"('P50502', 'Q14164')"
"('O14497', 'O94805')"
"('Q96EB1', 'P35609')"
"('Q5T9A4', 'Q96T60')"
"('Q9BZL6', 'Q9Y5J3')"
"('O43914', 'Q8N109')"
"('Q9H1D0', 'Q99750')"
"('Q05655', 'Q15717')"
"('Q92851', 'P10144')"
"('Q13064', 'P51965')"
"('Q9BQ66', 'Q9P0T4')"
"('P08621', 'P78362')"
"('Q8NFZ8', 'O14576')"
"('P35236', 'P53778')"
"('P23458', 'O00459')"
"('P29597', 'Q92569')"
"('Q15008', 'Q9BQ83')"
"('P48378', 'Q99750')"
"('Q6P3S6', 'P62745')"
"('P23508', 'Q96L92')"
"('O00505', 'Q04206')"
"('Q9UL46', 'O00233')"
"('O14981', 'Q10586')"
"('P51532', 'Q86U86')"
"('P01889', 'Q14444')"
"('Q12873', 'P02766')"
"('Q8IWZ8', 'Q86V81')"
"('P68104', 'P24522')"
"('Q01196', 'P08700')"
"('P26599', 'Q15366')"
"('P62837', 'Q9Y4L5')"
"('Q13523', 'Q99459')"
"('P26368', 'Q9UHX1')"
"('P18669', 'Q14203')"
"('Q9Y4A5', 'Q86TJ2')"
"('P61353', 'P35268')"
"('P29350', 'P16410')"
"('Q96EZ8', 'Q9Y2W2')"
"('P62318', 'Q969L4')"
"('O15151', 'P10415')"
"('P63104', 'Q96RK0')"
"('Q9UJX2', 'Q01094')"
"('Q00005', 'P62913')"
"('P49321', 'Q99877')"
"('O75446', 'Q16576')"
"('P01106', 'Q01085')"
"('Q12933', 'P06241')"
"('Q9Y4K3', 'Q8NFM7')"
"('P32121', 'Q14940')"
"('Q7L590', 'O94761')"
"('Q969L2', 'Q16890')"
"('Q9UQC2', 'O43561')"
"('P63010', 'Q9H4K1')"
"('P09038', 'P67870')"
"('Q9BTM1', 'P62875')"
"('Q9UNN5', 'Q13158')"
"('Q16537', 'Q13936')"
"('Q8NHJ6', 'P12318')"
"('P45983', 'Q9P2Y4')"
"('Q9UBY5', 'Q9P2W3')"
"('P48730', 'Q92997')"
"('Q13315', 'O43353')"
"('P21860', 'Q15303')"
"('Q9NUC0', 'P30153')"
"('Q9Y397', 'P18146')"
"('Q13185', 'P29590')"
"('Q9Y5J5', 'P04844')"
"('Q9P0M6', 'Q15910')"
"('P24522', 'P52742')"
"('P08575', 'P22681')"
"('Q16611', 'O95831')"
"('P62987', 'Q13155')"
"('P27986', 'O15360')"
"('Q05193', 'Q9Y3C7')"
"('Q13573', 'O95837')"
"('P29350', 'P19438')"
"('P45983', 'Q07890')"
"('Q16695', 'P83916')"
"('P27701', 'P21860')"
"('O15371', 'O14602')"
"('P54253', 'Q96RN5')"
"('Q9UBY5', 'P18146')"
"('P29350', 'P14784')"
"('P56750', 'O95832')"
"('P51970', 'O95178')"
"('Q96EL2', 'Q14197')"
"('P01889', 'Q14954')"
"('P30939', 'Q9HAV0')"
"('P55196', 'Q07157')"
"('Q9Y4K3', 'P49721')"
"('P83916', 'Q99877')"
"('Q9Y5P8', 'Q9Y698')"
"('Q07889', 'Q15811')"
"('P06400', 'P51948')"
"('Q8TEQ6', 'P57678')"
"('P08047', 'Q99988')"
"('P61956', 'Q15102')"
"('O94916', 'P05181')"
"('Q7Z7E8', 'Q9H1B7')"
"('P26012', 'P56945')"
"('P39023', 'P62987')"
"('O75955', 'Q8NBJ4')"
"('P17980', 'P62191')"
"('P46459', 'O15400')"
"('P13640', 'P04278')"
"('P20333', 'Q99683')"
"('P04637', 'Q92922')"
"('P01562', 'P19235')"
"('P17612', 'A8MYU2')"
"('P05231', 'Q01113')"
"('P35998', 'Q5VTR2')"
"('P46379', 'P52757')"
"('P21860', 'P27701')"
"('P09496', 'Q00610')"
"('P26368', 'Q01130')"
"('P40763', 'P30281')"
"('O75899', 'P50151')"
"('Q07889', 'Q9H4E5')"
"('O75928', 'Q13426')"
"('Q09472', 'O00327')"
"('P12956', 'Q96FF9')"
"('P04049', 'O14939')"
"('P30466', 'P43632')"
"('406900', 'Q01094')"
"('Q9HBL0', 'Q13118')"
"('Q9NZN4', 'P63010')"
"('O43182', 'Q9H4E5')"
"('Q99816', 'P49005')"
"('P19793', 'P04183')"
"('P31371', 'P10721')"
"('P21281', 'P39656')"
"('P04626', 'P01106')"
"('P03897', 'Q9UI09')"
"('Q07955', 'Q14103')"
"('O43586', 'Q9Y3U8')"
"('P83881', 'P30050')"
"('P01111', 'P10398')"
"('Q9Y244', 'P28074')"
"('P78527', 'Q9H0E9')"
"('Q9ULV8', 'Q712K3')"
"('O60739', 'Q9BWD1')"
"('Q0VDF9', 'Q12933')"
"('P15104', 'Q6WCQ1')"
"('P36941', 'Q13114')"
"('P46783', 'P63220')"
"('P01241', 'Q8N5K1')"
"('Q01813', 'Q9Y4P8')"
"('Q92597', 'Q01844')"
"('Q13535', 'Q8NFQ8')"
"('Q5C9Z4', 'P62136')"
"('Q9BXR5', 'P30084')"
"('Q9ULL4', 'Q92563')"
"('P35225', 'P26992')"
"('Q12933', 'P63000')"
"('Q8NGK9', 'P38405')"
"('Q99873', 'Q9UET6')"
"('P01375', 'Q15717')"
"('Q9BRC7', 'Q9UI26')"
"('Q13509', 'Q96AH8')"
"('P09960', 'P30504')"
"('P01106', 'O15042')"
"('P08670', 'Q7L311')"
"('P34931', 'Q16659')"
"('P05107', 'P46108')"
"('O43318', 'Q13748')"
"('P19105', 'P60709')"
"('P25445', 'Q9Y6K9')"
"('Q7L2E3', 'Q9Y6K5')"
"('O15504', 'Q92621')"
"('Q14164', 'Q15459')"
"('P47992', 'P41597')"
"('Q96G75', 'Q13485')"
"('P34903', 'Q9NQX3')"
"('Q03112', 'P45984')"
"('Q9UI47', 'P62258')"
"('Q9H1Y0', 'O95786')"
"('O43318', 'Q01974')"
"('Q8TBZ2', 'Q9BWU1')"
"('Q9BSJ1', 'O75150')"
"('O75582', 'Q9NVH1')"
"('Q5JWF2', 'Q3MJ16')"
"('Q05193', 'O00499')"
"('Q9H5I1', 'Q9H2G2')"
"('P01877', 'O14519')"
"('Q8NF50', 'P17081')"
"('P62910', 'P36578')"
"('Q15262', 'P41240')"
"('P04626', 'P23471')"
"('P04141', 'P07910')"
"('P18146', 'Q14943')"
"('O95433', 'Q8TD31')"
"('Q8NEA9', 'Q9NWB1')"
"('P20073', 'Q9P283')"
"('P28562', 'P49427')"
"('P05231', 'Q99962')"
"('P04908', 'Q969S8')"
"('Q02878', 'Q9Y3U8')"
"('P98164', 'P02649')"
"('P98175', 'Q9Y2W2')"
"('P05141', 'Q14197')"
"('P06493', 'P67870')"
"('Q04917', 'P10275')"
"('P16410', 'P27986')"
"('O00423', 'Q9H9L3')"
"('Q01543', 'P34810')"
"('O00257', 'Q8IXK0')"
"('P51665', 'Q9Y4K3')"
"('Q92731', 'Q92841')"
"('P42224', 'P01106')"
"('Q9H4E7', 'P60953')"
"('Q6UXH1', 'Q9H7E9')"
"('O00401', 'Q15811')"
"('P50613', 'P10276')"
"('P62877', 'O15055')"
"('Q7Z4K8', 'Q99816')"
"('P83881', 'P63173')"
"('P21283', 'Q96G23')"
"('P29034', 'P15514')"
"('P33240', 'Q9UMX0')"
"('P01876', 'P13645')"
"('Q562F6', 'Q16537')"
"('Q99459', 'P09012')"
"('P07900', 'P06239')"
"('Q9Y6G9', 'P68371')"
"('P45973', 'Q13111')"
"('P01730', 'Q30154')"
"('Q9UQB8', 'O14910')"
"('Q9H0H5', 'P63010')"
"('O15066', 'Q92845')"
"('Q9NRI5', 'Q99996')"
"('Q9NRD5', 'Q93009')"
"('O96014', 'Q9H461')"
"('Q13017', 'Q9H4E5')"
"('P43146', 'P16333')"
"('O00574', 'P32121')"
"('Q6UWE0', 'P62256')"
"('Q13177', 'Q14161')"
"('P50607', 'P28482')"
"('O60749', 'Q96RU3')"
"('P35609', 'Q13573')"
"('407029', 'Q8NDV7')"
"('P60866', 'P63220')"
"('P04350', 'Q07157')"
"('Q9NZN5', 'P08134')"
"('O15371', 'P47813')"
"('Q9HAU4', 'Q15428')"
"('P16671', 'O00206')"
"('Q13315', 'Q6PCD5')"
"('P21281', 'Q9Y6Q1')"
"('O00571', 'P06730')"
"('Q8NHR9', 'P63267')"
"('P10747', 'P62993')"
"('Q14684', 'Q9NX58')"
"('P23284', 'P04114')"
"('P04198', 'P04637')"
"('Q96HF1', 'O14904')"
"('Q13936', 'Q9NZU7')"
"('P63220', 'P62241')"
"('Q9UKV8', 'Q15750')"
"('Q13480', 'P42336')"
"('P63104', 'P42704')"
"('P17612', 'O60840')"
"('P17813', 'P18075')"
"('Q01453', 'P40855')"
"('P19022', 'O60716')"
"('P45985', 'Q05655')"
"('Q9H1Q7', 'P61081')"
"('P30153', 'Q5THK1')"
"('Q96GD4', 'Q6PKG0')"
"('Q96PU5', 'P08069')"
"('P12931', 'Q92556')"
"('P43243', 'P62993')"
"('Q969H0', 'Q9Y6Q9')"
"('A0JLT2', 'O14645')"
"('P07948', 'Q7Z7K6')"
"('Q9UIS9', 'P63165')"
"('Q8IXH7', 'P10398')"
"('Q16401', 'P35998')"
"('Q8WUX9', 'Q96CF2')"
"('O75807', 'P62136')"
"('O94832', 'Q9Y572')"
"('Q15021', 'Q13573')"
"('P16389', 'P78352')"
"('P35658', 'Q5SRE5')"
"('P31749', 'P16220')"
"('Q9NS25', 'Q8NHH9')"
"('P63010', 'Q6ZU52')"
"('Q9Y4K3', 'Q9Y243')"
"('P51116', 'Q15834')"
"('P78417', 'P26641')"
"('Q06187', 'P48426')"
"('O00206', 'P04899')"
"('Q5T3J3', 'Q15669')"
"('P00519', 'Q12979')"
"('P68366', 'P05109')"
"('Q9Y3S1', 'P06241')"
"('P00519', 'Q9NRY4')"
"('P41235', 'Q9BTT4')"
"('Q9NQ25', 'Q15047')"
"('Q9GZN1', 'O96019')"
"('P30291', 'P31946')"
"('Q13232', 'P15531')"
"('O15553', 'P51878')"
"('P62899', 'P61353')"
"('P12931', 'O43918')"
"('P38398', 'P01106')"
"('Q5JWF2', 'O60266')"
"('P14778', 'P52564')"
"('Q9Y3M8', 'P63000')"
"('P26373', 'P30050')"
"('Q9UKX7', 'Q8NFH3')"
"('Q05639', 'Q9Y572')"
"('Q96AE4', 'Q9UPT9')"
"('O75159', 'P42224')"
"('Q92974', 'O00221')"
"('P06400', 'Q8WUA4')"
"('P04637', 'P17643')"
"('P36897', 'P49795')"
"('Q13158', 'Q15121')"
"('Q9HBW0', 'P16520')"
"('Q8NH93', 'P38405')"
"('P01876', 'P01614')"
"('Q9Y2B9', 'Q9Y664')"
"('Q6NV75', 'Q15014')"
"('P38432', 'Q58EX7')"
"('P17948', 'Q6S5L8')"
"('P22670', 'Q99459')"
"('O95711', 'O00206')"
"('Q05655', 'Q13164')"
"('Q9HAU4', 'Q96RP9')"
"('Q00796', 'Q9UKE5')"
"('Q99558', 'P26373')"
"('P27361', 'Q13501')"
"('Q92845', 'Q9UQE7')"
"('P01569', 'P32927')"
"('P15311', 'P35240')"
"('P62987', 'P62979')"
"('Q99880', 'P20671')"
"('P01106', 'Q9NQX5')"
"('Q8TEX9', 'P68431')"
"('Q9UQM7', 'P42224')"
"('P56556', 'O00217')"
"('P04626', 'O14492')"
"('Q9Y678', 'Q9Y4K3')"
"('P28482', 'P41212')"
"('Q9Y6K9', 'Q05639')"
"('P61353', 'P46776')"
"('Q92629', 'P18146')"
"('P11362', 'P29353')"
"('Q9HB31', 'P10144')"
"('Q92574', 'P60709')"
"('Q07955', 'Q13243')"
"('Q9Y572', 'P62158')"
"('P62993', 'O95782')"
"('P48736', 'P31749')"
"('P25789', 'P25786')"
"('P27448', 'P62258')"
"('Q9Y242', 'Q05086')"
"('Q8TDY2', 'Q9UJU6')"
"('P40763', 'O43318')"
"('Q02045', 'P60709')"
"('Q9BPZ3', 'O15055')"
"('Q9H422', 'O94842')"
"('P35590', 'P08575')"
"('P54753', 'P46108')"
"('P05129', 'P62070')"
"('P01857', 'Q13219')"
"('O76071', 'O60477')"
"('O75694', 'Q99459')"
"('Q7Z6B7', 'Q9HBH0')"
"('P17947', 'P07333')"
"('Q99558', 'Q8N2H9')"
"('Q96CN9', 'Q5T5P2')"
"('Q9HAW4', 'Q01831')"
"('P14780', 'P19875')"
"('P83731', 'Q13233')"
"('Q9Y4K3', 'P35968')"
"('Q9NRI5', 'O75962')"
"('Q9BZP3', 'P40818')"
"('Q12809', 'P07900')"
"('O60331', 'Q06187')"
"('Q99956', 'Q16539')"
"('Q13177', 'Q9Y266')"
"('Q96FE5', 'O95967')"
"('P41182', 'Q15771')"
"('P05452', 'P05783')"
"('P51636', 'P26012')"
"('Q9Y375', 'O75489')"
"('P63279', 'Q99666')"
"('Q9BXL7', 'P62979')"
"('Q6P3X3', 'O00238')"
"('Q96P09', 'P51668')"
"('Q13432', 'Q99547')"
"('Q9UL03', 'P54257')"
"('O95343', 'Q93098')"
"('P09341', 'P51685')"
"('Q5T3J3', 'P05026')"
"('O75396', 'P35609')"
"('P16144', 'P06241')"
"('Q15365', 'P57052')"
"('Q5T5S1', 'Q99750')"
"('P51692', 'Q9UL17')"
"('Q9Y4P8', 'P25685')"
"('P42768', 'P08575')"
"('Q9UJY1', 'O95817')"
"('P48552', 'Q92956')"
"('P04004', 'P06756')"
"('Q9H1Y0', 'P00492')"
"('O95467', 'Q86XP0')"
"('P56381', 'P06576')"
"('Q9BXP5', 'Q16891')"
"('Q13501', 'Q9H492')"
"('Q99932', 'Q9NRR5')"
"('P35225', 'P23771')"
"('P06865', 'P00519')"
"('Q15648', 'Q9NVC6')"
"('P08631', 'P29353')"
"('P63092', 'P61952')"
"('Q6NZI2', 'P00533')"
"('Q14204', 'Q9BVA1')"
"('Q05397', 'Q9UKX5')"
"('P0CG47', 'P27986')"
"('Q9NX65', 'Q0D2J5')"
"('Q14683', 'Q8NDV3')"
"('P09038', 'P68400')"
"('Q9H1C4', 'O15260')"
"('O00257', 'Q13426')"
"('O60739', 'Q9NQP4')"
"('P25791', 'O75626')"
"('P68400', 'O15379')"
"('P15692', 'P22607')"
"('Q9UNN8', 'Q08495')"
"('Q9P2J5', 'Q92844')"
"('P31751', 'Q13370')"
"('Q02156', 'P45880')"
"('P25942', 'Q12933')"
"('Q15047', 'Q13263')"
"('Q9BVA1', 'P20073')"
"('Q99879', 'Q16777')"
"('P12956', 'Q96KM6')"
"('Q9NVC6', 'O75448')"
"('P16333', '9757')"
"('Q13472', 'Q15554')"
"('Q8IY92', 'Q13501')"
"('Q13432', 'Q9HC52')"
"('Q9Y2T4', 'P67775')"
"('Q5TCZ1', 'Q9H204')"
"('P62877', 'Q01831')"
"('O75019', 'P31995')"
"('Q14296', 'P46108')"
"('Q13427', 'P62745')"
"('Q9BV73', 'Q92831')"
"('P68133', 'P07737')"
"('P98170', 'P62837')"
"('P51946', 'P06493')"
"('P35637', 'Q8NEV4')"
"('Q15628', 'Q13490')"
"('Q96S21', 'Q15369')"
"('P63000', 'Q15759')"
"('Q9H9E3', 'Q9UP83')"
"('P55210', 'P47712')"
"('P07900', 'P10809')"
"('P02771', 'P42574')"
"('Q13363', 'Q9HCS4')"
"('P20248', 'Q99708')"
"('P35227', 'Q9NPD8')"
"('P68431', 'A8MW92')"
"('P27694', 'P18754')"
"('P35626', 'Q9H340')"
"('Q13573', 'P60228')"
"('Q96KM6', 'Q13118')"
"('Q96EB6', 'O14640')"
"('Q53ET0', 'P61981')"
"('Q92597', 'Q96CW1')"
"('P01106', 'P52735')"
"('O14786', 'P08648')"
"('P50402', 'Q7L5N1')"
"('P52294', 'P48729')"
"('P24043', 'Q13797')"
"('P09471', 'P48051')"
"('P08107', 'Q00653')"
"('P49768', 'Q9UMX0')"
"('Q12888', 'Q15554')"
"('P61073', 'P08648')"
"('Q13243', 'P51991')"
"('P09038', 'Q07889')"
"('P06703', 'P52292')"
"('O60739', 'P46781')"
"('PI3KR2', 'P07947')"
"('Q14181', 'Q92765')"
"('P52565', 'O96019')"
"('P50213', 'Q96PM5')"
"('Q01201', 'Q93009')"
"('Q9Y4K3', 'P25205')"
"('Q86Y13', 'P0C0S5')"
"('Q13769', 'Q9UBU9')"
"('Q14197', 'P40337')"
"('Q13554', 'Q08289')"
"('Q9HCE7', 'P62979')"
"('Q16787', 'Q13751')"
"('P12544', 'P13010')"
"('Q9Y5Q3', 'P49716')"
"('Q15911', 'Q9Y2I6')"
"('P60900', 'Q16186')"
"('Q15628', 'P23396')"
"('Q29974', 'P28067')"
"('Q9H1Y0', 'P24534')"
"('P78329', 'P06241')"
"('Q8N3U4', 'Q8NDV3')"
"('Q8ND25', 'Q969T4')"
"('Q9BQ83', 'P28074')"
"('Q9C005', 'P58876')"
"('P62987', 'P30050')"
"('Q9C0C4', 'O43157')"
"('P08708', 'P62753')"
"('Q9UIA9', 'Q9UMR2')"
"('P22681', 'P27986')"
"('Q9NS61', 'Q6PIL6')"
"('P06753', 'Q05209')"
"('O43290', 'Q13573')"
"('Q9BYB0', 'Q9Y566')"
"('P49448', 'O75674')"
"('Q99856', 'P23497')"
"('Q05086', 'O14599')"
"('Q07955', 'P31943')"
"('Q04206', 'Q9H9B1')"
"('P19320', 'P48736')"
"('P01889', 'P24752')"
"('O75643', 'P83876')"
"('P0CG04', 'P01857')"
"('Q8TBK6', 'P04637')"
"('Q9P286', 'O14733')"
"('P06239', 'P30530')"
"('P62891', 'Q07020')"
"('P09651', 'Q13268')"
"('O95167', 'O00217')"
"('Q8NCM8', 'P51149')"
"('P62910', 'Q96BK5')"
"('P30793', 'P68400')"
"('P01241', 'P11177')"
"('O15467', 'P51684')"
"('Q9Y3D6', 'Q9NX47')"
"('Q07820', 'Q16611')"
"('Q9UGL9', 'Q96ID5')"
"('P49848', 'P04637')"
"('Q9UBU3', 'P35346')"
"('Q9Y385', 'Q92560')"
"('P51668', 'P49841')"
"('Q15714', 'P12004')"
"('Q15661', 'P16333')"
"('P16220', 'Q9NR96')"
"('P61586', 'Q96FW1')"
"('Q14197', 'Q9BZE1')"
"('Q6P1N9', 'P13637')"
"('Q13535', 'Q14676')"
"('P55851', 'P27348')"
"('P35609', 'P18084')"
"('P08754', 'P63211')"
"('O14543', 'Q5H9I0')"
"('Q6ZU52', 'P19012')"
"('P04275', 'P18084')"
"('Q9Y6I3', 'Q9UBC2')"
"('P06493', 'P68400')"
"('Q8WYP5', 'P57740')"
"('Q9UGJ0', 'Q15717')"
"('Q969D9', 'P40189')"
"('Q15029', 'O75365')"
"('P49368', 'Q99459')"
"('P50151', 'P51828')"
"('P21796', 'P99999')"
"('Q9BQ83', 'P19013')"
"('Q14566', 'Q9Y5N6')"
"('Q16643', 'O95989')"
"('P85299', 'Q9BPZ7')"
"('P40429', 'Q8NFZ0')"
"('P07900', 'P12931')"
"('Q9NRR5', 'Q8WW38')"
"('P54252', 'P0CG48')"
"('P62888', 'P61513')"
"('Q9UBD3', 'P46094')"
"('P61964', '9757')"
"('Q15303', 'P35222')"
"('P07355', 'P62993')"
"('Q00005', 'Q8N1N4')"
"('P17787', 'P43681')"
"('Q99459', 'P14635')"
"('O95751', 'Q05516')"
"('P56747', 'Q96AP7')"
"('Q9UBN6', 'P33176')"
"('Q7Z7E8', 'Q13573')"
"('Q9HAV4', 'Q99459')"
"('Q92633', 'P16520')"
"('Q9ULK4', 'Q92731')"
"('Q96KP1', 'Q13573')"
"('Q14978', 'P68400')"
"('Q04206', 'Q9Y2G2')"
"('P18621', 'P63173')"
"('P40763', 'P27695')"
"('P49841', 'Q9BZV1')"
"('P10070', 'Q9H9S0')"
"('O60241', 'Q13424')"
"('Q06187', 'P41182')"
"('Q9H553', 'P50995')"
"('Q9NS23', 'Q8NFP7')"
"('P18031', 'O14654')"
"('Q9UL18', 'P62277')"
"('P06756', 'Q14315')"
"('Q92530', 'Q96C03')"
"('P51946', 'Q03181')"
"('Q9Y3M8', 'Q14643')"
"('Q7L7L0', 'Q8N257')"
"('P19838', 'P18847')"
"('Q9Y272', 'P63211')"
"('P49407', 'P35626')"
"('Q12830', 'P68431')"
"('P01563', 'Q92985')"
"('P27986', 'P27816')"
"('O00257', 'O95503')"
"('Q9H9Y6', 'Q9UIG0')"
"('Q15233', 'Q13526')"
"('P10643', 'P07360')"
"('P67870', 'Q04724')"
"('Q13535', 'Q92575')"
"('P43351', 'P63279')"
"('Q8N766', 'Q9HC24')"
"('Q9NZP5', 'P38405')"
"('Q99963', 'Q05193')"
"('Q00978', 'P04637')"
"('P26651', 'Q92841')"
"('P62714', 'Q16537')"
"('Q86X95', 'Q9UBG7')"
"('P31785', 'P78552')"
"('Q9BYG5', 'P41743')"
"('Q9Y243', 'P36873')"
"('P32780', 'P29083')"
"('P06241', 'P04049')"
"('Q71U36', 'Q9BUF5')"
"('Q93062', 'P61978')"
"('P13942', 'O75578')"
"('Q9Y468', 'P62805')"
"('Q9Y4W2', 'Q15714')"
"('P62837', 'Q9NVW2')"
"('Q96KG7', 'Q9NZM3')"
"('Q03181', 'P19793')"
"('P51693', 'P04183')"
"('P05231', 'O60674')"
"('P11940', 'Q9HCJ0')"
"('Q12834', 'Q9UJX4')"
"('Q96C10', 'Q7L2E3')"
"('Q8TD26', 'P63167')"
"('P83876', 'Q6P2Q9')"
"('Q9BYM8', 'Q9Y6K9')"
"('Q13573', 'P55769')"
"('P08138', 'Q9UKN5')"
"('Q9UBF6', 'Q9H672')"
"('Q05513', 'P41743')"
"('Q9H9L3', 'P46108')"
"('Q86SE5', 'Q96EZ8')"
"('O43353', 'Q96CX2')"
"('P31749', 'Q13882')"
"('P01106', 'O15143')"
"('Q8IUQ4', 'Q9HD26')"
