negatives
"('Q8IU85', 'Q96NX5')"
"('Q9NTJ5', 'P58658')"
"('Q14192', 'P00533')"
"('P24941', 'P35637')"
"('P40937', 'O60885')"
"('P25106', 'O75947')"
"('Q15041', 'Q9ULP0')"
"('A6NGB9', 'Q6XZF7')"
"('P84996', 'Q9UH62')"
"('P22061', 'Q9GZQ8')"
"('P23771', 'P0C0L4')"
"('Q99442', 'Q96RK0')"
"('Q15293', 'Q9UBU9')"
"('Q8IZH2', 'Q9Y6M9')"
"('Q8NGA5', 'O60262')"
"('Q9BST9', 'Q9BQ89')"
"('Q9Y4I1', 'Q504Q3')"
"('A6NEM1', 'P09067')"
"('P83731', 'Q00005')"
"('Q9BUT9', 'Q9HCE1')"
"('Q9BZL6', 'P62834')"
"('O43143', 'P61326')"
"('P01912', 'P14618')"
"('Q04637', 'O60573')"
"('Q8WXG9', 'O95758')"
"('Q9BRS2', 'Q15717')"
"('P08779', 'P04264')"
"('Q9Y5Y2', 'Q71UI9')"
"('Q16537', 'Q96Q15')"
"('P18887', 'P35240')"
"('Q8IYI8', 'Q16623')"
"('Q9BY89', 'Q9P127')"
"('P56524', 'P11831')"
"('Q9UI09', 'P03897')"
"('Q86YM7', 'P21817')"
"('Q9HBH7', 'P78358')"
"('P55058', 'P02647')"
"('Q14999', 'P52907')"
"('Q9BRX9', 'Q9C0F1')"
"('O00255', 'Q99853')"
"('P42261', 'Q9Y4I1')"
"('Q7Z2W4', 'Q14653')"
"('Q16650', 'Q96G75')"
"('Q17R98', 'Q13330')"
"('Q9UBC5', 'P62993')"
"('P14921', 'Q16850')"
"('Q16566', 'Q04206')"
"('P31947', 'Q9Y2U5')"
"('Q13084', 'Q9BYD1')"
"('P11142', 'P20700')"
"('P62979', 'P12755')"
"('Q9NX58', 'Q8N142')"
"('P35579', 'Q9H6Q4')"
"('P62140', 'Q9C0B0')"
"('Q7L5D6', 'Q9H0I2')"
"('Q8NH19', 'Q96BA8')"
"('P07900', 'Q13164')"
"('Q92556', 'Q14185')"
"('Q12815', 'Q12816')"
"('P35249', 'Q96JN8')"
"('P32121', 'A6NF89')"
"('O75962', 'P63000')"
"('Q9Y535', 'Q9UHW5')"
"('Q14435', 'Q92624')"
"('Q14209', 'P42771')"
"('P68400', 'P05412')"
"('Q15334', 'P35580')"
"('Q8TBB1', 'Q719H9')"
"('Q15468', 'Q8IZH2')"
"('P05026', 'P22626')"
"('P62140', 'P0DP23')"
"('P35240', 'Q96HU1')"
"('P61326', 'Q6PJT7')"
"('P51668', 'Q96PU4')"
"('Q9UKT9', 'Q96FJ0')"
"('P20036', 'Q14766')"
"('P49450', 'Q9Y6A5')"
"('Q13573', 'Q96BN8')"
"('Q15654', 'Q8TBB1')"
"('O95817', 'P54652')"
"('P57078', 'P51571')"
"('O95168', 'Q6UWR7')"
"('O95453', 'P61956')"
"('P52209', 'Q00796')"
"('P25705', 'P80723')"
"('O15105', 'Q92769')"
"('Q99986', 'Q9BRP8')"
"('Q969Q6', 'P16144')"
"('P60369', 'O95407')"
"('Q9BYD5', 'P49639')"
"('Q96DA6', 'Q99571')"
"('Q93096', 'Q13200')"
"('P63279', 'Q96SK2')"
"('P13500', 'P49736')"
"('O75665', 'Q6ZU80')"
"('Q9BW71', 'P83731')"
"('O95429', 'Q93038')"
"('Q86UL8', 'Q8IY63')"
"('Q00169', 'P13984')"
"('Q12933', 'P53672')"
"('Q13347', 'P62277')"
"('Q86SE9', 'Q9NYY3')"
"('P20020', 'P62879')"
"('Q9NX18', 'Q76FK4')"
"('Q9NRY4', 'P63000')"
"('Q01196', 'P11473')"
"('Q8WU20', 'O75955')"
"('P55036', 'P05067')"
"('Q13772', 'Q9UBS8')"
"('P25067', 'P02768')"
"('O95785', 'Q70EL2')"
"('Q13618', 'Q9H074')"
"('Q96RL1', 'Q9NUP9')"
"('Q58WW2', 'P61201')"
"('Q14CZ7', 'P28331')"
"('O75044', 'P15153')"
"('O96017', 'O95347')"
"('Q13616', 'P13645')"
"('P46531', 'P27986')"
"('Q9P270', 'P38398')"
"('P46379', 'Q13867')"
"('Q01955', 'P13612')"
"('Q9GZQ3', 'Q8N668')"
"('Q8NI37', 'P22392')"
"('Q9HCS4', 'O95813')"
"('O14910', 'Q99750')"
"('Q8IUH5', 'Q9BYN7')"
"('P22694', 'Q07699')"
"('Q9H3U1', 'O75665')"
"('P50570', 'P11217')"
"('O14569', 'Q9BRI3')"
"('Q9P2F8', 'Q9NRM7')"
"('Q99750', 'Q5T036')"
"('P24752', 'Q13616')"
"('Q96GD4', 'Q16659')"
"('O00422', 'Q15019')"
"('Q13748', 'Q8IUQ4')"
"('Q8WXI9', 'P28300')"
"('P04629', 'P06744')"
"('Q9P286', 'P32121')"
"('O60264', 'P35226')"
"('Q15022', 'O95863')"
"('P63261', 'Q9NYJ8')"
"('Q9NVI7', 'P54278')"
"('Q92831', 'P14921')"
"('P35270', 'Q9Y5M8')"
"('P22455', 'Q99962')"
"('O00418', 'P37108')"
"('O94966', 'P07900')"
"('Q15022', 'P42771')"
"('O00159', 'Q9H596')"
"('Q9UQB8', 'P52306')"
"('Q9UPV0', 'P20290')"
"('Q9NRL2', 'Q01826')"
"('Q13751', 'Q16787')"
"('Q8N205', 'O95347')"
"('P35658', 'Q5VSL9')"
"('Q86VP6', 'P0C0S8')"
"('Q9H2X6', 'P17096')"
"('P35240', 'P39023')"
"('Q9HAW4', 'O94822')"
"('Q99836', 'Q71U36')"
"('Q08499', 'Q5VU43')"
"('P50991', 'Q9C0B0')"
"('Q8WXH4', 'P08195')"
"('Q9UJX2', 'O60671')"
"('Q9Y342', 'P28799')"
"('Q99877', 'P51610')"
"('Q9NRD1', 'O75503')"
"('O75251', 'P39210')"
"('Q9BRP1', 'Q96NT1')"
"('P15018', 'P08887')"
"('P35268', 'O14965')"
"('P33076', 'Q16594')"
"('Q99755', 'P84085')"
"('Q16539', 'P19784')"
"('P08559', 'Q7Z6Z7')"
"('Q8N163', 'P11142')"
"('P15311', 'P37802')"
"('P28288', 'P21283')"
"('Q13501', 'Q15628')"
"('P23246', 'P27348')"
"('P62847', 'Q9H0R8')"
"('Q06547', 'P09211')"
"('Q8IX90', 'Q2KHM9')"
"('P31645', 'P27824')"
"('P52797', 'P20936')"
"('Q8N6T3', 'Q16637')"
"('Q9NSI2', 'Q6VAB6')"
"('Q9BZ29', 'Q07890')"
"('P42768', 'P52292')"
"('P22090', 'P62277')"
"('Q7L775', 'Q9BVI4')"
"('Q96FL8', 'P78334')"
"('O15269', 'Q96EI5')"
"('P23527', 'Q969S8')"
"('Q14416', 'Q14344')"
"('Q8TCJ0', 'O00231')"
"('P00338', 'Q14008')"
"('O75530', 'P49792')"
"('P14868', 'Q99471')"
"('Q16659', 'O95573')"
"('Q13315', 'P52272')"
"('A5A3E0', 'Q13509')"
"('P49407', 'A6NIJ9')"
"('Q99447', 'P62820')"
"('Q9BQ83', 'O60830')"
"('P36956', 'P22415')"
"('Q13547', 'Q9NPA5')"
"('Q13309', 'P31350')"
"('Q9H6D7', 'Q96JB2')"
"('P16104', 'Q9UQ84')"
"('P56537', 'O95379')"
"('P22626', 'Q15843')"
"('O75083', 'P20962')"
"('Q9HAV0', 'Q9Y478')"
"('O43808', 'Q9BYC5')"
"('P67809', 'P28482')"
"('P61224', 'Q96A73')"
"('P53041', 'P04629')"
"('Q14974', 'P61970')"
"('Q86W42', 'P78527')"
"('P35968', 'P46940')"
"('Q8N983', 'Q9H2G2')"
"('O75461', 'Q8IY57')"
"('Q9H3K2', 'Q8N4Y2')"
"('Q99471', 'P78337')"
"('Q9NW38', 'Q9BXW9')"
"('Q9H4E5', 'Q08379')"
"('P01308', 'P14735')"
"('Q8NGX8', 'P38405')"
"('Q96KG7', 'O75643')"
"('Q8IXW0', 'Q15323')"
"('Q9BQ83', 'Q8WXD5')"
"('Q9Y561', 'O95295')"
"('Q8IWL3', 'Q7Z4G4')"
"('Q9Y678', 'P01106')"
"('P08574', 'P05412')"
"('Q14573', 'Q01860')"
"('P35222', 'O00482')"
"('Q9UNI6', 'Q96DN6')"
"('O43167', 'O00505')"
"('O14519', 'P24941')"
"('P05412', 'Q16891')"
"('Q14197', 'Q96CM3')"
"('Q6NUS6', 'P30101')"
"('P78406', 'P09417')"
"('Q9UPS8', 'Q4VCS5')"
"('Q99541', 'P04114')"
"('Q99909', 'Q8TD10')"
"('P19320', 'O43678')"
"('P11362', 'P21860')"
"('P00533', 'Q16695')"
"('Q96HP0', 'Q8IXI1')"
"('Q12834', 'Q14676')"
"('Q13131', 'Q9BU19')"
"('P61077', 'Q9HCE7')"
"('P33992', 'P43243')"
"('O60341', 'P61244')"
"('Q13415', 'O43913')"
"('P67809', 'P62195')"
"('A2RU14', 'Q9BZJ8')"
"('P17812', 'Q9BY42')"
"('O60674', 'Q13283')"
"('P56524', 'Q9HCU9')"
"('Q9UIV1', 'Q8IY67')"
"('P05067', 'Q6ZMY6')"
"('Q9NZ45', 'Q9Y277')"
"('Q96S59', 'Q99549')"
"('O43896', 'Q9UK80')"
"('P25054', 'Q15172')"
"('Q96P16', 'P38398')"
"('Q16401', 'Q15008')"
"('Q04917', 'P04049')"
"('Q9Y231', 'Q8IUH5')"
"('P98160', 'O00555')"
"('P62987', 'Q16659')"
"('Q5JQF8', 'Q9UFF9')"
"('P46778', 'P19338')"
"('Q07869', 'Q99612')"
"('P67936', 'P12814')"
"('P09467', 'Q16665')"
"('P84103', 'O60341')"
"('Q04206', 'Q9UNN5')"
"('Q9BPZ2', 'P33991')"
"('P27105', 'Q15125')"
"('Q8IY92', 'O60934')"
"('Q9NZI8', 'Q5VWX1')"
"('Q9ULR0', 'Q15022')"
"('Q9Y277', 'P05023')"
"('Q96EP5', 'Q9UMY4')"
"('P54762', 'P62993')"
"('Q9UHI6', 'P22087')"
"('O94776', 'Q01826')"
"('P09012', 'P54577')"
"('Q14164', 'Q6YN16')"
"('Q8IZV5', 'Q969X5')"
"('P32121', 'O14514')"
"('Q15047', 'Q5U623')"
"('Q01844', 'P19622')"
"('Q58WW2', 'Q14781')"
"('P0DP23', 'Q9NR12')"
"('O76015', 'P61981')"
"('Q24JP5', 'Q8WV92')"
"('O95198', 'O60684')"
"('Q9C0B0', 'P38646')"
"('P31946', 'Q9NX09')"
"('Q9P209', 'Q15691')"
"('P08670', 'P60520')"
"('P15336', 'P08134')"
"('P36578', 'Q05639')"
"('P36871', 'P07195')"
"('Q9H3F6', 'Q8WZ19')"
"('Q8IXH7', 'Q7Z6J6')"
"('Q13362', 'O96017')"
"('Q12788', 'Q14999')"
"('Q9NRC8', 'Q14978')"
"('P46199', 'O75157')"
"('P29474', 'P02649')"
"('O95402', 'P30876')"
"('P10909', 'P53350')"
"('O00139', 'Q99766')"
"('Q9NSD9', 'P13612')"
"('Q8WXI3', 'Q00325')"
"('Q9UPY3', 'P61224')"
"('P30041', 'Q92851')"
"('P63104', 'Q16658')"
"('Q01860', 'Q15022')"
"('P46695', 'P67775')"
"('P48729', 'Q71U36')"
"('P09874', 'Q9H4L4')"
"('P83916', 'Q8IWI9')"
"('Q99832', 'Q99836')"
"('P36578', 'Q07020')"
"('P55072', 'Q9UJX3')"
"('Q15021', 'Q12952')"
"('Q96HA1', 'P55345')"
"('Q9UEE9', 'P37837')"
"('P55263', 'P15559')"
"('P51665', 'P05412')"
"('P17947', 'P02775')"
"('Q99961', 'Q9NZM3')"
"('P46108', 'P55287')"
"('P23258', 'Q9NRI5')"
"('O95684', 'Q9NUQ6')"
"('Q8N7P3', 'O75508')"
"('Q9UKE5', 'Q01484')"
"('Q6P1L5', 'Q13627')"
"('P34897', 'Q8TF64')"
"('P61218', 'Q96H79')"
"('Q00987', 'Q99460')"
"('Q9H0I2', 'Q86YD7')"
"('Q5T7P3', 'Q5TA78')"
"('P63151', 'Q8N163')"
"('Q8WWW0', 'Q9Y297')"
"('Q13618', 'O60313')"
"('Q16082', 'P37840')"
"('O43639', 'Q9ULH1')"
"('P42858', 'Q16623')"
"('O43390', 'Q13618')"
"('Q7L804', 'Q9H4M9')"
"('P46109', 'P25490')"
"('Q92997', 'Q9BT49')"
"('Q9NX04', 'Q96HB5')"
"('P28066', 'P16871')"
"('P24941', 'Q8NHZ8')"
"('Q13131', 'Q9UGJ0')"
"('Q15287', 'Q8IWX8')"
"('Q9NSE4', 'O43379')"
"('Q12904', 'P05388')"
"('Q9Y3M2', 'Q96MY7')"
"('O00358', 'P30260')"
"('Q07955', 'Q00839')"
"('Q13368', 'Q8WV44')"
"('P04629', 'P63010')"
"('P20823', 'P07355')"
"('Q8WYA6', 'Q9P013')"
"('Q9UHD1', 'P68363')"
"('Q709C8', 'Q96DT0')"
"('Q96KN7', 'Q8TDM6')"
"('P0DP23', 'Q7Z6Z7')"
"('Q15942', 'P63261')"
"('P78527', 'P35250')"
"('Q96BD5', 'P08571')"
"('P04198', 'O15393')"
"('P35557', 'Q5MIZ7')"
"('Q9P2S5', 'O60232')"
"('Q9BX46', 'P14923')"
"('Q14847', 'Q8NA92')"
"('P15927', 'Q14966')"
"('P28838', 'Q9Y371')"
"('P62993', 'P14136')"
"('Q9H8Y8', 'O43809')"
"('P40937', 'O00635')"
"('Q7KZI7', 'P25054')"
"('P25025', 'Q14318')"
"('Q06830', 'P02751')"
"('Q6IPR3', 'Q9NRD5')"
"('Q9C086', 'Q9BRK4')"
"('Q8IWX8', 'O15067')"
"('Q9HB40', 'Q99426')"
"('P68036', 'Q13263')"
"('Q15198', 'Q9Y2H8')"
"('Q96I34', 'Q8N5W9')"
"('P04439', 'Q401N2')"
"('Q8IWZ5', 'Q9NX04')"
"('Q15642', 'Q15459')"
"('P08240', 'Q96HY6')"
"('P14672', 'Q00610')"
"('O75530', 'P14866')"
"('O43542', 'Q03518')"
"('Q12874', 'O43395')"
"('Q14919', 'P25208')"
"('P54132', 'P53350')"
"('O75344', 'Q9BPY3')"
"('P04049', 'Q12769')"
"('P47914', 'P03372')"
"('Q9NR30', 'P51858')"
"('Q8NFZ0', 'P12004')"
"('P62837', 'O00237')"
"('P49759', 'Q96GE4')"
"('P01106', 'P48634')"
"('P50222', 'Q99750')"
"('Q9Y265', 'Q53TQ3')"
"('Q9UK08', 'Q8NFM4')"
"('O75791', 'Q9NRM7')"
"('P48039', 'O94830')"
"('Q15717', 'Q6ZVX7')"
"('P24522', 'P04406')"
"('Q9UN42', 'Q07325')"
"('O75044', 'P42768')"
"('Q7Z2T5', 'Q99986')"
"('O15504', 'Q96EE3')"
"('Q9Y282', 'Q9BRR3')"
"('O43524', 'Q00987')"
"('Q10586', 'Q92878')"
"('O75486', 'Q86TJ2')"
"('P63313', 'P01100')"
"('P62140', 'Q92614')"
"('Q9P0N5', 'O15498')"
"('Q9Y285', 'Q9P2A4')"
"('P0DPB3', 'O95433')"
"('P55072', 'P35613')"
"('Q15147', 'Q9NPB6')"
"('Q969G3', 'O14497')"
"('P61247', 'Q8IY37')"
"('P78362', 'P51800')"
"('Q12901', 'O95273')"
"('Q05086', 'P04629')"
"('Q96HA8', 'O96006')"
"('Q15910', 'Q96PK6')"
"('P32121', 'Q96RD3')"
"('Q96RT8', 'Q9UIK4')"
"('P60484', 'Q8IYR6')"
"('A5YKK6', 'O15504')"
"('Q9Y2D5', 'Q92614')"
"('Q9Y224', 'P30419')"
"('P13804', 'Q9Y3C8')"
"('Q9BUJ2', 'Q9NX58')"
"('O43639', 'Q15464')"
"('Q5S007', 'P30084')"
"('P62273', 'P62269')"
"('Q13895', 'Q8IY81')"
"('P35749', 'P05412')"
"('Q9NQC1', 'Q9HAF1')"
"('P36897', 'P37023')"
"('Q9UPP1', 'Q5UIP0')"
"('Q8WU79', 'P02751')"
"('Q96HA8', 'Q8ND90')"
"('Q9BY21', 'Q96RT1')"
"('Q9NRY5', 'Q969Z0')"
"('P31314', 'Q16619')"
"('Q96HA8', 'Q70IA6')"
"('Q8WXA9', 'Q9BYG3')"
"('P47914', 'P62701')"
"('P67870', 'Q9P1Y6')"
"('P42285', 'Q15759')"
"('O95684', 'Q1MSJ5')"
"('Q13303', 'O15131')"
"('Q9BWG6', 'P60370')"
"('Q13546', 'Q92985')"
"('Q8TCJ2', 'Q96GX1')"
"('Q9NQG5', 'Q7Z2Z2')"
"('Q6UWL6', 'Q86XK2')"
"('P43243', 'P61978')"
"('Q8NGS7', 'O60262')"
"('Q06830', 'P60953')"
"('P46108', 'P23396')"
"('Q7Z6E9', 'P67809')"
"('Q15291', 'Q16778')"
"('Q9NYF8', 'A7E2Y1')"
"('P51610', 'Q09028')"
"('Q6P2P2', 'Q8N490')"
"('P07900', 'P14616')"
"('Q00889', 'P11464')"
"('Q8NFH3', 'Q9H0B6')"
"('Q9NS73', 'Q15834')"
"('Q9NRF9', 'P51610')"
"('O14770', 'P40424')"
"('P25788', 'Q14565')"
"('Q99996', 'P22694')"
"('Q13574', 'Q16659')"
"('Q13242', 'Q8TAD8')"
"('Q13838', 'O00560')"
"('P28562', 'Q16659')"
"('Q9UHD8', 'P62993')"
"('Q9NSC5', 'Q9NYB9')"
"('Q14774', 'Q07021')"
"('P29353', 'Q9Y4H2')"
"('Q9NS91', 'O15304')"
"('P30480', 'P16949')"
"('Q8WUM4', 'O75051')"
"('Q14093', 'Q9UHC1')"
"('Q9NYA3', 'Q9BW85')"
"('P83731', 'Q8TAP6')"
"('P46776', 'P11441')"
"('Q9UJV3', 'Q8TES7')"
"('P40763', 'P07948')"
"('Q9NV06', 'Q8NI36')"
"('P07900', 'O75643')"
"('Q9UJV9', 'Q8IX01')"
"('P63010', 'P04626')"
"('P45974', 'Q06323')"
"('P25800', 'P15884')"
"('Q8IVT5', 'Q15154')"
"('P28070', 'P54725')"
"('P02751', 'P11021')"
"('P04629', 'Q9Y6G9')"
"('P29401', 'P54819')"
"('Q96T55', 'Q8TEQ8')"
"('P38606', 'P11279')"
"('P13716', 'Q9NQG5')"
"('Q9HBJ0', 'Q9H0E9')"
"('P01112', 'P36894')"
"('Q05D32', 'O14975')"
"('Q9Y2Q5', 'O43504')"
"('O43318', 'Q9UQF2')"
"('Q8WYH8', 'Q9P2H0')"
"('P05067', 'P33992')"
"('Q86X19', 'P55082')"
"('Q13501', 'P29590')"
"('Q9NXR1', 'Q86W34')"
"('Q9H1I8', 'Q8IWL3')"
"('Q9H293', 'Q9Y4K3')"
"('Q96AE4', 'P45877')"
"('Q86UK5', 'P61160')"
"('O94829', 'P27105')"
"('Q92558', 'P60709')"
"('Q96F10', 'Q92831')"
"('P32322', 'P51398')"
"('Q9NRC8', 'Q9BVI4')"
"('Q96SB8', 'Q9UM73')"
"('P22681', 'P21802')"
"('A5D8V7', 'Q8TBA6')"
"('P62805', 'P08151')"
"('Q14651', 'Q969F2')"
"('O14933', 'O95376')"
"('P01241', 'P15509')"
"('P62987', 'P22626')"
"('Q9UKP3', 'Q9Y371')"
"('P31944', 'O60260')"
"('P17612', 'O60503')"
"('Q9NTI5', 'P01106')"
"('P10721', 'P35568')"
"('Q99873', 'Q6PJG9')"
"('P28288', 'Q13627')"
"('P55084', 'P01106')"
"('O43482', 'O00327')"
"('P40933', 'P26951')"
"('P80370', 'P46531')"
"('P04637', 'Q99497')"
"('Q9BZV1', 'P0DMV8')"
"('Q03188', 'Q15369')"
"('P62753', 'P11940')"
"('P04637', 'P05388')"
"('Q9UPE1', 'Q9NQ29')"
"('P50613', 'P07355')"
"('P49411', 'P39023')"
"('P01833', 'P20337')"
"('Q5T1M5', 'Q9NZN9')"
"('P36897', 'P35716')"
"('P01106', 'Q9NXS3')"
"('O15397', 'P50406')"
"('P54707', 'P54709')"
"('Q69YN2', 'Q86SE5')"
"('O75558', 'Q92993')"
"('Q9P2X7', 'Q49AN0')"
"('Q8WU17', 'Q8TCT9')"
"('Q92769', 'Q86TM3')"
"('P53350', 'Q8IYT8')"
"('Q9BQA5', 'Q96I25')"
"('P06865', 'Q9NQW7')"
"('Q0VD86', 'Q9ULW8')"
"('Q9HAV7', 'P61160')"
"('Q9BVK8', 'P43220')"
"('P01106', 'P16070')"
"('P24539', 'P30049')"
"('O43896', 'P62258')"
"('Q9Y2D8', 'Q9C086')"
"('P49759', 'Q96MU7')"
"('O14867', 'Q16236')"
"('P15822', 'Q9Y297')"
"('Q9GZV8', 'Q14129')"
"('A8MYZ6', 'P01106')"
"('O94782', 'Q9Y4K3')"
"('O14617', 'Q9H267')"
"('Q12778', 'P48023')"
"('P43243', 'Q9H0R8')"
"('Q5T754', 'Q8NEC5')"
"('Q9BYN8', 'Q2NL82')"
"('P36888', 'Q92835')"
"('P49137', 'Q6JBY9')"
"('P84243', 'Q09028')"
"('Q96J02', 'P51168')"
"('Q14164', 'Q92624')"
"('O15084', 'Q92974')"
"('P61604', 'P34897')"
"('P84022', 'Q9H0E3')"
"('P35625', 'P13284')"
"('P13010', 'Q6IQ23')"
"('Q9NRJ5', 'P11940')"
"('P21673', 'Q9BQB6')"
"('Q01105', 'P48736')"
"('P83731', 'P31947')"
"('P21912', 'O95477')"
"('Q9BT73', 'P21283')"
"('O43676', 'P03891')"
"('O75916', 'P09471')"
"('Q9H361', 'Q14201')"
"('Q96TA2', 'Q96N21')"
"('Q14197', 'Q9NVV4')"
"('Q96MF2', 'Q9UIF8')"
"('P52594', 'Q9GZT8')"
"('O14545', 'Q13418')"
"('O94966', 'Q9Y490')"
"('P58340', 'O75165')"
"('Q92541', 'P40939')"
"('Q96GX1', 'Q8NCS4')"
"('Q9NUX5', 'O75934')"
"('Q9NWT8', 'Q13618')"
"('O15078', 'Q1MSJ5')"
"('P48431', 'Q9UPU5')"
"('Q8NEY4', 'A5A3E0')"
"('Q8TDM5', 'Q9GZT8')"
"('Q09161', 'Q96FV9')"
"('Q7Z6Z7', 'Q9Y3F4')"
"('Q3BBV0', 'Q9H094')"
"('P40818', 'Q9UK80')"
"('P07711', 'O00478')"
"('P60953', 'Q15717')"
"('O43143', 'Q13595')"
"('Q8IUQ4', 'P36888')"
"('O75385', 'Q13490')"
"('Q15811', 'Q9UIL1')"
"('Q16526', 'Q93008')"
"('Q13285', 'P30968')"
"('Q9HAV4', 'P27105')"
"('Q96CW5', 'P61289')"
"('P18754', 'Q8IVT5')"
"('O43524', 'P29474')"
"('Q96PU5', 'P08069')"
"('Q13277', 'O60447')"
"('O14786', 'Q9HCM2')"
"('Q7Z3Z0', 'P12035')"
"('Q9UQM7', 'Q14432')"
"('Q9P2P5', 'Q9NW13')"
"('Q8NEY4', 'Q9Y485')"
"('P32121', 'Q99829')"
"('Q96PU5', 'Q8WVE6')"
"('P68400', 'Q99638')"
"('Q15047', 'O14717')"
"('P05412', 'P17275')"
"('Q14160', 'P12814')"
"('Q9UK32', 'Q9BSL1')"
"('P27986', 'P20810')"
"('Q9HCE1', 'Q15738')"
"('Q96BR5', 'Q5TDH0')"
"('Q8WXI8', 'Q6EIG7')"
"('Q8NBJ4', 'Q3MHD2')"
"('P62495', 'Q92541')"
"('P46940', 'P55072')"
"('P78406', 'Q14999')"
"('Q9Y2H6', 'Q86UK5')"
"('O95168', 'Q9C002')"
"('Q13247', 'Q92905')"
"('Q15434', 'O14980')"
"('Q96EK4', 'Q9NZ71')"
"('P48039', 'Q96NT1')"
"('P62913', 'Q9H492')"
"('Q9BRT6', 'P05067')"
"('Q9ULK2', 'Q02446')"
"('Q9UBX5', 'P05121')"
"('P55072', 'Q5VIR6')"
"('P50995', 'P09104')"
"('P61457', 'Q96FV9')"
"('P68400', 'P10244')"
"('Q9HCE7', 'P16234')"
"('Q96SQ5', 'Q96JN2')"
"('Q9UBU9', 'Q76FK4')"
"('O60664', 'Q15796')"
"('Q12849', 'Q9Y2Q9')"
"('Q92610', 'Q8N1G0')"
"('Q86VP1', 'P54727')"
"('Q8N448', 'P46108')"
"('O43847', 'Q53SF7')"
"('Q9NS64', 'Q96T60')"
"('O60260', 'P05067')"
"('O75695', 'Q92990')"
"('Q9HCG8', 'Q9H6A0')"
"('P01570', 'P16871')"
"('P10415', 'P10301')"
"('Q01081', 'O95166')"
"('Q6UWL6', 'O14965')"
"('Q13064', 'Q9BSW2')"
"('Q96FG2', 'P31151')"
"('P00966', 'P22415')"
"('P49588', 'O75674')"
"('P78357', 'P16333')"
"('P22694', 'Q8NGU2')"
"('Q15554', 'Q5QGS0')"
"('Q15907', 'P57735')"
"('P13612', 'O14776')"
"('Q8TDR0', 'P07900')"
"('Q9Y3D0', 'Q5VV42')"
"('Q8IZC7', 'P17020')"
"('Q5TC82', 'P16989')"
"('Q9UKV8', 'Q13015')"
"('O00151', 'Q53H12')"
"('Q9BZE4', 'O00541')"
"('Q13616', 'P62736')"
"('Q9ULR0', 'P41223')"
"('Q15466', 'Q13227')"
"('P61981', 'O43143')"
"('P02545', 'Q9Y5K5')"
"('P51668', 'Q13263')"
"('Q86Y78', 'P13637')"
"('Q52LG2', 'P59022')"
"('Q9UNF1', 'Q92542')"
"('Q86VR2', 'Q9UBU9')"
"('Q9Y6D9', 'Q9BW85')"
"('Q8N3U4', 'Q96PK6')"
"('P20248', 'O75496')"
"('Q8IV63', 'Q9Y466')"
"('Q15286', 'Q13332')"
"('Q03989', 'P49639')"
"('Q02539', 'P61247')"
"('O14979', 'P27448')"
"('Q9NR30', 'P41218')"
"('Q96JG8', 'P24386')"
"('Q96PU5', 'P49427')"
"('P23025', 'P14373')"
"('P10828', 'O75448')"
"('O75069', 'P10809')"
"('P29074', 'P12270')"
"('Q9NVX0', 'Q9UQL6')"
"('P40926', 'Q9NS18')"
"('Q96SW2', 'Q12874')"
"('P05412', 'Q9UIU6')"
"('Q9UL19', 'P31431')"
"('P22694', 'P42261')"
"('Q9BXM7', 'O14925')"
"('P30443', 'Q8IUH5')"
"('P08253', 'Q96GW7')"
"('Q03113', 'P61586')"
"('Q86TM6', 'P07307')"
"('P09471', 'P45984')"
"('Q12888', 'P22061')"
"('P07949', 'Q13480')"
"('Q15054', 'P28340')"
"('Q07627', 'Q96FQ7')"
"('O43291', 'Q12772')"
"('Q9HC98', 'O43189')"
"('P48023', 'P46108')"
"('P62736', 'P36542')"
"('P31040', 'Q49AN0')"
"('P80075', 'P25024')"
"('P15502', 'Q9UBX5')"
"('Q9UJY5', 'Q99816')"
"('Q08117', 'P41182')"
"('P63104', 'P46940')"
"('Q02548', 'P68400')"
"('P23528', 'Q01968')"
"('P40337', 'O60888')"
"('P53667', 'P63104')"
"('Q13627', 'Q9C073')"
"('Q71U36', 'Q9BU02')"
"('Q07866', 'Q9NSK0')"
"('Q13618', 'P04053')"
"('Q9UHX1', 'P84243')"
"('Q03111', 'Q13085')"
"('Q6NYC1', 'Q4G0J3')"
"('Q15836', 'Q8TAC9')"
"('P18583', 'O94906')"
"('Q92620', 'Q8IWZ8')"
"('Q9P2M7', 'Q96S53')"
"('Q401N2', 'Q7Z2K6')"
"('Q9UNQ0', 'Q9Y3E0')"
"('P35749', 'Q9NPJ6')"
"('P61758', 'Q08209')"
"('Q969G3', 'Q96ST3')"
"('Q93074', 'P35226')"
"('Q9Y4K3', 'P53805')"
"('P50406', 'Q96Q15')"
"('Q8N8D1', 'O95758')"
"('Q9NXR1', 'Q9BZP6')"
"('O60293', 'Q15834')"
"('Q13616', 'P21912')"
"('Q9UDR5', 'Q9NPI6')"
"('P68032', 'P62736')"
"('Q9HCE7', 'P23396')"
"('P45984', 'P78424')"
"('Q8IWA5', 'O75695')"
"('P21281', 'P46782')"
"('Q15233', 'Q99459')"
"('Q8N5V2', 'P63000')"
"('P61081', 'P56377')"
"('Q09666', 'P01106')"
"('Q14689', 'Q7L5A3')"
"('Q92793', 'Q13568')"
"('P28328', 'O60683')"
"('P11234', 'P15153')"
"('Q4KWH8', 'P14314')"
"('O75923', 'Q96CV9')"
