negatives
"('Q9GZW8', 'P35914')"
"('O14561', 'Q9NX14')"
"('407007', 'P49918')"
"('Q13573', 'P46940')"
"('P17844', 'Q92731')"
"('P16104', 'Q9H7Z6')"
"('P10809', 'P05091')"
"('Q969V3', 'P62330')"
"('P51610', 'P61964')"
"('P53041', 'P55060')"
"('P30279', 'Q00534')"
"('O95433', 'Q13625')"
"('P46782', 'Q9UHD2')"
"('O43929', 'P24385')"
"('P07947', 'P16144')"
"('P42677', 'P62979')"
"('Q9Y333', 'P55769')"
"('P12757', 'O43318')"
"('P07948', 'P35222')"
"('P62263', 'P62979')"
"('P40337', 'Q99814')"
"('P20226', 'P28324')"
"('P31946', 'Q86X29')"
"('P12004', 'Q9NW38')"
"('P13569', 'Q5T2W1')"
"('P43358', 'O14949')"
"('Q9BWU1', 'Q15528')"
"('Q9Y6R0', 'P05067')"
"('Q96GM8', 'P62136')"
"('Q09472', 'P12755')"
"('P39023', 'O75815')"
"('P01871', 'P20273')"
"('P22314', 'P10070')"
"('O95391', 'Q15366')"
"('P61513', 'P62945')"
"('Q9P253', 'O43752')"
"('Q16513', 'P05060')"
"('Q92731', 'O75934')"
"('Q9UGI9', 'P13807')"
"('P58107', 'Q9H0H5')"
"('P52948', 'Q8NFH4')"
"('P18847', 'Q9BZD4')"
"('Q12933', 'Q9UHB7')"
"('O60739', 'P22234')"
"('P51805', 'Q00535')"
"('Q9H7D7', 'Q13620')"
"('O43261', 'P25786')"
"('O00471', 'Q9Y678')"
"('P20073', 'Q9BRP4')"
"('Q8TF05', 'P16104')"
"('P42224', 'P09912')"
"('P05231', 'Q06330')"
"('Q8WW43', 'Q92542')"
"('O15264', 'P25705')"
"('P04350', 'Q9P1Y5')"
"('O14610', 'P35498')"
"('Q9BW04', 'P84022')"
"('O00487', 'Q14164')"
"('Q9P0J0', 'O95299')"
"('Q13976', 'P16220')"
"('P08670', 'Q5T3J3')"
"('P60484', 'P42336')"
"('Q16512', 'Q9H492')"
"('Q9BT78', 'Q92905')"
"('P55072', 'Q9P2S5')"
"('P54710', 'P32418')"
"('P23508', 'P41227')"
"('Q9Y3C7', 'P04792')"
"('O60663', 'Q8N806')"
"('P10914', 'P67809')"
"('P30837', 'P01106')"
"('P13569', 'P20823')"
"('P05187', 'Q92643')"
"('P17844', 'P13805')"
"('P19105', 'O14578')"
"('P22681', 'Q12913')"
"('P62745', 'O60739')"
"('O14974', 'P63104')"
"('Q9UL18', 'Q5D862')"
"('P84090', 'Q04724')"
"('Q8TEW0', 'P84022')"
"('Q9BTT4', 'Q9NPJ6')"
"('Q9GZM8', 'Q70YC4')"
"('Q9Y3U8', 'P62993')"
"('Q8NEU8', 'O00213')"
"('P52566', 'P08138')"
"('Q14980', 'O43491')"
"('P10147', 'P61073')"
"('P59768', 'Q13698')"
"('P01106', 'Q9NRG4')"
"('P13611', 'P16070')"
"('P63173', 'P46778')"
"('Q9Y6I3', 'Q9Y3C5')"
"('Q9BYM8', 'Q5VVX9')"
"('P08670', 'Q99759')"
"('P61224', 'P04637')"
"('Q15393', 'Q9Y675')"
"('P28827', 'P63244')"
"('P07948', 'P00519')"
"('P49321', 'P60520')"
"('P16520', 'Q92569')"
"('Q16512', 'Q9NRA0')"
"('Q9H8W4', 'Q9UL45')"
"('P61353', 'P46776')"
"('P29474', 'P23634')"
"('P11171', 'P61457')"
"('Q00005', 'P15924')"
"('Q9BUE0', 'O95402')"
"('Q9Y3A3', 'P19419')"
"('O60504', 'O43281')"
"('Q9Y2Y9', 'Q13523')"
"('P31995', 'P19174')"
"('P54259', 'Q9ULU4')"
"('P42338', 'P15153')"
"('Q8ND99', 'P02768')"
"('P01730', 'Q05397')"
"('Q9UL18', 'P05388')"
"('Q9Y6X8', 'P11021')"
"('P22612', 'Q14643')"
"('P78324', 'Q08722')"
"('Q92918', 'Q16584')"
"('P13805', 'P29622')"
"('Q9HCE7', 'P07949')"
"('Q7L7L0', 'O60814')"
"('Q16878', 'P40337')"
"('Q9UKW4', 'P08729')"
"('Q5ST30', 'Q14197')"
"('P51955', 'Q16891')"
"('Q92564', 'P52735')"
"('Q9GZS3', 'P23193')"
"('P14316', 'O14625')"
"('P07900', 'P06239')"
"('O94941', 'P51965')"
"('P25786', 'Q9Y5K5')"
"('Q04206', 'Q9Y2U5')"
"('Q99417', 'Q7L5N1')"
"('Q8IZQ8', 'P98177')"
"('Q8WVC0', 'P62875')"
"('P06401', 'P42338')"
"('P0C0S8', 'P56524')"
"('P09486', 'P21980')"
"('Q14789', 'P11169')"
"('Q9UNE7', 'P62987')"
"('P35268', 'P83731')"
"('P35226', 'O95931')"
"('O43741', 'O75385')"
"('O00522', 'P35222')"
"('P00813', 'P29274')"
"('P62249', 'P62263')"
"('Q8IX12', 'Q9Y6K9')"
"('Q13526', 'O95785')"
"('P54725', 'P04843')"
"('O75800', 'Q8ND25')"
"('Q96QU8', 'P60709')"
"('P27695', 'P18887')"
"('Q92575', 'O75674')"
"('O00487', 'Q9UNM6')"
"('P48454', 'P41594')"
"('Q15365', 'O43395')"
"('Q92609', 'P50607')"
"('Q9Y5J5', 'P78318')"
"('P15391', 'P62993')"
"('Q9NQB0', 'P24385')"
"('Q04637', 'P62195')"
"('Q9NYJ8', 'Q9BYM8')"
"('Q9Y535', 'P19388')"
"('P60520', 'O60684')"
"('P05114', 'Q9Y4A5')"
"('Q96LT9', 'Q15796')"
"('Q16787', 'P53708')"
"('P55210', 'P08670')"
"('P25963', 'P27986')"
"('O60496', 'P07949')"
"('P46940', 'Q2TAY7')"
"('Q9H0R5', 'Q9NS25')"
"('P31751', 'Q9UKX3')"
"('P08238', 'P04075')"
"('P48431', 'P49716')"
"('Q495M9', 'Q13402')"
"('P60510', 'O15379')"
"('P25398', 'P62753')"
"('Q8NEZ4', 'P61964')"
"('Q9UD71', 'P06400')"
"('P09496', 'P13569')"
"('Q13535', 'P38398')"
"('Q9UBB5', 'O94776')"
"('P13569', 'P0CG47')"
"('O15392', 'P98170')"
"('P61981', 'Q9NYF3')"
"('P56645', 'P08047')"
"('Q15287', 'Q9BUQ8')"
"('O75674', 'O60784')"
"('Q9Y490', 'Q13573')"
"('O60216', 'Q9UQE7')"
"('O75509', 'Q6VEQ5')"
"('P35626', 'A6NLW9')"
"('Q13330', 'Q9C0K0')"
"('P62256', 'O76050')"
"('P62979', 'P46531')"
"('Q05516', 'P30556')"
"('P78357', 'P55157')"
"('Q8WXE1', 'O60934')"
"('O95813', 'O96014')"
"('P63096', 'P49802')"
"('O15535', 'Q9NWS9')"
"('P62891', 'P62750')"
"('O60739', 'P27797')"
"('P62913', 'P62906')"
"('P45985', 'Q9UM73')"
"('P30450', 'P43632')"
"('P02787', 'P05546')"
"('Q15910', 'Q12789')"
"('Q9P287', 'P56545')"
"('Q16659', 'P23528')"
"('Q16531', 'Q03468')"
"('Q13573', 'Q9NR30')"
"('P39656', 'Q9H7B4')"
"('Q96A08', 'P20671')"
"('Q01130', 'P55795')"
"('Q9NX70', 'P19387')"
"('Q9NRP0', 'Q15714')"
"('P04899', 'P01116')"
"('P0C0S8', 'O15379')"
"('406991', 'O14727')"
"('Q13029', 'P68431')"
"('O75626', 'P17676')"
"('P29350', 'Q99665')"
"('P52735', 'O43432')"
"('Q969J5', 'P52333')"
"('Q02156', 'Q07157')"
"('Q8NFD5', 'O14497')"
"('Q9Y271', 'O95837')"
"('Q9HBE4', 'P42224')"
"('407040', 'P10242')"
"('Q13873', 'Q99717')"
"('O14979', 'Q9Y4K3')"
"('Q8TAD8', 'Q9Y4E5')"
"('Q8N2W9', 'P61086')"
"('Q13485', 'P01100')"
"('Q92734', 'O60603')"
"('P53350', 'Q13153')"
"('P35372', 'P63218')"
"('Q13315', 'Q96JM3')"
"('O43318', 'Q15653')"
"('P63000', 'P45983')"
"('O00422', 'P17661')"
"('Q15012', 'Q13509')"
"('Q5VTD9', 'Q9Y219')"
"('Q8N122', 'Q16665')"
"('Q9Y3A3', 'Q8WY91')"
"('Q9Y3C5', 'Q9NZ52')"
"('Q99459', 'Q9H307')"
"('O75529', 'P06899')"
"('P54259', 'Q14766')"
"('Q9C086', 'Q9H981')"
"('P29459', 'Q14626')"
"('P16885', 'O94842')"
"('Q9NYL2', 'P01871')"
"('Q15596', 'Q92793')"
"('P36542', 'Q96IZ0')"
"('P62316', 'P26641')"
"('P49247', 'Q8TBB1')"
"('P00519', 'P62993')"
"('P22362', 'P51685')"
"('P01569', 'P01589')"
"('P30480', 'Q9NRN7')"
"('P48736', 'P50993')"
"('Q96SB3', 'P41236')"
"('P41271', 'P46379')"
"('P12004', 'O60921')"
"('Q92900', 'O95872')"
"('P31749', 'Q07817')"
"('Q9P2D1', 'Q969G3')"
"('P0CG48', 'P21980')"
"('P63146', 'Q8IWV7')"
"('Q5VVH5', 'P08107')"
"('Q9P0L2', 'P10636')"
"('Q9BVC4', 'Q8TB45')"
"('Q8IZD9', 'P12931')"
"('Q15025', 'P21580')"
"('Q16236', 'P04899')"
"('P31946', 'O96013')"
"('P10144', 'Q10586')"
"('Q8IZL8', 'Q9NR30')"
"('Q13573', 'O75165')"
"('P48454', 'Q13936')"
"('P30281', 'Q9UBQ5')"
"('P40225', 'Q9HBE5')"
"('P04156', 'Q16653')"
"('Q8N257', 'Q9P0M6')"
"('Q9HCE7', 'O15105')"
"('P03372', 'Q8N1N5')"
"('Q99459', 'Q9Y2M2')"
"('Q9Y6M9', 'O95182')"
"('P36957', 'P21281')"
"('P30939', 'P63215')"
"('Q14164', 'P55010')"
"('P26368', 'Q15796')"
"('P30154', 'P27361')"
"('P98177', 'P0CG48')"
"('407021', 'Q01453')"
"('P25208', 'P28906')"
"('Q9H4E5', 'P36897')"
"('P62263', 'Q96FJ2')"
"('O15551', 'P56750')"
"('Q13315', 'O00255')"
"('O75569', 'P29353')"
"('Q99570', 'Q9UHF0')"
"('P27635', 'P18077')"
"('O15144', 'P30480')"
"('Q96P09', 'P62837')"
"('O95319', 'P41238')"
"('P07437', 'P61981')"
"('Q9HC38', 'Q14164')"
"('Q99877', 'Q96RL1')"
"('Q14938', 'P10914')"
"('O60262', 'Q8WYR1')"
"('Q92925', 'O15360')"
"('P02768', 'Q9BUN8')"
"('P26196', 'Q99459')"
"('P05129', 'P02545')"
"('Q9UJZ1', 'Q9UKV8')"
"('P56199', 'P12931')"
"('P31994', 'P29353')"
"('P51787', 'P55011')"
"('O94874', 'P49662')"
"('P35544', 'Q9NX58')"
"('P46379', 'P01270')"
"('P08620', 'P21802')"
"('Q13573', 'Q9NTJ3')"
"('Q13794', 'Q96IK5')"
"('O76071', 'O14519')"
"('O95208', 'P22455')"
"('O43741', 'P13639')"
"('P62701', 'P62081')"
"('Q13114', 'Q12933')"
"('Q15109', 'P09429')"
"('Q9BV68', 'Q9Y2X8')"
"('O43633', 'O75351')"
"('Q96NA2', 'A6NHL2')"
"('P17612', 'P28482')"
"('Q8IY92', 'Q9UKA4')"
"('Q8WV22', 'Q9NXX6')"
"('P25786', 'O95751')"
"('O60383', 'P51693')"
"('Q9Y6E0', 'Q9Y228')"
"('P23470', 'P22681')"
"('Q13535', 'Q9BWW4')"
"('Q6PJP8', 'Q12888')"
"('P62979', 'Q9Y6K9')"
"('P04899', 'P53779')"
"('P27986', 'P01111')"
"('Q13233', 'P42677')"
"('P07225', 'P00734')"
"('O75444', 'O14867')"
"('Q9BVI4', 'Q15038')"
"('P16885', 'Q96KM6')"
"('P54725', 'Q96S82')"
"('Q14164', 'P38646')"
"('Q92597', 'Q15436')"
"('P25054', 'O75643')"
"('P29475', 'Q16849')"
"('Q16531', 'Q13418')"
"('Q6ZVK8', 'P61289')"
"('O43739', 'Q9P1Z2')"
"('P02461', 'P09486')"
"('P04222', 'P49591')"
"('Q13796', 'P62993')"
"('Q15788', 'P26373')"
"('O14544', 'P01589')"
"('P13639', 'Q9NRI5')"
"('P62906', 'P62888')"
"('P14222', 'P10124')"
"('O00329', 'P49841')"
"('O15355', 'P08621')"
"('P51617', 'Q16543')"
"('Q9NV58', 'O43809')"
"('P05013', 'P19235')"
"('Q9NRA8', 'Q15797')"
"('P62877', 'Q16531')"
"('O75159', 'P40189')"
"('Q13315', 'Q12857')"
"('P49137', 'P16220')"
"('P62993', 'P13797')"
"('Q13164', 'Q9BUB5')"
"('P23258', 'Q13748')"
"('P51681', 'P62328')"
"('Q15418', 'Q9Y2V2')"
"('O95757', 'Q15170')"
"('P84098', 'P57721')"
"('P41235', 'O75716')"
"('Q9Y2Q3', 'P31689')"
"('Q00059', 'Q8WVM0')"
"('P46108', 'Q9C0E4')"
"('Q14526', 'P25106')"
"('Q14676', 'Q13315')"
"('O60641', 'Q9Y4K3')"
"('P20042', 'P16104')"
"('Q9NRA8', 'Q13485')"
"('Q9UNF0', 'Q9ULH1')"
"('Q9UL18', 'Q15366')"
"('P15822', 'P62820')"
"('P40313', 'Q9UK53')"
"('O95563', 'Q9BUV8')"
"('P67809', 'Q99558')"
"('Q96CW1', 'Q92609')"
"('Q8N392', 'Q7L0Q8')"
"('P11940', 'Q8IYD1')"
"('P53618', 'P84077')"
"('Q8N5V2', 'Q9H9J2')"
"('P16949', 'Q96BK5')"
"('Q9UBY0', 'P13569')"
"('Q8WTS6', 'P98177')"
"('P18124', 'P05388')"
"('Q92620', 'P38159')"
"('Q86U86', 'O14497')"
"('O00444', 'P31947')"
"('O76071', 'Q9Y5Q8')"
"('Q9UKV8', 'O14980')"
"('P26641', 'P07814')"
"('Q9BUB5', 'P08238')"
"('P53803', 'Q9H9Y6')"
"('P62888', 'P18621')"
"('P22695', 'P62330')"
"('Q15853', 'O15392')"
"('O14641', 'Q9NPB6')"
"('O00291', 'P56537')"
"('P16471', 'P52735')"
"('P14324', 'O14807')"
"('P22681', 'P15498')"
"('P20132', 'P43629')"
"('Q13485', 'P51153')"
"('Q15365', 'P67809')"
"('P04198', 'Q969H0')"
"('Q14657', 'P01889')"
"('O43390', 'P26368')"
"('P27361', 'Q04828')"
"('P11177', 'O60925')"
"('P32246', 'P52333')"
"('P12034', 'P08138')"
"('Q9BZL4', 'P14649')"
"('Q6P1K2', 'Q9Y3C7')"
"('O60244', 'P52630')"
"('Q9Y478', 'Q15459')"
"('Q9UBI6', 'O95467')"
"('P07948', 'Q07666')"
"('P15884', 'Q8N2W9')"
"('Q99832', 'Q92993')"
"('Q86YW0', 'Q9NRD5')"
"('P29692', 'O60739')"
"('P29590', 'Q9Y2M5')"
"('P07437', 'Q15653')"
"('O14544', 'Q08334')"
"('Q13526', 'Q8IY92')"
"('P20333', 'P31689')"
"('Q5VTD9', 'Q8N2S1')"
"('Q9NVJ2', 'O43261')"
"('Q9Y297', 'Q9UHD9')"
"('O00206', 'Q9H0E2')"
"('P06756', 'P05106')"
"('P63104', 'P19105')"
"('P05231', 'P48551')"
"('P20671', 'P23527')"
"('P28335', 'Q13936')"
"('Q16539', 'P17181')"
"('P02778', 'P27487')"
"('P10275', 'P62826')"
"('P13805', 'Q969Q1')"
"('Q9NYY1', 'Q9HBE5')"
"('P08670', 'Q9UGJ1')"
"('P10914', 'P10145')"
"('Q92804', 'O15264')"
"('Q96SB3', 'P32238')"
"('P30622', 'P53350')"
"('Q9NPP4', 'Q96P20')"
"('P13725', 'Q99650')"
"('P31946', 'Q8N122')"
"('Q14318', 'Q9BVC4')"
"('Q13111', 'P20671')"
"('Q9UKE5', 'Q9C040')"
"('P30480', 'Q3ZAQ7')"
"('Q9H7U1', 'P46100')"
"('P30457', 'Q9BUP0')"
"('Q04771', 'O94921')"
"('O96001', 'P30154')"
"('Q99767', 'P18146')"
"('Q9UKV0', 'Q06413')"
"('Q13895', 'Q12816')"
"('Q9NR55', 'P49715')"
"('Q8WUB8', 'Q9BVJ6')"
"('P43364', 'Q9BW11')"
"('Q9UBI1', 'Q9NX08')"
"('P68431', 'Q9NPI1')"
"('Q15773', 'Q9Y3D0')"
"('Q53TS8', 'Q8IYF3')"
"('A8K6C2', 'P16871')"
"('P06400', 'Q16533')"
"('P10415', 'P08107')"
"('Q13228', 'Q9Y3C7')"
"('Q9H492', 'Q13501')"
"('Q96B02', 'Q9HCM9')"
"('P22303', 'P05412')"
"('O43927', 'P32302')"
"('Q9NVV4', 'Q9H6S1')"
"('P54259', 'Q86UL8')"
"('P29965', 'P08648')"
"('Q9H7L9', 'Q9H160')"
"('P61604', 'Q6XUX3')"
"('Q13315', 'Q5HYJ3')"
"('Q9UL18', 'Q9UI10')"
"('Q14562', 'P55081')"
"('O75044', 'P15153')"
"('P54259', 'Q9Y3T9')"
"('O15169', 'Q92837')"
"('Q8TAF3', 'P30480')"
"('P62277', 'Q99459')"
"('Q96CS2', 'P25205')"
"('O96019', 'P41279')"
"('O60814', 'Q86WJ1')"
"('Q04206', 'P62277')"
"('P55851', 'P31946')"
"('P46531', 'Q15797')"
"('A8TX70', 'P18084')"
"('Q9H3N1', 'P16104')"
"('Q9Y2X8', 'Q9Y508')"
"('Q13526', 'P04222')"
"('P25054', 'P13647')"
"('Q15796', 'Q9NRA8')"
"('Q96QV6', 'P62875')"
"('Q99567', 'Q5SRE5')"
"('P61218', 'P62875')"
"('Q92616', 'Q9HAW0')"
"('Q07157', 'Q9UKL4')"
"('P83436', 'Q9UP83')"
"('Q9UBZ4', 'Q12933')"
"('Q13562', 'P62158')"
"('P06241', 'Q9NZQ3')"
"('Q15843', 'P16104')"
"('P13637', 'Q96A49')"
"('O43924', 'P61225')"
"('O75347', 'Q14164')"
"('P35637', 'P52597')"
"('O95167', 'O95182')"
"('Q00577', 'P18146')"
"('Q15628', 'Q8TEL6')"
"('Q8IZL8', 'Q14137')"
"('Q92843', 'Q07812')"
"('Q05513', 'P62993')"
"('Q96QU8', 'P07737')"
"('Q15366', 'Q8IWZ8')"
"('Q13573', 'Q6UN15')"
"('Q9Y3U8', 'P30050')"
"('P36578', 'P46776')"
"('Q96DF8', 'O60231')"
"('P05112', 'P48357')"
"('P51798', 'Q6VY07')"
"('P62277', 'Q99558')"
"('P35626', 'P41597')"
"('O00487', 'Q96CS7')"
"('Q04206', 'Q96CX2')"
"('P62987', 'Q15034')"
"('P62304', 'Q9UHI6')"
"('Q9Y297', 'Q9UKB1')"
"('Q01658', 'O43318')"
"('P19438', 'P33981')"
"('P40337', 'Q8TEY7')"
"('P32121', 'Q06190')"
"('P04637', 'Q96KB5')"
"('Q13315', 'O95260')"
"('Q9UIA9', 'Q13418')"
"('P41743', 'Q9NRA0')"
"('Q14527', 'Q9H832')"
"('Q15013', 'Q96ID5')"
"('P13637', 'P35240')"
"('O94992', 'O60563')"
"('P50570', 'Q01344')"
"('O00255', 'P27694')"
"('P43146', 'P60228')"
"('P61313', 'Q9UL18')"
"('P40429', 'P50914')"
"('Q9UKV8', 'P30050')"
"('P32121', 'Q13606')"
"('Q8TES7', 'Q9NWT6')"
"('O75486', 'P61244')"
"('Q04323', 'P36897')"
"('P19838', 'P35579')"
"('Q9GZQ8', 'Q13043')"
"('P41586', 'Q5JWF2')"
"('P03372', 'P23771')"
"('P48023', 'Q99963')"
"('P63104', 'Q92552')"
"('P17600', 'P46108')"
"('Q14896', 'Q969Q1')"
"('P00734', 'P03951')"
"('P48023', 'Q8TE67')"
"('Q96F24', 'P19793')"
"('P04049', 'P23458')"
"('Q86Y39', 'P03897')"
"('P84090', 'Q9Y3C7')"
"('P11802', 'P24864')"
"('P62304', 'P62308')"
"('O75365', 'P40121')"
"('P05412', 'Q92793')"
"('Q13501', 'Q96GM8')"
"('O75581', 'Q03135')"
"('P56134', 'P03928')"
"('Q8WUK0', 'Q15750')"
"('P48729', 'P08151')"
"('O15111', 'P15509')"
"('P62280', 'P22090')"
"('Q96G74', 'Q13114')"
"('P20809', 'P43364')"
"('Q9BQ83', 'P49720')"
"('P62891', 'P46776')"
"('O43765', 'Q9UET6')"
"('O43324', 'O60739')"
"('Q8NH21', 'P38405')"
"('O95049', 'Q8NI35')"
"('P49715', 'P10826')"
"('P13631', 'P28702')"
"('O75554', 'Q15428')"
"('Q13748', 'Q14164')"
"('Q08379', 'O00506')"
"('Q969T9', 'Q9NZC7')"
"('P47914', 'P46779')"
"('Q13459', 'P01106')"
"('P07359', 'P48736')"
"('P35222', 'P09914')"
"('P04626', 'P52735')"
"('P46777', 'P05388')"
"('Q15714', 'O43795')"
"('P46934', 'Q9H0R8')"
"('Q99459', 'P48444')"
"('Q13546', 'Q7Z434')"
"('P28482', 'P49585')"
"('Q13547', 'P62807')"
"('P09341', 'P25024')"
"('P35080', 'Q13332')"
"('P54132', 'P15927')"
"('P23396', 'P10145')"
"('Q96EK5', 'O60496')"
"('Q8IX12', 'Q08211')"
"('P01574', 'Q99665')"
"('O76061', 'P35555')"
"('Q9H9Q2', 'P61201')"
"('P13942', 'P06756')"
"('P36941', 'Q13114')"
"('O43324', 'Q13315')"
"('Q5VVJ2', 'Q8N257')"
"('P01871', 'Q06187')"
"('P49207', 'Q9Y3U8')"
"('Q96QB1', 'P15153')"
"('P04637', 'P26447')"
"('O60814', 'Q9UKV0')"
"('Q14653', 'Q99836')"
"('Q96GM8', 'Q9BRX9')"
"('P12814', 'Q9UGI8')"
"('Q16566', 'Q09472')"
"('Q13614', 'P07196')"
"('Q969G9', 'O14640')"
"('P24864', 'Q9NYG5')"
"('Q13555', 'P62955')"
"('Q8N6Y0', 'Q9BT78')"
"('Q96L34', 'P04156')"
"('P48551', 'P01567')"
"('P00533', 'O60641')"
"('Q13573', 'P11940')"
"('P01241', 'Q9HB71')"
"('Q99879', 'Q9BTM1')"
"('P49407', 'O00541')"
"('Q00059', 'Q14197')"
"('P61289', 'P04637')"
"('Q9Y2X0', 'P10827')"
"('P52756', 'P04406')"
"('Q9Y4K3', 'Q14257')"
"('O15151', 'P62258')"
"('Q13315', 'Q5VTL8')"
"('P22612', 'Q08462')"
"('P0CG48', 'P17275')"
"('P60709', 'P13612')"
"('Q9H832', 'Q6PJ69')"
"('P20226', 'Q15788')"
"('P27797', 'Q9Y4K3')"
"('P62280', 'P35544')"
"('Q6WCQ1', 'P08238')"
"('P05771', 'P62879')"
"('O94907', 'Q14696')"
"('P20702', 'Q14773')"
"('Q96A54', 'Q15831')"
"('P06239', 'P04150')"
"('P42695', 'Q8IY92')"
"('P63215', 'O00329')"
"('Q9Y4X5', 'P52735')"
"('P20333', 'P62158')"
"('Q13145', 'Q9UP38')"
"('Q92753', 'Q9NPJ4')"
"('Q9Y371', 'P22681')"
"('P56704', 'O00755')"
"('P63279', 'Q01826')"
"('P63096', 'Q15759')"
"('Q09472', 'P42229')"
"('Q96B33', 'O95484')"
"('P08238', 'P22314')"
"('Q9UKV8', 'Q9UHD2')"
"('Q96RG2', 'P68104')"
"('P42858', 'P37840')"
"('P18846', 'Q9H4A6')"
"('Q14865', 'P63165')"
"('P67870', 'Q15349')"
"('P17980', 'P42771')"
"('Q9UIF9', '100008587')"
"('Q92947', 'P01106')"
"('Q06187', 'O14986')"
"('P30086', 'Q9HC24')"
"('Q9NWB1', 'Q9BX46')"
"('P62993', 'P26992')"
"('P49407', 'O15111')"
"('Q9Y371', 'Q99570')"
"('P61077', 'Q9BZY9')"
"('Q8TD86', 'O43306')"
"('Q14511', 'P46109')"
"('P27361', 'P39877')"
"('P04637', 'P11021')"
"('Q14164', 'P11142')"
"('O75800', 'Q8WWF5')"
"('Q15554', 'Q9H816')"
"('Q9H1B4', 'Q9UKK6')"
"('P62258', 'P06748')"
"('Q9Y371', 'Q9P2Y5')"
"('P54646', 'P13807')"
"('O60244', 'P41235')"
"('Q7Z6Z7', 'Q93008')"
"('O94972', 'O00463')"
"('P40337', 'P51149')"
"('Q96RU7', 'Q9Y2D1')"
"('Q06547', 'Q13309')"
"('Q9HCK8', 'P55854')"
"('Q8IY92', 'O00193')"
"('P45983', 'Q12904')"
"('P07332', 'P24394')"
"('O14730', 'P43360')"
"('P17858', 'Q01201')"
"('P27361', 'P47712')"
"('P35626', 'Q8NH61')"
"('Q96SB8', 'Q96MG7')"
"('P21246', 'O94864')"
"('P40763', 'P17844')"
"('P30154', 'Q9BXT2')"
"('P62306', 'O15527')"
"('O75131', 'Q13573')"
"('O00626', 'P32248')"
"('P24928', 'Q9BTT4')"
"('Q93079', 'Q9UPS6')"
"('P05129', 'P60709')"
"('P25705', 'P20333')"
"('P12755', 'P10071')"
"('Q03518', 'P68104')"
"('Q12888', 'O60739')"
"('Q96C03', 'O00429')"
"('Q9HCK4', 'Q12824')"
"('P26038', 'Q14164')"
"('Q01094', 'Q9BW11')"
"('Q9UNN5', 'P22736')"
"('P01137', 'P34741')"
"('Q9UJX3', 'Q9BS18')"
"('P00519', 'Q92466')"
"('Q9Y261', 'P04637')"
"('Q53FD0', 'Q13137')"
"('P01891', 'P61769')"
"('Q92796', 'Q15334')"
"('O15055', 'O15516')"
"('Q86WN2', 'Q9UHF4')"
"('Q9Y258', 'P46094')"
"('P16220', 'Q05707')"
"('Q9UNY4', 'P43243')"
"('Q5T3J3', 'Q12873')"
"('P21283', 'P62330')"
"('P63173', 'P01889')"
"('Q9H4G0', 'P60709')"
"('P52198', 'Q9NQU5')"
"('Q00839', 'Q9Y297')"
"('Q15393', 'O75940')"
"('Q9C000', 'P29466')"
"('O75528', 'Q8N2W9')"
"('Q9UGI9', 'P98177')"
"('Q92985', 'Q8IZ69')"
"('Q9BZI7', 'Q9H1B4')"
"('O00463', 'Q99558')"
"('Q96D09', 'P11229')"
"('Q9NPD3', 'P14550')"
"('Q9H4A3', 'P03928')"
"('P62993', 'P10909')"
"('Q9Y5B9', 'P16104')"
"('P62701', 'P15880')"
"('Q8NE09', 'P49841')"
"('P52756', 'Q12986')"
"('P60568', 'P18146')"
"('Q96GM5', 'P01106')"
"('P31749', 'P49840')"
"('Q8IYD8', 'A8MT69')"
"('A6ND36', 'P27348')"
"('P48039', 'P09543')"
"('Q15369', 'Q15714')"
"('P15927', 'P78527')"
"('P63104', 'Q02878')"
"('Q96B02', 'Q99942')"
"('Q14108', 'P21281')"
"('P56181', 'P49821')"
"('P08134', 'Q9Y4K3')"
"('Q15906', 'Q96Q83')"
"('P83731', 'Q99558')"
"('P32243', 'P83731')"
"('P51531', 'Q13315')"
"('Q53HL2', 'Q02224')"
"('Q9H1K0', 'P61106')"
"('P49720', 'O60739')"
"('Q9H0M0', 'Q96G27')"
"('P13232', 'P14784')"
"('Q13310', 'P15170')"
"('P22694', 'P10070')"
"('P05412', 'P48507')"
"('Q9UL18', 'P14866')"
"('P08107', 'Q9UHD2')"
"('Q01534', 'P68104')"
"('Q04637', 'Q9Y4K3')"
"('P61247', 'Q8IVM0')"
"('O95757', 'Q9Y4K3')"
"('Q9H307', 'O00422')"
"('O75674', 'Q99816')"
"('Q9UG56', 'Q7Z478')"
"('Q96ST3', 'O43439')"
"('Q9UNM6', 'O43242')"
"('P22681', 'P62993')"
"('O14818', 'Q5VTR2')"
"('Q6UY14', 'P07858')"
"('P99999', 'P11171')"
"('P12956', 'Q96P48')"
"('Q9NYB0', 'P16104')"
"('Q03014', 'Q02763')"
"('Q9H160', 'Q16576')"
"('Q01658', 'Q92831')"
"('Q8NI08', 'P27540')"
"('Q99459', 'Q96QD5')"
"('Q15653', 'P60709')"
"('P29083', 'P08243')"
"('O00487', 'O00232')"
"('Q16513', 'P16333')"
"('P01892', 'P43628')"
"('Q9UQM7', 'Q08499')"
"('P09619', 'Q92529')"
"('P62993', 'P41970')"
"('Q9NTM9', 'Q6ZVK8')"
"('O15379', 'Q92786')"
"('Q15366', 'Q9BYX4')"
"('P04629', 'O43559')"
"('P51959', 'O14976')"
"('O14610', 'O00329')"
"('P01876', 'Q969Y2')"
"('Q00987', 'P04637')"
"('O94817', 'Q9BUJ2')"
"('Q96BR1', 'Q12778')"
